GEN | [get_physical_card] | Orig: Is the PIN sent in another message? -> Aug: Can I receive the physical card separately?
GEN | [automatic_top_up] | Orig: When the time is right will this automatically replenish my balance? -> Aug: Will this automatically top up my account when the time is suitable?
GEN | [fiat_currency_support] | Orig: Do you have EUR currency available for me? -> Aug: Can I get some information on the availability of the Euro currency for my transaction?
GEN | [direct_debit_payment_not_recognised] | Orig: If I found an error in my account for a transaction I didn't make, how long to I have to dispute it? -> Aug: We've noticed a direct debit payment that doesn't match your account records. Can you please let us know how long you'd like to dispute this transaction?
GEN | [card_payment_fee_charged] | Orig: Is there an allowance on cards? -> Aug: Are there any exceptions or waivers for card payment fees?
GEN | [edit_personal_details] | Orig: how do i get into my account and edit my details -> Aug: what steps do i need to take to access my account and modify my personal information?
GEN | [transfer_fee_charged] | Orig: I have a fee listed for a transfer. -> Aug: A charge is showing for a transfer transaction.
GEN | [transfer_not_received_by_recipient] | Orig: wheres my money receipt -> Aug: I haven't received the transfer yet.
GEN | [pin_blocked] | Orig: I enetered the wrong information, I need my account unblocked How do I do that? -> Aug: I mistakenly entered incorrect details, please help me resolve the issue and unblock my account.
GEN | [automatic_top_up] | Orig: Will the system automatically update once there is no more money left? -> Aug: Will the automatic top-up feature trigger a refill when my account balance reaches zero?
GEN | [fiat_currency_support] | Orig: Will you be adding more currencies in the future? -> Aug: Are there any plans to expand the list of supported fiat currencies in the future?
GEN | [card_acceptance] | Orig: What kind of businesses will take my card? -> Aug: Which types of merchants accept my credit/debit card?
GEN | [card_about_to_expire] | Orig: I think my card is expiring, what happens then? -> Aug: I'm concerned that my credit card is nearing its expiration date, what are the consequences?
GEN | [activate_my_card] | Orig: I tried activating my plug-in and it didn't piece of work -> Aug: I attempted to activate my card, but it didn't function properly
GEN | [topping_up_by_card] | Orig: can other people use the app to add money to my account -> Aug: can I allow others to use the app to deposit funds into my account using their card?
GEN | [direct_debit_payment_not_recognised] | Orig: I was checking the app for my account and I noticed there is an authorized charge on it.  I haven't used my card today, so I know I didn't do it.  I would like the transaction reversed and the money replaced. -> Aug: I'm reviewing my account activity and noticed an unexpected direct debit payment. I'm certain I didn't initiate the transaction, so I'd appreciate it if you could investigate and reverse the charge, restoring the funds to my account.
GEN | [pending_transfer] | Orig: I have an outgoing transfer -> Aug: I have a pending outgoing transaction
GEN | [lost_or_stolen_phone] | Orig: I just replaced my phone so do I have to make a new account? -> Aug: I recently got a new phone, do I need to set up a new account?
GEN | [card_arrival] | Orig: I thought I would have received my new card at this point. -> Aug: I expected my new card to arrive by now.
GEN | [exchange_charge] | Orig: Would you be able to offer me a discount, since I need to exchange currencies frequently? -> Aug: Could you provide a discount for me, as I regularly need to exchange currencies?
GEN | [compromised_card] | Orig: What do I do if I detect fraudulent use on my car? -> Aug: If I notice suspicious activity on my compromised card, what steps should I take?
GEN | [pending_card_payment] | Orig: I am waiting for a payment to be processed -> Aug: I am expecting a payment to be cleared
GEN | [fiat_currency_support] | Orig: Are there any fiat currencies that you will not work with? -> Aug: We do not support transactions in certain fiat currencies. Can you please let us know which one you are referring to?
GEN | [cancel_transfer] | Orig: I used the wrong account number! -> Aug: I mistakenly entered an incorrect account number.
GEN | [exchange_via_app] | Orig: I am from X but am traveling to Y - how do I get currency for Y? -> Aug: I'm currently in X but heading to Y, and I'd like to know how to obtain the local currency for Y using the app.
GEN | [fiat_currency_support] | Orig: Are there limitations to what currency I can hold? -> Aug: What types of fiat currencies are available for holding in my account?
GEN | [virtual_card_not_working] | Orig: I can't do any business with this virtual card. -> Aug: I'm unable to complete any transactions with this virtual card.
GEN | [top_up_by_card_charge] | Orig: is it free to add money to my card -> Aug: is there a charge for topping up my card balance?
GEN | [declined_transfer] | Orig: I'm having problems making a transfer to another account. I keep getting a declined message. I know that the information I'm putting in is accurate because I have checked it more than once. -> Aug: I'm experiencing an issue with a transfer to another account, and I keep receiving a decline notification. Despite verifying the information multiple times, I'm still getting the same error message.
GEN | [order_physical_card] | Orig: Can I have a tangible form of my virtual card. -> Aug: May I request a physical version of my digital card?
GEN | [top_up_by_bank_transfer_charge] | Orig: Is there a charge for getting my money? -> Aug: Are there any fees associated with transferring funds to my account?
GEN | [card_acceptance] | Orig: Can I tell what business will take this card? -> Aug: Is there a specific merchant or business that accepts this card?
GEN | [failed_transfer] | Orig: Your system is broken. My transfers keep failing, 5 times now. -> Aug: My transfers are consistently failing, and I've experienced this issue at least 5 times.
GEN | [receiving_money] | Orig: What do I need to do to receive my payroll in the account? -> Aug: How can I get my payroll deposited into my account?
GEN | [topping_up_by_card] | Orig: How do i set up my credit card to send transfers? -> Aug: How can I configure my credit card to facilitate card-based transactions?
GEN | [pin_blocked] | Orig: I must have entered my PIN wrong. -> Aug: I must have keyed in my PIN incorrectly.
GEN | [transfer_not_received_by_recipient] | Orig: Hi, I sent my landlord my rent money a few days ago and while everything seems good on my end he says that he never got the money. I double checked the account number and it's correct. Can you help me figure this out? -> Aug: I made a transfer to my landlord a few days ago, but he's telling me he didn't receive it. I've double-checked the account number and it's correct. Can you assist me in resolving this issue?
VAL | [get_physical_card] | UNKNOWN | Reason: N/A | Original: Is the PIN sent in another message? | Augmented: Can I receive the physical card separately?
VAL | [automatic_top_up] | ACCEPT | Reason: N/A | Original: When the time is right will this automatically replenish my balance? | Augmented: Will this automatically top up my account when the time is suitable?
VAL | [fiat_currency_support] | ACCEPT | Reason: N/A | Original: Do you have EUR currency available for me? | Augmented: Can I get some information on the availability of the Euro currency for my transaction?
VAL | [direct_debit_payment_not_recognised] | ACCEPT | Reason: N/A | Original: If I found an error in my account for a transaction I didn't make, how long to I have to dispute it? | Augmented: We've noticed a direct debit payment that doesn't match your account records. Can you please let us know how long you'd like to dispute this transaction?
VAL | [card_payment_fee_charged] | ACCEPT | Reason: N/A | Original: Is there an allowance on cards? | Augmented: Are there any exceptions or waivers for card payment fees?
VAL | [edit_personal_details] | ACCEPT | Reason: ... | Original: how do i get into my account and edit my details | Augmented: what steps do i need to take to access my account and modify my personal information?
VAL | [transfer_fee_charged] | ACCEPT | Reason: ... | Original: I have a fee listed for a transfer. | Augmented: A charge is showing for a transfer transaction.
VAL | [transfer_not_received_by_recipient] | ACCEPT | Reason: N/A | Original: wheres my money receipt | Augmented: I haven't received the transfer yet.
VAL | [pin_blocked] | ACCEPT | Reason: ... | Original: I enetered the wrong information, I need my account unblocked How do I do that? | Augmented: I mistakenly entered incorrect details, please help me resolve the issue and unblock my account.
VAL | [automatic_top_up] | ACCEPT | Reason: N/A | Original: Will the system automatically update once there is no more money left? | Augmented: Will the automatic top-up feature trigger a refill when my account balance reaches zero?
VAL | [fiat_currency_support] | ACCEPT | Reason: N/A | Original: Will you be adding more currencies in the future? | Augmented: Are there any plans to expand the list of supported fiat currencies in the future?
VAL | [card_acceptance] | ACCEPT | Reason: ... | Original: What kind of businesses will take my card? | Augmented: Which types of merchants accept my credit/debit card?
VAL | [card_about_to_expire] | ACCEPT | Reason: ... | Original: I think my card is expiring, what happens then? | Augmented: I'm concerned that my credit card is nearing its expiration date, what are the consequences?
VAL | [activate_my_card] | ACCEPT | Reason: N/A | Original: I tried activating my plug-in and it didn't piece of work | Augmented: I attempted to activate my card, but it didn't function properly
VAL | [topping_up_by_card] | UNKNOWN | Reason: N/A | Original: can other people use the app to add money to my account | Augmented: can I allow others to use the app to deposit funds into my account using their card?
VAL | [direct_debit_payment_not_recognised] | ACCEPT | Reason: N/A | Original: I was checking the app for my account and I noticed there is an authorized charge on it.  I haven't used my card today, so I know I didn't do it.  I would like the transaction reversed and the money replaced. | Augmented: I'm reviewing my account activity and noticed an unexpected direct debit payment. I'm certain I didn't initiate the transaction, so I'd appreciate it if you could investigate and reverse the charge, restoring the funds to my account.
VAL | [pending_transfer] | ACCEPT | Reason: ... | Original: I have an outgoing transfer | Augmented: I have a pending outgoing transaction
VAL | [lost_or_stolen_phone] | ACCEPT | Reason: N/A | Original: I just replaced my phone so do I have to make a new account? | Augmented: I recently got a new phone, do I need to set up a new account?
VAL | [card_arrival] | ACCEPT | Reason: ... | Original: I thought I would have received my new card at this point. | Augmented: I expected my new card to arrive by now.
VAL | [exchange_charge] | ACCEPT | Reason: ... | Original: Would you be able to offer me a discount, since I need to exchange currencies frequently? | Augmented: Could you provide a discount for me, as I regularly need to exchange currencies?
VAL | [compromised_card] | ACCEPT | Reason: N/A | Original: What do I do if I detect fraudulent use on my car? | Augmented: If I notice suspicious activity on my compromised card, what steps should I take?
VAL | [pending_card_payment] | ACCEPT | Reason: N/A | Original: I am waiting for a payment to be processed | Augmented: I am expecting a payment to be cleared
VAL | [fiat_currency_support] | ACCEPT | Reason: N/A | Original: Are there any fiat currencies that you will not work with? | Augmented: We do not support transactions in certain fiat currencies. Can you please let us know which one you are referring to?
VAL | [cancel_transfer] | ACCEPT | Reason: N/A | Original: I used the wrong account number! | Augmented: I mistakenly entered an incorrect account number.
VAL | [exchange_via_app] | ACCEPT | Reason: N/A | Original: I am from X but am traveling to Y - how do I get currency for Y? | Augmented: I'm currently in X but heading to Y, and I'd like to know how to obtain the local currency for Y using the app.
VAL | [fiat_currency_support] | ACCEPT | Reason: N/A | Original: Are there limitations to what currency I can hold? | Augmented: What types of fiat currencies are available for holding in my account?
VAL | [virtual_card_not_working] | ACCEPT | Reason: ... | Original: I can't do any business with this virtual card. | Augmented: I'm unable to complete any transactions with this virtual card.
VAL | [top_up_by_card_charge] | ACCEPT | Reason: N/A | Original: is it free to add money to my card | Augmented: is there a charge for topping up my card balance?
VAL | [declined_transfer] | ACCEPT | Reason: N/A | Original: I'm having problems making a transfer to another account. I keep getting a declined message. I know that the information I'm putting in is accurate because I have checked it more than once. | Augmented: I'm experiencing an issue with a transfer to another account, and I keep receiving a decline notification. Despite verifying the information multiple times, I'm still getting the same error message.
VAL | [order_physical_card] | ACCEPT | Reason: ... | Original: Can I have a tangible form of my virtual card. | Augmented: May I request a physical version of my digital card?
VAL | [top_up_by_bank_transfer_charge] | ACCEPT | Reason: N/A | Original: Is there a charge for getting my money? | Augmented: Are there any fees associated with transferring funds to my account?
VAL | [card_acceptance] | ACCEPT | Reason: N/A | Original: Can I tell what business will take this card? | Augmented: Is there a specific merchant or business that accepts this card?
