GEN | [card_delivery_estimate] | Orig: Can I get my card fast tracked? -> Aug: Can I expedite my card delivery?
GEN | [disposable_card_limits] | Orig: Help me create several temp cards every day. -> Aug: Can you assist me in generating multiple disposable cards with varying limits daily?
GEN | [card_linking] | Orig: Help me access the card I already got so I can information from it. -> Aug: Can you assist me in linking to the card I already have so I can retrieve information from it?
GEN | [card_swallowed] | Orig: How do I get my card back quickly from a bank machine that it? -> Aug: How can I retrieve my swallowed card from an ATM as soon as possible?
GEN | [order_physical_card] | Orig: Where do you export the cards to? -> Aug: How do I receive my physical credit card after ordering it?
GEN | [disposable_card_limits] | Orig: I need several cards per day. And I need to be able to throw away all of the cards I make. -> Aug: I require a high daily limit on my disposable card, allowing me to generate multiple cards and dispose of them as needed.
GEN | [compromised_card] | Orig: card is being used by someone else -> Aug: Someone else is using my card without my permission.
GEN | [getting_spare_card] | Orig: Is a new debit card free? -> Aug: Can I get a new debit card without any additional fees?
GEN | [compromised_card] | Orig: My card was stolen and used to make several purchases. Please freeze my card so no one can use it. -> Aug: My credit card was compromised and unauthorized transactions were made. I'd like to report the issue and request that my card be temporarily suspended to prevent further unauthorized use.
GEN | [card_linking] | Orig: How can I make my card show up in the app? -> Aug: Why isn't my card visible in the app?
GEN | [card_linking] | Orig: Can I add a card back to the app? -> Aug: Can I link a new card to my account through the app?
GEN | [card_linking] | Orig: Can I add a card to back into the app? -> Aug: Can I link a card to my account in the app?
GEN | [cash_withdrawal_not_recognised] | Orig: THere is some cash that is showing up on my app. -> Aug: The cash withdrawal transaction on my account is not being recognized.
GEN | [card_linking] | Orig: Can I link your physical card -> Aug: May I connect your physical credit/debit card?
GEN | [top_up_by_bank_transfer_charge] | Orig: Do you offer SWIFT transfers? -> Aug: Can I make a bank transfer to top up my account?
GEN | [fiat_currency_support] | Orig: What currencies can I not hold many in, if so what are they? -> Aug: Which fiat currencies are not eligible for large balances or have specific restrictions, and what are the limitations I should be aware of?
GEN | [supported_cards_and_currencies] | Orig: What are my payment options? -> Aug: We accept various payment methods, including credit cards such as Visa, Mastercard, American Express, and Discover, as well as digital wallets like Apple Pay and Google Pay. We also support transactions in multiple currencies, including USD, EUR, JPY, and GBP.
GEN | [terminate_account] | Orig: Your company is lame. Shut down all my account services right now. -> Aug: Immediately cancel all my account services and terminate my account.
GEN | [top_up_by_bank_transfer_charge] | Orig: Do you take SWIFT transfers? -> Aug: Can you accept bank transfers with a charge for topping up my account?
GEN | [cash_withdrawal_not_recognised] | Orig: Some cash shows up on my app. -> Aug: There's an unexpected cash withdrawal showing up on my account.
GEN | [getting_virtual_card] | Orig: Is there an alternative to a physical card? -> Aug: Can I get a virtual card instead of a physical one?
GEN | [cash_withdrawal_not_recognised] | Orig: I want my card frozen right away. Money was taken out in an odd location I have never heard of. -> Aug: I need immediate assistance with my account. I'm concerned about an unauthorized cash withdrawal that was made at an unfamiliar location.
GEN | [compromised_card] | Orig: I noticed my card was used in a small town that I have never been to. Can you stop the card from being used more? -> Aug: I recently discovered that my card was used in a location I've never visited. Can you please take immediate action to prevent further unauthorized transactions?
GEN | [verify_source_of_funds] | Orig: What kind of security protects my money? -> Aug: We'd like to verify the source of funds for your account to ensure the security of your transactions.
GEN | [getting_spare_card] | Orig: I would like to give another card to my daughter, how can I proceed? -> Aug: I'd like to obtain an additional card for my daughter, what are the steps I need to take?
GEN | [card_linking] | Orig: If I have a physical card can I link it? -> Aug: If I possess a physical card, can I connect it?
GEN | [card_linking] | Orig: can I link a card of yours I already have? -> Aug: Can I link a card that I already have in my possession?
GEN | [card_about_to_expire] | Orig: Where can I have a new bank card sent to China? -> Aug: As my bank card is about to expire, can I request a replacement card to be sent to China?
GEN | [visa_or_mastercard] | Orig: I won't be pleased unless I get a Mastercard. -> Aug: I won't be satisfied unless I get a Visa or Mastercard.
GEN | [card_about_to_expire] | Orig: How do I go about ordering a new bank card? -> Aug: What steps can I take to replace my expiring bank card with a new one?
GEN | [getting_spare_card] | Orig: Can I have a spare card for this account please? -> Aug: Might I request a replacement card for this account?
GEN | [card_linking] | Orig: What do I do if I already had a card with you guys? -> Aug: I already have a card with your bank, what's the next step?
GEN | [getting_spare_card] | Orig: I would like to get additional physical cards at this time -> Aug: I would like to obtain extra physical cards now
GEN | [card_about_to_expire] | Orig: Are there restrictions on new cards in China? -> Aug: Can I still apply for a new credit card in China if my current one is about to expire?
GEN | [top_up_reverted] | Orig: I refilled my account balance but got an error message. -> Aug: I attempted to add funds to my account, but the transaction was unsuccessful.
GEN | [card_linking] | Orig: How do I make my card show up in the app? -> Aug: Why isn't my card visible in the app?
GEN | [card_swallowed] | Orig: My card was eaten by the cash machine what do I do? -> Aug: My credit card was swallowed by the ATM, what should I do?
GEN | [card_linking] | Orig: Can I put my old card back in the app? -> Aug: Can I reactivate my previous card in the app?
GEN | [cash_withdrawal_not_recognised] | Orig: I am seeing unathorized transactions in the app, on my account. -> Aug: I'm experiencing an unrecognised cash withdrawal on my account, and I'm concerned about the unauthorized transaction.
