GEN | [card_not_working] | Orig: WHAT IS THE REASON FOR THAT -> Aug: WHY IS MY CARD NOT FUNCTIONING?
GEN | [cancel_transfer] | Orig: Help please!  My rent payment is coming out tomorrow and I made a payment mistake yesterday! Can you put in in the correct account? -> Aug: My rent payment is scheduled to be withdrawn tomorrow, but I made an error with the payment yesterday. Could you please correct the transfer to the correct account?
GEN | [cash_withdrawal_not_recognised] | Orig: Hi, It's urgent, please freeze my card. As someone has withdrawn money using my card in odd remote town. Since i have not done this withdrawal. Do it fast. -> Aug: Hi, I need immediate assistance. Someone has made an unauthorized cash withdrawal using my card in a distant location, and I didn't authorize it. Please, can you freeze my card as soon as possible?
GEN | [beneficiary_not_allowed] | Orig: Hi,  Is there any problem with app? As i am facing some issues with the exchange of crypto currency. I am extremely interested in buying. -> Aug: Hello, I'm having some trouble with the app. I'm trying to exchange cryptocurrency, but it's not working as expected. I'm eager to make a purchase.
GEN | [direct_debit_payment_not_recognised] | Orig: I did not set up a direct debit I have -> Aug: We didn't find a direct debit payment arrangement in your account records.
GEN | [card_about_to_expire] | Orig: How do I get a new expiration date? -> Aug: What steps can I take to extend the validity of my card?
GEN | [direct_debit_payment_not_recognised] | Orig: what is the matter? -> Aug: We're having trouble identifying your direct debit payment.
GEN | [extra_charge_on_statement] | Orig: There is some odd 1£ charge that appears as pending on my statement. What's that about? Pretty sure I haven't purchased anything for a pound there. -> Aug: I've noticed a mysterious £1 charge showing up as pending on my statement. Can you help me figure out what it's for? I'm certain I didn't make any purchases for that amount.
GEN | [wrong_amount_of_cash_received] | Orig: how come when i asked for 100 it only gave me 20.00 in the app -> Aug: I was expecting to receive the full amount of $100, but instead, I only got $20.
GEN | [cash_withdrawal_charge] | Orig: I just had a look at my statement. Why have I been changed for using the ATM? -> Aug: I've reviewed my statement and noticed a charge for using an ATM. Can you explain why I was charged for this transaction?
GEN | [pending_cash_withdrawal] | Orig: I tried to get cash at some ATM in the city centre earlier but the machine declined my card. I've seen it still shows up as pending in my account. Please cancel it immediately as I definitely have not received that money! -> Aug: I attempted to withdraw cash from an ATM in the city centre earlier, but the machine refused my card. The transaction still appears as pending in my account. Could you please cancel it as I'm certain I didn't receive the funds?
GEN | [cash_withdrawal_not_recognised] | Orig: It is urgency. Please freeze my card now. As someone in some odd remote town has withdrawn some money by using my card. As i did not withdraw any money. -> Aug: It's an emergency. Please cancel my card immediately. Someone in a distant location has made an unauthorized cash withdrawal using my card, and I didn't make the transaction myself.
GEN | [direct_debit_payment_not_recognised] | Orig: I didn't set up the direct debit I have -> Aug: We couldn't find a direct debit payment arrangement in your account.
GEN | [extra_charge_on_statement] | Orig: Why is there a 1 euro fee on my statement? -> Aug: What is the reason for the additional charge that appears on my statement?
GEN | [wrong_amount_of_cash_received] | Orig: If the ATM only gave me 10 pounds instead of the 30 I requested, what do I do? -> Aug: I was given less cash than I expected, as I only received 10 pounds when I asked for 30.
GEN | [reverted_card_payment?] | Orig: HELP. My account has been deducted already and the Seller says they haven't received the money yet? When can they expect it? -> Aug: Why was the payment made to my account if the seller claims they haven't received it? Can you clarify when the payment will be reversed?
GEN | [transfer_not_received_by_recipient] | Orig: |I moved out of my old house two weeks ago and cancelled my direct debit to my old landlord, this direct debit was working fine.  Now I've moved in to a new place and set up a transfer to a new landlord but it's not reached her yet, can you check it please? -> Aug: I recently relocated to a new residence and terminated my direct debit with my previous landlord, which was functioning correctly. Since then, I've established a new transfer to my new landlord, but it hasn't been received by her yet. Could you kindly investigate this matter for me?
