GEN | [topping_up_by_card] | Orig: How do I transfer funds directly from my credit card? -> Aug: Can I use my credit card to add funds to my account directly?
GEN | [failed_transfer] | Orig: I'm getting an error when trying to make a payment. I want to purchase a flat but my mortgage payment needs to go through. Can you help me? -> Aug: I'm having trouble completing a transaction to buy a property. My mortgage payment is stuck and I need assistance to resolve the issue.
GEN | [terminate_account] | Orig: Can you please disable my current account. -> Aug: Can you assist me in closing my account?
GEN | [edit_personal_details] | Orig: how do i get into my account and edit my details -> Aug: Can you please guide me on how to access my account and update my personal information?
GEN | [edit_personal_details] | Orig: Am I able to modify my account details? -> Aug: Can I update my personal information?
GEN | [topping_up_by_card] | Orig: Transferring money using credit card -> Aug: Adding funds to your account using your credit card
GEN | [supported_cards_and_currencies] | Orig: Can I electronically transfer funds into my account from my American Express? -> Aug: Can I make an electronic transfer into my account using my American Express card?
GEN | [reverted_card_payment?] | Orig: Was my transaction reverted with my card? -> Aug: Did my recent payment made with my card get reversed?
GEN | [card_payment_not_recognised] | Orig: I need to figure out what these charges are on my account. They've been coming out for a couple of days. Can i get all of this money back? Also, I need to freeze my card. -> Aug: I'm trying to understand the recent transactions on my account. There have been some unusual charges showing up. Can you help me reverse these charges? Additionally, I'd like to temporarily suspend my card to prevent any further transactions.
GEN | [topping_up_by_card] | Orig: Hoe do i use my credit card to transfer money? -> Aug: I'd like to know how to use my credit card to add funds to my account.
GEN | [card_not_working] | Orig: I seem to be unable to make any transactions. -> Aug: I'm having trouble making any purchases or transfers with my card.
GEN | [failed_transfer] | Orig: Your system is broken. My transfers keep failing, 5 times now. -> Aug: My transactions are not going through. I've had three failed transfers in a row.
GEN | [transaction_charged_twice] | Orig: Can you explain the various transaction times shown on my statement? -> Aug: Why are there multiple transaction dates listed on my statement, and what does it mean when I've been charged twice for the same transaction?
GEN | [cash_withdrawal_charge] | Orig: I just had a look at my statement. Why have I been changed for using the ATM? -> Aug: I'd like to know why I'm being charged for withdrawing cash from an ATM.
GEN | [beneficiary_not_allowed] | Orig: What are then rules on beneficiaries? -> Aug: Who is eligible to be a beneficiary for our services?
GEN | [topping_up_by_card] | Orig: I need my card topped up, -> Aug: I would like to add funds to my card using my card details.
GEN | [direct_debit_payment_not_recognised] | Orig: I was checking the app for my account and I noticed there is an authorized charge on it.  I haven't used my card today, so I know I didn't do it.  I would like the transaction reversed and the money replaced. -> Aug: I'm reviewing my account activity and I've found an unexpected direct debit payment. I'm certain I didn't initiate the transaction, so I'd appreciate it if you could investigate and reverse the charge, returning the funds to my account.
GEN | [transfer_not_received_by_recipient] | Orig: Money is not in recipients account. -> Aug: The funds have not been credited to the recipient's account.
GEN | [wrong_amount_of_cash_received] | Orig: how come when i asked for 100 it only gave me 20.00 in the app -> Aug: I was expecting to receive the full amount of $100, but instead, I only got $20.00 when I requested it through the app.
GEN | [card_swallowed] | Orig: My card was eaten by the cash machine what do I do? -> Aug: My card seems to have been swallowed by the ATM, what should I do now?
GEN | [transfer_into_account] | Orig: show me how to transfer to my account -> Aug: can you guide me through the process of transferring funds into my account?
GEN | [pending_cash_withdrawal] | Orig: I have a withdrawal waiting to go through. -> Aug: I'm still waiting for my cash withdrawal to be processed.
GEN | [topping_up_by_card] | Orig: How do i set up my credit card to send transfers? -> Aug: Can you guide me on how to configure my credit card for automatic payments?
GEN | [transfer_not_received_by_recipient] | Orig: Why can't the recepient of my money transaction see it? -> Aug: The recipient of my recent money transfer is unable to view the transaction. Can you help me resolve this issue?
GEN | [visa_or_mastercard] | Orig: I do not want a VISA card. -> Aug: I prefer not to use a Mastercard.
GEN | [edit_personal_details] | Orig: went somewhere else, need to change details -> Aug: need to update my personal information
GEN | [card_payment_not_recognised] | Orig: There are charges on my card from the past few day I am pretty sure I didnt make, can you please freeze it for me? How do I get my money returned since it wasnt me? -> Aug: I'm showing an unusual transaction on my card from the recent past, and I'm certain I didn't authorize it. Can you please put a hold on it? How do I get my money back since it's not my transaction?
GEN | [wrong_amount_of_cash_received] | Orig: How can we correct a mistake on an ATM transaction?  The app shows what I should have gotten. -> Aug: I accidentally received the wrong amount of cash from the ATM. The app shows the correct amount I should have received, but I only got a different amount.
GEN | [topping_up_by_card] | Orig: can other people use the app to add money to my account -> Aug: Can I use someone else's card to add funds to my account through the app?
VAL | [topping_up_by_card] | NO | Text: Can I use my credit card to add funds to my account directly?
VAL | [failed_transfer] | YES | Text: I'm having trouble completing a transaction to buy a property. My mortgage payment is stuck and I need assistance to resolve the issue.
VAL | [terminate_account] | NO | Text: Can you assist me in closing my account?
VAL | [edit_personal_details] | YES | Text: Can you please guide me on how to access my account and update my personal information?
VAL | [edit_personal_details] | YES | Text: Can I update my personal information?
VAL | [topping_up_by_card] | YES | Text: Adding funds to your account using your credit card
VAL | [supported_cards_and_currencies] | YES | Text: Can I make an electronic transfer into my account using my American Express card?
VAL | [reverted_card_payment?] | YES | Text: Did my recent payment made with my card get reversed?
VAL | [card_payment_not_recognised] | NO | Text: I'm trying to understand the recent transactions on my account. There have been some unusual charges showing up. Can you help me reverse these charges? Additionally, I'd like to temporarily suspend my card to prevent any further transactions.
VAL | [topping_up_by_card] | NO | Text: I'd like to know how to use my credit card to add funds to my account.
VAL | [card_not_working] | YES | Text: I'm having trouble making any purchases or transfers with my card.
VAL | [failed_transfer] | YES | Text: My transactions are not going through. I've had three failed transfers in a row.
VAL | [transaction_charged_twice] | NO | Text: Why are there multiple transaction dates listed on my statement, and what does it mean when I've been charged twice for the same transaction?
VAL | [cash_withdrawal_charge] | YES | Text: I'd like to know why I'm being charged for withdrawing cash from an ATM.
VAL | [beneficiary_not_allowed] | NO | Text: Who is eligible to be a beneficiary for our services?
VAL | [topping_up_by_card] | YES | Text: I would like to add funds to my card using my card details.
VAL | [direct_debit_payment_not_recognised] | YES | Text: I'm reviewing my account activity and I've found an unexpected direct debit payment. I'm certain I didn't initiate the transaction, so I'd appreciate it if you could investigate and reverse the charge, returning the funds to my account.
VAL | [transfer_not_received_by_recipient] | YES | Text: The funds have not been credited to the recipient's account.
VAL | [wrong_amount_of_cash_received] | YES | Text: I was expecting to receive the full amount of $100, but instead, I only got $20.00 when I requested it through the app.
VAL | [card_swallowed] | YES | Text: My card seems to have been swallowed by the ATM, what should I do now?
VAL | [transfer_into_account] | YES | Text: can you guide me through the process of transferring funds into my account?
VAL | [pending_cash_withdrawal] | YES | Text: I'm still waiting for my cash withdrawal to be processed.
VAL | [topping_up_by_card] | NO | Text: Can you guide me on how to configure my credit card for automatic payments?
VAL | [transfer_not_received_by_recipient] | YES | Text: The recipient of my recent money transfer is unable to view the transaction. Can you help me resolve this issue?
VAL | [visa_or_mastercard] | NO | Text: I prefer not to use a Mastercard.
VAL | [edit_personal_details] | YES | Text: need to update my personal information
VAL | [card_payment_not_recognised] | YES | Text: I'm showing an unusual transaction on my card from the recent past, and I'm certain I didn't authorize it. Can you please put a hold on it? How do I get my money back since it's not my transaction?
VAL | [wrong_amount_of_cash_received] | YES | Text: I accidentally received the wrong amount of cash from the ATM. The app shows the correct amount I should have received, but I only got a different amount.
VAL | [topping_up_by_card] | NO | Text: Can I use someone else's card to add funds to my account through the app?
