GEN | [activate_my_card] | Orig: How can I switch on my new card? -> Aug: How do I turn on my new credit card?
GEN | [top_up_by_cash_or_cheque] | Orig: Can I only top-up digitally? Or could I use cash? -> Aug: Can I make a digital payment or is it possible to use cash to top up my account?
GEN | [disposable_card_limits] | Orig: Are there limits on the virtual cards? -> Aug: Are there any restrictions on the usage of disposable cards?
GEN | [card_linking] | Orig: I received my card, how do I get it to work in the app? -> Aug: I got my new card, can you help me link it to my account so I can use it in the app?
GEN | [declined_card_payment] | Orig: why couldn't I use my card at a store? -> Aug: Why was my card payment declined at the store?
GEN | [getting_virtual_card] | Orig: How long do you have to wait to see your virtual card your ordered? -> Aug: When can I expect to receive my virtual card after ordering it?
GEN | [top_up_reverted] | Orig: Do you support top ups? -> Aug: Can you facilitate additional deposits?
GEN | [lost_or_stolen_phone] | Orig: phone is at a hotel, can i still use app -> Aug: my phone is currently at a hotel, can I still access the app?
GEN | [transfer_not_received_by_recipient] | Orig: I've checked multiple times to make sure the account number listed is the right one after attempting to make a transfer within the country the day before yesterday. The transfer is still not available so can you please find out what is going on? -> Aug: I've double-checked the account number to ensure it's accurate, as I initiated a domestic transfer yesterday. However, the recipient hasn't received the funds yet. Can you investigate this issue for me?
GEN | [topping_up_by_card] | Orig: Is my account able to be topped up by my friends? -> Aug: Can I use my card to add funds to my account from someone else's account?
GEN | [declined_cash_withdrawal] | Orig: I tried to withdraw some funds from my card, but was declined. How can I get my money? -> Aug: I attempted to make a cash withdrawal using my card, but it was unsuccessful. What are my options for retrieving my funds?
GEN | [card_payment_fee_charged] | Orig: What are the fees imposed when I make a transaction? -> Aug: What charges do I need to pay when I process a payment?
GEN | [card_payment_fee_charged] | Orig: You promised no fees but now I've got one. What the hell!? -> Aug: You assured me there would be no charges, but I've been slapped with a fee. Can you explain this discrepancy?
GEN | [supported_cards_and_currencies] | Orig: Top up my card please, which y'all support? -> Aug: Can you please inform me about the payment methods you accept, specifically the cards you support?
GEN | [card_not_working] | Orig: Why can't I use my card? -> Aug: Why is my card not functioning properly?
GEN | [getting_spare_card] | Orig: How many different cards can I have for my account? -> Aug: Can I have multiple cards linked to my account?
GEN | [card_not_working] | Orig: I can't use my card for anything -> Aug: I'm unable to make any transactions with my card.
GEN | [topping_up_by_card] | Orig: Can anyone else top-up for me? -> Aug: Can someone else make a card payment on my behalf?
GEN | [exchange_via_app] | Orig: Do you support changing the currency I use? -> Aug: Can I switch the currency I'm using through your app?
GEN | [card_payment_fee_charged] | Orig: I need to be made aware when I am being charged an extra amount for payments please. I looked over the app earlier and noticed an additional feel related to one of the payments. I was not warned about this before. -> Aug: I'd like to be informed when an extra charge is applied to my payment. I recently checked the app and noticed an additional fee associated with one of the transactions. I was not notified about this beforehand.
GEN | [top_up_by_cash_or_cheque] | Orig: How long before a check I send clears? -> Aug: How long does it take for a cheque to clear before I can use it to top up my account?
GEN | [automatic_top_up] | Orig: Can I schedule future top ups? -> Aug: Can I set up recurring automatic top-ups?
GEN | [passcode_forgotten] | Orig: I can't log in -> Aug: I'm having trouble accessing my account because I've forgotten my passcode.
GEN | [top_up_failed] | Orig: I've been trying to transfer funds to top-up my card, but the transaction is not going through.  Is there something I'm doing wrong? -> Aug: I've attempted to add funds to my card, but the transaction has failed. Could you help me identify the issue?
GEN | [order_physical_card] | Orig: Can you send me the actual card? -> Aug: Can you dispatch the physical card to me?
GEN | [verify_source_of_funds] | Orig: How can I look at where my available cash is coming from? -> Aug: Can you help me identify the source of my available funds?
GEN | [card_arrival] | Orig: What's go on, where is my new card? -> Aug: What's taking so long? When can I expect my new card to arrive?
GEN | [balance_not_updated_after_bank_transfer] | Orig: How can I fix my bank transfer to show up on my bank account? -> Aug: Why isn't my bank transfer reflected in my account balance?
GEN | [why_verify_identity] | Orig: I don't want to use this method to identify myself. -> Aug: I'm hesitant to confirm my identity through this process.
GEN | [lost_or_stolen_card] | Orig: Who can I speak with regarding a lost card? -> Aug: I'd like to report a missing credit card.
GEN | [card_linking] | Orig: I thought I lost my card so I cancelled it, but recently I found it in my jacket and I would like to re-establish the card. -> Aug: I had mistakenly cancelled my card after thinking it was lost, but I've since found it in my jacket and would like to reactivate the card.
GEN | [balance_not_updated_after_cheque_or_cash_deposit] | Orig: i need help. I updated my balance with a check yesterday and Im not seeing it. Can you look at my account to see what went wrong? -> Aug: I'm having an issue with my account. I deposited cash yesterday, but my balance hasn't been updated. Could you please investigate and let me know what's going on?
GEN | [activate_my_card] | Orig: How can i make my card active? -> Aug: What steps can I take to activate my card?
GEN | [get_disposable_virtual_card] | Orig: I want to make an online purchase but I don't want to use my credit card. Can you tell me how a disposable virtual card works and where I can apply for one? -> Aug: I'd like to make an online purchase without using my credit card. Can you explain how a temporary virtual card works and where I can obtain one for this transaction?
GEN | [request_refund] | Orig: My statement has a charge that shouldn't have been made. -> Aug: I'd like to dispute a charge on my statement that was incorrectly applied.
GEN | [top_up_reverted] | Orig: How come I can't put money in my top up account? -> Aug: Why am I unable to add funds to my top-up account?
GEN | [failed_transfer] | Orig: How is this transfer supposed to work? It's not working for me. -> Aug: What's going on with this transfer? It's not processing as expected.
GEN | [transfer_into_account] | Orig: Can I withdraw money from another bank and transfer it into my empty account? -> Aug: Can I transfer funds from another bank into my account, which currently has no balance?
