GEN | [request_refund] | Orig: How do I begin the process of a refund? -> Aug: What are the steps to initiate a refund?
GEN | [card_not_working] | Orig: I tried to purchase airline tickets online this morning and my card information isn't working. Is there something going on with my account? -> Aug: I attempted to book a flight online this morning, but my credit card details aren't being accepted. Is there an issue with my account?
GEN | [verify_source_of_funds] | Orig: I require verification of my source of funds. -> Aug: I need to confirm the origin of my funds.
GEN | [verify_source_of_funds] | Orig: My source of funds need verification. -> Aug: We need to confirm the origin of your funds.
GEN | [verify_source_of_funds] | Orig: My source of funds require verification. -> Aug: We need to confirm the origin of your funds.
GEN | [verify_source_of_funds] | Orig: How do I verify my source of funds? -> Aug: Can you please confirm the origin of the funds used for this transaction?
GEN | [verify_source_of_funds] | Orig: How can I verify my source of funds? -> Aug: Can you please confirm the origin of the funds used for this transaction?
GEN | [verify_source_of_funds] | Orig: I have to verify my source of funds. -> Aug: I need to confirm the origin of my funds.
GEN | [cash_withdrawal_not_recognised] | Orig: How can I verify if a cash withdrawal was made from my account? I still have my card with me but I did not authorize the withdrawal that just occurred. -> Aug: I'm trying to confirm if a cash withdrawal was processed from my account. I have my card with me, but I didn't initiate the transaction that just took place.
GEN | [virtual_card_not_working] | Orig: My Virtual card was rejected for a car rental. Why? -> Aug: My virtual card was declined for a car rental, and I'm wondering why.
GEN | [disposable_card_limits] | Orig: i tried using a virtual card for a hotel but it didn't work, why not -> Aug: I attempted to utilize a disposable card for a hotel booking, but it was unsuccessful, could you please explain why?
GEN | [verify_source_of_funds] | Orig: I would like to verify my source of funds. -> Aug: I'd like to confirm the origin of my funds.
GEN | [verify_source_of_funds] | Orig: Verify my source of funds? -> Aug: Can you confirm the origin of the funds used for this transaction?
GEN | [cash_withdrawal_not_recognised] | Orig: I was trying to use my card and it was declined, when I tried to find out what happened I found cash withdraw for $500 that I didn't do.  Can you please help figure this out? -> Aug: I'm having an issue with a recent transaction on my account. When I tried to make a purchase, my card was declined, and upon further investigation, I noticed a cash withdrawal of $500 that I didn't authorize. Can you assist me in resolving this matter?
GEN | [cash_withdrawal_not_recognised] | Orig: It is urgency. Please freeze my card now. As someone in some odd remote town has withdrawn some money by using my card. As i did not withdraw any money. -> Aug: It's an emergency. Please cancel my card immediately. Someone in a distant location has made an unauthorized cash withdrawal using my card, and I didn't make the transaction myself.
GEN | [request_refund] | Orig: What do I need to do for a refund? -> Aug: How can I initiate a refund process?
GEN | [verify_source_of_funds] | Orig: can i see money source? -> Aug: can you confirm the origin of the funds?
GEN | [declined_cash_withdrawal] | Orig: Hello, is there any way to double check my card? I have never had issues with withdraws in the past, but this morning on the way to work it was unexpectedly declined. -> Aug: Hello, could you please verify my card details? I've never experienced any issues with cash withdrawals before, but this morning, my attempt to withdraw cash was unexpectedly declined.
GEN | [card_not_working] | Orig: HOW LONG TO TAKE THE TIME TO SOLVE -> Aug: How long will it take to resolve the issue with my card not working?
GEN | [receiving_money] | Orig: Can i get payed through this system? -> Aug: Can I receive payment through this system?
GEN | [verify_source_of_funds] | Orig: Please verify my source of funds. -> Aug: Please confirm the origin of the funds used for this transaction.
GEN | [verify_source_of_funds] | Orig: is there a way i can see source of money? -> Aug: can you help me confirm the origin of the funds?
GEN | [declined_transfer] | Orig: What does the decline message mean -> Aug: The transfer was not successfully processed due to an issue.
GEN | [verify_source_of_funds] | Orig: How can I find out the source of my available cash? -> Aug: What steps can I take to confirm the origin of my current funds?
GEN | [verify_source_of_funds] | Orig: What do I need to see my source of money? -> Aug: Can you please confirm the origin of your funds so I can assist you further?
GEN | [wrong_exchange_rate_for_cash_withdrawal] | Orig: Why did you give me so little currency? -> Aug: Why was the exchange rate used for my cash withdrawal so inaccurate?
GEN | [verify_source_of_funds] | Orig: I would like to know where my source of funds came from. -> Aug: I'd like to confirm the origin of the funds used for this transaction.
GEN | [top_up_failed] | Orig: I'm not sure if my pop-up went through. -> Aug: I'm unsure if my top-up was successfully processed.
GEN | [verify_source_of_funds] | Orig: How do I find out my source of funds? -> Aug: What steps can I take to confirm the origin of my funds?
GEN | [verify_top_up] | Orig: I can't see a verification code anywhere -> Aug: I'm having trouble finding the verification code for my top-up.
GEN | [verify_source_of_funds] | Orig: How can I receive verification for the source of my funds? -> Aug: Can you please provide information to confirm the origin of the funds used for this transaction?
GEN | [getting_virtual_card] | Orig: what is a virtual and how do i get one -> Aug: How do I obtain a virtual card, and what is its purpose?
GEN | [declined_cash_withdrawal] | Orig: This morning I wanted to make a withdrawal before work, but my card was declined! Please double check it for me as this is the first time it was declined. -> Aug: This morning, I attempted to make a cash withdrawal, but my card was rejected. Could you kindly verify the issue, as this is the first time it's happened?
GEN | [verify_top_up] | Orig: I would like to receive instructions showing the verification process for top up cards.. -> Aug: I'd appreciate guidance on the steps to confirm the top-up process for my prepaid cards.
GEN | [card_payment_fee_charged] | Orig: How can I check how much free spending I have left? I have some big purchases coming up and want to know where I can look for any info. -> Aug: Can you help me find out how much I have available for spending? I'm planning some significant transactions and need to know where to check for the remaining balance.
GEN | [verify_source_of_funds] | Orig: I need to verify the source of funds. -> Aug: I'd like to confirm the origin of the funds.
VAL | [request_refund] | ACCEPT | Reason: Both texts are asking about the process to start a refund, preserving the target intent. | Original: How do I begin the process of a refund? | Augmented: What are the steps to initiate a refund?
VAL | [card_not_working] | ACCEPT | Reason: ... | Original: I tried to purchase airline tickets online this morning and my card information isn't working. Is there something going on with my account? | Augmented: I attempted to book a flight online this morning, but my credit card details aren't being accepted. Is there an issue with my account?
VAL | [verify_source_of_funds] | ACCEPT | Reason: ... | Original: I require verification of my source of funds. | Augmented: I need to confirm the origin of my funds.
VAL | [verify_source_of_funds] | ACCEPT | Reason: N/A | Original: My source of funds need verification. | Augmented: We need to confirm the origin of your funds.
VAL | [verify_source_of_funds] | ACCEPT | Reason: N/A | Original: My source of funds require verification. | Augmented: We need to confirm the origin of your funds.
VAL | [verify_source_of_funds] | ACCEPT | Reason: N/A | Original: How do I verify my source of funds? | Augmented: Can you please confirm the origin of the funds used for this transaction?
VAL | [verify_source_of_funds] | ACCEPT | Reason: N/A | Original: How can I verify my source of funds? | Augmented: Can you please confirm the origin of the funds used for this transaction?
VAL | [verify_source_of_funds] | ACCEPT | Reason: Both sentences convey the need to validate the origin or source of one's funds in a banking context. | Original: I have to verify my source of funds. | Augmented: I need to confirm the origin of my funds.
VAL | [cash_withdrawal_not_recognised] | ACCEPT | Reason: N/A | Original: How can I verify if a cash withdrawal was made from my account? I still have my card with me but I did not authorize the withdrawal that just occurred. | Augmented: I'm trying to confirm if a cash withdrawal was processed from my account. I have my card with me, but I didn't initiate the transaction that just took place.
VAL | [virtual_card_not_working] | ACCEPT | Reason: ... | Original: My Virtual card was rejected for a car rental. Why? | Augmented: My virtual card was declined for a car rental, and I'm wondering why.
VAL | [disposable_card_limits] | ACCEPT | Reason: ... | Original: i tried using a virtual card for a hotel but it didn't work, why not | Augmented: I attempted to utilize a disposable card for a hotel booking, but it was unsuccessful, could you please explain why?
VAL | [verify_source_of_funds] | ACCEPT | Reason: Both sentences convey the need to confirm the legitimacy or origin of the funds in one's account, which aligns with the intent of verifying the source of funds. | Original: I would like to verify my source of funds. | Augmented: I'd like to confirm the origin of my funds.
VAL | [verify_source_of_funds] | ACCEPT | Reason: N/A | Original: Verify my source of funds? | Augmented: Can you confirm the origin of the funds used for this transaction?
VAL | [cash_withdrawal_not_recognised] | ACCEPT | Reason: The augmented text preserves the user's experience of a declined transaction followed by discovering an unauthorized cash withdrawal, which is consistent with the original intent. | Original: I was trying to use my card and it was declined, when I tried to find out what happened I found cash withdraw for $500 that I didn't do.  Can you please help figure this out? | Augmented: I'm having an issue with a recent transaction on my account. When I tried to make a purchase, my card was declined, and upon further investigation, I noticed a cash withdrawal of $500 that I didn't authorize. Can you assist me in resolving this matter?
VAL | [cash_withdrawal_not_recognised] | ACCEPT | Reason: N/A | Original: It is urgency. Please freeze my card now. As someone in some odd remote town has withdrawn some money by using my card. As i did not withdraw any money. | Augmented: It's an emergency. Please cancel my card immediately. Someone in a distant location has made an unauthorized cash withdrawal using my card, and I didn't make the transaction myself.
VAL | [request_refund] | ACCEPT | Reason: Both texts are seeking information on how to request a refund, maintaining the same intent. | Original: What do I need to do for a refund? | Augmented: How can I initiate a refund process?
VAL | [verify_source_of_funds] | ACCEPT | Reason: Both texts are seeking confirmation about the origin of the funds, which is consistent with the 'verify_source_of_funds' intent. | Original: can i see money source? | Augmented: can you confirm the origin of the funds?
VAL | [declined_cash_withdrawal] | ACCEPT | Reason: N/A | Original: Hello, is there any way to double check my card? I have never had issues with withdraws in the past, but this morning on the way to work it was unexpectedly declined. | Augmented: Hello, could you please verify my card details? I've never experienced any issues with cash withdrawals before, but this morning, my attempt to withdraw cash was unexpectedly declined.
VAL | [card_not_working] | ACCEPT | Reason: N/A | Original: HOW LONG TO TAKE THE TIME TO SOLVE | Augmented: How long will it take to resolve the issue with my card not working?
VAL | [receiving_money] | ACCEPT | Reason: N/A | Original: Can i get payed through this system? | Augmented: Can I receive payment through this system?
VAL | [verify_source_of_funds] | ACCEPT | Reason: N/A | Original: Please verify my source of funds. | Augmented: Please confirm the origin of the funds used for this transaction.
VAL | [verify_source_of_funds] | ACCEPT | Reason: Both texts are seeking confirmation about the origin of funds, which is consistent with the 'verify_source_of_funds' intent. | Original: is there a way i can see source of money? | Augmented: can you help me confirm the origin of the funds?
VAL | [declined_transfer] | ACCEPT | Reason: N/A | Original: What does the decline message mean | Augmented: The transfer was not successfully processed due to an issue.
VAL | [verify_source_of_funds] | ACCEPT | Reason: N/A | Original: How can I find out the source of my available cash? | Augmented: What steps can I take to confirm the origin of my current funds?
VAL | [verify_source_of_funds] | ACCEPT | Reason: N/A | Original: What do I need to see my source of money? | Augmented: Can you please confirm the origin of your funds so I can assist you further?
VAL | [wrong_exchange_rate_for_cash_withdrawal] | ACCEPT | Reason: N/A | Original: Why did you give me so little currency? | Augmented: Why was the exchange rate used for my cash withdrawal so inaccurate?
VAL | [verify_source_of_funds] | ACCEPT | Reason: N/A | Original: I would like to know where my source of funds came from. | Augmented: I'd like to confirm the origin of the funds used for this transaction.
VAL | [top_up_failed] | ACCEPT | Reason: N/A | Original: I'm not sure if my pop-up went through. | Augmented: I'm unsure if my top-up was successfully processed.
VAL | [verify_source_of_funds] | ACCEPT | Reason: N/A | Original: How do I find out my source of funds? | Augmented: What steps can I take to confirm the origin of my funds?
