GEN | [pending_transfer] | Orig: I have an outgoing transaction -> Aug: I have a pending outgoing transfer
GEN | [lost_or_stolen_card] | Orig: What's the phone number to freeze a card? -> Aug: Can you provide the phone number to report a lost or stolen card?
GEN | [lost_or_stolen_card] | Orig: I misplaced my card and I dont know where the last place is where I used the card last. Can you look at my account and tell me the last place I used the card? -> Aug: I'm not sure where I last used my card, but I think I might have misplaced it. Can you check my account activity to see the last transaction made with my card?
GEN | [wrong_amount_of_cash_received] | Orig: Why can't I take $100 out -> Aug: I was expecting to receive $100 but I only got $X.
GEN | [direct_debit_payment_not_recognised] | Orig: What do I do if there is an electronic debit that is not correct? -> Aug: What should I do if a direct debit payment is not recognized by our system?
GEN | [cash_withdrawal_charge] | Orig: Is there a charge for getting cash? -> Aug: Are there any fees associated with making a cash withdrawal?
GEN | [transaction_charged_twice] | Orig: I went for a meal in Seattle and paid the bill but I think they charged me twice, the first time they swiped the card I got a notification to say the money had gone out the account but then I added a tip and I think they swiped it all again. Can you refund one of the charges? -> Aug: I recently dined in Seattle and believe I was overcharged, as the restaurant processed my payment twice. Initially, I received a confirmation notification indicating the initial charge, but when I added a tip, they re-swiped my card, resulting in a second charge. Could you please assist with reversing one of the transactions?
GEN | [top_up_by_bank_transfer_charge] | Orig: What does it cost to receive a SEPA transfer? -> Aug: What is the fee for a bank transfer top-up?
GEN | [cash_withdrawal_charge] | Orig: I just had a look at my statement. Why have I been changed for using the ATM? -> Aug: I've reviewed my statement and noticed a charge for using the ATM. Can you explain why I was charged for this cash withdrawal?
GEN | [direct_debit_payment_not_recognised] | Orig: Unusual direct deposit -> Aug: Unidentified direct debit payment
GEN | [top_up_by_cash_or_cheque] | Orig: Can I purchase with cash or cheque? -> Aug: Would you like to make a payment using cash or cheque?
GEN | [exchange_rate] | Orig: What is the exchange looking like? -> Aug: What is the current exchange rate?
GEN | [card_not_working] | Orig: For a week now, I have tried to use my card and it is still not working. -> Aug: I've been trying to use my card for a week now, but it's still not functioning properly.
GEN | [wrong_amount_of_cash_received] | Orig: It kept my cash -> Aug: You deposited the wrong amount of cash.
GEN | [failed_transfer] | Orig: Hi, I'm in progress of purchasing a flat and am trying to make to make a payment.  An error is appearing, and I need assistance. -> Aug: Hi, I'm in the process of buying a property and am attempting to complete a payment, but an error is occurring and I require assistance.
GEN | [top_up_by_bank_transfer_charge] | Orig: do you have a fee for receiving a SEPA transfer? -> Aug: Is there a charge for processing a bank transfer for a top-up?
GEN | [failed_transfer] | Orig: The transger I tried to make failed. -> Aug: The transfer I attempted did not go through.
GEN | [card_linking] | Orig: May I reactivate my card? I previously reported it lost, but have now found it safe and sound. -> Aug: Can I reissue my card? I previously reported it lost, but I've since located it and would like to reactivate it.
GEN | [lost_or_stolen_card] | Orig: Has there been any activity on my card today? -> Aug: I'm concerned that my card may have been lost or stolen, has there been any transactions on it recently?
