GEN | [Expenses] | Text: The Company hereby confirms its obligations under the Note Agreement, whether or not the transactions hereby contemplated are consummated, to pay, promptly after request by any Holder, all reasonable out-of-pocket costs and expenses, including attorneys' fees and expenses, incurred by the Holders in connection with this Letter or the transactions contemplated hereby, in enforcing any rights under this Letter, or in responding to any subpoena or other legal process or informal investigative demand issued in connection with this Letter or the transactions contemplated hereby, and to pay such costs and expenses in the same manner as provided in Section 5 of the Note Agreement.
GEN | [Governing Laws] | Text: THIS AMENDMENT SHALL BE GOVERNED BY, AND CONSTRUED IN ACCORDANCE WITH, THE LAWS OF THE STATE OF NEW YORK (INCLUDING SECTIONS 5-1401 AND 5-1402 OF THE NEW YORK GENERAL OBLIGATIONS LAW, WITHOUT REGARD TO ANY OTHER CONFLICTS OF LAW PROVISIONS THEREOF).
GEN | [Effectiveness] | Text: This Plan Support Agreement shall become effective and binding upon each Party upon the Plan Support Effective Date; provided that signature pages executed by Consenting Noteholders shall be delivered to (a) other Consenting Noteholders in a redacted form that removes such Consenting Noteholders' holdings of the Unsecured Notes and (b) the Memorial Parties, Weil, and the Memorial Parties' other advisors in an unredacted form (to be held by Weil and such other advisors on a confidential basis).
GEN | [Effectiveness] | Text: This Amendment shall become effective as of the date first above written upon receipt by the Administrative Agent of counterparts hereof, duly executed by each of the parties hereto and acknowledged by the Performance Guarantor, provided that the parties hereto shall have no right to terminate the Agreement prior to the effective date of this Amendment.
GEN | [Effectiveness] | Text: This Agreement shall be binding and deemed effective when executed by the Borrower, each other Loan Party, the Agent, and the Lenders.
GEN | [Effectiveness] | Text: This Waiver and Amendment shall become effective on the date when Bank shall have (a) executed this Waiver and Amendment, (b) received a counterpart of this Waiver and Amendment executed by Borrower and (c) received payment of the Waiver and Amendment Fee, provided that the Bank's receipt of the counterpart and payment shall be deemed to have occurred at the Bank's principal office.
GEN | [Approvals] | Text: Each Party represents and warrants to the other Party that it has taken all necessary governmental, corporate, partnership or limited liability company action (as applicable) to approve the execution, delivery and performance by such Party of this Agreement.
GEN | [Notices] | Text: Seller and Purchaser each agree to provide the other party with written notice of any default by the other party under this Agreement, and a period of five Business Days following the other party's receipt of such notice within which to cure such default; provided, however, that no such notice and opportunity to cure shall be applicable with respect to a party's failure to perform any obligation or duty, nor shall any such notice and cure period extend beyond the Closing Date.
GEN | [Governing Laws] | Text: The provisions of Article 20 of the Master Repurchase Agreement are hereby incorporated by reference.
GEN | [Governing Laws] | Text: THIS AMENDMENT AND THE RIGHTS AND OBLIGATIONS OF THE PARTIES HEREUNDER SHALL BE GOVERNED BY THE LAWS OF THE STATE OF NEW YORK, INCLUDING, WITHOUT LIMITATION, NEW YORK GENERAL OBLIGATIONS LAW SECTIONS 5-1401 AND 5-1402, AND FURTHERMORE, THE PROVISIONS OF THE NEW YORK BANKING LAW SHALL APPLY TO THE EXTENT THEY ARE NOT IN CONFLICT WITH THE FEDERAL LAWS RELATING TO NATIONAL BANKS.
GEN | [Enforceability] | Text: The Loan Documents comprise valid and binding commitments of Borrower or the Affiliate party thereto, enforceable in accordance with their stipulations. The Guaranty Documents comprise valid and binding commitments of GEN and Operator, enforceable in accordance with their stipulations.
GEN | [Governing Laws] | Text: THIS AGREEMENT, INCLUDING THE RIGHTS AND DUTIES OF THE PARTIES HERETO, SHALL BE GOVERNED BY, AND CONSTRUED IN ACCORDANCE WITH, THE LAWS OF THE STATE OF NEW YORK (INCLUDING SECTIONS 5-1401 AND 5-1402 OF THE GENERAL OBLIGATIONS LAW OF THE STATE OF NEW YORK, EXCEPT AS TO THE EXTENT THAT SUCH LAWS ARE IN CONFLICT WITH THE FEDERAL LAWS OF THE UNITED STATES).
GEN | [Governing Laws] | Text: THIS INSTRUMENT AND THE RIGHTS AND OBLIGATIONS OF THE PARTIES HEREUNDER SHALL BE GOVERNED BY, CONSTRUED AND ENFORCED IN ACCORDANCE WITH, THE LAWS OF THE STATE OF NEW YORK (INCLUDING THE NEW YORK GENERAL OBLIGATIONS LAW, SECTIONS 5-1401 AND 5-1402), WITHOUT REFERENCE TO THE CONFLICTS OR CHOICE OF LAW PRINCIPLES THEREOF.
