GEN | [activate_my_card] | Orig: Tell me how to renew my new card? -> Aug: How do I reactivate my new credit card?
GEN | [failed_transfer] | Orig: Can you tell my why my funds transfer did not work properly? -> Aug: Why did my recent transfer fail to process as expected?
GEN | [get_physical_card] | Orig: can i go into my app to find my pin -> Aug: Can I access my physical card information through the mobile app?
GEN | [transfer_not_received_by_recipient] | Orig: I've checked multiple times to make sure the account number listed is the right one after attempting to make a transfer within the country the day before yesterday. The transfer is still not available so can you please find out what is going on? -> Aug: I've double-checked the account number to ensure it's accurate, as I initiated a domestic transfer yesterday. However, the recipient hasn't received the funds yet. Can you investigate this issue for me?
GEN | [passcode_forgotten] | Orig: My passcode is not being accepted -> Aug: I'm having trouble entering my passcode, it's not recognizing it.
GEN | [card_payment_wrong_exchange_rate] | Orig: The exchange rate you are using is really bad. This can't possibly be the official interbank exchange rate. -> Aug: The exchange rate you're using seems to be incorrect. It's not the rate I'm familiar with, and it's definitely not the rate I'd expect from a reputable financial institution.
GEN | [country_support] | Orig: I just moved to the US how do I get a card? -> Aug: I've recently relocated to the United States and would like to obtain a new card.
GEN | [card_acceptance] | Orig: How do I know where I can use my card? -> Aug: Where can I use my card?
GEN | [card_payment_wrong_exchange_rate] | Orig: The exchange rate you are using is really bad.This can't be the official interbank exchange rate. -> Aug: The exchange rate you're using seems to be incorrect. It's not the rate I'm familiar with, and it's definitely not the interbank rate.
GEN | [balance_not_updated_after_bank_transfer] | Orig: Where is the transfer that I did? -> Aug: Why hasn't my account balance been updated after the recent bank transfer?
GEN | [declined_card_payment] | Orig: Please help me in this, as i was unable to make any payment by my new card,  it was getting declined repeatedly. I am not very happy with this incident. -> Aug: I'm having trouble making a payment with my new card, as it keeps getting declined. I'm quite frustrated with this situation.
GEN | [card_payment_wrong_exchange_rate] | Orig: Are you ripping people off with the exchange rate?  It can't be that atrocious between banks. -> Aug: Are you taking advantage of customers with an unfair exchange rate? It's hard to believe it's that bad between financial institutions.
GEN | [card_payment_wrong_exchange_rate] | Orig: Does the exchange rate change each day for purchases? There is a different rate on my purchase. -> Aug: Is the exchange rate adjusted daily for transactions? I've noticed a discrepancy in the rate applied to my recent purchase.
GEN | [cancel_transfer] | Orig: I submitted a transaction but it was for the incorrect account. -> Aug: I mistakenly initiated a transfer to the wrong account.
GEN | [card_acceptance] | Orig: Are there businesses that don't accept this card? -> Aug: Can you tell me if there are any merchants that don't accept this particular card?
GEN | [disposable_card_limits] | Orig: Can I do more than 10 transactions with a disposable card? -> Aug: How many transactions can I make with a disposable card before it's no longer valid?
GEN | [failed_transfer] | Orig: I was unable to transfer money from my account. -> Aug: The transfer of funds from my account was unsuccessful.
GEN | [card_payment_wrong_exchange_rate] | Orig: The exchange rate you are using is bad.This can't be the official interbank exchange rate. -> Aug: The exchange rate you're using seems incorrect. It's not the standard interbank rate.
GEN | [top_up_reverted] | Orig: How come I can't put money in my top up account? -> Aug: Why am I unable to add funds to my top-up account?
GEN | [exchange_via_app] | Orig: Can you  tell me how to get AUD not GBP? -> Aug: Can you guide me on how to exchange currency for Australian dollars instead of British pounds?
GEN | [topping_up_by_card] | Orig: I can't see my top up in my wallet! -> Aug: I'm unable to locate the recent card top-up in my digital wallet.
GEN | [topping_up_by_card] | Orig: I don't see me 'top up' in my wallet -> Aug: I'm unable to locate my card top-up transaction in my digital wallet.
GEN | [get_physical_card] | Orig: Help, I don't know what the PIN is to my card? -> Aug: Can you assist me in retrieving the physical card details, including the PIN, as I've misplaced it?
GEN | [exchange_charge] | Orig: If someone in a different country sends me money, do I have to pay a fee? -> Aug: If I receive a payment from someone in a foreign country, will I be charged a fee?
GEN | [card_payment_wrong_exchange_rate] | Orig: Hi, I am disappointed to see such a bad exchange rate and hope you can assist me. Would you be able to confirm the official interbank exchange rate for me? -> Aug: I'm surprised to find the exchange rate is so unfavorable and would appreciate it if you could verify the current interbank exchange rate for me.
GEN | [passcode_forgotten] | Orig: I would like to better understand why my pass-code is not working. -> Aug: I'm having trouble remembering my passcode and would appreciate some help figuring out why it's not accepting my attempts.
GEN | [topping_up_by_card] | Orig: My wallet doesn't show my recent top up. -> Aug: My recent card payment isn't reflected in my wallet balance.
GEN | [card_linking] | Orig: I would like to link my card to my account. -> Aug: I'd like to connect my card to my account.
GEN | [activate_my_card] | Orig: How can i make my card active? -> Aug: What steps can I take to activate my card?
GEN | [passcode_forgotten] | Orig: Can someone please help assist me by explaining to me why my pass-code is not working? -> Aug: I'm having trouble remembering my passcode and was wondering if you could help me figure out why it's not accepting my attempts.
GEN | [reverted_card_payment?] | Orig: I tried to use my debit card, but the payment did not work. -> Aug: I attempted to make a payment using my debit card, but it was unsuccessful.
GEN | [card_linking] | Orig: Will I need a new card or can I put my old card back into the app? -> Aug: Can I reactivate my existing card or do I need to request a new one for use with the app?
GEN | [pending_top_up] | Orig: It's been some time since refilled the top-up. -> Aug: It's been a while since the top-up was replenished.
GEN | [direct_debit_payment_not_recognised] | Orig: Purchases I did not make are appearing in my bank statement? -> Aug: We've noticed some transactions on your bank statement that don't match any payments you've made.
GEN | [beneficiary_not_allowed] | Orig: My account transfer was not cleared. -> Aug: The transfer to the intended recipient was unsuccessful.
GEN | [card_acceptance] | Orig: Can I pay with my card anywhere? -> Aug: Can I use my card for purchases at any location?
VAL | [activate_my_card] | ACCEPT | Reason: N/A | Original: Tell me how to renew my new card? | Augmented: How do I reactivate my new credit card?
VAL | [failed_transfer] | ACCEPT | Reason: ... | Original: Can you tell my why my funds transfer did not work properly? | Augmented: Why did my recent transfer fail to process as expected?
VAL | [get_physical_card] | UNKNOWN | Reason: N/A | Original: can i go into my app to find my pin | Augmented: Can I access my physical card information through the mobile app?
VAL | [transfer_not_received_by_recipient] | ACCEPT | Reason: ... | Original: I've checked multiple times to make sure the account number listed is the right one after attempting to make a transfer within the country the day before yesterday. The transfer is still not available so can you please find out what is going on? | Augmented: I've double-checked the account number to ensure it's accurate, as I initiated a domestic transfer yesterday. However, the recipient hasn't received the funds yet. Can you investigate this issue for me?
VAL | [passcode_forgotten] | ACCEPT | Reason: ... | Original: My passcode is not being accepted | Augmented: I'm having trouble entering my passcode, it's not recognizing it.
VAL | [card_payment_wrong_exchange_rate] | ACCEPT | Reason: N/A | Original: The exchange rate you are using is really bad. This can't possibly be the official interbank exchange rate. | Augmented: The exchange rate you're using seems to be incorrect. It's not the rate I'm familiar with, and it's definitely not the rate I'd expect from a reputable financial institution.
VAL | [country_support] | ACCEPT | Reason: ... | Original: I just moved to the US how do I get a card? | Augmented: I've recently relocated to the United States and would like to obtain a new card.
VAL | [card_acceptance] | ACCEPT | Reason: N/A | Original: How do I know where I can use my card? | Augmented: Where can I use my card?
VAL | [card_payment_wrong_exchange_rate] | ACCEPT | Reason: ... | Original: The exchange rate you are using is really bad.This can't be the official interbank exchange rate. | Augmented: The exchange rate you're using seems to be incorrect. It's not the rate I'm familiar with, and it's definitely not the interbank rate.
VAL | [balance_not_updated_after_bank_transfer] | ACCEPT | Reason: N/A | Original: Where is the transfer that I did? | Augmented: Why hasn't my account balance been updated after the recent bank transfer?
VAL | [declined_card_payment] | ACCEPT | Reason: ... | Original: Please help me in this, as i was unable to make any payment by my new card,  it was getting declined repeatedly. I am not very happy with this incident. | Augmented: I'm having trouble making a payment with my new card, as it keeps getting declined. I'm quite frustrated with this situation.
VAL | [card_payment_wrong_exchange_rate] | ACCEPT | Reason: ... | Original: Are you ripping people off with the exchange rate?  It can't be that atrocious between banks. | Augmented: Are you taking advantage of customers with an unfair exchange rate? It's hard to believe it's that bad between financial institutions.
VAL | [card_payment_wrong_exchange_rate] | ACCEPT | Reason: N/A | Original: Does the exchange rate change each day for purchases? There is a different rate on my purchase. | Augmented: Is the exchange rate adjusted daily for transactions? I've noticed a discrepancy in the rate applied to my recent purchase.
VAL | [cancel_transfer] | ACCEPT | Reason: N/A | Original: I submitted a transaction but it was for the incorrect account. | Augmented: I mistakenly initiated a transfer to the wrong account.
VAL | [card_acceptance] | ACCEPT | Reason: ... | Original: Are there businesses that don't accept this card? | Augmented: Can you tell me if there are any merchants that don't accept this particular card?
VAL | [disposable_card_limits] | ACCEPT | Reason: ... | Original: Can I do more than 10 transactions with a disposable card? | Augmented: How many transactions can I make with a disposable card before it's no longer valid?
VAL | [failed_transfer] | ACCEPT | Reason: ... | Original: I was unable to transfer money from my account. | Augmented: The transfer of funds from my account was unsuccessful.
VAL | [card_payment_wrong_exchange_rate] | ACCEPT | Reason: The augmented text maintains the core idea that the exchange rate being used is incorrect and not the standard interbank rate, which is consistent with the original intent. | Original: The exchange rate you are using is bad.This can't be the official interbank exchange rate. | Augmented: The exchange rate you're using seems incorrect. It's not the standard interbank rate.
VAL | [top_up_reverted] | ACCEPT | Reason: ... | Original: How come I can't put money in my top up account? | Augmented: Why am I unable to add funds to my top-up account?
VAL | [exchange_via_app] | ACCEPT | Reason: ... | Original: Can you  tell me how to get AUD not GBP? | Augmented: Can you guide me on how to exchange currency for Australian dollars instead of British pounds?
VAL | [topping_up_by_card] | ACCEPT | Reason: N/A | Original: I can't see my top up in my wallet! | Augmented: I'm unable to locate the recent card top-up in my digital wallet.
VAL | [topping_up_by_card] | ACCEPT | Reason: N/A | Original: I don't see me 'top up' in my wallet | Augmented: I'm unable to locate my card top-up transaction in my digital wallet.
VAL | [get_physical_card] | REVIEW | Reason: N/A | Original: Help, I don't know what the PIN is to my card? | Augmented: Can you assist me in retrieving the physical card details, including the PIN, as I've misplaced it?
VAL | [exchange_charge] | ACCEPT | Reason: N/A | Original: If someone in a different country sends me money, do I have to pay a fee? | Augmented: If I receive a payment from someone in a foreign country, will I be charged a fee?
VAL | [card_payment_wrong_exchange_rate] | ACCEPT | Reason: N/A | Original: Hi, I am disappointed to see such a bad exchange rate and hope you can assist me. Would you be able to confirm the official interbank exchange rate for me? | Augmented: I'm surprised to find the exchange rate is so unfavorable and would appreciate it if you could verify the current interbank exchange rate for me.
VAL | [passcode_forgotten] | ACCEPT | Reason: N/A | Original: I would like to better understand why my pass-code is not working. | Augmented: I'm having trouble remembering my passcode and would appreciate some help figuring out why it's not accepting my attempts.
VAL | [topping_up_by_card] | ACCEPT | Reason: N/A | Original: My wallet doesn't show my recent top up. | Augmented: My recent card payment isn't reflected in my wallet balance.
VAL | [card_linking] | ACCEPT | Reason: Both sentences express the action of associating a card with an account, which is the core of the 'card_linking' intent. | Original: I would like to link my card to my account. | Augmented: I'd like to connect my card to my account.
VAL | [activate_my_card] | ACCEPT | Reason: ... | Original: How can i make my card active? | Augmented: What steps can I take to activate my card?
VAL | [passcode_forgotten] | ACCEPT | Reason: ... | Original: Can someone please help assist me by explaining to me why my pass-code is not working? | Augmented: I'm having trouble remembering my passcode and was wondering if you could help me figure out why it's not accepting my attempts.
