GEN | [get_disposable_virtual_card] | Orig: What is the procedure for depositing a virtual card -> Aug: How do I obtain a disposable virtual card and use it for transactions?
GEN | [topping_up_by_card] | Orig: What do I need to do to transfer money with my credit card? -> Aug: How can I use my credit card to add funds to my account?
GEN | [supported_cards_and_currencies] | Orig: I only have one other credit card from the US. Do you accept that? -> Aug: I'm wondering if you support any other credit cards besides the one I'm using, specifically one from the United States.
GEN | [balance_not_updated_after_cheque_or_cash_deposit] | Orig: When will my deposit be processed? -> Aug: Why hasn't my account balance been updated after I deposited a cheque or cash?
GEN | [supported_cards_and_currencies] | Orig: What are the currencies and cards that are supported with my account? -> Aug: What types of payment methods and currencies are accepted with my account?
GEN | [receiving_money] | Orig: Can i get payed through this system? -> Aug: Can I receive payment through this system?
GEN | [supported_cards_and_currencies] | Orig: can i add funds  with a card from the united states -> Aug: Can I deposit funds using a US-issued card?
GEN | [cancel_transfer] | Orig: Help please!  My rent payment is coming out tomorrow and I made a payment mistake yesterday! Can you put in in the correct account? -> Aug: My rent payment is scheduled to be withdrawn tomorrow, but I made an error with the payment yesterday. Could you please correct the transfer to the correct account?
GEN | [top_up_by_bank_transfer_charge] | Orig: If someone sends me money, will I be charged? -> Aug: If I receive a bank transfer from someone, will I be charged a fee?
GEN | [verify_source_of_funds] | Orig: Who is giving me my money? -> Aug: Who is the source of the funds being used to make this transaction?
GEN | [receiving_money] | Orig: I would like to know how my friend would be able to send me money -> Aug: I'd like to find out how my friend can transfer funds to me.
GEN | [receiving_money] | Orig: Is it ok for a friend to send me money? -> Aug: Can a friend deposit funds into my account?
GEN | [topping_up_by_card] | Orig: How do I go about transferring money using my credit card? -> Aug: What steps do I need to follow to add funds to my account using my credit card?
GEN | [topping_up_by_card] | Orig: I need to transfer some money, can I use my credit card? -> Aug: I'd like to add funds to my account using my credit card.
GEN | [pending_top_up] | Orig: how long should i expect to wait when i add money -> Aug: how long will it take for my top-up to be processed?
GEN | [topping_up_by_card] | Orig: What steps do I do to transfer money using my credit card? -> Aug: How can I add funds to my account using my credit card?
GEN | [topping_up_by_card] | Orig: Transferring money using credit card -> Aug: Adding funds to your account using your credit card
GEN | [disposable_card_limits] | Orig: On my disposable card, is there a transaction limit? -> Aug: Can I know the spending limit on my disposable card?
GEN | [topping_up_by_card] | Orig: Hoe do i use my credit card to transfer money? -> Aug: How can I use my credit card to make a payment or add funds to my account?
GEN | [balance_not_updated_after_cheque_or_cash_deposit] | Orig: Why isn't my deposit showing up? -> Aug: Why hasn't my account balance been updated after I deposited a cheque or cash?
GEN | [top_up_limits] | Orig: What is the daily limit on my card? -> Aug: What is the daily spending limit on my credit card?
GEN | [exchange_charge] | Orig: If someone in a different country sends me money, do I have to pay a fee? -> Aug: If I receive a payment from someone in a foreign country, will I be charged a fee?
GEN | [card_delivery_estimate] | Orig: Can I pay more to get it deliver quicker? -> Aug: Is there an option to expedite the delivery of my card for an additional fee?
GEN | [receiving_money] | Orig: What are the steps for my friend to send me money? -> Aug: How can my friend transfer funds to me?
GEN | [receiving_money] | Orig: Is it possible for a friend to personally send me a payment? -> Aug: Can a friend make a personal payment on my behalf?
GEN | [topping_up_by_card] | Orig: I want to transfer money with my credit card. -> Aug: I'd like to add funds to my account using my credit card.
GEN | [country_support] | Orig: May I get one of your cards?  I live in the EU. -> Aug: Might I request a card, as I am a resident of the European Union?
GEN | [receiving_money] | Orig: How does one send me money? -> Aug: How can I receive funds from someone else?
GEN | [receiving_money] | Orig: Can I receive payments in another currency? -> Aug: Can I accept payments in a different currency?
GEN | [receiving_money] | Orig: Can I receive payment in another currency? -> Aug: Can I accept payment in a different currency?
GEN | [Refund_not_showing_up] | Orig: how does my statement get updated so i know when a refund will reflect on my balance -> Aug: How do I get notified when a refund will be reflected on my account balance, and how will it be updated on my statement?
GEN | [automatic_top_up] | Orig: How low does the balance have to be before the system updates? -> Aug: At what point does the account balance need to reach before the automatic top-up feature kicks in?
GEN | [direct_debit_payment_not_recognised] | Orig: I did not set up a direct debit I have -> Aug: We didn't find a direct debit payment arrangement in your account records.
GEN | [top_up_by_bank_transfer_charge] | Orig: What does it cost to receive a SEPA transfer? -> Aug: What is the charge for receiving a bank transfer via SEPA?
GEN | [balance_not_updated_after_cheque_or_cash_deposit] | Orig: I need my account checked because it appears there is a problem. I attempted to update my balance yesterday using cheque but it doesn't seem to have worked.  Should this not be faster than this? -> Aug: I'm concerned about an issue with my account. I deposited a cheque yesterday, but my balance hasn't been updated yet. Can you look into this and let me know why it's taking so long?
