GEN | [supported_cards_and_currencies] | Orig: use my credit to add money -> Aug: utilize your credit to top up your account
GEN | [getting_spare_card] | Orig: What is the procedure for me to get more cards on my account? -> Aug: How do I obtain additional cards for my account?
GEN | [card_linking] | Orig: If I have a credit card with you how I get set up to link to it? -> Aug: If I already have a credit card account with your bank, how do I go about linking it to my profile?
GEN | [pending_top_up] | Orig: Can you please sort out your top up? I need this to go through asap because I really need the money. It's already been pending for an hour. -> Aug: Could you expedite the processing of my pending top-up? I'm in urgent need of the funds and it's been pending for a while now.
GEN | [virtual_card_not_working] | Orig: Can I use my virtual card for recurring monthly payments? -> Aug: Is my virtual card suitable for regular, automatic monthly transactions?
GEN | [compromised_card] | Orig: What do I do if I detect fraudulent use on my car? -> Aug: If I notice suspicious activity on my compromised card, what steps should I take?
GEN | [verify_source_of_funds] | Orig: Where is my top-up generated from? -> Aug: Can you please confirm the source of the funds used for the recent top-up?
GEN | [card_linking] | Orig: What do I do if I already had a card with you guys? -> Aug: What should I do if I already have an existing card linked with your bank?
GEN | [edit_personal_details] | Orig: Am I able to modify my account details? -> Aug: Can I make changes to my personal information?
GEN | [wrong_amount_of_cash_received] | Orig: How can we correct a mistake on an ATM transaction?  The app shows what I should have gotten. -> Aug: I need help resolving an issue with an ATM withdrawal. The app indicates the correct amount I should have received, but I only got a different amount.
GEN | [pin_blocked] | Orig: I used my pin too many times. -> Aug: I've exceeded the allowed attempts to enter my PIN.
GEN | [country_support] | Orig: What countries do your accounts send and receive to? -> Aug: Which countries do your accounts support international transactions to and from?
GEN | [declined_cash_withdrawal] | Orig: My card didn't work at the ATM in Notting Hill.  Is my card working? -> Aug: My cash withdrawal was declined at the ATM in Notting Hill, and I'm wondering if there's an issue with my card.
GEN | [getting_virtual_card] | Orig: I want one of the virtual cards! -> Aug: I'd like to obtain a virtual card.
GEN | [failed_transfer] | Orig: A mortgage payment I'm making is giving me an error message.  This is the first time I'm making this payment and want to know what's wrong. -> Aug: I'm experiencing an issue with a mortgage payment I'm attempting to make, and I'm receiving an error message. This is my first time making this payment, and I'd like to understand what's causing the problem.
GEN | [atm_support] | Orig: Can I use a different bank ATM than my own? -> Aug: Can I use an ATM from a different bank than my own?
GEN | [getting_virtual_card] | Orig: I want to get my hands on one of those virtual cards! -> Aug: I'd like to obtain a virtual card.
GEN | [declined_cash_withdrawal] | Orig: I tried using my ATM card at your Notting Hill location today.  It did not work.  Am I doing something wrong? -> Aug: I attempted to withdraw cash using my ATM card at your Notting Hill branch, but it was unsuccessful. Is there an issue with my card or the machine?
GEN | [visa_or_mastercard] | Orig: I do not want a VISA card. -> Aug: I prefer not to use a Mastercard.
GEN | [top_up_by_cash_or_cheque] | Orig: How can I add physical money to my card? -> Aug: You can replenish your card balance by depositing cash or cheque.
GEN | [country_support] | Orig: where do you have locations at -> Aug: which locations do you have in your country?
GEN | [declined_cash_withdrawal] | Orig: I tried to use my card to withdrawal money from the ATM in Notting Hill but it didn't work. This is the first time I've tried using it. Is my card working? -> Aug: I attempted to make a cash withdrawal at an ATM in Notting Hill using my card, but it was unsuccessful. This is my first attempt to use it. Is my card functional?
GEN | [get_physical_card] | Orig: How do I get started when I get my card? -> Aug: What are the steps to obtain my physical card?
GEN | [activate_my_card] | Orig: What do I need to do in order to use my card I just got? -> Aug: How can I activate my new card so I can start using it?
GEN | [exchange_rate] | Orig: If I need to cash foreign transfers, how does that work? -> Aug: What's the process for exchanging foreign currencies for cash transfers?
GEN | [declined_card_payment] | Orig: I NEED HELP WITH MY CARD!!!!! please. It keeps getting declined when I try to use it. I have tried a few times to use it and it keeps getting rejected. I have no idea why. -> Aug: I'm having trouble with my card, as it's consistently being declined whenever I attempt to use it. Despite trying multiple times, it's still being rejected, and I'm unsure why this is happening.
GEN | [receiving_money] | Orig: Who can send me money? -> Aug: Who can transfer funds to me?
GEN | [reverted_card_payment?] | Orig: I was just contacted by a seller that let me know they didn't get my money even though I'm very sure it was removed from my account. Now it's back in my account. Get this resolved quickly. -> Aug: I'm concerned about a payment I made that was initially deducted from my account, but then reversed. The seller has informed me that they didn't receive the payment. Can you look into this and resolve the issue as soon as possible?
GEN | [edit_personal_details] | Orig: I need to change my data. -> Aug: I'd like to update my personal information.
GEN | [compromised_card] | Orig: What do I do if I believe to be a victim of credit card fraud? -> Aug: If I suspect that my credit card has been compromised, what steps should I take to address the situation?
GEN | [edit_personal_details] | Orig: Where do I go to change my account details? -> Aug: How can I modify my personal information associated with my account?
GEN | [failed_transfer] | Orig: Hi, I'm trying to purchase a flat and I'm needing the first payment for the mortgage to go through on the flat I'm trying to buy. For some reason I keep getting an error.can you assist in making this transfer? What is going on? -> Aug: I'm attempting to finalize the purchase of a property and the initial mortgage payment is stuck. I'm encountering an issue with the transfer, and I'd appreciate it if you could help resolve this problem. What's causing the delay?
GEN | [pending_top_up] | Orig: Help, I don't see my money i just added. -> Aug: I'm having trouble locating the funds I recently deposited.
GEN | [pending_card_payment] | Orig: I don't know what pending transaction means. -> Aug: I'm not sure what's meant by the outstanding payment.
GEN | [visa_or_mastercard] | Orig: I anticipate getting a Visa card -> Aug: I'm expecting to receive a Mastercard
GEN | [pending_top_up] | Orig: Sort your top up out please! It's been pending since an hour already, can you please make this go through asap I really need the money -> Aug: Can you expedite the processing of my pending top-up? It's been waiting for an hour now, and I urgently need the funds to be credited to my account.
GEN | [country_support] | Orig: Can I use my card in Austria? -> Aug: Can I make purchases with my card in Austria?
VAL | [supported_cards_and_currencies] | ACCEPT | Reason: N/A | Original: use my credit to add money | Augmented: utilize your credit to top up your account
VAL | [getting_spare_card] | ACCEPT | Reason: ... | Original: What is the procedure for me to get more cards on my account? | Augmented: How do I obtain additional cards for my account?
VAL | [card_linking] | ACCEPT | Reason: ... | Original: If I have a credit card with you how I get set up to link to it? | Augmented: If I already have a credit card account with your bank, how do I go about linking it to my profile?
VAL | [pending_top_up] | ACCEPT | Reason: ... | Original: Can you please sort out your top up? I need this to go through asap because I really need the money. It's already been pending for an hour. | Augmented: Could you expedite the processing of my pending top-up? I'm in urgent need of the funds and it's been pending for a while now.
VAL | [virtual_card_not_working] | ACCEPT | Reason: N/A | Original: Can I use my virtual card for recurring monthly payments? | Augmented: Is my virtual card suitable for regular, automatic monthly transactions?
VAL | [compromised_card] | ACCEPT | Reason: N/A | Original: What do I do if I detect fraudulent use on my car? | Augmented: If I notice suspicious activity on my compromised card, what steps should I take?
VAL | [verify_source_of_funds] | ACCEPT | Reason: ... | Original: Where is my top-up generated from? | Augmented: Can you please confirm the source of the funds used for the recent top-up?
VAL | [card_linking] | ACCEPT | Reason: ... | Original: What do I do if I already had a card with you guys? | Augmented: What should I do if I already have an existing card linked with your bank?
VAL | [edit_personal_details] | ACCEPT | Reason: N/A | Original: Am I able to modify my account details? | Augmented: Can I make changes to my personal information?
VAL | [wrong_amount_of_cash_received] | ACCEPT | Reason: N/A | Original: How can we correct a mistake on an ATM transaction?  The app shows what I should have gotten. | Augmented: I need help resolving an issue with an ATM withdrawal. The app indicates the correct amount I should have received, but I only got a different amount.
VAL | [pin_blocked] | ACCEPT | Reason: N/A | Original: I used my pin too many times. | Augmented: I've exceeded the allowed attempts to enter my PIN.
VAL | [country_support] | ACCEPT | Reason: ... | Original: What countries do your accounts send and receive to? | Augmented: Which countries do your accounts support international transactions to and from?
VAL | [declined_cash_withdrawal] | ACCEPT | Reason: N/A | Original: My card didn't work at the ATM in Notting Hill.  Is my card working? | Augmented: My cash withdrawal was declined at the ATM in Notting Hill, and I'm wondering if there's an issue with my card.
VAL | [getting_virtual_card] | ACCEPT | Reason: ... | Original: I want one of the virtual cards! | Augmented: I'd like to obtain a virtual card.
VAL | [failed_transfer] | ACCEPT | Reason: ... | Original: A mortgage payment I'm making is giving me an error message.  This is the first time I'm making this payment and want to know what's wrong. | Augmented: I'm experiencing an issue with a mortgage payment I'm attempting to make, and I'm receiving an error message. This is my first time making this payment, and I'd like to understand what's causing the problem.
VAL | [atm_support] | ACCEPT | Reason: N/A | Original: Can I use a different bank ATM than my own? | Augmented: Can I use an ATM from a different bank than my own?
VAL | [getting_virtual_card] | ACCEPT | Reason: ... | Original: I want to get my hands on one of those virtual cards! | Augmented: I'd like to obtain a virtual card.
VAL | [declined_cash_withdrawal] | ACCEPT | Reason: ... | Original: I tried using my ATM card at your Notting Hill location today.  It did not work.  Am I doing something wrong? | Augmented: I attempted to withdraw cash using my ATM card at your Notting Hill branch, but it was unsuccessful. Is there an issue with my card or the machine?
VAL | [visa_or_mastercard] | UNKNOWN | Reason: N/A | Original: I do not want a VISA card. | Augmented: I prefer not to use a Mastercard.
VAL | [top_up_by_cash_or_cheque] | ACCEPT | Reason: N/A | Original: How can I add physical money to my card? | Augmented: You can replenish your card balance by depositing cash or cheque.
VAL | [country_support] | ACCEPT | Reason: N/A | Original: where do you have locations at | Augmented: which locations do you have in your country?
VAL | [declined_cash_withdrawal] | ACCEPT | Reason: ... | Original: I tried to use my card to withdrawal money from the ATM in Notting Hill but it didn't work. This is the first time I've tried using it. Is my card working? | Augmented: I attempted to make a cash withdrawal at an ATM in Notting Hill using my card, but it was unsuccessful. This is my first attempt to use it. Is my card functional?
VAL | [get_physical_card] | ACCEPT | Reason: N/A | Original: How do I get started when I get my card? | Augmented: What are the steps to obtain my physical card?
VAL | [activate_my_card] | ACCEPT | Reason: The augmented text preserves the same banking intent of activating a new card to enable its usage. It does not introduce any contradictions or unsupported information. | Original: What do I need to do in order to use my card I just got? | Augmented: How can I activate my new card so I can start using it?
VAL | [exchange_rate] | ACCEPT | Reason: N/A | Original: If I need to cash foreign transfers, how does that work? | Augmented: What's the process for exchanging foreign currencies for cash transfers?
VAL | [declined_card_payment] | ACCEPT | Reason: ... | Original: I NEED HELP WITH MY CARD!!!!! please. It keeps getting declined when I try to use it. I have tried a few times to use it and it keeps getting rejected. I have no idea why. | Augmented: I'm having trouble with my card, as it's consistently being declined whenever I attempt to use it. Despite trying multiple times, it's still being rejected, and I'm unsure why this is happening.
VAL | [receiving_money] | ACCEPT | Reason: N/A | Original: Who can send me money? | Augmented: Who can transfer funds to me?
VAL | [reverted_card_payment?] | ACCEPT | Reason: N/A | Original: I was just contacted by a seller that let me know they didn't get my money even though I'm very sure it was removed from my account. Now it's back in my account. Get this resolved quickly. | Augmented: I'm concerned about a payment I made that was initially deducted from my account, but then reversed. The seller has informed me that they didn't receive the payment. Can you look into this and resolve the issue as soon as possible?
VAL | [edit_personal_details] | ACCEPT | Reason: ... | Original: I need to change my data. | Augmented: I'd like to update my personal information.
VAL | [compromised_card] | ACCEPT | Reason: ... | Original: What do I do if I believe to be a victim of credit card fraud? | Augmented: If I suspect that my credit card has been compromised, what steps should I take to address the situation?
VAL | [edit_personal_details] | ACCEPT | Reason: N/A | Original: Where do I go to change my account details? | Augmented: How can I modify my personal information associated with my account?
