GEN | [declined_cash_withdrawal] | Orig: I tried using my ATM card at your Notting Hill location today.  It did not work.  Am I doing something wrong? -> Aug: I attempted to withdraw cash using my ATM card at your Notting Hill branch, but it was unsuccessful. Is there an issue with my card or the machine?
GEN | [contactless_not_working] | Orig: I am having problems with my contactless. -> Aug: I'm experiencing issues with my contactless payment feature.
GEN | [contactless_not_working] | Orig: I'm confused ass to why my contactless is not working. -> Aug: I'm puzzled as to why my contactless payment method isn't functioning properly.
GEN | [cancel_transfer] | Orig: Hey i need help urgently. I just realised I sent my payment to the wrong account number, there is a typo! Please cancel it immediately, I can't do it anymore from the app -> Aug: I urgently need assistance. I've just discovered that I mistakenly sent a payment to the incorrect account number, and there's a typo involved. Could you please cancel the transfer as soon as possible? I'm unable to do so through the app.
GEN | [contactless_not_working] | Orig: How do I troubleshoot my contactless? -> Aug: What steps can I take to resolve the issue with my contactless payment method?
GEN | [contactless_not_working] | Orig: How do I troubleshoot when contactless doesn't work? -> Aug: What steps can I take when my contactless payment method is not functioning properly?
GEN | [lost_or_stolen_phone] | Orig: I don't have my cell phone with me so I cannot access the system to complete the transaction. -> Aug: I'm currently without my mobile device, which is preventing me from accessing the system to finalize the transaction.
GEN | [card_not_working] | Orig: I tried to purchase airline tickets online this morning and my card information isn't working. Is there something going on with my account? -> Aug: I attempted to book a flight online this morning, but my credit card details aren't being accepted. Is there an issue with my account?
GEN | [top_up_reverted] | Orig: I need some help, I thought you guys accepted crypto top ups?? It won't seem to let me do it. I put money in my account and now it's gone and I didn't spend it. Where did it go?? -> Aug: I'm having an issue with a recent transaction, I'm certain your bank allows cryptocurrency deposits, but I'm unable to complete the process. After adding funds to my account, the amount seems to have vanished, and I'm unsure what happened to it.
GEN | [getting_virtual_card] | Orig: I look but I see no virtual card. Why is that? -> Aug: I'm unable to locate my virtual card. Can you help me understand why it's not showing up?
GEN | [cancel_transfer] | Orig: I just realized I made the wrong transaction  yesterday. Would  you please make it correct?I need it by tomorrow. -> Aug: I've changed my mind about the transfer I initiated yesterday. Could you please cancel it and correct the mistake? I'd appreciate it if you could take care of it by tomorrow.
GEN | [cancel_transfer] | Orig: I just realized I made the wrong transaction yesterday. Would  you please make it correct?I need it by tomorrow Please. -> Aug: I've changed my mind about the transfer I initiated yesterday. Could you please cancel it and correct the mistake? I'd appreciate it if you could take care of it by tomorrow.
GEN | [contactless_not_working] | Orig: Why wasn't my contactless accepted at the metro? -> Aug: Why did my contactless payment fail to work at the metro station?
GEN | [declined_cash_withdrawal] | Orig: When I tried to access my cash, I wasn't allowed! -> Aug: Unfortunately, I was unable to withdraw cash from my account.
GEN | [declined_cash_withdrawal] | Orig: My card didn't work at the ATM in Notting Hill.  Is my card working? -> Aug: My cash withdrawal was declined at the ATM in Notting Hill, and I'm wondering if there's an issue with my card.
GEN | [request_refund] | Orig: Hello, I have recently made a purchase and have decided to cancel my purchase. Is there any way that you can cancel that transaction for me so I can get the money back? It's very important. -> Aug: I'd like to cancel a recent purchase and obtain a refund. Could you assist me in reversing the transaction so I can retrieve the funds? It's crucial that I get the refund as soon as possible.
GEN | [top_up_failed] | Orig: I need to add more funds to my card today because it keeps being declined, and I need to use it immediately. Can you fix this or tell me alternatives? -> Aug: I'm having trouble adding more funds to my card, as it's been declined repeatedly, and I urgently need to use it. Can you assist me in resolving this issue or suggest alternative solutions?
GEN | [cancel_transfer] | Orig: Hi , I just came to know I made the wrong transaction  yesterday. Would  you please make it correct?I need it by tomorrow. -> Aug: I'd like to correct a mistake I made with a recent transaction. Could you please reverse the transfer? I need it resolved by tomorrow.
GEN | [declined_transfer] | Orig: What does the decline message mean -> Aug: The transfer was not successfully processed due to an issue.
GEN | [declined_cash_withdrawal] | Orig: Is my card working? It's the first time I tried using it I tried to get money out of an ATM, but got nothing. -> Aug: Can I use my card to withdraw cash from an ATM? I've never tried it before, but when I attempted to do so, the transaction was declined.
GEN | [declined_cash_withdrawal] | Orig: I tried to get money out of the Notting Hill ATM earlier, but I wasn't able to get it to work. Is my card with issue? It's the first time I tried using it. -> Aug: I attempted to withdraw cash from the Notting Hill ATM, but the transaction was unsuccessful. Could there be a problem with my card? This is the first time I've tried using it.
GEN | [declined_cash_withdrawal] | Orig: Why can't I take money from my account? -> Aug: Why was my cash withdrawal request denied?
GEN | [card_not_working] | Orig: I seem to be unable to make any transactions. -> Aug: I'm having trouble making any transactions.
GEN | [declined_cash_withdrawal] | Orig: I tried to use my card to withdrawal money from the ATM in Notting Hill but it didn't work. This is the first time I've tried using it. Is my card working? -> Aug: I attempted to make a cash withdrawal at an ATM in Notting Hill using my card, but it was unsuccessful. This is my first attempt to use it. Is my card functional?
GEN | [beneficiary_not_allowed] | Orig: Why won't you let me name X as a beneficiary? -> Aug: You're asking why we're not permitting X to be designated as a beneficiary.
GEN | [cancel_transfer] | Orig: How fast can you fix an error in payment?  I made a payment in the wrong account yesterday and it needs to be adjusted by tomorrow for my rent. -> Aug: Can you expedite the correction of a mistaken payment made to the wrong account yesterday, as it's crucial to rectify it by tomorrow for my rent payment?
GEN | [declined_cash_withdrawal] | Orig: I tried to get money out of the Notting Hill ATM earlier, but wasn't able to. Is my card working okay? It's the first time I tried using it. -> Aug: I attempted to withdraw cash from the Notting Hill ATM, but the transaction was unsuccessful. Is my card functioning properly, as this is my first attempt to use it.
GEN | [verify_source_of_funds] | Orig: Is there a way for me to check my balance? -> Aug: Can you confirm the origin of the funds in my account before I check my balance?
GEN | [cancel_transfer] | Orig: I made a terrible mistake when typing in my account number.  I accidently sent money to the wrong account.  I noticed the app won't allow me to void the transaction.  Can someone help me with this immediately? -> Aug: I mistakenly entered the wrong account number, resulting in a transfer to the wrong account. I'm unable to reverse the transaction through the app. Can you assist me in canceling this transfer as soon as possible?
GEN | [card_swallowed] | Orig: What should I do with my stuck ATM? -> Aug: What should I do about my jammed ATM card?
GEN | [cancel_transfer] | Orig: stop the transaction -> Aug: halt the transfer
GEN | [top_up_by_bank_transfer_charge] | Orig: Is there a fee for a SEPA transfer -> Aug: Are there any charges associated with a bank transfer for topping up my account?
GEN | [Refund_not_showing_up] | Orig: how does my statement get updated so i know when a refund will reflect on my balance -> Aug: How do I get notified when a refund will be reflected on my account balance, and how will it be updated on my statement?
GEN | [beneficiary_not_allowed] | Orig: Why can't I use this beneficiary? -> Aug: Why is this beneficiary not eligible for use?
GEN | [top_up_by_bank_transfer_charge] | Orig: Is there a charge for SEPA transfers? -> Aug: Are there any fees associated with bank transfers via the Single Euro Payments Area (SEPA)?
GEN | [top_up_by_bank_transfer_charge] | Orig: Are SWIFT Transfers available at this bank? -> Aug: Can I use bank transfer to top up my account at this bank?
GEN | [pending_top_up] | Orig: I have a new card and I can't add money to it.  I tried about 30 minutes ago and it is still pending.  What do I do? -> Aug: I've just got a new card and I'm having trouble topping it up. I attempted to add funds about half an hour ago, but the transaction is still pending. Can you help me resolve this issue?
GEN | [top_up_by_bank_transfer_charge] | Orig: For SEPA transfers, what kind of charge will be applied? -> Aug: What fee will be deducted for a bank transfer top-up?
GEN | [top_up_reverted] | Orig: It's only been a few weeks my my top-up got cancelled -> Aug: My recent top-up reversal has just occurred, and it's only been a few weeks since it happened.
