GEN | [request_refund] | Orig: Can I exchange an item for a refund? -> Aug: May I return an item for a refund instead?
GEN | [card_delivery_estimate] | Orig: Are the delivery days flexible?  My schedule only allows me to be a available on specific dates. -> Aug: Can you accommodate my schedule, which has specific availability on certain dates, for the card delivery?
GEN | [request_refund] | Orig: Are refunds allowed for certain items. -> Aug: Can I get a refund for specific products?
GEN | [getting_virtual_card] | Orig: what is a virtual and how do i get one -> Aug: How do I obtain a virtual card, and what is its purpose?
GEN | [request_refund] | Orig: Are purchases returnable for full refund? -> Aug: Can I get a full refund for my purchase?
GEN | [top_up_by_cash_or_cheque] | Orig: Can I purchase with cash or cheque? -> Aug: May I pay using cash or by cheque?
GEN | [change_pin] | Orig: Can I change my PIN on holiday? -> Aug: Can I modify my PIN while I'm away on vacation?
GEN | [top_up_by_bank_transfer_charge] | Orig: are SWIFT transfers an option? -> Aug: Can I use a bank transfer to top up my account?
GEN | [receiving_money] | Orig: Can my job deposit my wages directly into the account. -> Aug: Can I arrange for my salary to be deposited directly into my account?
GEN | [automatic_top_up] | Orig: Can I have money transferred into my account at different intervals along my trip? -> Aug: Can I set up recurring transfers to my account during my trip?
GEN | [request_refund] | Orig: How do I begin the process of a refund? -> Aug: What are the steps to initiate a refund?
GEN | [change_pin] | Orig: How can I change my Rowlock ? -> Aug: How do I modify my PIN?
GEN | [top_up_by_bank_transfer_charge] | Orig: Can I do a SWIFT transfer? -> Aug: Can I make a bank transfer to top up my account?
GEN | [card_delivery_estimate] | Orig: i need to add express delivery if that's an option -> Aug: I'd like to inquire about the possibility of expedited shipping for my card delivery.
GEN | [transfer_into_account] | Orig: What transfer methods do you accept? -> Aug: How do you facilitate transfers into an account?
GEN | [visa_or_mastercard] | Orig: Can I get a Visa or does it have to be something else. -> Aug: Can I use a Mastercard instead, or is it specifically a Visa requirement?
GEN | [top_up_by_cash_or_cheque] | Orig: Will a cheque suffice? -> Aug: Can I use a cheque to make a payment?
GEN | [receiving_money] | Orig: Can I transfer my payroll to the bank? -> Aug: Can I deposit my paycheck into my bank account?
GEN | [receiving_money] | Orig: What can I use to receive my salary? -> Aug: How can I get my salary payment?
GEN | [pending_card_payment] | Orig: How long does it take for a purchase to go from pending to authorised? -> Aug: When can I expect a pending card payment to be processed and move to an authorized status?
GEN | [top_up_by_cash_or_cheque] | Orig: where can i deposit a check -> Aug: where can i make a deposit by cheque
GEN | [receiving_money] | Orig: Can i get payed through this system? -> Aug: Can I receive payment through this system?
GEN | [request_refund] | Orig: Am I able to return an item for a refund? -> Aug: Can I initiate a return for a refund on the item?
GEN | [change_pin] | Orig: Do I need to speak to a representative to change my pin? -> Aug: Can I request assistance from a representative to modify my personal identification number (PIN)?
GEN | [get_physical_card] | Orig: How long does it take for me to get my pin -> Aug: How long does it take to obtain my physical card?
GEN | [automatic_top_up] | Orig: How low does the balance have to be before the system updates? -> Aug: At what point does the account balance need to reach before the automatic top-up feature kicks in?
GEN | [receiving_money] | Orig: What do I need to do to get my salary through this? -> Aug: How can I receive my salary payment through this channel?
GEN | [visa_or_mastercard] | Orig: I prefer Visa, can I get that instead? -> Aug: I'd like to opt for a Visa, if possible?
GEN | [change_pin] | Orig: Do I have to change my PIN at a bank? -> Aug: Can I modify my PIN at a bank's location?
GEN | [top_up_by_bank_transfer_charge] | Orig: Am I able to do a SWIFT transfer? -> Aug: Can I perform a bank transfer to top up my account?
GEN | [request_refund] | Orig: Do you give refunds? -> Aug: Can I get a refund?
GEN | [request_refund] | Orig: Where do I go for a refund? -> Aug: I'd like to inquire about the process for requesting a refund.
GEN | [request_refund] | Orig: I want to know about your refund policy. -> Aug: I'd like to inquire about the process for requesting a refund.
GEN | [change_pin] | Orig: I'm in Austria right now, but I really need to change my PIN right now. Can I do this even though I'm in another country? -> Aug: I'm currently abroad in Austria, but I urgently need to modify my PIN. Can I still make this change despite being in a different country?
GEN | [change_pin] | Orig: Can I change my PIN at my local bank? -> Aug: Can I modify my PIN at a nearby bank branch?
GEN | [top_up_by_cash_or_cheque] | Orig: I would like to pay by cheque. -> Aug: I would prefer to settle the payment via cheque.
GEN | [top_up_by_bank_transfer_charge] | Orig: Do you accept SWIFT transfers? -> Aug: Can you facilitate bank transfers for top-ups?
