GEN | [visa_or_mastercard] | Orig: Do I have to pick a creditcard brand? -> Aug: Must I choose between Visa or Mastercard?
GEN | [beneficiary_not_allowed] | Orig: My account transfer was not cleared. -> Aug: The transfer to the intended recipient was unsuccessful.
GEN | [cash_withdrawal_not_recognised] | Orig: I believe my card has been compromised as there are funds showing that I did not receive. -> Aug: I'm concerned that my card has been compromised because I'm seeing transactions that I didn't authorize.
GEN | [pending_transfer] | Orig: How long do EU transfers actually take? I bought something online a couple days ago, sent the money immediately online but the seller says it's still not there yet. -> Aug: How long does it typically take for international transfers to be processed? I made an online purchase a few days ago and initiated the transfer promptly, but the vendor is telling me that the funds are still pending.
GEN | [card_not_working] | Orig: Why can't I use my card? -> Aug: Why is my card not functioning properly?
GEN | [card_arrival] | Orig: I want to find out what happened to my new card? -> Aug: I'm trying to figure out what's going on with my recently issued card.
GEN | [transfer_not_received_by_recipient] | Orig: Two days ago I did a transfer to another account within the country.  It doesn't appear the transfer went through.  I have verified the account number several times.  Could you please check on this for me? -> Aug: I made a domestic transfer two days ago, but it seems the recipient hasn't received the funds. I've double-checked the account number to ensure it's correct. Could you look into this matter for me?
GEN | [balance_not_updated_after_cheque_or_cash_deposit] | Orig: the balance has not changed, but I have deposited some money -> Aug: The balance remains the same, despite the recent deposit.
GEN | [card_payment_fee_charged] | Orig: Why am I being a charged for using my card? -> Aug: I'm not sure why I'm being charged a fee for making a payment with my card.
GEN | [verify_top_up] | Orig: Where's my top up code? -> Aug: Can you please provide me with my top-up code?
GEN | [transfer_timing] | Orig: I need to make a transfer from Europe, how many days does this take? -> Aug: What is the typical timeframe for processing international transfers from Europe?
GEN | [lost_or_stolen_card] | Orig: Help!  I fear that my card was stolen, -> Aug: I'm worried that my card has been stolen.
GEN | [visa_or_mastercard] | Orig: Can I choose my card scheme? -> Aug: May I select my preferred payment method, such as Visa or Mastercard?
GEN | [get_disposable_virtual_card] | Orig: I want to make an online purchase but I don't want to use my credit card. Can you tell me how a disposable virtual card works and where I can apply for one? -> Aug: I'd like to make an online purchase without using my credit card. Can you explain how a temporary virtual card works and where I can obtain one for this transaction?
GEN | [virtual_card_not_working] | Orig: Why is my disposable card not working? -> Aug: Why is my temporary card not functioning properly?
GEN | [pending_card_payment] | Orig: I have a payment which has not been approved. -> Aug: A payment I made has not yet been processed.
GEN | [card_payment_fee_charged] | Orig: Why did I have to pay an additional amount when using my card to pay? -> Aug: Why was I charged an extra fee when I used my card to make a payment?
GEN | [top_up_by_bank_transfer_charge] | Orig: If I top-up by using a trasfer are there charges that applied? -> Aug: If I make a top-up payment via bank transfer, are there any charges involved?
GEN | [transfer_fee_charged] | Orig: Someone that I had to send money to told me that they didn't receive the full amount I sent them - can you look into this? -> Aug: They informed me that they didn't receive the entire amount I transferred to them, and I'd appreciate it if you could investigate this issue.
GEN | [direct_debit_payment_not_recognised] | Orig: Is there a way for you to find out why my account was deducted from a seller when I didn't approve of it? -> Aug: We're trying to investigate why a direct debit payment was made from your account without your consent.
GEN | [top_up_by_cash_or_cheque] | Orig: how do i find top up for cash deposit -> Aug: how can I proceed with a cash deposit or cheque top-up?
GEN | [compromised_card] | Orig: I just got an email in confirming my purchase with my card. I login to the mobile app on the card and found out there are several purchase were made without me aware of it. Evidently someone had stole my card information and made these fraudulent purchase. I need the transaction to be reverse and have my card suspended. -> Aug: I recently received an email confirming a purchase made with my card, but when I checked my account on the mobile app, I discovered several unauthorized transactions. It appears that someone has compromised my card information and made these fraudulent purchases. I would like to have these transactions reversed and my card temporarily suspended.
GEN | [transfer_timing] | Orig: I desperately need to transfer something from China, Please give me the wait time. -> Aug: I urgently require a transfer from China, Could you please provide the estimated wait time?
GEN | [country_support] | Orig: Can I use this all over the world? -> Aug: Can I access this service globally or internationally?
GEN | [transfer_timing] | Orig: How quickly can I transfer something to China? -> Aug: What is the timing for transferring funds to China?
GEN | [transfer_timing] | Orig: How long do I have to wait for a US transfer? -> Aug: What is the typical timeframe for a US transfer to be processed?
GEN | [transfer_into_account] | Orig: How can I link my bank to my top up account? -> Aug: How can I connect my bank account to my transfer account?
GEN | [transfer_not_received_by_recipient] | Orig: I don't see the transaction I made to a friend on my account. -> Aug: I'm unable to locate the transfer I sent to a friend from my account.
GEN | [transfer_timing] | Orig: How long does it take for the money to show up in my account? -> Aug: When can I expect the funds to be credited to my account?
GEN | [declined_transfer] | Orig: I think there has been a mistake with my transfer -> Aug: I believe there's been an error with the transfer I initiated
GEN | [top_up_by_card_charge] | Orig: How much does it cost to us US cards? -> Aug: What is the charge for topping up using a US-issued card?
GEN | [declined_transfer] | Orig: How do I make my transfer go through -> Aug: Why was my transfer rejected?
GEN | [pending_transfer] | Orig: It seems like I have been waiting forever for this international transfer. Why is it taking so long? C'mon, it's 2018, things happen at a click of a button. All of the account information is correct, so how long will this take? -> Aug: This international transfer has been pending for an eternity. Can you please explain the delay? I'm expecting a seamless process, especially considering the current technology. The account details are accurate, so I'm curious about the expected timeframe.
