GEN | [transfer_not_received_by_recipient] | Orig: I do not know where the transaction is. -> Aug: I'm not aware of the status of the transfer.
GEN | [transfer_not_received_by_recipient] | Orig: When will I get my money? It's been too long. -> Aug: Why hasn't my transfer arrived yet? It's been an unacceptable delay.
GEN | [declined_transfer] | Orig: Why do you keep declining my transfers? it's always been working really well so far but when I tried to buy something just now the card got declined . I tried couple of times already  but same thing is happening . -> Aug: I'm confused, I've always been able to make transfers without any issues, but when I tried to make a recent purchase, my card was declined. I've tried a few times, but the result is the same - my transfer is being declined.
GEN | [card_payment_fee_charged] | Orig: Is there an allowance on cards? -> Aug: Are there any exceptions or waivers for card payment fees?
GEN | [fiat_currency_support] | Orig: Will you be adding more currencies in the future? -> Aug: Are there any plans to expand the list of supported fiat currencies in the future?
GEN | [transfer_not_received_by_recipient] | Orig: wheres my money receipt -> Aug: I haven't received the transfer yet.
GEN | [transfer_timing] | Orig: How long will I have to wait for my money to be in my account? -> Aug: When can I expect my funds to be available in my account?
GEN | [visa_or_mastercard] | Orig: Why can I not choose the card i want? -> Aug: Why can't I select the credit card I prefer, whether it's Visa or Mastercard?
GEN | [automatic_top_up] | Orig: Will the system automatically update once there is no more money left? -> Aug: Will the automatic top-up feature trigger a refill when my account balance reaches zero?
GEN | [exchange_rate] | Orig: Does this app have the same exchange rate as third parties? -> Aug: Is the exchange rate offered by this app identical to those provided by other third-party services?
GEN | [exchange_via_app] | Orig: I am from X but am traveling to Y - how do I get currency for Y? -> Aug: I'm currently in X but heading to Y, and I'd like to know how to obtain the local currency for Y using the app.
GEN | [country_support] | Orig: Who gets support? -> Aug: Who is eligible for assistance?
GEN | [atm_support] | Orig: I need help from someone in your department with finding my nearest ATM. -> Aug: I require assistance from your team to locate the closest ATM location.
GEN | [reverted_card_payment?] | Orig: What happens if a merchant doesn't accept  you payment? -> Aug: What happens if a payment to a merchant is declined or reversed?
GEN | [virtual_card_not_working] | Orig: I can't do any business with this virtual card. -> Aug: I'm unable to complete any transactions with this virtual card.
GEN | [getting_spare_card] | Orig: Please tell me if I'm going to be charged for sending out more cards? -> Aug: Can you inform me if I'll be charged for requesting additional cards?
GEN | [failed_transfer] | Orig: Your system is broken. My transfers keep failing, 5 times now. -> Aug: My transfers are consistently failing, and I've experienced this issue at least 5 times.
GEN | [cash_withdrawal_not_recognised] | Orig: Some cash shows up on my app. -> Aug: There's an unexpected cash withdrawal showing up on my account.
GEN | [getting_spare_card] | Orig: How much is it to buy another card? I was hoping to buy another one. -> Aug: Can I get a new card? I'd like to purchase an additional one.
GEN | [passcode_forgotten] | Orig: Please help me.  I don't know my code to get into the app. -> Aug: I'm having trouble remembering my passcode to access the app.
GEN | [reverted_card_payment?] | Orig: I purchased something and already received it, why hasn't the money taken out? -> Aug: I made a purchase and got the item, but the payment hasn't been deducted from my account yet?
GEN | [balance_not_updated_after_bank_transfer] | Orig: Please check to see if the band transfer I made a while ago from my UK account has safely arrived. -> Aug: Please investigate whether the bank transfer I initiated a while back from my UK account has successfully reached its destination.
GEN | [fiat_currency_support] | Orig: Are there any fiat currencies that you will not work with? -> Aug: We do not support transactions in certain fiat currencies. Can you please let us know which one you are referring to?
GEN | [reverted_card_payment?] | Orig: I tried to buy something online but my funds were transferred back to my account. What is happening? -> Aug: Why did the payment I made online get reversed and credited back to my account?
GEN | [balance_not_updated_after_bank_transfer] | Orig: I did a transfer but the balance is the same. -> Aug: I made a transfer, but my account balance hasn't been updated.
GEN | [top_up_by_bank_transfer_charge] | Orig: I want to do a swift transfer -> Aug: I'd like to make a bank transfer to top up my account.
GEN | [wrong_exchange_rate_for_cash_withdrawal] | Orig: An overseas cash transfer did not work correctly -> Aug: The exchange rate used for the cash withdrawal was incorrect.
GEN | [change_pin] | Orig: I must change my PIN as soon as possible. -> Aug: I need to update my PIN immediately.
GEN | [card_payment_not_recognised] | Orig: Is there any way to know how the transaction got on my account? -> Aug: Can you help me understand how the payment was processed on my account?
GEN | [cash_withdrawal_charge] | Orig: How come I got to pay to get my money from the ATM? -> Aug: Why do I have to pay a fee to withdraw cash from the ATM?
GEN | [declined_transfer] | Orig: Why do you keep declining my transfers? it's always been working really well so far but when I tried to buy something just now the card got declined, I tried couple of times already  but same thing is happening. -> Aug: I'm confused, I've been making transfers without any issues, but just now, when I tried to make another one, it got declined. I've tried a few times, but the result is the same. Can you help me figure out what's going on?
GEN | [top_up_by_cash_or_cheque] | Orig: I need a hand here, I need to top up cash. -> Aug: I require assistance with topping up my account using cash.
GEN | [why_verify_identity] | Orig: If my identy verifacation hasn't gone through can I use my account? -> Aug: If my identity verification process hasn't been completed, can I still access my account?
GEN | [pending_cash_withdrawal] | Orig: Hae there, I have a transaction that is in progress despite the fact that the ATM was not working, what do I do to avoid being charged? -> Aug: I'm experiencing a pending cash withdrawal issue, as the ATM was malfunctioning, and I'm concerned about being charged for the transaction. What can I do to resolve this situation?
GEN | [balance_not_updated_after_bank_transfer] | Orig: Im going to need to make a transfer from a UK account but I need it to go through ASAP. Is that going to be possible or will it take forever?? Im hoping it will be a couple hours and not a couple weeks. -> Aug: I'm planning to initiate a transfer from a UK account, but I'm concerned that my account balance won't be updated immediately. Can you confirm if the transfer will be processed quickly, or will it take an extended period of time?
GEN | [top_up_by_bank_transfer_charge] | Orig: Am I able to do a SWIFT transfer with you? -> Aug: Can I initiate a bank transfer to top up my account with you?
GEN | [why_verify_identity] | Orig: I still want to use my account but haven't verified is that OK? -> Aug: I'd like to continue using my account, but I haven't completed the verification process. Is that acceptable?
