GEN | [verify_source_of_funds] | Orig: Can I track history on funds? -> Aug: Can I review the origin of the funds?
GEN | [compromised_card] | Orig: I just got an email in confirming my purchase with my card. I login to the mobile app on the card and found out there are several purchase were made without me aware of it. Evidently someone had stole my card information and made these fraudulent purchase. I need the transaction to be reverse and have my card suspended. -> Aug: I recently received an email confirming a purchase made with my card, but when I checked my account on the mobile app, I discovered several unauthorized transactions. It appears that someone has compromised my card information and made these fraudulent purchases. I would like to have these transactions reversed and my card temporarily suspended.
GEN | [country_support] | Orig: Can I use this all over the world? -> Aug: Can I access this service globally or internationally?
GEN | [unable_to_verify_identity] | Orig: app malfunctioning, does not know its me -> Aug: We're experiencing technical difficulties, and our system is unable to recognize your identity.
GEN | [card_linking] | Orig: I just got my card.  It's not linked yet--how do I do that? -> Aug: I recently received my new card, but it's not currently linked to my account. Can you guide me on the process to link it?
GEN | [unable_to_verify_identity] | Orig: I dont have identification -> Aug: We're having trouble confirming your identity.
GEN | [card_linking] | Orig: I don't see my card anywhere in the app. -> Aug: I'm unable to locate my card within the app.
GEN | [get_disposable_virtual_card] | Orig: Will you tell me how I am supposed to use the disposable cards? -> Aug: Can you explain the process for utilizing the virtual disposable cards?
GEN | [country_support] | Orig: Can I get a card that works in other countries like Africa and Indonesia? -> Aug: Can I obtain a card that is widely accepted in various countries, including those in Africa and Indonesia?
GEN | [activate_my_card] | Orig: How can i make my card active? -> Aug: What steps can I take to activate my card?
GEN | [card_linking] | Orig: Card has been received, how will it show up on the app? -> Aug: How will the newly received card be reflected in the app?
GEN | [cancel_transfer] | Orig: The wrong account was used during a transaction. -> Aug: The incorrect account was mistakenly used for a transfer.
GEN | [compromised_card] | Orig: There's a possibility that my card was compromised. -> Aug: My card may have been compromised.
GEN | [pin_blocked] | Orig: My PIN can't access my card, can you help?. -> Aug: I'm having trouble accessing my card with my PIN, can you assist me?
GEN | [card_linking] | Orig: I would like to link my card to my account. -> Aug: I'd like to connect my card to my account.
GEN | [transaction_charged_twice] | Orig: My account seems a bit off and getting weird charges. -> Aug: My account appears to be experiencing some unusual activity, with duplicate charges showing up.
GEN | [Refund_not_showing_up] | Orig: I requested a refund from a merchant a while ago, and upon repeatedly checking my statement, the merchant has yet to refund me my money.  I don't know what's going on, or why the money is getting into my account--could you please help? -> Aug: I've been waiting for a refund from a merchant for some time now, but I've checked my statement multiple times and haven't seen the refund appear. Can you assist me in figuring out what's happening and why the refund hasn't been processed yet?
GEN | [top_up_by_card_charge] | Orig: Do you charge a fee for adding money in USD? -> Aug: Is there a charge for topping up my account using my card in USD?
GEN | [card_arrival] | Orig: How long should it take for my new card to arrive in them mail? What should I do if I never receive it? -> Aug: When can I expect my new card to arrive by mail? What should I do if it doesn't show up?
GEN | [pending_card_payment] | Orig: I have a payment which has not been approved. -> Aug: A payment I made has not yet been processed.
GEN | [reverted_card_payment?] | Orig: I had a seller reach out to me saying my money didn't come through to them, but I'm sure it was removed from my account. Can you figure out what the deal is here? -> Aug: I'm trying to understand why the payment I made wasn't credited to the seller, as they're saying it didn't go through. Can you help me resolve this issue?
GEN | [Refund_not_showing_up] | Orig: I requested a refund for a large order the other day and don't think I received the funds. Can you tell me if you see them or not? -> Aug: I'm concerned that the refund for my recent, substantial purchase hasn't been processed. Could you check if the refund has been issued or not?
GEN | [reverted_card_payment?] | Orig: I cancelled my card payment -> Aug: Did you reverse the payment on your card?
GEN | [lost_or_stolen_phone] | Orig: I just replaced my phone but how do I use my card information? -> Aug: I recently got a new phone, but how do I access my card details?
GEN | [get_physical_card] | Orig: I haven't been sent my new pin! -> Aug: I need to receive my physical card.
GEN | [pin_blocked] | Orig: While I was drunk, I goofed my PIN number and your machine ate my card. How can I get it back? -> Aug: I made a mistake while entering my PIN and your ATM swallowed my card. Can I retrieve it?
GEN | [top_up_failed] | Orig: How can correct Top up with the app to work correctly? -> Aug: Why is the top-up process not functioning properly when attempting to use the app?
GEN | [visa_or_mastercard] | Orig: Can I choose my card scheme? -> Aug: May I select my preferred payment method, such as Visa or Mastercard?
GEN | [fiat_currency_support] | Orig: Is my country's currency supported by your system? -> Aug: Does your bank support transactions in my local currency?
GEN | [transfer_into_account] | Orig: How is my money transferred to the account -> Aug: What steps can I take to move my funds into the account?
GEN | [reverted_card_payment?] | Orig: I have an issue. I bought something within the past one to two weeks and have received one of the products; however, today the total was returned to my account. What's going on here? -> Aug: I recently made a purchase, and although I received one of the items, the full amount was reversed back to my account. Can you help me understand what's happening?
GEN | [cancel_transfer] | Orig: Hey i need help urgently. I just realised I sent my payment to the wrong account number, there is a typo! Please cancel it immediately, I can't do it anymore from the app -> Aug: I urgently need assistance. I've just discovered that I mistakenly sent a payment to the incorrect account number, and there's a typo involved. Could you please cancel the transfer as soon as possible? I'm unable to do so through the app.
GEN | [reverted_card_payment?] | Orig: Around one or two weeks ago I purchased something but there's seems to be an issue. I have already received one of the items, but today the money was placed back into my account. What is happening? -> Aug: I recently made a purchase, but there's a problem. I received one item, but the payment was reversed and the amount was credited back to my account. What's going on?
GEN | [apple_pay_or_google_pay] | Orig: I have received my American express in apple play, looks like top up has an issue, please help? -> Aug: I've received my American Express payment through Apple Pay, but it seems the top-up process is experiencing an issue, could you assist me with this?
GEN | [pin_blocked] | Orig: I cannot use my PIN. -> Aug: I'm having trouble accessing my account due to a PIN issue.
GEN | [card_arrival] | Orig: I am still waiting on my card? -> Aug: I'm still expecting my card to arrive.
VAL | [verify_source_of_funds] | ACCEPT | Reason: N/A | Original: Can I track history on funds? | Augmented: Can I review the origin of the funds?
VAL | [compromised_card] | ACCEPT | Reason: The augmented text clearly conveys the same issue of unauthorized transactions and the need for action, which aligns with the 'compromised_card' intent. There are no contradictions or unsupported details added. | Original: I just got an email in confirming my purchase with my card. I login to the mobile app on the card and found out there are several purchase were made without me aware of it. Evidently someone had stole my card information and made these fraudulent purchase. I need the transaction to be reverse and have my card suspended. | Augmented: I recently received an email confirming a purchase made with my card, but when I checked my account on the mobile app, I discovered several unauthorized transactions. It appears that someone has compromised my card information and made these fraudulent purchases. I would like to have these transactions reversed and my card temporarily suspended.
VAL | [country_support] | ACCEPT | Reason: N/A | Original: Can I use this all over the world? | Augmented: Can I access this service globally or internationally?
VAL | [unable_to_verify_identity] | ACCEPT | Reason: N/A | Original: app malfunctioning, does not know its me | Augmented: We're experiencing technical difficulties, and our system is unable to recognize your identity.
VAL | [card_linking] | ACCEPT | Reason: The augmented text does not change the intent; it merely rephrases the original request in a more detailed manner. | Original: I just got my card.  It's not linked yet--how do I do that? | Augmented: I recently received my new card, but it's not currently linked to my account. Can you guide me on the process to link it?
VAL | [unable_to_verify_identity] | ACCEPT | Reason: N/A | Original: I dont have identification | Augmented: We're having trouble confirming your identity.
VAL | [card_linking] | ACCEPT | Reason: ... | Original: I don't see my card anywhere in the app. | Augmented: I'm unable to locate my card within the app.
VAL | [get_disposable_virtual_card] | ACCEPT | Reason: ... | Original: Will you tell me how I am supposed to use the disposable cards? | Augmented: Can you explain the process for utilizing the virtual disposable cards?
VAL | [country_support] | ACCEPT | Reason: N/A | Original: Can I get a card that works in other countries like Africa and Indonesia? | Augmented: Can I obtain a card that is widely accepted in various countries, including those in Africa and Indonesia?
VAL | [activate_my_card] | ACCEPT | Reason: ... | Original: How can i make my card active? | Augmented: What steps can I take to activate my card?
VAL | [card_linking] | ACCEPT | Reason: Both texts are asking about the reflection of a newly received card in the app, which is directly related to the card linking process. | Original: Card has been received, how will it show up on the app? | Augmented: How will the newly received card be reflected in the app?
VAL | [cancel_transfer] | ACCEPT | Reason: N/A | Original: The wrong account was used during a transaction. | Augmented: The incorrect account was mistakenly used for a transfer.
VAL | [compromised_card] | ACCEPT | Reason: ... | Original: There's a possibility that my card was compromised. | Augmented: My card may have been compromised.
VAL | [pin_blocked] | ACCEPT | Reason: ... | Original: My PIN can't access my card, can you help?. | Augmented: I'm having trouble accessing my card with my PIN, can you assist me?
VAL | [card_linking] | ACCEPT | Reason: Both sentences express the action of associating a card with an account, which is the core of the 'card_linking' intent. | Original: I would like to link my card to my account. | Augmented: I'd like to connect my card to my account.
VAL | [transaction_charged_twice] | ACCEPT | Reason: N/A | Original: My account seems a bit off and getting weird charges. | Augmented: My account appears to be experiencing some unusual activity, with duplicate charges showing up.
VAL | [Refund_not_showing_up] | ACCEPT | Reason: ... | Original: I requested a refund from a merchant a while ago, and upon repeatedly checking my statement, the merchant has yet to refund me my money.  I don't know what's going on, or why the money is getting into my account--could you please help? | Augmented: I've been waiting for a refund from a merchant for some time now, but I've checked my statement multiple times and haven't seen the refund appear. Can you assist me in figuring out what's happening and why the refund hasn't been processed yet?
VAL | [top_up_by_card_charge] | ACCEPT | Reason: N/A | Original: Do you charge a fee for adding money in USD? | Augmented: Is there a charge for topping up my account using my card in USD?
VAL | [card_arrival] | ACCEPT | Reason: ... | Original: How long should it take for my new card to arrive in them mail? What should I do if I never receive it? | Augmented: When can I expect my new card to arrive by mail? What should I do if it doesn't show up?
VAL | [pending_card_payment] | ACCEPT | Reason: ... | Original: I have a payment which has not been approved. | Augmented: A payment I made has not yet been processed.
VAL | [reverted_card_payment?] | ACCEPT | Reason: N/A | Original: I had a seller reach out to me saying my money didn't come through to them, but I'm sure it was removed from my account. Can you figure out what the deal is here? | Augmented: I'm trying to understand why the payment I made wasn't credited to the seller, as they're saying it didn't go through. Can you help me resolve this issue?
VAL | [Refund_not_showing_up] | ACCEPT | Reason: ... | Original: I requested a refund for a large order the other day and don't think I received the funds. Can you tell me if you see them or not? | Augmented: I'm concerned that the refund for my recent, substantial purchase hasn't been processed. Could you check if the refund has been issued or not?
VAL | [reverted_card_payment?] | ACCEPT | Reason: N/A | Original: I cancelled my card payment | Augmented: Did you reverse the payment on your card?
VAL | [lost_or_stolen_phone] | ACCEPT | Reason: N/A | Original: I just replaced my phone but how do I use my card information? | Augmented: I recently got a new phone, but how do I access my card details?
VAL | [get_physical_card] | UNKNOWN | Reason: N/A | Original: I haven't been sent my new pin! | Augmented: I need to receive my physical card.
VAL | [pin_blocked] | ACCEPT | Reason: N/A | Original: While I was drunk, I goofed my PIN number and your machine ate my card. How can I get it back? | Augmented: I made a mistake while entering my PIN and your ATM swallowed my card. Can I retrieve it?
VAL | [top_up_failed] | ACCEPT | Reason: N/A | Original: How can correct Top up with the app to work correctly? | Augmented: Why is the top-up process not functioning properly when attempting to use the app?
VAL | [visa_or_mastercard] | UNKNOWN | Reason: N/A | Original: Can I choose my card scheme? | Augmented: May I select my preferred payment method, such as Visa or Mastercard?
VAL | [fiat_currency_support] | ACCEPT | Reason: N/A | Original: Is my country's currency supported by your system? | Augmented: Does your bank support transactions in my local currency?
VAL | [transfer_into_account] | ACCEPT | Reason: N/A | Original: How is my money transferred to the account | Augmented: What steps can I take to move my funds into the account?
VAL | [reverted_card_payment?] | ACCEPT | Reason: ... | Original: I have an issue. I bought something within the past one to two weeks and have received one of the products; however, today the total was returned to my account. What's going on here? | Augmented: I recently made a purchase, and although I received one of the items, the full amount was reversed back to my account. Can you help me understand what's happening?
