GEN | [card_linking] | Orig: I have one of your cards, but I don't know how to link it. -> Aug: I'm having trouble linking one of my cards to my account.
GEN | [topping_up_by_card] | Orig: What information am I going to have to have in order to do a transfer with my card? -> Aug: What details do I need to provide to complete a card-based transfer?
GEN | [receiving_money] | Orig: Do I need to do anything special for my friend to send money to my account? -> Aug: What steps should my friend take to transfer funds to my account?
GEN | [exchange_via_app] | Orig: What's the process of changing from GBP to AUD? -> Aug: How do I convert my funds from British Pounds (GBP) to Australian Dollars (AUD) using the app?
GEN | [top_up_by_bank_transfer_charge] | Orig: How much will it cost me for a SEPA transfer? -> Aug: What is the fee for a bank transfer using the Single Euro Payments Area (SEPA) system?
GEN | [top_up_by_bank_transfer_charge] | Orig: How much will it be in order to pay with a bank transfer using SEPA? -> Aug: What is the fee for topping up my account using a bank transfer via SEPA?
GEN | [exchange_via_app] | Orig: I am trying to exchange AUD for GBP, how do I do that? -> Aug: I'm looking to convert my AUD to GBP through the app, can you guide me on the process?
GEN | [verify_source_of_funds] | Orig: Is there a way for me to check my balance? -> Aug: Can you confirm the origin of the funds in my account before I check my balance?
GEN | [top_up_by_bank_transfer_charge] | Orig: Are there fees for receiving a SEPA transfer? -> Aug: Is there a charge for topping up my account via bank transfer?
GEN | [card_linking] | Orig: If I have a credit card with you how I get set up to link to it? -> Aug: If I already have a credit card account with your bank, how do I go about linking it to my profile?
GEN | [pin_blocked] | Orig: How do I take a block off my card? -> Aug: What steps can I take to remove the block on my card?
GEN | [supported_cards_and_currencies] | Orig: why don't you accept american express for adding money to my account -> Aug: Why can't I use my American Express card to fund my account?
GEN | [top_up_by_bank_transfer_charge] | Orig: Would I be able to use SWIFT transfers? -> Aug: Can I use international bank transfers to top up my account?
GEN | [topping_up_by_card] | Orig: My friends would like to add to my account. What is the procedure? -> Aug: How can I add funds to my account using my card?
GEN | [exchange_via_app] | Orig: I'm having difficulties changing AUD for GBP. How do I do this? -> Aug: I'm having trouble exchanging Australian dollars for British pounds. Can you guide me through the process?
GEN | [verify_my_identity] | Orig: why do I need to show ID -> Aug: what's the purpose of verifying my identity
GEN | [receiving_money] | Orig: How can my boss pay me directly to the card? -> Aug: How can my boss deposit funds directly to my card?
GEN | [country_support] | Orig: May I get one of your cards?  I live in the EU. -> Aug: Might I request a card, as I am a resident of the European Union?
GEN | [top_up_by_bank_transfer_charge] | Orig: What does it cost to receive a SEPA transfer? -> Aug: What is the charge for receiving a bank transfer via SEPA?
GEN | [top_up_by_bank_transfer_charge] | Orig: are SWIFT transfers an option? -> Aug: Can I use a bank transfer to top up my account?
GEN | [card_acceptance] | Orig: Can I use my card for online payments? -> Aug: Is my credit card accepted for online transactions?
GEN | [top_up_by_bank_transfer_charge] | Orig: Can I Transfer from SWIFT? -> Aug: Can I make a bank transfer to top up my account?
GEN | [top_up_by_cash_or_cheque] | Orig: Can I purchase with cash or cheque? -> Aug: May I pay using cash or by cheque?
GEN | [exchange_via_app] | Orig: Can I use this app to change money? -> Aug: Can I make a currency exchange using this mobile app?
GEN | [exchange_via_app] | Orig: I can't figure out how to change GBP to AUD, what do I do? -> Aug: I'm having trouble converting my GBP to AUD, can you help me with that?
GEN | [failed_transfer] | Orig: The transger I tried to make failed. -> Aug: The transfer I attempted did not go through.
GEN | [top_up_by_cash_or_cheque] | Orig: how can i add money to my account if you don't accept cash -> Aug: Can I deposit funds into my account if you don't accept cash?
GEN | [top_up_by_bank_transfer_charge] | Orig: Will there be a fee if I receive a SEPA transfer -> Aug: Will there be a charge if I top up my account via bank transfer?
GEN | [exchange_via_app] | Orig: Can this convert money? -> Aug: Can I make an exchange using the app?
GEN | [verify_top_up] | Orig: What is the verification process for my card? -> Aug: How do I confirm my card details for a top-up?
GEN | [top_up_by_bank_transfer_charge] | Orig: Is there a fee for a SEPA transfer -> Aug: Are there any charges associated with a bank transfer for topping up my account?
GEN | [country_support] | Orig: I'm in the EU. Can I get one of your cards? -> Aug: I'm a resident of the European Union. Can I obtain one of your credit cards?
GEN | [receiving_money] | Orig: What do I need to do to receive my payroll in the account? -> Aug: How can I get my payroll deposited into my account?
GEN | [card_linking] | Orig: Could I reactivate my card please, I couldn't find it but it turns out it was in my jacket pocket. -> Aug: Could you please reactivate my card, as I initially misplaced it but have since located it in my jacket pocket?
GEN | [pending_top_up] | Orig: I have a new card and I can't add money to it.  I tried about 30 minutes ago and it is still pending.  What do I do? -> Aug: I've just got a new card and I'm having trouble topping it up. I attempted to add funds about half an hour ago, but the transaction is still pending. Can you help me resolve this issue?
GEN | [supported_cards_and_currencies] | Orig: Can I electronically transfer funds into my account from my American Express? -> Aug: Can I make an electronic transfer into my account using my American Express card?
GEN | [visa_or_mastercard] | Orig: Does it matter which card I use -> Aug: Is the type of credit card I use significant?
VAL | [card_linking] | ACCEPT | Reason: ... | Original: I have one of your cards, but I don't know how to link it. | Augmented: I'm having trouble linking one of my cards to my account.
VAL | [topping_up_by_card] | ACCEPT | Reason: N/A | Original: What information am I going to have to have in order to do a transfer with my card? | Augmented: What details do I need to provide to complete a card-based transfer?
VAL | [receiving_money] | ACCEPT | Reason: N/A | Original: Do I need to do anything special for my friend to send money to my account? | Augmented: What steps should my friend take to transfer funds to my account?
VAL | [exchange_via_app] | ACCEPT | Reason: ... | Original: What's the process of changing from GBP to AUD? | Augmented: How do I convert my funds from British Pounds (GBP) to Australian Dollars (AUD) using the app?
VAL | [top_up_by_bank_transfer_charge] | ACCEPT | Reason: N/A | Original: How much will it cost me for a SEPA transfer? | Augmented: What is the fee for a bank transfer using the Single Euro Payments Area (SEPA) system?
VAL | [top_up_by_bank_transfer_charge] | ACCEPT | Reason: N/A | Original: How much will it be in order to pay with a bank transfer using SEPA? | Augmented: What is the fee for topping up my account using a bank transfer via SEPA?
VAL | [exchange_via_app] | ACCEPT | Reason: ... | Original: I am trying to exchange AUD for GBP, how do I do that? | Augmented: I'm looking to convert my AUD to GBP through the app, can you guide me on the process?
VAL | [verify_source_of_funds] | ACCEPT | Reason: N/A | Original: Is there a way for me to check my balance? | Augmented: Can you confirm the origin of the funds in my account before I check my balance?
VAL | [top_up_by_bank_transfer_charge] | UNKNOWN | Reason: N/A | Original: Are there fees for receiving a SEPA transfer? | Augmented: Is there a charge for topping up my account via bank transfer?
VAL | [card_linking] | ACCEPT | Reason: ... | Original: If I have a credit card with you how I get set up to link to it? | Augmented: If I already have a credit card account with your bank, how do I go about linking it to my profile?
VAL | [pin_blocked] | ACCEPT | Reason: N/A | Original: How do I take a block off my card? | Augmented: What steps can I take to remove the block on my card?
VAL | [supported_cards_and_currencies] | ACCEPT | Reason: The augmented text maintains the core question about the acceptance of a specific card for funding an account, which is consistent with the target intent. | Original: why don't you accept american express for adding money to my account | Augmented: Why can't I use my American Express card to fund my account?
VAL | [top_up_by_bank_transfer_charge] | ACCEPT | Reason: N/A | Original: Would I be able to use SWIFT transfers? | Augmented: Can I use international bank transfers to top up my account?
VAL | [topping_up_by_card] | ACCEPT | Reason: N/A | Original: My friends would like to add to my account. What is the procedure? | Augmented: How can I add funds to my account using my card?
VAL | [exchange_via_app] | ACCEPT | Reason: ... | Original: I'm having difficulties changing AUD for GBP. How do I do this? | Augmented: I'm having trouble exchanging Australian dollars for British pounds. Can you guide me through the process?
VAL | [verify_my_identity] | REVIEW | Reason: N/A | Original: why do I need to show ID | Augmented: what's the purpose of verifying my identity
VAL | [receiving_money] | ACCEPT | Reason: N/A | Original: How can my boss pay me directly to the card? | Augmented: How can my boss deposit funds directly to my card?
VAL | [country_support] | ACCEPT | Reason: N/A | Original: May I get one of your cards?  I live in the EU. | Augmented: Might I request a card, as I am a resident of the European Union?
VAL | [top_up_by_bank_transfer_charge] | ACCEPT | Reason: N/A | Original: What does it cost to receive a SEPA transfer? | Augmented: What is the charge for receiving a bank transfer via SEPA?
VAL | [top_up_by_bank_transfer_charge] | ACCEPT | Reason: N/A | Original: are SWIFT transfers an option? | Augmented: Can I use a bank transfer to top up my account?
VAL | [card_acceptance] | ACCEPT | Reason: ... | Original: Can I use my card for online payments? | Augmented: Is my credit card accepted for online transactions?
VAL | [top_up_by_bank_transfer_charge] | ACCEPT | Reason: N/A | Original: Can I Transfer from SWIFT? | Augmented: Can I make a bank transfer to top up my account?
VAL | [top_up_by_cash_or_cheque] | ACCEPT | Reason: Both texts are asking about the possibility of paying for something using cash or cheque, preserving the same intent. | Original: Can I purchase with cash or cheque? | Augmented: May I pay using cash or by cheque?
VAL | [exchange_via_app] | ACCEPT | Reason: ... | Original: Can I use this app to change money? | Augmented: Can I make a currency exchange using this mobile app?
VAL | [exchange_via_app] | ACCEPT | Reason: ... | Original: I can't figure out how to change GBP to AUD, what do I do? | Augmented: I'm having trouble converting my GBP to AUD, can you help me with that?
VAL | [failed_transfer] | ACCEPT | Reason: ... | Original: The transger I tried to make failed. | Augmented: The transfer I attempted did not go through.
VAL | [top_up_by_cash_or_cheque] | ACCEPT | Reason: N/A | Original: how can i add money to my account if you don't accept cash | Augmented: Can I deposit funds into my account if you don't accept cash?
VAL | [top_up_by_bank_transfer_charge] | ACCEPT | Reason: N/A | Original: Will there be a fee if I receive a SEPA transfer | Augmented: Will there be a charge if I top up my account via bank transfer?
VAL | [exchange_via_app] | ACCEPT | Reason: N/A | Original: Can this convert money? | Augmented: Can I make an exchange using the app?
VAL | [verify_top_up] | ACCEPT | Reason: N/A | Original: What is the verification process for my card? | Augmented: How do I confirm my card details for a top-up?
VAL | [top_up_by_bank_transfer_charge] | ACCEPT | Reason: N/A | Original: Is there a fee for a SEPA transfer | Augmented: Are there any charges associated with a bank transfer for topping up my account?
VAL | [country_support] | ACCEPT | Reason: N/A | Original: I'm in the EU. Can I get one of your cards? | Augmented: I'm a resident of the European Union. Can I obtain one of your credit cards?
