GEN | [verify_source_of_funds] | Orig: Where do my available funds come from? -> Aug: What is the origin of the funds currently available in my account?
GEN | [verify_source_of_funds] | Orig: Where do my funds originate from? -> Aug: What is the source of the funds in my account?
GEN | [extra_charge_on_statement] | Orig: Why is there a pending hold on one pound on my statement? -> Aug: What's the reason for the extra charge showing up on my statement?
GEN | [verify_source_of_funds] | Orig: What do I need to see my source of money? -> Aug: Can you please confirm the origin of your funds so I can assist you further?
GEN | [verify_source_of_funds] | Orig: How can I tell the source for my available funds? -> Aug: What steps can I take to confirm the origin of my current account balance?
GEN | [get_disposable_virtual_card] | Orig: What is the procedure for depositing a virtual card -> Aug: How do I obtain a disposable virtual card and use it for transactions?
GEN | [receiving_money] | Orig: How do I know what my account is set to, I am paid in GBP? -> Aug: How can I confirm my account's default currency, as I receive payments in British Pounds?
GEN | [verify_source_of_funds] | Orig: what is source of my money -> Aug: where is the origin of the funds used for this transaction?
GEN | [verify_source_of_funds] | Orig: What source do my fund come from? -> Aug: From where do the funds originate?
GEN | [verify_source_of_funds] | Orig: What is my source of funds? -> Aug: Can you confirm the origin of the funds used for this transaction?
GEN | [verify_source_of_funds] | Orig: where can I get the info for my funds -> Aug: Can you please provide me with the source of my funds?
GEN | [why_verify_identity] | Orig: Can I already use my account although the identity verification has not passed yet? -> Aug: Can I access my account before the identity verification process is completed?
GEN | [verify_source_of_funds] | Orig: Where do I go to see the source of my available money? -> Aug: How can I confirm the origin of my current funds?
GEN | [verify_source_of_funds] | Orig: What are the sources for the funds in my account? -> Aug: Can you please confirm the origin of the funds in your account?
GEN | [why_verify_identity] | Orig: Can I use my account even though the identity verification has not passed yet? -> Aug: Can I still access my account if the identity verification process hasn't been completed yet?
GEN | [verify_source_of_funds] | Orig: How can I find the source for my available funds and money? -> Aug: What steps can I take to confirm the origin of my current funds and balance?
GEN | [extra_charge_on_statement] | Orig: What is the dollar that I have pending on my statement there? -> Aug: What is the additional charge that I see on my statement?
GEN | [verify_source_of_funds] | Orig: Where can I find information about where my money came from? -> Aug: Can you please provide me with information about the origin of my funds?
GEN | [verify_source_of_funds] | Orig: Where do my fund come from? -> Aug: What is the origin of the funds in my account?
GEN | [verify_source_of_funds] | Orig: How can I lookup the source for my available money? -> Aug: Can you please confirm the origin of the funds currently available in my account?
GEN | [verify_source_of_funds] | Orig: How can I look at where my available cash is coming from? -> Aug: Can you help me identify the source of my available funds?
GEN | [verify_source_of_funds] | Orig: Can you tell me where my funds come from? -> Aug: Can you confirm the origin of the funds in my account?
GEN | [verify_source_of_funds] | Orig: Can you tell me where my readily available cash has come from? -> Aug: Can you confirm the origin of the funds that are readily available in my account?
GEN | [exchange_via_app] | Orig: I no longer need AUD, I need GBP instead, how can I make this happen? -> Aug: I'd like to exchange my AUD for GBP, is there a way to do this through the app?
GEN | [verify_source_of_funds] | Orig: How do I know where my funds come from? -> Aug: Can you confirm the origin of the funds in your account?
GEN | [verify_source_of_funds] | Orig: Where can I check out the source of available funds in my account? -> Aug: How can I confirm the origin of the funds currently available in my account?
GEN | [transfer_fee_charged] | Orig: why was i chargged -> Aug: why was a fee charged on my transfer?
GEN | [cash_withdrawal_charge] | Orig: Do you charge for cash withdrawals?  I want to get my hands on my own money and you appear to be charging me for the pleasure! Why is this, you'd never get this with my high street bank! -> Aug: Are there any fees associated with making cash withdrawals from your account? I'm surprised to find that I'm being charged for accessing my own funds, whereas my previous bank didn't impose such a charge.
GEN | [verify_source_of_funds] | Orig: What is the source of funds for my money? -> Aug: Can you please confirm the origin of the funds used to make the deposit?
GEN | [verify_source_of_funds] | Orig: What do I need to do to verify my funds? -> Aug: How can I confirm the origin of my funds?
GEN | [verify_source_of_funds] | Orig: Why do I need to verify my funds? -> Aug: We'd like to confirm the origin of your funds to ensure the transaction is legitimate and compliant with our banking regulations.
GEN | [why_verify_identity] | Orig: Can I use my account although the identity verification has not been accepted yet? -> Aug: Can I access my account services if my identity verification is still pending?
GEN | [why_verify_identity] | Orig: Can I use my account although my identity verification has yet to pass? -> Aug: Can I access my account if my identity verification process is still pending?
GEN | [verify_source_of_funds] | Orig: How do I find out my source of funds? -> Aug: What steps can I take to confirm the origin of my funds?
GEN | [verify_source_of_funds] | Orig: Can I see my available money? -> Aug: Can you confirm the source of the funds in my account before I check my available balance?
GEN | [verify_source_of_funds] | Orig: I need to know where my funds come from. -> Aug: I'd like to confirm the origin of the funds in my account.
GEN | [wrong_amount_of_cash_received] | Orig: Did a WD earlier at an ATM.  The amount showing in the App is more than I got though. -> Aug: I made a withdrawal at an ATM, but the amount reflected in the app is not what I actually received.
GEN | [transfer_into_account] | Orig: Where can I find out how to transfer money into my account. -> Aug: How do I initiate a transfer to deposit funds into my account?
