GEN | [pin_blocked] | Orig: How do I get unblocked? -> Aug: What can I do to resolve the PIN block issue?
GEN | [contactless_not_working] | Orig: Help me to set up contactless payments. -> Aug: Can you assist me in enabling contactless transactions?
GEN | [card_delivery_estimate] | Orig: i need to add express delivery if that's an option -> Aug: I'd like to inquire about the possibility of expedited shipping for my card delivery.
GEN | [contactless_not_working] | Orig: Why wasn't my contactless accepted at the metro? -> Aug: Why did my contactless payment fail to work at the metro station?
GEN | [contactless_not_working] | Orig: Contactless payments need to be enabled for my card. -> Aug: Contactless payment functionality is currently unavailable for my card.
GEN | [automatic_top_up] | Orig: How do I get refills to my card when I'm traveling? -> Aug: How can I arrange for automatic top-ups to my card while I'm abroad?
GEN | [beneficiary_not_allowed] | Orig: I have been trying to exchange this for crypto but the app won't work could you please help me? -> Aug: I'm having trouble converting this to cryptocurrency, but the app is not allowing me to proceed. Can you assist me with this issue?
GEN | [exchange_via_app] | Orig: I accidentally chose to exchange GBP, but I need to pick AUD. How can I change it? -> Aug: I mistakenly selected GBP for the exchange, but I'd like to switch to AUD instead. Can I modify the exchange rate?
GEN | [virtual_card_not_working] | Orig: My throwaway virtual card won't work -> Aug: My temporary virtual card is not functioning properly.
GEN | [disposable_card_limits] | Orig: Help me create several temp cards every day. -> Aug: Can you assist me in generating multiple temporary cards daily?
GEN | [failed_transfer] | Orig: I have made 5 attempts to make a very standard survey, yet I can't get it to work. What is the problem? Is there an issue related to your system? -> Aug: I've tried multiple times to complete a routine transaction, but it keeps failing. Is there a technical issue with your platform that's preventing it from going through?
GEN | [card_about_to_expire] | Orig: My card is almost going to expire. -> Aug: My credit card is nearing its expiration date.
GEN | [top_up_by_card_charge] | Orig: I need to know what charges I will incur for using a European card for top up. -> Aug: I'd like to understand the fees associated with making a payment using a European card for a top-up transaction.
GEN | [beneficiary_not_allowed] | Orig: I'm trying to purchase crypto via the app. I haven't been able to get it to go through. Am I doing something wrong? -> Aug: I'm having trouble completing a crypto purchase through the app. Can you help me figure out what's preventing it from processing?
GEN | [contactless_not_working] | Orig: Can I make a contactless payments? -> Aug: Can I use contactless payment methods?
GEN | [cancel_transfer] | Orig: Is it possible for a transaction to be cancelled? -> Aug: Can I cancel a transfer that's already been initiated?
GEN | [cancel_transfer] | Orig: Can I stop a transaction? -> Aug: Can I cancel a transfer?
GEN | [direct_debit_payment_not_recognised] | Orig: How long after I receive my statement can I dispute payments on it? -> Aug: What is the timeframe for disputing payments on my statement after it's been received?
GEN | [top_up_by_card_charge] | Orig: I topped off my card is that something you will charge me for? -> Aug: I'm wondering if there's a fee associated with adding funds to my card?
GEN | [pending_cash_withdrawal] | Orig: Hello, I'm having trouble with my card, I don't understand what's happening, I tried using the ATM machine earlier but it wasn't working but seems like the transactions is still in progress, can you cancel it for me? -> Aug: I'm having some issues with my card, I'm not sure what's going on, I attempted to use the ATM earlier but it didn't work, and it appears that the cash withdrawal is still pending, could you please assist me in canceling it?
GEN | [pending_top_up] | Orig: I have a new card and I can't add money to it.  I tried about 30 minutes ago and it is still pending.  What do I do? -> Aug: I've just got a new card and I'm having trouble topping it up. I attempted to add funds about half an hour ago, but the transaction is still pending. Can you help me resolve this issue?
GEN | [pending_top_up] | Orig: new customer and filling gas for the first time today, not working, -> Aug: New customer attempting to top up their account for the first time today, but the transaction is not processing.
GEN | [exchange_via_app] | Orig: My plans may change so I may need to change from GBP to AUD. -> Aug: My travel plans might be altered, which could require me to switch from British Pounds to Australian Dollars.
GEN | [card_not_working] | Orig: I seem to be unable to make any transactions. -> Aug: I'm having trouble making any transactions.
GEN | [card_about_to_expire] | Orig: How do I get a new expiration date? -> Aug: What steps can I take to extend the validity of my card?
GEN | [lost_or_stolen_phone] | Orig: I don't have my cell phone with me so I cannot access the system to complete the transaction. -> Aug: I'm currently without my mobile device, which is preventing me from accessing the system to finalize the transaction.
GEN | [virtual_card_not_working] | Orig: I can't do any business with this virtual card. -> Aug: I'm unable to complete any transactions with this virtual card.
GEN | [fiat_currency_support] | Orig: Is my fiat currency supported for both hold and exchange? -> Aug: Can I use my fiat currency for both holding and exchanging purposes?
GEN | [virtual_card_not_working] | Orig: Why can't I make multiple payments with my virtual card? -> Aug: Why am I unable to process multiple transactions using my virtual card?
GEN | [transfer_timing] | Orig: How long does it take to transfer from china? Is there a way to transfer it quickly, I need it urgently? -> Aug: What is the typical timeframe for transferring funds from China? Is there an expedited option available, as I require the transfer to be processed as soon as possible?
GEN | [fiat_currency_support] | Orig: What currencies can I not hold many in, if so what are they? -> Aug: Which fiat currencies are restricted for holding a large amount, and what are the limitations?
GEN | [exchange_charge] | Orig: I wanted to know what discounts were offered for current exchanges as it is something that occurs frequently. -> Aug: I'd like to inquire about any available discounts for regular exchange transactions, as they happen quite often.
GEN | [fiat_currency_support] | Orig: Does my account have the option to hold multiple currencies? -> Aug: Can I hold multiple types of fiat currencies in my account?
GEN | [order_physical_card] | Orig: do i need to add money before i order a card -> Aug: Do I need to fund my account before placing an order for a physical card?
GEN | [passcode_forgotten] | Orig: Can someone please help assist me by explaining to me why my pass-code is not working? -> Aug: I'm having trouble remembering my passcode and was wondering if you could help me figure out why it's not accepting my attempts.
GEN | [transfer_not_received_by_recipient] | Orig: The app isn't showing my transactions -> Aug: The app is not displaying my recent transactions
GEN | [declined_transfer] | Orig: How can I check for an unsupported merchant for my transfer request? -> Aug: What steps can I take to verify if the merchant is not supported for my transfer attempt?
GEN | [change_pin] | Orig: How can I change my Rowlock ? -> Aug: How do I modify my PIN?
VAL | [pin_blocked] | ACCEPT | Reason: N/A | Original: How do I get unblocked? | Augmented: What can I do to resolve the PIN block issue?
VAL | [contactless_not_working] | ACCEPT | Reason: N/A | Original: Help me to set up contactless payments. | Augmented: Can you assist me in enabling contactless transactions?
VAL | [card_delivery_estimate] | ACCEPT | Reason: N/A | Original: i need to add express delivery if that's an option | Augmented: I'd like to inquire about the possibility of expedited shipping for my card delivery.
VAL | [contactless_not_working] | ACCEPT | Reason: ... | Original: Why wasn't my contactless accepted at the metro? | Augmented: Why did my contactless payment fail to work at the metro station?
VAL | [contactless_not_working] | ACCEPT | Reason: N/A | Original: Contactless payments need to be enabled for my card. | Augmented: Contactless payment functionality is currently unavailable for my card.
VAL | [automatic_top_up] | ACCEPT | Reason: ... | Original: How do I get refills to my card when I'm traveling? | Augmented: How can I arrange for automatic top-ups to my card while I'm abroad?
VAL | [beneficiary_not_allowed] | ACCEPT | Reason: N/A | Original: I have been trying to exchange this for crypto but the app won't work could you please help me? | Augmented: I'm having trouble converting this to cryptocurrency, but the app is not allowing me to proceed. Can you assist me with this issue?
VAL | [exchange_via_app] | ACCEPT | Reason: N/A | Original: I accidentally chose to exchange GBP, but I need to pick AUD. How can I change it? | Augmented: I mistakenly selected GBP for the exchange, but I'd like to switch to AUD instead. Can I modify the exchange rate?
VAL | [virtual_card_not_working] | ACCEPT | Reason: ... | Original: My throwaway virtual card won't work | Augmented: My temporary virtual card is not functioning properly.
VAL | [disposable_card_limits] | ACCEPT | Reason: N/A | Original: Help me create several temp cards every day. | Augmented: Can you assist me in generating multiple temporary cards daily?
VAL | [failed_transfer] | ACCEPT | Reason: N/A | Original: I have made 5 attempts to make a very standard survey, yet I can't get it to work. What is the problem? Is there an issue related to your system? | Augmented: I've tried multiple times to complete a routine transaction, but it keeps failing. Is there a technical issue with your platform that's preventing it from going through?
VAL | [card_about_to_expire] | ACCEPT | Reason: ... | Original: My card is almost going to expire. | Augmented: My credit card is nearing its expiration date.
VAL | [top_up_by_card_charge] | ACCEPT | Reason: The augmented text maintains the focus on understanding the charges or fees for using a European card for a top-up transaction, which is consistent with the original intent. It does not introduce any new or contradictory information. | Original: I need to know what charges I will incur for using a European card for top up. | Augmented: I'd like to understand the fees associated with making a payment using a European card for a top-up transaction.
VAL | [beneficiary_not_allowed] | ACCEPT | Reason: N/A | Original: I'm trying to purchase crypto via the app. I haven't been able to get it to go through. Am I doing something wrong? | Augmented: I'm having trouble completing a crypto purchase through the app. Can you help me figure out what's preventing it from processing?
VAL | [contactless_not_working] | ACCEPT | Reason: N/A | Original: Can I make a contactless payments? | Augmented: Can I use contactless payment methods?
VAL | [cancel_transfer] | ACCEPT | Reason: N/A | Original: Is it possible for a transaction to be cancelled? | Augmented: Can I cancel a transfer that's already been initiated?
VAL | [cancel_transfer] | ACCEPT | Reason: ... | Original: Can I stop a transaction? | Augmented: Can I cancel a transfer?
VAL | [direct_debit_payment_not_recognised] | ACCEPT | Reason: N/A | Original: How long after I receive my statement can I dispute payments on it? | Augmented: What is the timeframe for disputing payments on my statement after it's been received?
VAL | [top_up_by_card_charge] | ACCEPT | Reason: N/A | Original: I topped off my card is that something you will charge me for? | Augmented: I'm wondering if there's a fee associated with adding funds to my card?
VAL | [pending_cash_withdrawal] | ACCEPT | Reason: ... | Original: Hello, I'm having trouble with my card, I don't understand what's happening, I tried using the ATM machine earlier but it wasn't working but seems like the transactions is still in progress, can you cancel it for me? | Augmented: I'm having some issues with my card, I'm not sure what's going on, I attempted to use the ATM earlier but it didn't work, and it appears that the cash withdrawal is still pending, could you please assist me in canceling it?
VAL | [pending_top_up] | ACCEPT | Reason: ... | Original: I have a new card and I can't add money to it.  I tried about 30 minutes ago and it is still pending.  What do I do? | Augmented: I've just got a new card and I'm having trouble topping it up. I attempted to add funds about half an hour ago, but the transaction is still pending. Can you help me resolve this issue?
VAL | [pending_top_up] | ACCEPT | Reason: N/A | Original: new customer and filling gas for the first time today, not working, | Augmented: New customer attempting to top up their account for the first time today, but the transaction is not processing.
VAL | [exchange_via_app] | ACCEPT | Reason: N/A | Original: My plans may change so I may need to change from GBP to AUD. | Augmented: My travel plans might be altered, which could require me to switch from British Pounds to Australian Dollars.
VAL | [card_not_working] | ACCEPT | Reason: N/A | Original: I seem to be unable to make any transactions. | Augmented: I'm having trouble making any transactions.
VAL | [card_about_to_expire] | ACCEPT | Reason: N/A | Original: How do I get a new expiration date? | Augmented: What steps can I take to extend the validity of my card?
VAL | [lost_or_stolen_phone] | ACCEPT | Reason: N/A | Original: I don't have my cell phone with me so I cannot access the system to complete the transaction. | Augmented: I'm currently without my mobile device, which is preventing me from accessing the system to finalize the transaction.
VAL | [virtual_card_not_working] | ACCEPT | Reason: ... | Original: I can't do any business with this virtual card. | Augmented: I'm unable to complete any transactions with this virtual card.
VAL | [fiat_currency_support] | ACCEPT | Reason: Both texts are asking about the support for fiat currency in terms of holding and exchanging, which aligns with the target intent of fiat_currency_support. | Original: Is my fiat currency supported for both hold and exchange? | Augmented: Can I use my fiat currency for both holding and exchanging purposes?
VAL | [virtual_card_not_working] | ACCEPT | Reason: ... | Original: Why can't I make multiple payments with my virtual card? | Augmented: Why am I unable to process multiple transactions using my virtual card?
VAL | [transfer_timing] | ACCEPT | Reason: ... | Original: How long does it take to transfer from china? Is there a way to transfer it quickly, I need it urgently? | Augmented: What is the typical timeframe for transferring funds from China? Is there an expedited option available, as I require the transfer to be processed as soon as possible?
VAL | [fiat_currency_support] | ACCEPT | Reason: N/A | Original: What currencies can I not hold many in, if so what are they? | Augmented: Which fiat currencies are restricted for holding a large amount, and what are the limitations?
VAL | [exchange_charge] | ACCEPT | Reason: N/A | Original: I wanted to know what discounts were offered for current exchanges as it is something that occurs frequently. | Augmented: I'd like to inquire about any available discounts for regular exchange transactions, as they happen quite often.
VAL | [fiat_currency_support] | ACCEPT | Reason: N/A | Original: Does my account have the option to hold multiple currencies? | Augmented: Can I hold multiple types of fiat currencies in my account?
VAL | [order_physical_card] | ACCEPT | Reason: N/A | Original: do i need to add money before i order a card | Augmented: Do I need to fund my account before placing an order for a physical card?
VAL | [passcode_forgotten] | ACCEPT | Reason: ... | Original: Can someone please help assist me by explaining to me why my pass-code is not working? | Augmented: I'm having trouble remembering my passcode and was wondering if you could help me figure out why it's not accepting my attempts.
VAL | [transfer_not_received_by_recipient] | UNKNOWN | Reason: N/A | Original: The app isn't showing my transactions | Augmented: The app is not displaying my recent transactions
VAL | [declined_transfer] | ACCEPT | Reason: N/A | Original: How can I check for an unsupported merchant for my transfer request? | Augmented: What steps can I take to verify if the merchant is not supported for my transfer attempt?
VAL | [change_pin] | ACCEPT | Reason: N/A | Original: How can I change my Rowlock ? | Augmented: How do I modify my PIN?
VAL_SUMMARY | ACCEPT: 37 | REVIEW: 0 | REJECT: 0 | UNKNOWN: 1 | Accept Rate: 0.9737
