GEN | [disposable_card_limits] | Orig: What limits are there on the virtual cards? -> Aug: What restrictions are in place for the disposable cards?
GEN | [disposable_card_limits] | Orig: On my disposable card, is there a transaction limit? -> Aug: Can I know the spending limit on my disposable card?
GEN | [disposable_card_limits] | Orig: What is the maximum number of transactions that I can put on a disposable card? -> Aug: What is the transaction limit for a disposable card?
GEN | [automatic_top_up] | Orig: How low does the balance have to be before the system updates? -> Aug: At what point does the account balance need to reach before the automatic top-up feature kicks in?
GEN | [disposable_card_limits] | Orig: Can you tell me more about limits to disposable virtual cards? -> Aug: What are the restrictions on disposable virtual cards, and how do they work?
GEN | [disposable_card_limits] | Orig: Is there a transaction limit on a disposable card? -> Aug: What are the spending limits for a disposable card?
GEN | [disposable_card_limits] | Orig: What is the maximum number of transactions I can do with a disposable card? -> Aug: What is the transaction limit for a disposable card?
GEN | [supported_cards_and_currencies] | Orig: I only have one more US credit card, is it accepted? -> Aug: I'm wondering if you accept another US-issued credit card?
GEN | [request_refund] | Orig: Can you explain your refund policy, please? -> Aug: Could you provide information about your refund procedure?
GEN | [disposable_card_limits] | Orig: Do the disposable cards have a transaction limit? -> Aug: What are the spending limits for disposable cards?
GEN | [visa_or_mastercard] | Orig: I want a Mastercard, instead. -> Aug: I'd prefer a Visa, if possible.
GEN | [balance_not_updated_after_cheque_or_cash_deposit] | Orig: I need my account checked because it appears there is a problem. I attempted to update my balance yesterday using cheque but it doesn't seem to have worked.  Should this not be faster than this? -> Aug: I'm concerned about an issue with my account. I deposited a cheque yesterday, but my balance hasn't been updated yet. Can you look into this and let me know why it's taking so long?
GEN | [disposable_card_limits] | Orig: Show me the amount of transactions I can do with a disposable card. -> Aug: What are the transaction limits for a disposable card?
GEN | [disposable_card_limits] | Orig: Are there any limits if I use these virtual cards? -> Aug: What are the restrictions on disposable card usage?
GEN | [disposable_card_limits] | Orig: What's the limit for disposable virtual cards? -> Aug: What are the spending limits for virtual disposable cards?
GEN | [disposable_card_limits] | Orig: how many transactions can go on a disposable card? -> Aug: What is the transaction limit for a disposable card?
GEN | [cash_withdrawal_charge] | Orig: How much money can I withdraw before fees? I noticed a fee on my card but I didn't think I had hit the limit of how much I could withdraw in a month. -> Aug: What's the maximum amount I can withdraw without incurring a fee, and how do I know if I've reached that limit?
GEN | [visa_or_mastercard] | Orig: I prefer Visa, can I get that instead? -> Aug: I'd like to opt for a Visa, if possible?
GEN | [visa_or_mastercard] | Orig: Please give me a Mastercard instead. -> Aug: Please provide me with a Visa or Mastercard.
GEN | [balance_not_updated_after_bank_transfer] | Orig: What's the time frame normally for a UK account transfer? I just made one and it's not showing up anywhere. I want to be sure that everything is good. -> Aug: When can I expect the transfer to reflect in my UK account? I recently initiated a transfer, but my balance hasn't been updated yet, and I'd like to confirm everything is in order.
GEN | [visa_or_mastercard] | Orig: is it ok if i use both visa and mastercard -> Aug: can i use both visa and mastercard?
GEN | [visa_or_mastercard] | Orig: I'm happy with Mastercard and want to stick with just that credit card. -> Aug: I'm content with Mastercard and would prefer to continue using only that Visa or Mastercard.
GEN | [balance_not_updated_after_cheque_or_cash_deposit] | Orig: I tried updating my balance by cheque yesterday but it doesn't seem to be working. Shouldn't that be faster? Please check my account something has gone wrong there. -> Aug: I attempted to refresh my account balance after depositing cash yesterday, but it appears to be stuck. Can you investigate why it's taking so long to reflect the update?
GEN | [disposable_card_limits] | Orig: What is the number of transactions I get with a disposable card? -> Aug: How many transactions can I make with a disposable card?
GEN | [terminate_account] | Orig: if im not using my account should i close it or just let it sit -> Aug: If I'm not actively using my account, should I cancel it or simply leave it inactive?
GEN | [supported_cards_and_currencies] | Orig: I only have one other credit card from the US. Do you accept that? -> Aug: I'm wondering if you support any other credit cards besides the one I'm using, specifically one from the United States.
GEN | [visa_or_mastercard] | Orig: I prefer mastercard. -> Aug: I would rather use Mastercard.
GEN | [visa_or_mastercard] | Orig: No Visa please. I want to continue with Mastercard. -> Aug: I'd prefer not to use Visa, can I proceed with Mastercard instead?
GEN | [disposable_card_limits] | Orig: I have a disposable card, how many transactions can I make? -> Aug: I'd like to know the transaction limit for my disposable card.
GEN | [disposable_card_limits] | Orig: Can you tell me if there are limits to disposable virtual cards? -> Aug: Are there any restrictions or spending caps associated with our disposable virtual cards?
GEN | [disposable_card_limits] | Orig: Are there downsides to using a disposable virtual cards? -> Aug: What are the limitations associated with disposable virtual cards?
GEN | [extra_charge_on_statement] | Orig: What is the extra €1 on my statement for? -> Aug: What is the additional charge on my statement for?
