GEN | [disposable_card_limits] | Orig: What limits are there on the virtual cards? -> Aug: What restrictions are in place for the disposable cards?
GEN | [disposable_card_limits] | Orig: On my disposable card, is there a transaction limit? -> Aug: Can I know the spending limit on my disposable card?
GEN | [disposable_card_limits] | Orig: What is the maximum number of transactions that I can put on a disposable card? -> Aug: What is the transaction limit for a disposable card?
GEN | [automatic_top_up] | Orig: How low does the balance have to be before the system updates? -> Aug: At what point does the account balance need to reach before the automatic top-up feature kicks in?
GEN | [balance_not_updated_after_cheque_or_cash_deposit] | Orig: I need my account checked because it appears there is a problem. I attempted to update my balance yesterday using cheque but it doesn't seem to have worked.  Should this not be faster than this? -> Aug: I'm concerned about an issue with my account. I deposited a cheque yesterday, but my balance hasn't been updated yet. Can you look into this and let me know why it's taking so long?
GEN | [disposable_card_limits] | Orig: Is there a transaction limit on a disposable card? -> Aug: What are the spending limits for a disposable card?
GEN | [disposable_card_limits] | Orig: Can you tell me more about limits to disposable virtual cards? -> Aug: What are the restrictions on disposable virtual cards, and how do they work?
GEN | [disposable_card_limits] | Orig: What is the maximum number of transactions I can do with a disposable card? -> Aug: What is the transaction limit for a disposable card?
GEN | [supported_cards_and_currencies] | Orig: I only have one more US credit card, is it accepted? -> Aug: I'm wondering if you accept another US-issued credit card?
GEN | [visa_or_mastercard] | Orig: I want a Mastercard, instead. -> Aug: I'd prefer a Visa, if possible.
GEN | [disposable_card_limits] | Orig: Do the disposable cards have a transaction limit? -> Aug: What are the spending limits for disposable cards?
GEN | [cash_withdrawal_charge] | Orig: How much money can I withdraw before fees? I noticed a fee on my card but I didn't think I had hit the limit of how much I could withdraw in a month. -> Aug: What's the maximum amount I can withdraw without incurring a fee, and how do I know if I've reached that limit?
GEN | [balance_not_updated_after_cheque_or_cash_deposit] | Orig: I tried updating my balance by cheque yesterday but it doesn't seem to be working. Shouldn't that be faster? Please check my account something has gone wrong there. -> Aug: I attempted to refresh my account balance after depositing cash yesterday, but it appears to be stuck. Can you investigate why it's taking so long to reflect the update?
GEN | [disposable_card_limits] | Orig: Show me the amount of transactions I can do with a disposable card. -> Aug: What are the transaction limits for a disposable card?
GEN | [request_refund] | Orig: Can you explain your refund policy, please? -> Aug: Could you provide information about your refund procedure?
GEN | [disposable_card_limits] | Orig: Are there any limits if I use these virtual cards? -> Aug: What are the restrictions on disposable card usage?
GEN | [visa_or_mastercard] | Orig: I prefer Visa, can I get that instead? -> Aug: I'd like to opt for a Visa, if possible?
GEN | [disposable_card_limits] | Orig: What's the limit for disposable virtual cards? -> Aug: What are the spending limits for virtual disposable cards?
GEN | [disposable_card_limits] | Orig: how many transactions can go on a disposable card? -> Aug: What is the transaction limit for a disposable card?
GEN | [visa_or_mastercard] | Orig: Please give me a Mastercard instead. -> Aug: Please provide me with a Visa or Mastercard.
GEN | [balance_not_updated_after_cheque_or_cash_deposit] | Orig: I wrote a check to the account yesterday to add to my balance, but I don't see the amount of the check reflected anywhere.  Is it being held up for some reason?  I should have seen a new balance by now! -> Aug: I made a cash deposit at the bank yesterday, but my account balance hasn't been updated to reflect the new amount. Can you please investigate why it's taking so long to show up?
GEN | [balance_not_updated_after_bank_transfer] | Orig: What's the time frame normally for a UK account transfer? I just made one and it's not showing up anywhere. I want to be sure that everything is good. -> Aug: When can I expect the transfer to reflect in my UK account? I recently initiated a transfer, but my balance hasn't been updated yet, and I'd like to confirm everything is in order.
GEN | [visa_or_mastercard] | Orig: is it ok if i use both visa and mastercard -> Aug: can i use both visa and mastercard?
GEN | [balance_not_updated_after_bank_transfer] | Orig: Why hasn't my account updated to reflect my current balance? -> Aug: Why hasn't my account balance been updated to reflect the recent transfer I made?
GEN | [visa_or_mastercard] | Orig: I'm happy with Mastercard and want to stick with just that credit card. -> Aug: I'm content with Mastercard and would prefer to continue using only that Visa or Mastercard.
GEN | [disposable_card_limits] | Orig: What is the number of transactions I get with a disposable card? -> Aug: How many transactions can I make with a disposable card?
GEN | [supported_cards_and_currencies] | Orig: I only have one other credit card from the US. Do you accept that? -> Aug: I'm wondering if you support any other credit cards besides the one I'm using, specifically one from the United States.
GEN | [visa_or_mastercard] | Orig: I prefer mastercard. -> Aug: I would rather use Mastercard.
GEN | [disposable_card_limits] | Orig: I have a disposable card, how many transactions can I make? -> Aug: I'd like to know the transaction limit for my disposable card.
GEN | [visa_or_mastercard] | Orig: No Visa please. I want to continue with Mastercard. -> Aug: I'd prefer not to use Visa, can I proceed with Mastercard instead?
GEN | [terminate_account] | Orig: if im not using my account should i close it or just let it sit -> Aug: If I'm not actively using my account, should I cancel it or simply leave it inactive?
GEN | [extra_charge_on_statement] | Orig: Why is there a pending hold on one pound on my statement? -> Aug: What's the reason for the extra charge showing up on my statement?
VAL | [disposable_card_limits] | ACCEPT | Reason: N/A | Original: What limits are there on the virtual cards? | Augmented: What restrictions are in place for the disposable cards?
VAL | [disposable_card_limits] | ACCEPT | Reason: ... | Original: On my disposable card, is there a transaction limit? | Augmented: Can I know the spending limit on my disposable card?
VAL | [disposable_card_limits] | ACCEPT | Reason: Both texts are asking about the limitations on a disposable card, specifically regarding the number of transactions or the transaction limit. The wording is slightly different but the intent remains the same. | Original: What is the maximum number of transactions that I can put on a disposable card? | Augmented: What is the transaction limit for a disposable card?
VAL | [automatic_top_up] | ACCEPT | Reason: N/A | Original: How low does the balance have to be before the system updates? | Augmented: At what point does the account balance need to reach before the automatic top-up feature kicks in?
VAL | [balance_not_updated_after_cheque_or_cash_deposit] | ACCEPT | Reason: The augmented text preserves the same banking intent by focusing on the issue of a balance not being updated after a cheque deposit. It does not introduce any contradictory information or unsupported details. | Original: I need my account checked because it appears there is a problem. I attempted to update my balance yesterday using cheque but it doesn't seem to have worked.  Should this not be faster than this? | Augmented: I'm concerned about an issue with my account. I deposited a cheque yesterday, but my balance hasn't been updated yet. Can you look into this and let me know why it's taking so long?
VAL | [disposable_card_limits] | ACCEPT | Reason: Both texts are asking about the spending or transaction limits on a disposable card, which aligns with the target intent of 'disposable_card_limits'. There is no contradiction, and the text is specific enough to belong to this intent. | Original: Is there a transaction limit on a disposable card? | Augmented: What are the spending limits for a disposable card?
VAL | [disposable_card_limits] | ACCEPT | Reason: N/A | Original: Can you tell me more about limits to disposable virtual cards? | Augmented: What are the restrictions on disposable virtual cards, and how do they work?
VAL | [disposable_card_limits] | ACCEPT | Reason: ... | Original: What is the maximum number of transactions I can do with a disposable card? | Augmented: What is the transaction limit for a disposable card?
VAL | [supported_cards_and_currencies] | ACCEPT | Reason: ... | Original: I only have one more US credit card, is it accepted? | Augmented: I'm wondering if you accept another US-issued credit card?
VAL | [visa_or_mastercard] | ACCEPT | Reason: N/A | Original: I want a Mastercard, instead. | Augmented: I'd prefer a Visa, if possible.
VAL | [disposable_card_limits] | ACCEPT | Reason: Both texts are asking about the transaction limits for disposable cards, which aligns with the target intent of 'disposable_card_limits'. There is no contradiction or ambiguity introduced. | Original: Do the disposable cards have a transaction limit? | Augmented: What are the spending limits for disposable cards?
VAL | [cash_withdrawal_charge] | ACCEPT | Reason: N/A | Original: How much money can I withdraw before fees? I noticed a fee on my card but I didn't think I had hit the limit of how much I could withdraw in a month. | Augmented: What's the maximum amount I can withdraw without incurring a fee, and how do I know if I've reached that limit?
VAL | [balance_not_updated_after_cheque_or_cash_deposit] | ACCEPT | Reason: N/A | Original: I tried updating my balance by cheque yesterday but it doesn't seem to be working. Shouldn't that be faster? Please check my account something has gone wrong there. | Augmented: I attempted to refresh my account balance after depositing cash yesterday, but it appears to be stuck. Can you investigate why it's taking so long to reflect the update?
VAL | [disposable_card_limits] | ACCEPT | Reason: Both texts are asking about the transaction limits for a disposable card, which aligns with the target intent of 'disposable_card_limits'. There is no contradiction or ambiguity introduced, and the text is specific to the target intent. | Original: Show me the amount of transactions I can do with a disposable card. | Augmented: What are the transaction limits for a disposable card?
VAL | [request_refund] | ACCEPT | Reason: ... | Original: Can you explain your refund policy, please? | Augmented: Could you provide information about your refund procedure?
VAL | [disposable_card_limits] | ACCEPT | Reason: N/A | Original: Are there any limits if I use these virtual cards? | Augmented: What are the restrictions on disposable card usage?
VAL | [visa_or_mastercard] | ACCEPT | Reason: ... | Original: I prefer Visa, can I get that instead? | Augmented: I'd like to opt for a Visa, if possible?
VAL | [disposable_card_limits] | ACCEPT | Reason: Both texts are asking about the spending limits for disposable virtual cards, which aligns with the target intent of 'disposable_card_limits'. There is no contradiction or ambiguity introduced. | Original: What's the limit for disposable virtual cards? | Augmented: What are the spending limits for virtual disposable cards?
VAL | [disposable_card_limits] | ACCEPT | Reason: ... | Original: how many transactions can go on a disposable card? | Augmented: What is the transaction limit for a disposable card?
VAL | [visa_or_mastercard] | ACCEPT | Reason: ... | Original: Please give me a Mastercard instead. | Augmented: Please provide me with a Visa or Mastercard.
VAL | [balance_not_updated_after_cheque_or_cash_deposit] | ACCEPT | Reason: N/A | Original: I wrote a check to the account yesterday to add to my balance, but I don't see the amount of the check reflected anywhere.  Is it being held up for some reason?  I should have seen a new balance by now! | Augmented: I made a cash deposit at the bank yesterday, but my account balance hasn't been updated to reflect the new amount. Can you please investigate why it's taking so long to show up?
VAL | [balance_not_updated_after_bank_transfer] | ACCEPT | Reason: The augmented text preserves the same banking intent of the balance not updating after a transfer and is not contradictory to the original intent. It is specific enough to belong to the target intent. | Original: What's the time frame normally for a UK account transfer? I just made one and it's not showing up anywhere. I want to be sure that everything is good. | Augmented: When can I expect the transfer to reflect in my UK account? I recently initiated a transfer, but my balance hasn't been updated yet, and I'd like to confirm everything is in order.
