GEN | [card_delivery_estimate] | Orig: I need my card right away. -> Aug: I require my card as soon as possible.
GEN | [top_up_failed] | Orig: How can correct Top up with the app to work correctly? -> Aug: Why is the top-up process not functioning properly when attempting to use the app?
GEN | [declined_card_payment] | Orig: Why does is payment not going through? Did my account get frozen or some other issue I don't know about. What can I do to fix this problem? -> Aug: Why is my payment being declined? Is there an issue with my account or a problem with the transaction that's causing it to be rejected? What steps can I take to resolve this issue and get my payment processed successfully?
GEN | [apple_pay_or_google_pay] | Orig: I have received my American express in apple play, looks like top up has an issue, please help? -> Aug: I've received my American Express payment through Apple Pay, but it seems the top-up process is experiencing an issue, could you assist me with this?
GEN | [top_up_limits] | Orig: Is there a top-up limit that I have to stay under during a given period of time? -> Aug: Is there a maximum amount I'm allowed to top up within a specific timeframe?
GEN | [top_up_by_card_charge] | Orig: What do I need to know about topping up? -> Aug: What are the requirements for charging my card for a top-up?
GEN | [top_up_by_card_charge] | Orig: Is topping up free? -> Aug: Is there a charge for topping up my account using my card?
GEN | [exchange_via_app] | Orig: Can you  tell me how to get AUD not GBP? -> Aug: Can you guide me on how to exchange currency for Australian dollars instead of British pounds?
GEN | [top_up_failed] | Orig: is there a way to fix my top up -> Aug: can you help me resolve the issue with my top-up attempt?
GEN | [transfer_fee_charged] | Orig: Someone that I had to send money to told me that they didn't receive the full amount I sent them - can you look into this? -> Aug: They informed me that they didn't receive the entire amount I transferred to them, and I'd appreciate it if you could investigate this issue.
GEN | [topping_up_by_card] | Orig: My wallet is empty even though I topped it up an hour ago. -> Aug: My account balance is still zero despite the recent card top-up I made an hour ago.
GEN | [top_up_by_card_charge] | Orig: What are the fees for using a European bank card? -> Aug: What are the charges for making a payment using a European bank card?
GEN | [transfer_into_account] | Orig: I am out of money in my account and I was wondering if I could do a bank transfer is put more in it? -> Aug: I'm running low on funds in my account and I'd like to know if I can make a transfer to replenish it.
GEN | [card_linking] | Orig: I would like to link my card to my account. -> Aug: I'd like to connect my card to my account.
GEN | [unable_to_verify_identity] | Orig: The app failed to verify me. -> Aug: The system was unable to confirm my identity.
GEN | [activate_my_card] | Orig: Would you be so kind as to activate my card? Thanks -> Aug: Could you please activate my card for me? I'd greatly appreciate it.
GEN | [card_arrival] | Orig: What's go on, where is my new card? -> Aug: What's taking so long? When can I expect my new card to arrive?
GEN | [unable_to_verify_identity] | Orig: The app does not know it is me. -> Aug: The system is unable to confirm your identity.
GEN | [receiving_money] | Orig: i want to get my salary deposited as pesos? -> Aug: I'd like to receive my salary in pesos.
GEN | [activate_my_card] | Orig: How long does it take to activate the card, as it does not look like its working? -> Aug: How long does it take to enable my card, as it appears to be inactive?
GEN | [topping_up_by_card] | Orig: I don't see me 'top up' in my wallet -> Aug: I'm unable to locate my card top-up transaction in my digital wallet.
GEN | [order_physical_card] | Orig: I want a real card -> Aug: I'd like a physical credit card.
GEN | [card_arrival] | Orig: Have you sent out my card yet? -> Aug: Has my new card been dispatched already?
GEN | [topping_up_by_card] | Orig: I don't see my top up in my wallet. -> Aug: I'm unable to locate the recent card top-up in my digital wallet.
GEN | [topping_up_by_card] | Orig: Can somebody else top up my account? -> Aug: Can someone else add funds to my account using my card?
GEN | [top_up_reverted] | Orig: How come I can't put money in my top up account? -> Aug: Why am I unable to add funds to my top-up account?
GEN | [verify_top_up] | Orig: Can you explain to me the way to verify my top up has gone through? -> Aug: Could you please guide me on the process of confirming that my top-up transaction has been successfully processed?
GEN | [reverted_card_payment?] | Orig: My card payment has not been withdrawn from my account -> Aug: Did my card payment get reversed from my account?
GEN | [supported_cards_and_currencies] | Orig: I have another card from the U.S. Will you be able to accept that one? -> Aug: I'd like to know if you support cards issued in the United States.
GEN | [pending_top_up] | Orig: I already paid to top-up but the funds aren't available yet, where are they? -> Aug: I made a payment to top up my account, but the funds are still pending, can you tell me what's going on?
GEN | [getting_virtual_card] | Orig: I haven't received my virtual card yet!! -> Aug: I'm still waiting to receive my virtual card.
GEN | [pending_card_payment] | Orig: I made a payment that is not yet complete. -> Aug: The payment I initiated has not been fully processed.
GEN | [verify_my_identity] | Orig: How and where can I find the identity checks? -> Aug: Where can I locate the identity verification process?
GEN | [top_up_failed] | Orig: I tried to charge my card but it was declined. A couple days ago I was able to charge it and it was accepted. Is something wrong? Will you double check for me please? -> Aug: I attempted to make a payment using my card, but it was unsuccessful. I had successfully made a payment a couple of days ago, and it was processed without any issues. Could you please investigate this discrepancy for me?
GEN | [topping_up_by_card] | Orig: Can I get my friends to add money to my account? -> Aug: Can I have my friends use their cards to top up my account?
GEN | [pending_card_payment] | Orig: I made a card payment by my card but it failed. Please let me know when the payment will get completed as its still pending. -> Aug: I attempted to process a payment using my card, but the transaction was unsuccessful. Could you please inform me when the payment will be finalized, as it remains pending at the moment?
GEN | [verify_my_identity] | Orig: Can I get information on the identity checks? -> Aug: May I request information about the verification process for your identity?
GEN | [card_linking] | Orig: I thought I lost my card so I cancelled it, but recently I found it in my jacket and I would like to re-establish the card. -> Aug: I had mistakenly cancelled my card after thinking it was lost, but I've since found it in my jacket and would like to reactivate the card.
GEN | [automatic_top_up] | Orig: Can I schedule future top ups? -> Aug: Can I set up recurring automatic top-ups?
VAL | [card_delivery_estimate] | ACCEPT | Reason: N/A | Original: I need my card right away. | Augmented: I require my card as soon as possible.
VAL | [top_up_failed] | ACCEPT | Reason: N/A | Original: How can correct Top up with the app to work correctly? | Augmented: Why is the top-up process not functioning properly when attempting to use the app?
VAL | [declined_card_payment] | ACCEPT | Reason: ... | Original: Why does is payment not going through? Did my account get frozen or some other issue I don't know about. What can I do to fix this problem? | Augmented: Why is my payment being declined? Is there an issue with my account or a problem with the transaction that's causing it to be rejected? What steps can I take to resolve this issue and get my payment processed successfully?
VAL | [apple_pay_or_google_pay] | ACCEPT | Reason: N/A | Original: I have received my American express in apple play, looks like top up has an issue, please help? | Augmented: I've received my American Express payment through Apple Pay, but it seems the top-up process is experiencing an issue, could you assist me with this?
VAL | [top_up_limits] | ACCEPT | Reason: Both texts are asking about the limits on top-ups within a certain period, which aligns with the target intent of 'top_up_limits'. The wording is changed but the core banking intent remains the same. | Original: Is there a top-up limit that I have to stay under during a given period of time? | Augmented: Is there a maximum amount I'm allowed to top up within a specific timeframe?
VAL | [top_up_by_card_charge] | ACCEPT | Reason: N/A | Original: What do I need to know about topping up? | Augmented: What are the requirements for charging my card for a top-up?
VAL | [top_up_by_card_charge] | ACCEPT | Reason: ... | Original: Is topping up free? | Augmented: Is there a charge for topping up my account using my card?
VAL | [exchange_via_app] | ACCEPT | Reason: ... | Original: Can you  tell me how to get AUD not GBP? | Augmented: Can you guide me on how to exchange currency for Australian dollars instead of British pounds?
VAL | [top_up_failed] | ACCEPT | Reason: ... | Original: is there a way to fix my top up | Augmented: can you help me resolve the issue with my top-up attempt?
VAL | [transfer_fee_charged] | ACCEPT | Reason: N/A | Original: Someone that I had to send money to told me that they didn't receive the full amount I sent them - can you look into this? | Augmented: They informed me that they didn't receive the entire amount I transferred to them, and I'd appreciate it if you could investigate this issue.
VAL | [topping_up_by_card] | ACCEPT | Reason: N/A | Original: My wallet is empty even though I topped it up an hour ago. | Augmented: My account balance is still zero despite the recent card top-up I made an hour ago.
VAL | [top_up_by_card_charge] | ACCEPT | Reason: N/A | Original: What are the fees for using a European bank card? | Augmented: What are the charges for making a payment using a European bank card?
VAL | [transfer_into_account] | ACCEPT | Reason: ... | Original: I am out of money in my account and I was wondering if I could do a bank transfer is put more in it? | Augmented: I'm running low on funds in my account and I'd like to know if I can make a transfer to replenish it.
VAL | [card_linking] | ACCEPT | Reason: Both sentences express the action of associating a card with an account, which is the core of the 'card_linking' intent. | Original: I would like to link my card to my account. | Augmented: I'd like to connect my card to my account.
VAL | [unable_to_verify_identity] | ACCEPT | Reason: N/A | Original: The app failed to verify me. | Augmented: The system was unable to confirm my identity.
VAL | [activate_my_card] | ACCEPT | Reason: ... | Original: Would you be so kind as to activate my card? Thanks | Augmented: Could you please activate my card for me? I'd greatly appreciate it.
VAL | [card_arrival] | ACCEPT | Reason: Both texts are asking about the status of a new card, with one emphasizing the delay ("What's taking so long?") and the other specifying the location ("where is my new card"). This preserves the core intent of inquiring about the arrival of a new card. | Original: What's go on, where is my new card? | Augmented: What's taking so long? When can I expect my new card to arrive?
VAL | [unable_to_verify_identity] | ACCEPT | Reason: N/A | Original: The app does not know it is me. | Augmented: The system is unable to confirm your identity.
VAL | [receiving_money] | ACCEPT | Reason: N/A | Original: i want to get my salary deposited as pesos? | Augmented: I'd like to receive my salary in pesos.
VAL | [activate_my_card] | ACCEPT | Reason: N/A | Original: How long does it take to activate the card, as it does not look like its working? | Augmented: How long does it take to enable my card, as it appears to be inactive?
VAL | [topping_up_by_card] | ACCEPT | Reason: N/A | Original: I don't see me 'top up' in my wallet | Augmented: I'm unable to locate my card top-up transaction in my digital wallet.
VAL | [order_physical_card] | ACCEPT | Reason: ... | Original: I want a real card | Augmented: I'd like a physical credit card.
VAL | [card_arrival] | ACCEPT | Reason: N/A | Original: Have you sent out my card yet? | Augmented: Has my new card been dispatched already?
VAL | [topping_up_by_card] | ACCEPT | Reason: N/A | Original: I don't see my top up in my wallet. | Augmented: I'm unable to locate the recent card top-up in my digital wallet.
VAL | [topping_up_by_card] | ACCEPT | Reason: N/A | Original: Can somebody else top up my account? | Augmented: Can someone else add funds to my account using my card?
VAL | [top_up_reverted] | ACCEPT | Reason: ... | Original: How come I can't put money in my top up account? | Augmented: Why am I unable to add funds to my top-up account?
VAL | [verify_top_up] | ACCEPT | Reason: ... | Original: Can you explain to me the way to verify my top up has gone through? | Augmented: Could you please guide me on the process of confirming that my top-up transaction has been successfully processed?
VAL | [reverted_card_payment?] | REVIEW | Reason: N/A | Original: My card payment has not been withdrawn from my account | Augmented: Did my card payment get reversed from my account?
VAL | [supported_cards_and_currencies] | ACCEPT | Reason: N/A | Original: I have another card from the U.S. Will you be able to accept that one? | Augmented: I'd like to know if you support cards issued in the United States.
VAL | [pending_top_up] | ACCEPT | Reason: ... | Original: I already paid to top-up but the funds aren't available yet, where are they? | Augmented: I made a payment to top up my account, but the funds are still pending, can you tell me what's going on?
VAL | [getting_virtual_card] | ACCEPT | Reason: Both sentences convey the same expectation of receiving a virtual card, just expressed with slightly different wording. | Original: I haven't received my virtual card yet!! | Augmented: I'm still waiting to receive my virtual card.
VAL | [pending_card_payment] | ACCEPT | Reason: ... | Original: I made a payment that is not yet complete. | Augmented: The payment I initiated has not been fully processed.
