GEN | [reverted_card_payment?] | Orig: I cancelled my card payment -> Aug: Did you reverse the payment on your card?
GEN | [direct_debit_payment_not_recognised] | Orig: what is this charge i didnt do it what can i do -> Aug: We're showing a direct debit payment that we haven't recognized as yours. Can you help us figure out what's going on?
GEN | [card_delivery_estimate] | Orig: How long will I have to wait for my new card? -> Aug: When can I expect to receive my new card?
GEN | [getting_virtual_card] | Orig: I have lost my card, but need to place an online order! How do I get a virtual card instantly? -> Aug: I've misplaced my physical card, and I urgently need to make an online purchase. Can I obtain a virtual card immediately to complete the transaction?
GEN | [top_up_limits] | Orig: Is there a top-up limit that I have to stay under during a given period of time? -> Aug: Is there a maximum amount I'm allowed to top up within a specific timeframe?
GEN | [card_payment_not_recognised] | Orig: i didnt do this charge -> Aug: We didn't recognize this payment from you.
GEN | [pending_card_payment] | Orig: I have a payment which has not been approved. -> Aug: A payment I made has not yet been processed.
GEN | [card_arrival] | Orig: How long should it take for my new card to arrive in them mail? What should I do if I never receive it? -> Aug: When can I expect my new card to arrive by mail? What should I do if it doesn't show up?
GEN | [verify_my_identity] | Orig: why do I have to show my ID -> Aug: Can you please confirm your identity by providing your identification documents?
GEN | [card_swallowed] | Orig: I can't get my card out of the ATM -> Aug: I'm having trouble retrieving my card from the ATM.
GEN | [fiat_currency_support] | Orig: In the exchange and holding, what fiat is allowed? -> Aug: In what currencies can I exchange and hold my funds?
GEN | [getting_virtual_card] | Orig: I want to get my hands on one of those virtual cards! -> Aug: I'd like to obtain a virtual card.
GEN | [transfer_not_received_by_recipient] | Orig: How long do I have  to wait for my transaction to be completed? -> Aug: When can I expect my transfer to be successfully delivered to the recipient's account?
GEN | [transaction_charged_twice] | Orig: I have been overcharged. -> Aug: I've been mistakenly charged twice.
GEN | [pending_cash_withdrawal] | Orig: So much time has gone by, the pending status shouldn't still be there shouldn't it? -> Aug: It's been a while, and I'm surprised the pending cash withdrawal is still showing up. Shouldn't it have been resolved by now?
GEN | [extra_charge_on_statement] | Orig: There is a charge for an additional pound. -> Aug: A supplementary fee has been added to your statement.
GEN | [lost_or_stolen_card] | Orig: Help!  I fear that my card was stolen, -> Aug: I'm worried that my card has been stolen.
GEN | [verify_my_identity] | Orig: Can I get information on the identity checks? -> Aug: May I request information about the verification process for your identity?
GEN | [top_up_limits] | Orig: What is the top-up limit on my cards? -> Aug: What is the maximum amount I can add to my card balance at one time?
GEN | [fiat_currency_support] | Orig: Can I exchange my money for EUR? -> Aug: Can I convert my funds to euros?
GEN | [card_payment_fee_charged] | Orig: Why did I have to pay extra because I paid with my card? -> Aug: Why was I charged an additional fee when I used my card to make the payment?
GEN | [getting_spare_card] | Orig: Do you send duplicate cards? -> Aug: Can you provide a replacement card?
GEN | [getting_virtual_card] | Orig: how many virtual cards can i have, i want 8 -> Aug: How many virtual cards can I have? I'd like to have a total of 8.
GEN | [top_up_failed] | Orig: How can correct Top up with the app to work correctly? -> Aug: Why is the top-up process not functioning properly when attempting to use the app?
GEN | [atm_support] | Orig: Where can I withdraw money from? -> Aug: Where can I access cash from an ATM or a bank branch?
GEN | [atm_support] | Orig: 
Where can I withdraw money from? -> Aug: Where can I access cash from?
GEN | [exchange_rate] | Orig: Is there a specific source that the exchange rate for the transfer I'm planning on making is pulled from? -> Aug: Can you tell me what data source is used to determine the exchange rate for the transfer I'm planning to make?
GEN | [transfer_not_received_by_recipient] | Orig: I'm trying to make a payment to my new landlord. Even though the payment was sent a few days ago, it isn't clearing on their side. Can you verify that payment has been made? -> Aug: I'm attempting to make a payment to my new landlord, but it seems the transfer hasn't been received by them despite being sent a few days ago. Can you confirm that the payment has been processed successfully?
GEN | [supported_cards_and_currencies] | Orig: I only have a card from the US is that okay? -> Aug: I'm wondering if it's acceptable to use a US-issued card?
GEN | [direct_debit_payment_not_recognised] | Orig: Someone else charged my card! -> Aug: A payment made from my account was not recognized.
GEN | [transfer_not_received_by_recipient] | Orig: Two days ago I did a transfer to another account within the country.  It doesn't appear the transfer went through.  I have verified the account number several times.  Could you please check on this for me? -> Aug: I made a domestic transfer two days ago, but it seems the recipient hasn't received the funds. I've double-checked the account number to ensure it's correct. Could you look into this matter for me?
GEN | [verify_source_of_funds] | Orig: Can I track history on funds? -> Aug: Can I review the origin of the funds?
GEN | [card_payment_not_recognised] | Orig: There is a payment in the app that I did not approve -> Aug: A payment has been recorded in the app that I did not authorize.
GEN | [card_swallowed] | Orig: My card was eaten by the cash machine what do I do? -> Aug: My card seems to have been swallowed by the ATM, what should I do now?
GEN | [top_up_failed] | Orig: I can't access my money. Is it because somethings wrong with the top-up? I set it up correctly. -> Aug: I'm unable to access my funds. Could it be due to an issue with the recent top-up attempt? I'm certain I entered the details correctly.
GEN | [order_physical_card] | Orig: Do I get a real card? -> Aug: Can I receive a physical card?
GEN | [top_up_limits] | Orig: Can I use as many top-ups as I want? -> Aug: Can I make unlimited top-ups to my account limits?
GEN | [top_up_limits] | Orig: How many top-ups can I use? -> Aug: How many limit increases can I perform?
GEN | [getting_virtual_card] | Orig: I need to order a new virtual card, how do I do that? -> Aug: I'd like to request a new virtual card, can you guide me through the process?
