GEN | [receiving_money] | Orig: I need my payment in another currency -> Aug: I require my funds in a different currency
GEN | [virtual_card_not_working] | Orig: I can't do any business with this virtual card. -> Aug: I'm unable to complete any transactions with this virtual card.
GEN | [virtual_card_not_working] | Orig: My disposable virtual card wouldn't process my payment? -> Aug: The virtual payment card I was using wouldn't accept my transaction.
GEN | [transfer_not_received_by_recipient] | Orig: Money is not in recipients account. -> Aug: The recipient's account does not show the transferred funds.
GEN | [virtual_card_not_working] | Orig: Please help me.  My disposable virtual card won't work right. -> Aug: Please assist me. My temporary virtual card is not functioning properly.
GEN | [card_payment_wrong_exchange_rate] | Orig: What is your exchange rate between UK pounds and Russian rubles for my last transaction -> Aug: What is the exchange rate used for converting UK pounds to Russian rubles in my recent transaction?
GEN | [card_not_working] | Orig: How do I check security settings using the app? -> Aug: What steps can I take to verify the security settings on my card through the mobile app?
GEN | [card_payment_wrong_exchange_rate] | Orig: The exchange rate used on your app is really bad. I'm considering closing my account because of it. -> Aug: The rate you're using for currency conversion is quite inaccurate. It's making me think about canceling my account.
GEN | [pending_card_payment] | Orig: My card has been pending for a while, what should I do? -> Aug: My payment is still pending, what's the next step?
GEN | [top_up_by_cash_or_cheque] | Orig: Will a cheque suffice? -> Aug: Can I use a cheque to make a payment?
GEN | [transfer_timing] | Orig: How fast can I transfer something from China? -> Aug: What is the typical timeframe for transferring funds from China?
GEN | [exchange_charge] | Orig: Do I have to pay more for exchanges? -> Aug: Are there additional fees for exchanging funds?
GEN | [get_disposable_virtual_card] | Orig: I'm not sure how disposable virtual cards work. Please help. -> Aug: I'm having trouble understanding how to obtain a disposable virtual card. Can you assist me?
GEN | [disposable_card_limits] | Orig: I need several cards per day. And I need to be able to throw away all of the cards I make. -> Aug: I require a large quantity of disposable cards daily, and I'd like the ability to discard them as needed.
GEN | [top_up_limits] | Orig: How many top-ups can be approved? -> Aug: What is the limit on the number of top-ups that can be processed?
GEN | [direct_debit_payment_not_recognised] | Orig: Unusual direct deposit -> Aug: Unidentified direct debit payment
GEN | [verify_source_of_funds] | Orig: What kind of security protects my money? -> Aug: We want to ensure the origin of your funds is legitimate and secure.
GEN | [top_up_reverted] | Orig: The app reversed a top off I had.  What should I do? -> Aug: The app has cancelled the recent top-up I made. What should I do now?
GEN | [transfer_timing] | Orig: How quickly can I transfer something to China? -> Aug: What is the timing for transferring funds to China?
GEN | [topping_up_by_card] | Orig: what happened to the money after i put in the wrong info and it got declined -> Aug: what happened to the funds after I entered incorrect details and the transaction was declined using my card?
GEN | [pending_card_payment] | Orig: Why aren't my payment funds available to me? -> Aug: Why haven't my card payment cleared yet?
GEN | [transfer_not_received_by_recipient] | Orig: My cash transaction isn't showing on my receipt -> Aug: The cash transfer I initiated hasn't been reflected on the recipient's end.
GEN | [card_not_working] | Orig: What do I do if the machine rejects my card? -> Aug: If the ATM or payment terminal declines my card, what should I do next?
GEN | [transfer_timing] | Orig: How do i transfer something faster than normal? -> Aug: Can you tell me about the quickest way to initiate a transfer?
GEN | [receiving_money] | Orig: My friend wants to send me money, can she? -> Aug: Is it possible for my friend to transfer funds to me?
GEN | [transfer_into_account] | Orig: My account is devoid of funds. Am I permitted to submit additional money via bank transfer? -> Aug: Can I still make a deposit into my account using a bank transfer, even though my account is currently empty?
GEN | [pending_cash_withdrawal] | Orig: Hello, I'm having trouble with my card, I don't understand what's happening, I tried using the ATM machine earlier but it wasn't working but seems like the transactions is still in progress, can you cancel it for me? -> Aug: I'm having some issues with my card, I'm not sure what's going on, I attempted to use the ATM earlier but it didn't work, and it appears that the cash withdrawal is still pending, could you please assist me in canceling it?
GEN | [country_support] | Orig: Who gets support? -> Aug: Who is eligible for assistance?
GEN | [failed_transfer] | Orig: Your system is broken. My transfers keep failing, 5 times now. -> Aug: My transfers are consistently failing, and I've experienced this issue at least 5 times.
GEN | [transfer_not_received_by_recipient] | Orig: Why can't the recepient of my money transaction see it? -> Aug: The recipient of my money transfer is unable to view the transaction.
GEN | [lost_or_stolen_phone] | Orig: phone is at a hotel, can i still use app -> Aug: my phone is currently at a hotel, can I still access the app?
GEN | [Refund_not_showing_up] | Orig: Why hasn't my return cleared my account? -> Aug: Why isn't my refund showing up in my account?
GEN | [exchange_charge] | Orig: Would you be able to offer me a discount, since I need to exchange currencies frequently? -> Aug: Could you provide a discount for me, as I regularly need to exchange currencies?
GEN | [card_not_working] | Orig: I can't use my card for anything -> Aug: I'm unable to make any transactions with my card.
GEN | [transfer_not_received_by_recipient] | Orig: I do not know where the transaction is. -> Aug: I'm not aware of the status of the transfer.
GEN | [transfer_not_received_by_recipient] | Orig: The app isn't showing my transactions -> Aug: The app is not displaying my recent transactions
VAL | [receiving_money] | ACCEPT | Reason: N/A | Original: I need my payment in another currency | Augmented: I require my funds in a different currency
VAL | [virtual_card_not_working] | ACCEPT | Reason: ... | Original: I can't do any business with this virtual card. | Augmented: I'm unable to complete any transactions with this virtual card.
VAL | [virtual_card_not_working] | ACCEPT | Reason: ... | Original: My disposable virtual card wouldn't process my payment? | Augmented: The virtual payment card I was using wouldn't accept my transaction.
VAL | [transfer_not_received_by_recipient] | ACCEPT | Reason: ... | Original: Money is not in recipients account. | Augmented: The recipient's account does not show the transferred funds.
VAL | [virtual_card_not_working] | ACCEPT | Reason: N/A | Original: Please help me.  My disposable virtual card won't work right. | Augmented: Please assist me. My temporary virtual card is not functioning properly.
VAL | [card_payment_wrong_exchange_rate] | ACCEPT | Reason: N/A | Original: What is your exchange rate between UK pounds and Russian rubles for my last transaction | Augmented: What is the exchange rate used for converting UK pounds to Russian rubles in my recent transaction?
VAL | [card_not_working] | UNKNOWN | Reason: N/A | Original: How do I check security settings using the app? | Augmented: What steps can I take to verify the security settings on my card through the mobile app?
VAL | [card_payment_wrong_exchange_rate] | ACCEPT | Reason: ... | Original: The exchange rate used on your app is really bad. I'm considering closing my account because of it. | Augmented: The rate you're using for currency conversion is quite inaccurate. It's making me think about canceling my account.
VAL | [pending_card_payment] | ACCEPT | Reason: ... | Original: My card has been pending for a while, what should I do? | Augmented: My payment is still pending, what's the next step?
VAL | [top_up_by_cash_or_cheque] | ACCEPT | Reason: Both texts are asking about the acceptability of using a cheque for a payment, which aligns with the target intent of topping up by cash or cheque. | Original: Will a cheque suffice? | Augmented: Can I use a cheque to make a payment?
VAL | [transfer_timing] | ACCEPT | Reason: ... | Original: How fast can I transfer something from China? | Augmented: What is the typical timeframe for transferring funds from China?
VAL | [exchange_charge] | ACCEPT | Reason: N/A | Original: Do I have to pay more for exchanges? | Augmented: Are there additional fees for exchanging funds?
VAL | [get_disposable_virtual_card] | ACCEPT | Reason: N/A | Original: I'm not sure how disposable virtual cards work. Please help. | Augmented: I'm having trouble understanding how to obtain a disposable virtual card. Can you assist me?
VAL | [disposable_card_limits] | ACCEPT | Reason: N/A | Original: I need several cards per day. And I need to be able to throw away all of the cards I make. | Augmented: I require a large quantity of disposable cards daily, and I'd like the ability to discard them as needed.
VAL | [top_up_limits] | ACCEPT | Reason: ... | Original: How many top-ups can be approved? | Augmented: What is the limit on the number of top-ups that can be processed?
VAL | [direct_debit_payment_not_recognised] | ACCEPT | Reason: N/A | Original: Unusual direct deposit | Augmented: Unidentified direct debit payment
VAL | [verify_source_of_funds] | UNKNOWN | Reason: N/A | Original: What kind of security protects my money? | Augmented: We want to ensure the origin of your funds is legitimate and secure.
VAL | [top_up_reverted] | ACCEPT | Reason: N/A | Original: The app reversed a top off I had.  What should I do? | Augmented: The app has cancelled the recent top-up I made. What should I do now?
VAL | [transfer_timing] | ACCEPT | Reason: ... | Original: How quickly can I transfer something to China? | Augmented: What is the timing for transferring funds to China?
VAL | [topping_up_by_card] | ACCEPT | Reason: N/A | Original: what happened to the money after i put in the wrong info and it got declined | Augmented: what happened to the funds after I entered incorrect details and the transaction was declined using my card?
VAL | [pending_card_payment] | ACCEPT | Reason: ... | Original: Why aren't my payment funds available to me? | Augmented: Why haven't my card payment cleared yet?
VAL | [transfer_not_received_by_recipient] | ACCEPT | Reason: N/A | Original: My cash transaction isn't showing on my receipt | Augmented: The cash transfer I initiated hasn't been reflected on the recipient's end.
VAL | [card_not_working] | ACCEPT | Reason: ... | Original: What do I do if the machine rejects my card? | Augmented: If the ATM or payment terminal declines my card, what should I do next?
VAL | [transfer_timing] | ACCEPT | Reason: N/A | Original: How do i transfer something faster than normal? | Augmented: Can you tell me about the quickest way to initiate a transfer?
VAL | [receiving_money] | ACCEPT | Reason: ... | Original: My friend wants to send me money, can she? | Augmented: Is it possible for my friend to transfer funds to me?
VAL | [transfer_into_account] | ACCEPT | Reason: ... | Original: My account is devoid of funds. Am I permitted to submit additional money via bank transfer? | Augmented: Can I still make a deposit into my account using a bank transfer, even though my account is currently empty?
VAL | [pending_cash_withdrawal] | ACCEPT | Reason: ... | Original: Hello, I'm having trouble with my card, I don't understand what's happening, I tried using the ATM machine earlier but it wasn't working but seems like the transactions is still in progress, can you cancel it for me? | Augmented: I'm having some issues with my card, I'm not sure what's going on, I attempted to use the ATM earlier but it didn't work, and it appears that the cash withdrawal is still pending, could you please assist me in canceling it?
VAL | [country_support] | ACCEPT | Reason: N/A | Original: Who gets support? | Augmented: Who is eligible for assistance?
VAL | [failed_transfer] | ACCEPT | Reason: ... | Original: Your system is broken. My transfers keep failing, 5 times now. | Augmented: My transfers are consistently failing, and I've experienced this issue at least 5 times.
VAL | [transfer_not_received_by_recipient] | ACCEPT | Reason: ... | Original: Why can't the recepient of my money transaction see it? | Augmented: The recipient of my money transfer is unable to view the transaction.
