GEN | [reverted_card_payment?] | Orig: My card payments have stopped. -> Aug: My card payments have ceased.
GEN | [extra_charge_on_statement] | Orig: Why is there a pending hold on one pound on my statement? -> Aug: What's the reason for the extra charge showing up on my statement?
GEN | [cash_withdrawal_not_recognised] | Orig: Why is there extra cash in my account? -> Aug: We're showing an unexpected cash balance in your account. Can you help us understand why this is happening?
GEN | [declined_card_payment] | Orig: I couldn't pay with my card -> Aug: The payment was not processed due to a card issue.
GEN | [transfer_into_account] | Orig: My account is depleted. Can I transfer funds from another bank? -> Aug: My account is running low. Can I transfer money from another financial institution into my account?
GEN | [top_up_reverted] | Orig: My money disappeared! Please help?? -> Aug: My funds vanished! Can you assist me with this issue?
GEN | [pending_top_up] | Orig: Sort your top up out please! It's been pending since an hour already, can you please make this go through asap I really need the money -> Aug: Can you expedite the processing of my pending top-up? It's been waiting for an hour now, and I urgently need the funds to be credited to my account.
GEN | [transfer_timing] | Orig: How long does it take to get my money -> Aug: What's the typical timeframe for processing my transfer?
GEN | [top_up_limits] | Orig: How many top-ups am I allowed to do? -> Aug: How many times can I increase my limits through top-ups?
GEN | [top_up_failed] | Orig: Can I tell if my top off didn't work?  It doesn't seem to have. -> Aug: Can you confirm if my top-up was unsuccessful? It appears it didn't go through.
GEN | [cancel_transfer] | Orig: I need to change a transfer. -> Aug: I'd like to modify a transfer.
GEN | [transfer_timing] | Orig: How long will I have to wait for my money to be in my account? -> Aug: When can I expect my funds to be available in my account?
GEN | [top_up_limits] | Orig: Whats the limit on my top up -> Aug: What's the maximum amount I can top up?
GEN | [beneficiary_not_allowed] | Orig: Hello - I'm on the app and trying to purchase crypto. It's not going through. What am I doing wrong? -> Aug: I'm having trouble buying cryptocurrency through the app. The transaction won't process. Can you help me figure out what's preventing it from going through?
GEN | [balance_not_updated_after_cheque_or_cash_deposit] | Orig: I tried updating my balance by cheque yesterday but it doesn't seem to be working. Shouldn't that be faster? Please check my account something has gone wrong there. -> Aug: I attempted to refresh my account balance after depositing cash yesterday, but it appears to be stuck. Can you investigate why it's taking so long to reflect the update?
GEN | [reverted_card_payment?] | Orig: I am not able to purchase anything online! I have been using my card on multiple sites over a period of two weeks and none of the payments have gone through. Why is this happening? -> Aug: Why haven't any of my recent online transactions been processed using my card, despite multiple attempts over the past two weeks?
GEN | [cash_withdrawal_charge] | Orig: I have a strange transaction on my account which appears to pertain to a cash withdrawal I made outside Nandos in Leeds.  What is that for?  Is it fraud? -> Aug: I'm concerned about a recent transaction on my account that seems to be related to a cash withdrawal I made at a location outside of Nandos in Leeds. Can you help me understand what this charge is for? Is it a legitimate transaction or could it be a case of fraud?
GEN | [edit_personal_details] | Orig: I need to update my demographics. -> Aug: I'd like to modify my personal information.
GEN | [declined_transfer] | Orig: I wanted to know why my transaction didn't go through. -> Aug: I'm curious about the reason behind the failed transfer.
GEN | [transfer_into_account] | Orig: Can I withdraw money from another bank and transfer it into my empty account? -> Aug: Can I transfer funds from another bank into my account, which currently has no balance?
GEN | [getting_virtual_card] | Orig: I need my virtual card -> Aug: I require my virtual credit card
GEN | [declined_card_payment] | Orig: My card did not go through in a shop -> Aug: My payment was declined at the store.
GEN | [pending_cash_withdrawal] | Orig: Why is the app showing a still pending message on a withdraw that has already been done? -> Aug: Why is the app still displaying a pending status for a cash withdrawal that was completed earlier?
GEN | [reverted_card_payment?] | Orig: I tried to use my debit card, but the payment did not work. -> Aug: I attempted to make a payment using my debit card, but it was unsuccessful.
GEN | [compromised_card] | Orig: My card must have used my card as there are some transactions that I haven't done myself.. -> Aug: Someone else must have used my compromised card, as there are transactions that I didn't authorize myself.
GEN | [verify_source_of_funds] | Orig: Where is my top-up generated from? -> Aug: Can you please confirm the source of the funds used for the recent top-up?
GEN | [fiat_currency_support] | Orig: Will you be adding more currencies in the future? -> Aug: Are there any plans to expand the list of supported fiat currencies in the future?
GEN | [transfer_into_account] | Orig: How does your app transfer the money -> Aug: What steps does your app take to move funds into another account?
GEN | [reverted_card_payment?] | Orig: Hello, I was contacted by a seller who let me know my money didn't come through on their side. It most certainly came out of my account so I need this looked at immediately because now it has been returned to me! -> Aug: I was informed by a seller that the payment didn't go through on their end, but I'm certain it was deducted from my account, and I'd like this issue resolved ASAP since the funds have been reversed back to me.
GEN | [direct_debit_payment_not_recognised] | Orig: Am I able to look back at a transaction to see who with drawled some money from my account? I don't remember authorizing this a few weeks ago, but wanted to double check who took the money. -> Aug: Can I review a past transaction to identify who made a withdrawal from my account? I'm concerned about an unauthorized payment that occurred a few weeks ago and would like to verify who was responsible for the transaction.
GEN | [cash_withdrawal_not_recognised] | Orig: There are incorrect charges on my account, there was a WD that was made by someone else.  I still have my card though. -> Aug: I'm experiencing an issue with an unauthorized cash withdrawal that was made on my account. I still have my card in my possession, but the transaction doesn't seem to be recognized by the system.
GEN | [exchange_via_app] | Orig: I need to get some Euros for my holiday. Am I able to exchange some of my money? -> Aug: I'm planning a trip and need to convert some currency. Can I exchange my money for Euros through the app?
GEN | [pending_top_up] | Orig: How long do top-ups take to go through -> Aug: How long does it typically take for pending top-ups to be processed?
GEN | [extra_charge_on_statement] | Orig: How long will the $1 charge show as pending? -> Aug: How long will the extra charge appear as pending on my statement?
GEN | [balance_not_updated_after_cheque_or_cash_deposit] | Orig: Dude I put money in the ATM last week but it ain't there! I need the money now figure this out! -> Aug: I made a deposit using the ATM last week, but my account balance hasn't been updated yet. Can you help me resolve this issue ASAP?
GEN | [verify_top_up] | Orig: this verifying the top up is annoying -> Aug: This top-up verification process is really frustrating.
GEN | [verify_top_up] | Orig: I just want to top-up, why do I need to verify anything? -> Aug: I'm trying to add funds, but I'm being asked to confirm some information before I can proceed. Can you help me with that?
VAL | [reverted_card_payment?] | ACCEPT | Reason: N/A | Original: My card payments have stopped. | Augmented: My card payments have ceased.
VAL | [extra_charge_on_statement] | ACCEPT | Reason: N/A | Original: Why is there a pending hold on one pound on my statement? | Augmented: What's the reason for the extra charge showing up on my statement?
VAL | [cash_withdrawal_not_recognised] | ACCEPT | Reason: N/A | Original: Why is there extra cash in my account? | Augmented: We're showing an unexpected cash balance in your account. Can you help us understand why this is happening?
VAL | [declined_card_payment] | ACCEPT | Reason: N/A | Original: I couldn't pay with my card | Augmented: The payment was not processed due to a card issue.
VAL | [transfer_into_account] | ACCEPT | Reason: N/A | Original: My account is depleted. Can I transfer funds from another bank? | Augmented: My account is running low. Can I transfer money from another financial institution into my account?
VAL | [top_up_reverted] | ACCEPT | Reason: N/A | Original: My money disappeared! Please help?? | Augmented: My funds vanished! Can you assist me with this issue?
VAL | [pending_top_up] | ACCEPT | Reason: ... | Original: Sort your top up out please! It's been pending since an hour already, can you please make this go through asap I really need the money | Augmented: Can you expedite the processing of my pending top-up? It's been waiting for an hour now, and I urgently need the funds to be credited to my account.
VAL | [transfer_timing] | ACCEPT | Reason: ... | Original: How long does it take to get my money | Augmented: What's the typical timeframe for processing my transfer?
VAL | [top_up_limits] | ACCEPT | Reason: N/A | Original: How many top-ups am I allowed to do? | Augmented: How many times can I increase my limits through top-ups?
VAL | [top_up_failed] | ACCEPT | Reason: ... | Original: Can I tell if my top off didn't work?  It doesn't seem to have. | Augmented: Can you confirm if my top-up was unsuccessful? It appears it didn't go through.
VAL | [cancel_transfer] | ACCEPT | Reason: N/A | Original: I need to change a transfer. | Augmented: I'd like to modify a transfer.
VAL | [transfer_timing] | ACCEPT | Reason: ... | Original: How long will I have to wait for my money to be in my account? | Augmented: When can I expect my funds to be available in my account?
VAL | [top_up_limits] | ACCEPT | Reason: ... | Original: Whats the limit on my top up | Augmented: What's the maximum amount I can top up?
VAL | [beneficiary_not_allowed] | ACCEPT | Reason: N/A | Original: Hello - I'm on the app and trying to purchase crypto. It's not going through. What am I doing wrong? | Augmented: I'm having trouble buying cryptocurrency through the app. The transaction won't process. Can you help me figure out what's preventing it from going through?
VAL | [balance_not_updated_after_cheque_or_cash_deposit] | ACCEPT | Reason: N/A | Original: I tried updating my balance by cheque yesterday but it doesn't seem to be working. Shouldn't that be faster? Please check my account something has gone wrong there. | Augmented: I attempted to refresh my account balance after depositing cash yesterday, but it appears to be stuck. Can you investigate why it's taking so long to reflect the update?
VAL | [reverted_card_payment?] | ACCEPT | Reason: N/A | Original: I am not able to purchase anything online! I have been using my card on multiple sites over a period of two weeks and none of the payments have gone through. Why is this happening? | Augmented: Why haven't any of my recent online transactions been processed using my card, despite multiple attempts over the past two weeks?
VAL | [cash_withdrawal_charge] | ACCEPT | Reason: ... | Original: I have a strange transaction on my account which appears to pertain to a cash withdrawal I made outside Nandos in Leeds.  What is that for?  Is it fraud? | Augmented: I'm concerned about a recent transaction on my account that seems to be related to a cash withdrawal I made at a location outside of Nandos in Leeds. Can you help me understand what this charge is for? Is it a legitimate transaction or could it be a case of fraud?
VAL | [edit_personal_details] | ACCEPT | Reason: N/A | Original: I need to update my demographics. | Augmented: I'd like to modify my personal information.
VAL | [declined_transfer] | ACCEPT | Reason: ... | Original: I wanted to know why my transaction didn't go through. | Augmented: I'm curious about the reason behind the failed transfer.
VAL | [transfer_into_account] | ACCEPT | Reason: N/A | Original: Can I withdraw money from another bank and transfer it into my empty account? | Augmented: Can I transfer funds from another bank into my account, which currently has no balance?
VAL | [getting_virtual_card] | ACCEPT | Reason: ... | Original: I need my virtual card | Augmented: I require my virtual credit card
VAL | [declined_card_payment] | ACCEPT | Reason: ... | Original: My card did not go through in a shop | Augmented: My payment was declined at the store.
VAL | [pending_cash_withdrawal] | ACCEPT | Reason: The augmented text does not change the intent; it merely rephrases the original question with slightly different wording but retains the essence of the inquiry about an un-updated withdrawal status. | Original: Why is the app showing a still pending message on a withdraw that has already been done? | Augmented: Why is the app still displaying a pending status for a cash withdrawal that was completed earlier?
VAL | [reverted_card_payment?] | ACCEPT | Reason: N/A | Original: I tried to use my debit card, but the payment did not work. | Augmented: I attempted to make a payment using my debit card, but it was unsuccessful.
VAL | [compromised_card] | ACCEPT | Reason: N/A | Original: My card must have used my card as there are some transactions that I haven't done myself.. | Augmented: Someone else must have used my compromised card, as there are transactions that I didn't authorize myself.
VAL | [verify_source_of_funds] | ACCEPT | Reason: ... | Original: Where is my top-up generated from? | Augmented: Can you please confirm the source of the funds used for the recent top-up?
VAL | [fiat_currency_support] | ACCEPT | Reason: N/A | Original: Will you be adding more currencies in the future? | Augmented: Are there any plans to expand the list of supported fiat currencies in the future?
VAL | [transfer_into_account] | ACCEPT | Reason: N/A | Original: How does your app transfer the money | Augmented: What steps does your app take to move funds into another account?
VAL | [reverted_card_payment?] | ACCEPT | Reason: ... | Original: Hello, I was contacted by a seller who let me know my money didn't come through on their side. It most certainly came out of my account so I need this looked at immediately because now it has been returned to me! | Augmented: I was informed by a seller that the payment didn't go through on their end, but I'm certain it was deducted from my account, and I'd like this issue resolved ASAP since the funds have been reversed back to me.
VAL | [direct_debit_payment_not_recognised] | ACCEPT | Reason: N/A | Original: Am I able to look back at a transaction to see who with drawled some money from my account? I don't remember authorizing this a few weeks ago, but wanted to double check who took the money. | Augmented: Can I review a past transaction to identify who made a withdrawal from my account? I'm concerned about an unauthorized payment that occurred a few weeks ago and would like to verify who was responsible for the transaction.
VAL | [cash_withdrawal_not_recognised] | ACCEPT | Reason: The augmented text preserves the core issue of an unauthorized cash withdrawal not being recognized by the system, and it does not add any unsupported information or change the intent. | Original: There are incorrect charges on my account, there was a WD that was made by someone else.  I still have my card though. | Augmented: I'm experiencing an issue with an unauthorized cash withdrawal that was made on my account. I still have my card in my possession, but the transaction doesn't seem to be recognized by the system.
