GEN | [transfer_not_received_by_recipient] | Orig: wheres my money receipt -> Aug: I haven't received the transfer yet.
GEN | [lost_or_stolen_card] | Orig: I misplaced my card and I dont know where the last place is where I used the card last. Can you look at my account and tell me the last place I used the card? -> Aug: I'm not sure where I last used my card, but I think I might have misplaced it. Can you check my account activity to see the last transaction made with my card?
GEN | [card_payment_not_recognised] | Orig: This card payment isn't is recognition. -> Aug: This payment made with the card is not being recognized.
GEN | [pending_transfer] | Orig: Hey I double checked that I have the correct account details already, they're right for sure. Transfer is still pending since forever. It's not that difficult to transfer money to another country in 2018 is it? -> Aug: I've reconfirmed my account information, and it's accurate. The transfer remains pending, and I'm starting to get frustrated. It's surprising that international transfers can take so long, especially in this day and age.
GEN | [balance_not_updated_after_cheque_or_cash_deposit] | Orig: I made a deposit a couple of days back it's, as of yet, not gone in! It would be ideal if you assist me with this -> Aug: I recently made a deposit, but my account balance hasn't been updated yet. Could you please help me with this issue?
GEN | [verify_source_of_funds] | Orig: how do i track the moeney -> Aug: Can you please clarify how I can confirm the origin of the funds?
GEN | [card_payment_not_recognised] | Orig: Is it possible someone has access to my card? I noticed that there are a couple of payments in the app I'm sure I did not make. Can you find out what's going on here? -> Aug: I'm concerned that someone might have unauthorized access to my card. I've checked my app and noticed a few transactions that I'm certain I didn't make. Could you investigate this issue and let me know what's happening?
GEN | [transfer_timing] | Orig: How long does it take to transfer from china? Is there a way to transfer it quickly, I need it urgently? -> Aug: What is the typical timeframe for transferring funds from China? Is there an expedited option available, as I require the transfer to be processed as soon as possible?
GEN | [card_payment_not_recognised] | Orig: I do not recognise the card payment. -> Aug: I'm unable to verify the card payment.
GEN | [card_payment_fee_charged] | Orig: Is there an allowance on cards? -> Aug: Are there any exceptions or waivers for card payment fees?
GEN | [compromised_card] | Orig: What do I do if I believe to be a victim of credit card fraud? -> Aug: If I suspect that my credit card has been compromised, what steps should I take to address the situation?
GEN | [transfer_not_received_by_recipient] | Orig: When will I get my money? It's been too long. -> Aug: Why hasn't my transfer arrived yet? It's been an unacceptable delay.
GEN | [direct_debit_payment_not_recognised] | Orig: If I found an error in my account for a transaction I didn't make, how long to I have to dispute it? -> Aug: We've noticed a direct debit payment that doesn't match your account records. Can you please let us know how long you'd like to dispute this transaction?
GEN | [pin_blocked] | Orig: How do I unblock my card? -> Aug: What steps can I take to reactivate my blocked card?
GEN | [disposable_card_limits] | Orig: I need several cards per day. And I need to be able to throw away all of the cards I make. -> Aug: I require a large quantity of disposable cards daily, and I'd like the ability to discard them as needed.
GEN | [card_payment_not_recognised] | Orig: I didn't make a payment at this business. -> Aug: We didn't process a payment at this merchant.
GEN | [card_arrival] | Orig: I don't have my card after 1 week. What are my next steps? -> Aug: I haven't received my card yet, and it's been a week. What should I do now?
GEN | [getting_spare_card] | Orig: I have left my card at my parents house. Can you send me a spare one please to use in the meantime? -> Aug: I've misplaced my card at my parents' residence. Could you kindly provide me with a replacement card until I can retrieve the original one?
GEN | [order_physical_card] | Orig: I need an actual card that I can hold in my hand, how do I do that? -> Aug: I'd like to request a physical card that I can physically possess, how can I go about ordering one?
GEN | [order_physical_card] | Orig: Do physical cards cost money? -> Aug: Are physical cards a fee-based service?
GEN | [declined_cash_withdrawal] | Orig: How do I get money from an ATM using my card? I can't seem to get it to work? I used the pin I had, but maybe it's wrong? What do I need to do to fix this? -> Aug: I'm having trouble withdrawing cash from an ATM using my card. I've tried entering my PIN, but it's not working. Can you help me resolve this issue?
GEN | [order_physical_card] | Orig: Where do you export the cards to? -> Aug: How do you receive your physical credit cards?
GEN | [balance_not_updated_after_bank_transfer] | Orig: help my money isnt showing up -> Aug: my account balance isn't reflecting the recent transfer
GEN | [visa_or_mastercard] | Orig: I anticipate getting a Visa card -> Aug: I'm expecting to receive a Mastercard
GEN | [pending_transfer] | Orig: When will the transaction post to my account? -> Aug: When will the transfer be processed and reflected in my account balance?
GEN | [balance_not_updated_after_bank_transfer] | Orig: What's the time frame normally for a UK account transfer? I just made one and it's not showing up anywhere. I want to be sure that everything is good. -> Aug: When can I expect the transfer to reflect in my UK account? I recently initiated a transfer, but my balance hasn't been updated yet, and I'd like to confirm everything is in order.
GEN | [wrong_exchange_rate_for_cash_withdrawal] | Orig: An overseas cash transfer did not work correctly -> Aug: The exchange rate used for the cash withdrawal was incorrect.
GEN | [cash_withdrawal_not_recognised] | Orig: I see cash in my app but I did not get it. -> Aug: I'm showing a cash withdrawal in my app, but it's not reflecting in my account.
GEN | [failed_transfer] | Orig: A mortgage payment I'm making is giving me an error message.  This is the first time I'm making this payment and want to know what's wrong. -> Aug: I'm experiencing an issue with a mortgage payment I'm attempting to make, and I'm receiving an error message. This is my first time making this payment, and I'd like to understand what's causing the problem.
GEN | [balance_not_updated_after_cheque_or_cash_deposit] | Orig: Do you guys accept cash? Because i deposited some this morning and I can't see it in my account. -> Aug: We've received a cash deposit from you, but it's not showing up in your account balance yet. Can you please confirm if we accept cash deposits and when you can expect the update?
GEN | [transfer_not_received_by_recipient] | Orig: My cash transaction isn't showing on my receipt -> Aug: The cash transfer I initiated hasn't been reflected on the recipient's end.
GEN | [balance_not_updated_after_bank_transfer] | Orig: Can you tell me how long it would take, to make a transfer from France? I made one 2 days ago and its not there yet. -> Aug: I'm trying to make sense of a recent bank transfer from France, but my account balance hasn't been updated yet. Can you give me an estimate of how long it usually takes for these transactions to reflect in my account?
GEN | [order_physical_card] | Orig: What is the price for a physical card? -> Aug: How much does a physical card cost?
GEN | [pending_transfer] | Orig: I need to know why a money transfer is available. -> Aug: I'd like to understand why a pending transfer is showing as available.
GEN | [declined_transfer] | Orig: I'm trying to move money from my account to elsewhere, but it's giving me an error message. -> Aug: I'm attempting to initiate a transfer from my account to another account, but I'm receiving an error notification.
GEN | [pending_top_up] | Orig: Can you please sort out your top up? I need this to go through asap because I really need the money. It's already been pending for an hour. -> Aug: Could you expedite the processing of my pending top-up? I'm in urgent need of the funds and it's been pending for a while now.
GEN | [extra_charge_on_statement] | Orig: I'm pretty frustrated about a pound charge that keeps  showing up in my account statement. It's listed in the app as "pending", it never changes, and now I'm thinking someone's hacked my account! -> Aug: I'm concerned about an unexpected charge that's been appearing on my account statement. It's marked as "pending" in the app, and it's not updating, which has me worried that someone may have unauthorized access to my account.
GEN | [pending_cash_withdrawal] | Orig: I tried to get some money but the machine was not working .The transaction still seems in progress! Can you please check what's going on.I don't want to be charged for money that I did not received. -> Aug: I attempted to withdraw some cash, but the ATM was malfunctioning. The transaction appears to be still pending. Could you look into this matter and ensure I'm not charged for the amount I didn't receive?
VAL | [transfer_not_received_by_recipient] | ACCEPT | Reason: N/A | Original: wheres my money receipt | Augmented: I haven't received the transfer yet.
VAL | [lost_or_stolen_card] | ACCEPT | Reason: N/A | Original: I misplaced my card and I dont know where the last place is where I used the card last. Can you look at my account and tell me the last place I used the card? | Augmented: I'm not sure where I last used my card, but I think I might have misplaced it. Can you check my account activity to see the last transaction made with my card?
VAL | [card_payment_not_recognised] | ACCEPT | Reason: ... | Original: This card payment isn't is recognition. | Augmented: This payment made with the card is not being recognized.
VAL | [pending_transfer] | ACCEPT | Reason: The augmented text preserves the user's frustration with a pending transfer and the expectation that the transfer should not be taking so long, which aligns with the original intent. | Original: Hey I double checked that I have the correct account details already, they're right for sure. Transfer is still pending since forever. It's not that difficult to transfer money to another country in 2018 is it? | Augmented: I've reconfirmed my account information, and it's accurate. The transfer remains pending, and I'm starting to get frustrated. It's surprising that international transfers can take so long, especially in this day and age.
VAL | [balance_not_updated_after_cheque_or_cash_deposit] | ACCEPT | Reason: Both texts convey the same issue of a deposit being made but the account balance not updating, and the user requesting help. This preserves the original intent without adding any unsupported information or becoming ambiguous. | Original: I made a deposit a couple of days back it's, as of yet, not gone in! It would be ideal if you assist me with this | Augmented: I recently made a deposit, but my account balance hasn't been updated yet. Could you please help me with this issue?
VAL | [verify_source_of_funds] | ACCEPT | Reason: N/A | Original: how do i track the moeney | Augmented: Can you please clarify how I can confirm the origin of the funds?
VAL | [card_payment_not_recognised] | ACCEPT | Reason: N/A | Original: Is it possible someone has access to my card? I noticed that there are a couple of payments in the app I'm sure I did not make. Can you find out what's going on here? | Augmented: I'm concerned that someone might have unauthorized access to my card. I've checked my app and noticed a few transactions that I'm certain I didn't make. Could you investigate this issue and let me know what's happening?
VAL | [transfer_timing] | ACCEPT | Reason: ... | Original: How long does it take to transfer from china? Is there a way to transfer it quickly, I need it urgently? | Augmented: What is the typical timeframe for transferring funds from China? Is there an expedited option available, as I require the transfer to be processed as soon as possible?
VAL | [card_payment_not_recognised] | ACCEPT | Reason: N/A | Original: I do not recognise the card payment. | Augmented: I'm unable to verify the card payment.
VAL | [card_payment_fee_charged] | ACCEPT | Reason: N/A | Original: Is there an allowance on cards? | Augmented: Are there any exceptions or waivers for card payment fees?
VAL | [compromised_card] | ACCEPT | Reason: ... | Original: What do I do if I believe to be a victim of credit card fraud? | Augmented: If I suspect that my credit card has been compromised, what steps should I take to address the situation?
VAL | [transfer_not_received_by_recipient] | ACCEPT | Reason: ... | Original: When will I get my money? It's been too long. | Augmented: Why hasn't my transfer arrived yet? It's been an unacceptable delay.
VAL | [direct_debit_payment_not_recognised] | ACCEPT | Reason: N/A | Original: If I found an error in my account for a transaction I didn't make, how long to I have to dispute it? | Augmented: We've noticed a direct debit payment that doesn't match your account records. Can you please let us know how long you'd like to dispute this transaction?
VAL | [pin_blocked] | ACCEPT | Reason: N/A | Original: How do I unblock my card? | Augmented: What steps can I take to reactivate my blocked card?
VAL | [disposable_card_limits] | ACCEPT | Reason: N/A | Original: I need several cards per day. And I need to be able to throw away all of the cards I make. | Augmented: I require a large quantity of disposable cards daily, and I'd like the ability to discard them as needed.
VAL | [card_payment_not_recognised] | ACCEPT | Reason: N/A | Original: I didn't make a payment at this business. | Augmented: We didn't process a payment at this merchant.
VAL | [card_arrival] | ACCEPT | Reason: N/A | Original: I don't have my card after 1 week. What are my next steps? | Augmented: I haven't received my card yet, and it's been a week. What should I do now?
VAL | [getting_spare_card] | ACCEPT | Reason: The augmented text preserves the intent of requesting a spare card due to the loss of the original one. It uses slightly different wording but conveys the same request. | Original: I have left my card at my parents house. Can you send me a spare one please to use in the meantime? | Augmented: I've misplaced my card at my parents' residence. Could you kindly provide me with a replacement card until I can retrieve the original one?
VAL | [order_physical_card] | ACCEPT | Reason: ... | Original: I need an actual card that I can hold in my hand, how do I do that? | Augmented: I'd like to request a physical card that I can physically possess, how can I go about ordering one?
VAL | [order_physical_card] | ACCEPT | Reason: N/A | Original: Do physical cards cost money? | Augmented: Are physical cards a fee-based service?
VAL | [declined_cash_withdrawal] | ACCEPT | Reason: N/A | Original: How do I get money from an ATM using my card? I can't seem to get it to work? I used the pin I had, but maybe it's wrong? What do I need to do to fix this? | Augmented: I'm having trouble withdrawing cash from an ATM using my card. I've tried entering my PIN, but it's not working. Can you help me resolve this issue?
VAL | [order_physical_card] | UNKNOWN | Reason: N/A | Original: Where do you export the cards to? | Augmented: How do you receive your physical credit cards?
VAL | [balance_not_updated_after_bank_transfer] | ACCEPT | Reason: ... | Original: help my money isnt showing up | Augmented: my account balance isn't reflecting the recent transfer
VAL | [visa_or_mastercard] | REVIEW | Reason: N/A | Original: I anticipate getting a Visa card | Augmented: I'm expecting to receive a Mastercard
VAL | [pending_transfer] | ACCEPT | Reason: ... | Original: When will the transaction post to my account? | Augmented: When will the transfer be processed and reflected in my account balance?
VAL | [balance_not_updated_after_bank_transfer] | ACCEPT | Reason: The augmented text preserves the same banking intent of the balance not updating after a transfer and is not contradictory to the original intent. It is specific enough to belong to the target intent. | Original: What's the time frame normally for a UK account transfer? I just made one and it's not showing up anywhere. I want to be sure that everything is good. | Augmented: When can I expect the transfer to reflect in my UK account? I recently initiated a transfer, but my balance hasn't been updated yet, and I'd like to confirm everything is in order.
VAL | [wrong_exchange_rate_for_cash_withdrawal] | ACCEPT | Reason: N/A | Original: An overseas cash transfer did not work correctly | Augmented: The exchange rate used for the cash withdrawal was incorrect.
VAL | [cash_withdrawal_not_recognised] | ACCEPT | Reason: The augmented text maintains the core issue of a cash withdrawal being recognized in the app but not reflected in the account, which is consistent with the original intent. | Original: I see cash in my app but I did not get it. | Augmented: I'm showing a cash withdrawal in my app, but it's not reflecting in my account.
VAL | [failed_transfer] | ACCEPT | Reason: ... | Original: A mortgage payment I'm making is giving me an error message.  This is the first time I'm making this payment and want to know what's wrong. | Augmented: I'm experiencing an issue with a mortgage payment I'm attempting to make, and I'm receiving an error message. This is my first time making this payment, and I'd like to understand what's causing the problem.
VAL | [balance_not_updated_after_cheque_or_cash_deposit] | UNKNOWN | Reason: N/A | Original: Do you guys accept cash? Because i deposited some this morning and I can't see it in my account. | Augmented: We've received a cash deposit from you, but it's not showing up in your account balance yet. Can you please confirm if we accept cash deposits and when you can expect the update?
VAL | [transfer_not_received_by_recipient] | ACCEPT | Reason: N/A | Original: My cash transaction isn't showing on my receipt | Augmented: The cash transfer I initiated hasn't been reflected on the recipient's end.
VAL | [balance_not_updated_after_bank_transfer] | ACCEPT | Reason: ... | Original: Can you tell me how long it would take, to make a transfer from France? I made one 2 days ago and its not there yet. | Augmented: I'm trying to make sense of a recent bank transfer from France, but my account balance hasn't been updated yet. Can you give me an estimate of how long it usually takes for these transactions to reflect in my account?
