GEN | [cash_withdrawal_not_recognised] | Orig: What is this witdrawal -> Aug: What is this cash withdrawal being declined?
GEN | [direct_debit_payment_not_recognised] | Orig: what is the word? -> Aug: We've received a notification that a direct debit payment has not been recognised in your account.
GEN | [transfer_fee_charged] | Orig: why was i chargged -> Aug: why was a transfer fee charged
GEN | [card_arrival] | Orig: WHAT IS THE SOLUTION OF THIS PROBLEM -> Aug: What is the resolution for my card arrival issue?
GEN | [pin_blocked] | Orig: I attempted to enter my pin to many times. -> Aug: I tried to enter my PIN multiple times.
GEN | [country_support] | Orig: I live in Germany. Is that one of the countries you are in? What other countries are you in? -> Aug: I reside in Germany. Are you a financial institution that operates in Germany? Can you also provide information on the other countries you support?
GEN | [direct_debit_payment_not_recognised] | Orig: hey, I think someone stole my card numbers. There is a purchase showing up on my app from a store pretty far away from me.. I really need that money back to pay my rent. -> Aug: I'm concerned about a suspicious transaction on my account. I've noticed a direct debit payment that I didn't authorise, and I'm worried it might be a case of identity theft. The payment was made to a store that's not local to me, and I urgently need to resolve this issue to avoid any financial difficulties.
GEN | [passcode_forgotten] | Orig: passcode retrieval -> Aug: forgot passcode
GEN | [wrong_amount_of_cash_received] | Orig: i asked for 100 only got 80 -> Aug: i requested 200 but was given 150
GEN | [pin_blocked] | Orig: I used my pin too many times. -> Aug: I've exceeded the allowed number of pin attempts.
GEN | [get_physical_card] | Orig: I dont have a pin -> Aug: I'd like to request a physical card to replace the one I lost.
GEN | [pin_blocked] | Orig: What should I do if I exceed my PIN tries? -> Aug: What should I do if my PIN is blocked due to excessive attempts?
GEN | [pin_blocked] | Orig: How come I got blocked for entering wrong pins? -> Aug: I'm trying to understand why I was blocked for entering incorrect PINs.
GEN | [request_refund] | Orig: What is the return policy? -> Aug: Can you please provide me with the return policy so I can initiate a refund?
GEN | [get_physical_card] | Orig: Is the PIN sent in another message? -> Aug: Can I request a physical card instead?
GEN | [pin_blocked] | Orig: I must have entered my PIN wrong. -> Aug: I may have incorrectly entered my PIN.
GEN | [request_refund] | Orig: What is the refund process? -> Aug: Can you please guide me through the steps to initiate a refund?
GEN | [transaction_charged_twice] | Orig: I was charged multiple times at the same location at the same time -> Aug: I was double-charged for the same transaction at the same location and date
GEN | [pin_blocked] | Orig: How many times can I enter a wrong PIN before it is blocked? -> Aug: What is the maximum number of incorrect PIN attempts allowed before my account is blocked?
GEN | [request_refund] | Orig: I want to know about your refund policy. -> Aug: I'd like to inquire about the process for requesting a refund.
GEN | [declined_transfer] | Orig: What does the decline message mean -> Aug: The transfer was not processed due to insufficient funds or other reasons, and we cannot proceed with the transaction.
GEN | [request_refund] | Orig: What is the refund policy? -> Aug: Can you please provide information about your refund policy?
GEN | [get_physical_card] | Orig: I can't find the PIN. -> Aug: I need to retrieve my physical credit card.
GEN | [request_refund] | Orig: Do you have a return policy? -> Aug: Can I initiate a return and request a refund?
GEN | [get_physical_card] | Orig: Is the PIN separately delivered? -> Aug: Can I receive my physical card separately from the PIN?
GEN | [declined_cash_withdrawal] | Orig: i entered my pin in wrong and got it frozen. how many tries do i have -> Aug: Unfortunately, your cash withdrawal has been declined due to an incorrect PIN entry. Please try again, and you have [X] attempts remaining before your account is locked.
GEN | [compromised_card] | Orig: I think that someone may be using my card, but I'm not sure,. -> Aug: I'm concerned that my card might have been compromised, but I'm not entirely certain.
GEN | [exchange_charge] | Orig: I wanted to know what discounts were offered for current exchanges as it is something that occurs frequently. -> Aug: I'd like to inquire about the available discounts for frequent exchange transactions.
GEN | [lost_or_stolen_phone] | Orig: I have lost my phone or it has been stolen. -> Aug: I've misplaced my phone, or it's been stolen.
GEN | [card_arrival] | Orig: Was there a way for me to get tracking for that? -> Aug: Could you please provide me with the tracking information for my card arrival?
GEN | [compromised_card] | Orig: I can't be sure, but I think that someone may be using my card. -> Aug: I'm concerned that my card might have been compromised and someone is using it.
GEN | [get_physical_card] | Orig: Does the PIN come under separate cover? -> Aug: Can I request a physical card with the PIN included?
GEN | [compromised_card] | Orig: What do I do if I detect fraudulent use on my car? -> Aug: What do I do if I suspect unauthorized activity on my compromised card?
GEN | [request_refund] | Orig: Can you explain your refund policy, please? -> Aug: Could you please provide information about your refund process?
GEN | [declined_card_payment] | Orig: Hi, is everything in good standing with my card? I am receiving multiple "decline" messages. -> Aug: We've noticed that your recent payment attempt was declined. Can you please check your card details to ensure everything is up to date and within your available balance?
GEN | [request_refund] | Orig: I would like to report an issue with my product and want to get it refunded -> Aug: I'm experiencing a problem with my purchase and would like to initiate a refund process
GEN | [request_refund] | Orig: What is the refund procedure? -> Aug: Can you please provide the steps to initiate a refund?
GEN | [get_physical_card] | Orig: is my pin the same as my passcode -> Aug: Can I retrieve my physical debit/credit card details, including the PIN and passcode?
GEN | [compromised_card] | Orig: am afraid someone may have gained access to the info on my card. -> Aug: I'm worried that someone might have obtained unauthorized access to my card details.
GEN | [pin_blocked] | Orig: I forgot what my pin number is and now am blocked can you help me get in? -> Aug: I'm having trouble remembering my PIN and I've been blocked, can you assist me in accessing my account?
