GEN | [cancel_transfer] | Orig: Can I stop a transaction? -> Aug: Can I cancel a transfer?
GEN | [cancel_transfer] | Orig: Is it possible for a transaction to be cancelled? -> Aug: Can I cancel a transfer that's already been initiated?
GEN | [transfer_not_received_by_recipient] | Orig: i accidentally entered in my retailers information, what should i do next -> Aug: The transfer was mistakenly sent to the wrong recipient, what steps can I take to rectify the situation?
GEN | [reverted_card_payment?] | Orig: Under what condition will my payment revert? -> Aug: What circumstances would cause my payment to be reversed?
GEN | [getting_spare_card] | Orig: What is the procedure for me to get more cards on my account? -> Aug: How do I obtain additional cards for my account?
GEN | [lost_or_stolen_card] | Orig: Has there been any activity on my card today? -> Aug: Has there been any recent use or transactions on my card?
GEN | [cancel_transfer] | Orig: I have a transaction and would like to know if I it's cancelable? -> Aug: I'd like to inquire about the possibility of canceling a specific transaction.
GEN | [card_payment_not_recognised] | Orig: I need to figure out what these charges are on my account. They've been coming out for a couple of days. Can i get all of this money back? Also, I need to freeze my card. -> Aug: I'm trying to understand the recent transactions on my account. There have been some unusual charges showing up. Can I get a refund for these amounts? Additionally, I'd like to temporarily suspend my card usage.
GEN | [passcode_forgotten] | Orig: Can you tell me my code to get into the app? -> Aug: I forgot my passcode to access the app, can you help me retrieve it?
GEN | [why_verify_identity] | Orig: Why are you asking so many questions about me? -> Aug: We're verifying your identity to ensure the security and integrity of your account.
GEN | [pending_top_up] | Orig: I do not think the pop up went through yet. -> Aug: I'm not sure if the top-up request has been processed successfully.
GEN | [reverted_card_payment?] | Orig: Was my transaction reverted with my card? -> Aug: Did my card payment get reversed?
GEN | [Refund_not_showing_up] | Orig: Card refund is not showing up in my statement. -> Aug: The refund for my card is missing from my latest statement.
GEN | [compromised_card] | Orig: What can I do if my card details where stolen from my car? I think they used my card to buy gas. -> Aug: What can I do if my card information was stolen from my vehicle? I suspect someone used my card to make a purchase, possibly for gas.
GEN | [wrong_amount_of_cash_received] | Orig: Help, your app is showing a larger WD than I actually did earlier at an ATM. -> Aug: The app is displaying a higher withdrawal amount than what I physically deposited at the ATM.
GEN | [balance_not_updated_after_bank_transfer] | Orig: I can still see money in my account after making a payment -> Aug: I can see the funds in my account, but the balance hasn't been updated after I made a transfer.
GEN | [lost_or_stolen_card] | Orig: A fee shouldn't apply to me if my card was stolen. -> Aug: I shouldn't be charged a fee if my credit card was stolen.
GEN | [card_swallowed] | Orig: How do I get my card back quickly from a bank machine that it? -> Aug: How can I retrieve my card from a bank machine as soon as possible?
GEN | [reverted_card_payment?] | Orig: Why have I received a rebate for my payment after a week? -> Aug: Why did I get a refund for my payment after a week?
GEN | [reverted_card_payment?] | Orig: What happens if a merchant doesn't accept  you payment? -> Aug: What happens if a payment to a merchant is declined or reversed?
GEN | [receiving_money] | Orig: I need my payment in another currency -> Aug: I require my funds in a different currency
GEN | [compromised_card] | Orig: My card must have used my card as there are some transactions that I haven't done myself.. -> Aug: Someone else must have used my compromised card, as there are transactions that I didn't authorize myself.
GEN | [getting_virtual_card] | Orig: I look but I see no virtual card. Why is that? -> Aug: I'm unable to locate my virtual card. Can you help me understand why it's not showing up?
GEN | [why_verify_identity] | Orig: Do you think you're asking for too much information about me? -> Aug: Are you feeling overwhelmed by the amount of personal details we're asking you to provide?
GEN | [virtual_card_not_working] | Orig: My throwaway virtual card won't work -> Aug: My temporary virtual card is not functioning properly.
GEN | [why_verify_identity] | Orig: Why are you asking so many questions about who I am -> Aug: What's the purpose behind all these inquiries about my identity?
GEN | [topping_up_by_card] | Orig: I need my card topped up, -> Aug: I'd like to add funds to my card.
GEN | [transfer_not_received_by_recipient] | Orig: What happens when I money transaction doesn't show up on the receiving side? -> Aug: Why hasn't the money transfer been credited to the recipient's account?
GEN | [top_up_by_cash_or_cheque] | Orig: Can I use a check to get gas? -> Aug: Can I use a cheque to top up my account?
GEN | [card_payment_fee_charged] | Orig: I had to pay money for paying with my card. -> Aug: I was charged a fee for using my card to make the payment.
GEN | [pin_blocked] | Orig: I managed to drunken block my card :(( Help! -> Aug: I accidentally locked my card due to a mistake :(( Assist me!
GEN | [disposable_card_limits] | Orig: i tried using a virtual card for a hotel but it didn't work, why not -> Aug: I attempted to utilize a disposable card for a hotel booking, but it was unsuccessful, could you please explain why?
GEN | [transfer_not_received_by_recipient] | Orig: |I moved out of my old house two weeks ago and cancelled my direct debit to my old landlord, this direct debit was working fine.  Now I've moved in to a new place and set up a transfer to a new landlord but it's not reached her yet, can you check it please? -> Aug: I recently relocated to a new residence and terminated my direct debit with my previous landlord, which was functioning correctly. Since then, I've established a new transfer to my new landlord, but it hasn't been received by her yet. Could you kindly investigate this matter for me?
GEN | [why_verify_identity] | Orig: I don't understand why you want so much of my personal info. -> Aug: I'm curious, what's the purpose behind requesting all this personal information?
GEN | [getting_spare_card] | Orig: Please tell me if I'm going to be charged for sending out more cards? -> Aug: Can you inform me if I'll be charged for requesting additional cards?
GEN | [topping_up_by_card] | Orig: How do I to up by card? -> Aug: How can I add funds to my account using my card?
GEN | [top_up_by_cash_or_cheque] | Orig: how can i add money to my account if you don't accept cash -> Aug: Can I deposit funds into my account if you don't accept cash?
GEN | [order_physical_card] | Orig: Where do you export the cards to? -> Aug: How do you receive your physical credit cards?
VAL | [cancel_transfer] | ACCEPT | Reason: ... | Original: Can I stop a transaction? | Augmented: Can I cancel a transfer?
VAL | [cancel_transfer] | ACCEPT | Reason: N/A | Original: Is it possible for a transaction to be cancelled? | Augmented: Can I cancel a transfer that's already been initiated?
VAL | [transfer_not_received_by_recipient] | ACCEPT | Reason: N/A | Original: i accidentally entered in my retailers information, what should i do next | Augmented: The transfer was mistakenly sent to the wrong recipient, what steps can I take to rectify the situation?
VAL | [reverted_card_payment?] | ACCEPT | Reason: ... | Original: Under what condition will my payment revert? | Augmented: What circumstances would cause my payment to be reversed?
VAL | [getting_spare_card] | ACCEPT | Reason: ... | Original: What is the procedure for me to get more cards on my account? | Augmented: How do I obtain additional cards for my account?
VAL | [lost_or_stolen_card] | ACCEPT | Reason: N/A | Original: Has there been any activity on my card today? | Augmented: Has there been any recent use or transactions on my card?
VAL | [cancel_transfer] | ACCEPT | Reason: ... | Original: I have a transaction and would like to know if I it's cancelable? | Augmented: I'd like to inquire about the possibility of canceling a specific transaction.
VAL | [card_payment_not_recognised] | REVIEW | Reason: N/A | Original: I need to figure out what these charges are on my account. They've been coming out for a couple of days. Can i get all of this money back? Also, I need to freeze my card. | Augmented: I'm trying to understand the recent transactions on my account. There have been some unusual charges showing up. Can I get a refund for these amounts? Additionally, I'd like to temporarily suspend my card usage.
VAL | [passcode_forgotten] | ACCEPT | Reason: N/A | Original: Can you tell me my code to get into the app? | Augmented: I forgot my passcode to access the app, can you help me retrieve it?
VAL | [why_verify_identity] | ACCEPT | Reason: N/A | Original: Why are you asking so many questions about me? | Augmented: We're verifying your identity to ensure the security and integrity of your account.
VAL | [pending_top_up] | ACCEPT | Reason: N/A | Original: I do not think the pop up went through yet. | Augmented: I'm not sure if the top-up request has been processed successfully.
VAL | [reverted_card_payment?] | ACCEPT | Reason: N/A | Original: Was my transaction reverted with my card? | Augmented: Did my card payment get reversed?
VAL | [Refund_not_showing_up] | ACCEPT | Reason: ... | Original: Card refund is not showing up in my statement. | Augmented: The refund for my card is missing from my latest statement.
VAL | [compromised_card] | ACCEPT | Reason: N/A | Original: What can I do if my card details where stolen from my car? I think they used my card to buy gas. | Augmented: What can I do if my card information was stolen from my vehicle? I suspect someone used my card to make a purchase, possibly for gas.
VAL | [wrong_amount_of_cash_received] | ACCEPT | Reason: N/A | Original: Help, your app is showing a larger WD than I actually did earlier at an ATM. | Augmented: The app is displaying a higher withdrawal amount than what I physically deposited at the ATM.
VAL | [balance_not_updated_after_bank_transfer] | ACCEPT | Reason: The augmented text preserves the same banking intent by indicating that the user can see the funds but the balance is not being updated, which matches the original intent. | Original: I can still see money in my account after making a payment | Augmented: I can see the funds in my account, but the balance hasn't been updated after I made a transfer.
VAL | [lost_or_stolen_card] | ACCEPT | Reason: ... | Original: A fee shouldn't apply to me if my card was stolen. | Augmented: I shouldn't be charged a fee if my credit card was stolen.
VAL | [card_swallowed] | ACCEPT | Reason: ... | Original: How do I get my card back quickly from a bank machine that it? | Augmented: How can I retrieve my card from a bank machine as soon as possible?
VAL | [reverted_card_payment?] | ACCEPT | Reason: ... | Original: Why have I received a rebate for my payment after a week? | Augmented: Why did I get a refund for my payment after a week?
VAL | [reverted_card_payment?] | REVIEW | Reason: N/A | Original: What happens if a merchant doesn't accept  you payment? | Augmented: What happens if a payment to a merchant is declined or reversed?
VAL | [receiving_money] | ACCEPT | Reason: N/A | Original: I need my payment in another currency | Augmented: I require my funds in a different currency
VAL | [compromised_card] | ACCEPT | Reason: N/A | Original: My card must have used my card as there are some transactions that I haven't done myself.. | Augmented: Someone else must have used my compromised card, as there are transactions that I didn't authorize myself.
VAL | [getting_virtual_card] | ACCEPT | Reason: ... | Original: I look but I see no virtual card. Why is that? | Augmented: I'm unable to locate my virtual card. Can you help me understand why it's not showing up?
VAL | [why_verify_identity] | ACCEPT | Reason: N/A | Original: Do you think you're asking for too much information about me? | Augmented: Are you feeling overwhelmed by the amount of personal details we're asking you to provide?
VAL | [virtual_card_not_working] | ACCEPT | Reason: ... | Original: My throwaway virtual card won't work | Augmented: My temporary virtual card is not functioning properly.
VAL | [why_verify_identity] | ACCEPT | Reason: ... | Original: Why are you asking so many questions about who I am | Augmented: What's the purpose behind all these inquiries about my identity?
VAL | [topping_up_by_card] | ACCEPT | Reason: N/A | Original: I need my card topped up, | Augmented: I'd like to add funds to my card.
VAL | [transfer_not_received_by_recipient] | ACCEPT | Reason: Both texts are asking about a situation where a money transfer did not reach the intended recipient, preserving the same intent. | Original: What happens when I money transaction doesn't show up on the receiving side? | Augmented: Why hasn't the money transfer been credited to the recipient's account?
VAL | [top_up_by_cash_or_cheque] | ACCEPT | Reason: N/A | Original: Can I use a check to get gas? | Augmented: Can I use a cheque to top up my account?
VAL | [card_payment_fee_charged] | ACCEPT | Reason: ... | Original: I had to pay money for paying with my card. | Augmented: I was charged a fee for using my card to make the payment.
VAL | [pin_blocked] | ACCEPT | Reason: N/A | Original: I managed to drunken block my card :(( Help! | Augmented: I accidentally locked my card due to a mistake :(( Assist me!
VAL | [disposable_card_limits] | ACCEPT | Reason: ... | Original: i tried using a virtual card for a hotel but it didn't work, why not | Augmented: I attempted to utilize a disposable card for a hotel booking, but it was unsuccessful, could you please explain why?
