GEN | [card_linking] | Orig: Where do I go to add a new card? -> Aug: How can I link a new card to my account?
GEN | [top_up_by_card_charge] | Orig: Will you assess me more fees if I top up with an international card? -> Aug: Will you charge me extra fees if I make a payment using an international credit/debit card?
GEN | [supported_cards_and_currencies] | Orig: What currency is acceptable for a top up? -> Aug: We accept a range of currencies for top-ups, including but not limited to the following: USD, EUR, JPY, and more.
GEN | [country_support] | Orig: How does a US resident go about acquiring a new card? -> Aug: What steps can a US citizen take to obtain a new credit card?
GEN | [contactless_not_working] | Orig: how many days processing new card? -> Aug: what's the estimated timeframe for processing new contactless payment cards?
GEN | [card_acceptance] | Orig: Can I pay with my card anywhere? -> Aug: Can I use my card for purchases at any location?
GEN | [transfer_fee_charged] | Orig: Are money transfers free? -> Aug: Is there a fee associated with transferring funds?
GEN | [cash_withdrawal_not_recognised] | Orig: there is money in my account that i didnt put there -> Aug: I'm showing an unexpected cash withdrawal in my account, but I'm not sure where it came from.
GEN | [card_acceptance] | Orig: Where can I pay with my card? -> Aug: How can I use my card for payment?
GEN | [supported_cards_and_currencies] | Orig: Can you accept my other card from the U.S.?  It is the only other one I have. -> Aug: Can you accept my other credit card issued in the United States? It's the only other one I possess.
GEN | [card_payment_not_recognised] | Orig: i dont recognize a charge on my card -> Aug: I'm unable to identify a transaction on my credit card statement.
GEN | [supported_cards_and_currencies] | Orig: If I top up by card, what options do I have re: currency and card type? -> Aug: If I make a card deposit, what payment methods and currencies are available to me?
GEN | [top_up_by_card_charge] | Orig: Do I get charged for a top up from a European bank? -> Aug: Will I be charged a fee for a card-based top-up from a European bank?
GEN | [pending_cash_withdrawal] | Orig: There is a withdrawal waiting. -> Aug: A pending cash withdrawal is currently being processed.
GEN | [card_payment_fee_charged] | Orig: You advertise no fee when paying with a card then my statement shows a fee. -> Aug: You claim there's no charge for card payments, but I've been charged a fee on my statement.
GEN | [top_up_by_bank_transfer_charge] | Orig: Am I able to do a SWIFT transfer? -> Aug: Can I perform a bank transfer to top up my account?
GEN | [direct_debit_payment_not_recognised] | Orig: Someone else charged my card! -> Aug: A payment made from my account was not recognized.
GEN | [pending_top_up] | Orig: Where are my funds? I topped off my car but it didn't seem to complete. -> Aug: Why haven't I received the funds after topping up my account?
GEN | [getting_spare_card] | Orig: If I get another card, what kind of fees am I looking at? -> Aug: If I obtain a replacement card, what charges can I expect to incur?
GEN | [getting_spare_card] | Orig: I'd like to order another card -> Aug: I'd like to request a replacement card
GEN | [card_not_working] | Orig: I can't seem to use my card. Can you help? -> Aug: I'm having trouble using my card. Can you assist me?
GEN | [pending_top_up] | Orig: My account is  new  why can I  not top up -> Aug: My recently opened account is not allowing me to make a top-up transaction.
GEN | [card_arrival] | Orig: Have you sent out my card yet? -> Aug: Has my new card been dispatched already?
GEN | [card_arrival] | Orig: I want to find out what happened to my new card? -> Aug: I'm trying to figure out what's going on with my recently issued card.
GEN | [card_not_working] | Orig: Why can't I use my card? -> Aug: Why is my card not functioning properly?
GEN | [top_up_by_card_charge] | Orig: Is there a top charge for US cards? -> Aug: Are there any charges associated with topping up a US-issued card?
GEN | [card_payment_fee_charged] | Orig: Why did I have to pay extra because I paid with my card? -> Aug: Why was I charged an additional fee when I used my card to make the payment?
GEN | [activate_my_card] | Orig: How can i make my card active? -> Aug: What steps can I take to activate my card?
GEN | [card_arrival] | Orig: Do you have info about the card on delivery? -> Aug: Can you provide information about the card's arrival status?
GEN | [top_up_by_card_charge] | Orig: I am worried about fees for top up cards? -> Aug: I'm concerned about the charges associated with adding funds to my card.
GEN | [card_linking] | Orig: Can you please reactivate my card? -> Aug: May I assist you in reactivating your card?
GEN | [supported_cards_and_currencies] | Orig: How can I top up my account and which currency can I use? -> Aug: What methods are available for adding funds to my account, and what currencies are accepted for transactions?
GEN | [top_up_failed] | Orig: I just topped up, and the app denied it. -> Aug: I attempted to add funds, but the transaction was declined.
GEN | [card_linking] | Orig: I recently reported my card as missing/lost, and I just found it. Can I still use it? -> Aug: I recently reported my card as missing, but I've since located it. Can I still use it?
GEN | [balance_not_updated_after_bank_transfer] | Orig: Hello I have a UK account.  Can you please check if everything is alright with it?  I made a transfer a couple hours ago but it doesn't show up yet. -> Aug: Hi, I'd like to inquire about my UK account. I've recently made a transfer, but my account balance hasn't been updated yet. Could you please look into this and let me know what's going on?
GEN | [cancel_transfer] | Orig: I am trying to revert a transcation I did this morning -> Aug: I'm attempting to reverse a transfer I initiated earlier today
GEN | [direct_debit_payment_not_recognised] | Orig: There is a payment in my app that I did not make.  I have not used that card all day  Please reimburse my money. -> Aug: I'm showing a payment in my account that I didn't initiate. I haven't used that card at all today, so I'm not sure why it's showing up. Can you investigate and refund the amount?
GEN | [card_payment_not_recognised] | Orig: Why is there a random payment in my statement? -> Aug: We've noticed an unexpected payment on your statement. Can you help us understand what this payment is for?
VAL | [card_linking] | ACCEPT | Reason: N/A | Original: Where do I go to add a new card? | Augmented: How can I link a new card to my account?
VAL | [top_up_by_card_charge] | ACCEPT | Reason: ... | Original: Will you assess me more fees if I top up with an international card? | Augmented: Will you charge me extra fees if I make a payment using an international credit/debit card?
VAL | [supported_cards_and_currencies] | ACCEPT | Reason: N/A | Original: What currency is acceptable for a top up? | Augmented: We accept a range of currencies for top-ups, including but not limited to the following: USD, EUR, JPY, and more.
VAL | [country_support] | ACCEPT | Reason: N/A | Original: How does a US resident go about acquiring a new card? | Augmented: What steps can a US citizen take to obtain a new credit card?
VAL | [contactless_not_working] | ACCEPT | Reason: N/A | Original: how many days processing new card? | Augmented: what's the estimated timeframe for processing new contactless payment cards?
VAL | [card_acceptance] | ACCEPT | Reason: ... | Original: Can I pay with my card anywhere? | Augmented: Can I use my card for purchases at any location?
VAL | [transfer_fee_charged] | ACCEPT | Reason: N/A | Original: Are money transfers free? | Augmented: Is there a fee associated with transferring funds?
VAL | [cash_withdrawal_not_recognised] | ACCEPT | Reason: N/A | Original: there is money in my account that i didnt put there | Augmented: I'm showing an unexpected cash withdrawal in my account, but I'm not sure where it came from.
VAL | [card_acceptance] | ACCEPT | Reason: N/A | Original: Where can I pay with my card? | Augmented: How can I use my card for payment?
VAL | [supported_cards_and_currencies] | ACCEPT | Reason: N/A | Original: Can you accept my other card from the U.S.?  It is the only other one I have. | Augmented: Can you accept my other credit card issued in the United States? It's the only other one I possess.
VAL | [card_payment_not_recognised] | ACCEPT | Reason: N/A | Original: i dont recognize a charge on my card | Augmented: I'm unable to identify a transaction on my credit card statement.
VAL | [supported_cards_and_currencies] | ACCEPT | Reason: N/A | Original: If I top up by card, what options do I have re: currency and card type? | Augmented: If I make a card deposit, what payment methods and currencies are available to me?
VAL | [top_up_by_card_charge] | ACCEPT | Reason: ... | Original: Do I get charged for a top up from a European bank? | Augmented: Will I be charged a fee for a card-based top-up from a European bank?
VAL | [pending_cash_withdrawal] | ACCEPT | Reason: N/A | Original: There is a withdrawal waiting. | Augmented: A pending cash withdrawal is currently being processed.
VAL | [card_payment_fee_charged] | ACCEPT | Reason: The augmented text maintains the core issue of a fee being charged despite being told there would be none, which is consistent with the original intent. | Original: You advertise no fee when paying with a card then my statement shows a fee. | Augmented: You claim there's no charge for card payments, but I've been charged a fee on my statement.
VAL | [top_up_by_bank_transfer_charge] | ACCEPT | Reason: N/A | Original: Am I able to do a SWIFT transfer? | Augmented: Can I perform a bank transfer to top up my account?
VAL | [direct_debit_payment_not_recognised] | ACCEPT | Reason: N/A | Original: Someone else charged my card! | Augmented: A payment made from my account was not recognized.
VAL | [pending_top_up] | ACCEPT | Reason: ... | Original: Where are my funds? I topped off my car but it didn't seem to complete. | Augmented: Why haven't I received the funds after topping up my account?
VAL | [getting_spare_card] | ACCEPT | Reason: N/A | Original: If I get another card, what kind of fees am I looking at? | Augmented: If I obtain a replacement card, what charges can I expect to incur?
VAL | [getting_spare_card] | ACCEPT | Reason: N/A | Original: I'd like to order another card | Augmented: I'd like to request a replacement card
VAL | [card_not_working] | ACCEPT | Reason: ... | Original: I can't seem to use my card. Can you help? | Augmented: I'm having trouble using my card. Can you assist me?
VAL | [pending_top_up] | ACCEPT | Reason: N/A | Original: My account is  new  why can I  not top up | Augmented: My recently opened account is not allowing me to make a top-up transaction.
VAL | [card_arrival] | ACCEPT | Reason: N/A | Original: Have you sent out my card yet? | Augmented: Has my new card been dispatched already?
VAL | [card_arrival] | ACCEPT | Reason: N/A | Original: I want to find out what happened to my new card? | Augmented: I'm trying to figure out what's going on with my recently issued card.
VAL | [card_not_working] | ACCEPT | Reason: ... | Original: Why can't I use my card? | Augmented: Why is my card not functioning properly?
VAL | [top_up_by_card_charge] | ACCEPT | Reason: N/A | Original: Is there a top charge for US cards? | Augmented: Are there any charges associated with topping up a US-issued card?
VAL | [card_payment_fee_charged] | ACCEPT | Reason: ... | Original: Why did I have to pay extra because I paid with my card? | Augmented: Why was I charged an additional fee when I used my card to make the payment?
VAL | [activate_my_card] | ACCEPT | Reason: ... | Original: How can i make my card active? | Augmented: What steps can I take to activate my card?
VAL | [card_arrival] | ACCEPT | Reason: ... | Original: Do you have info about the card on delivery? | Augmented: Can you provide information about the card's arrival status?
VAL | [top_up_by_card_charge] | ACCEPT | Reason: N/A | Original: I am worried about fees for top up cards? | Augmented: I'm concerned about the charges associated with adding funds to my card.
VAL | [card_linking] | ACCEPT | Reason: N/A | Original: Can you please reactivate my card? | Augmented: May I assist you in reactivating your card?
VAL | [supported_cards_and_currencies] | ACCEPT | Reason: N/A | Original: How can I top up my account and which currency can I use? | Augmented: What methods are available for adding funds to my account, and what currencies are accepted for transactions?
VAL | [top_up_failed] | ACCEPT | Reason: ... | Original: I just topped up, and the app denied it. | Augmented: I attempted to add funds, but the transaction was declined.
VAL | [card_linking] | ACCEPT | Reason: N/A | Original: I recently reported my card as missing/lost, and I just found it. Can I still use it? | Augmented: I recently reported my card as missing, but I've since located it. Can I still use it?
