GEN | [beneficiary_not_allowed] | Orig: I wasn't allowed to transfer to my account -> Aug: I was prohibited from crediting my account
GEN | [cash_withdrawal_charge] | Orig: Is there a charge for getting cash? -> Aug: Are there any fees associated with withdrawing cash?
GEN | [top_up_by_bank_transfer_charge] | Orig: Are you going to charge me to collect the money? -> Aug: Will there be a fee for processing the bank transfer to top up my account?
GEN | [beneficiary_not_allowed] | Orig: I need to transfer to my account and cant. -> Aug: I'm trying to transfer funds to my account, but it's not possible.
GEN | [transfer_into_account] | Orig: My account is devoid of funds. Am I permitted to submit additional money via bank transfer? -> Aug: Can I still make a deposit into my account using a bank transfer, even though my account is currently empty?
GEN | [pin_blocked] | Orig: I managed to drunken block my card :(( Help! -> Aug: I accidentally locked my card due to a mistake :(( Assist me!
GEN | [cash_withdrawal_charge] | Orig: Since when do you charge to make a withdrawal? I've always done it for free. So how much is it now? -> Aug: When did you start charging for cash withdrawals? I've always been able to do it without incurring a fee. How much does it cost now?
GEN | [disposable_card_limits] | Orig: i tried using a virtual card for a hotel but it didn't work, why not -> Aug: I attempted to utilize a disposable card for a hotel booking, but it was unsuccessful, could you please explain why?
GEN | [declined_card_payment] | Orig: Why are the payments being declined on my new card?  I tried several times to use my new card to pay for my gas at the Shell station in my neighborhood.  I am very distressed about my new card not working. -> Aug: I'm having trouble using my new card to make payments, and it keeps getting declined. I've tried to use it multiple times to pay for gas at the Shell station near my home, but it's not working. I'm really frustrated about this issue with my new card.
GEN | [change_pin] | Orig: Can I change my in at all ATM's? -> Aug: Can I modify my PIN at any ATM location?
GEN | [apple_pay_or_google_pay] | Orig: Can an apple watch be used to tup-up? -> Aug: Can an Apple Watch be used to make a payment using Apple Pay or Google Pay?
GEN | [transfer_into_account] | Orig: I have zero dollars in my account. Can I submit additional funds via bank transfer? -> Aug: I have no balance in my account. Can I deposit more funds through a bank transfer?
GEN | [automatic_top_up] | Orig: Can I have money transferred into my account at different intervals along my trip? -> Aug: Can I set up recurring transfers to my account during my trip?
GEN | [top_up_failed] | Orig: My credit card did not go through. Can you see if it has insufficient funds? -> Aug: My payment attempt was unsuccessful. Could you check if my credit card has sufficient funds?
GEN | [declined_card_payment] | Orig: I'm sure I have enough money so why didn't the store accept my card? -> Aug: I'm certain I have sufficient funds, yet the merchant refused to accept my payment method.
GEN | [cash_withdrawal_charge] | Orig: I believe i was charged for making a withdrawal after i went grocery shopping. Are you guys charging for this now? -> Aug: I'm wondering if I was incorrectly charged a fee for a recent cash withdrawal, perhaps related to a recent purchase or transaction?
GEN | [card_acceptance] | Orig: Is there anywhere I can't use my card? -> Aug: Are there any specific places or situations where my card won't be accepted?
GEN | [balance_not_updated_after_bank_transfer] | Orig: For you, how long do transfers normally take from a UK account? I completed one just now but nothing appears. I just need to be sure everything is okay. -> Aug: I'm concerned about the status of a recent transfer from a UK account. I initiated it a short while ago, but my account balance hasn't been updated yet. Could you please confirm everything is in order?
GEN | [change_pin] | Orig: I can't freeze my account as I need the card as I am traveling, how do I change my pin? -> Aug: I'm planning a trip and need to keep my account active, can you guide me on how to modify my PIN code?
GEN | [cash_withdrawal_charge] | Orig: When did you start charging to make a withdrawal? How much is it now? I always thought it was free. -> Aug: When did you begin being charged for cash withdrawals? What's the current fee amount? I'm surprised to hear it's no longer free.
GEN | [virtual_card_not_working] | Orig: My Virtual card was rejected for a car rental. Why? -> Aug: My virtual card was declined for a car rental, and I'm wondering why.
GEN | [transfer_timing] | Orig: How do i transfer something faster than normal? -> Aug: Can you tell me about the quickest way to initiate a transfer?
GEN | [cancel_transfer] | Orig: I used the wrong account. -> Aug: I mistakenly selected the wrong account.
GEN | [supported_cards_and_currencies] | Orig: Can I electronically transfer funds into my account from my American Express? -> Aug: Can I make an electronic transfer into my account using my American Express card?
GEN | [pending_transfer] | Orig: Hey I double checked that I have the correct account details already, they're right for sure. Transfer is still pending since forever. It's not that difficult to transfer money to another country in 2018 is it? -> Aug: I've reconfirmed my account information, and it's accurate. The transfer remains pending, and I'm starting to get frustrated. It's surprising that international transfers can take so long, especially in this day and age.
GEN | [balance_not_updated_after_bank_transfer] | Orig: I did a transfer but the balance is the same. -> Aug: I made a transfer, but my account balance hasn't been updated.
GEN | [balance_not_updated_after_bank_transfer] | Orig: Im going to need to make a transfer from a UK account but I need it to go through ASAP. Is that going to be possible or will it take forever?? Im hoping it will be a couple hours and not a couple weeks. -> Aug: I'm planning to initiate a transfer from a UK account, but I'm concerned that my account balance won't be updated immediately. Can you confirm if the transfer will be processed quickly, or will it take an extended period of time?
GEN | [top_up_by_bank_transfer_charge] | Orig: Does it cost me to add cash? -> Aug: Is there a fee for topping up my account via bank transfer?
GEN | [fiat_currency_support] | Orig: Is my fiat currency supported for both hold and exchange? -> Aug: Can I use my fiat currency for both holding and exchanging purposes?
GEN | [terminate_account] | Orig: Can you please disable my current account. -> Aug: Can you assist me in closing my active account?
GEN | [card_about_to_expire] | Orig: I'm in China and really need a new card. -> Aug: I'm currently abroad in China and urgently require a replacement card.
GEN | [transfer_fee_charged] | Orig: I bought something online and it says there was a fee to transfer money. Isn't that free? -> Aug: I made an online purchase and noticed that a transfer fee was deducted from the transaction. Shouldn't this be a free service?
GEN | [transfer_not_received_by_recipient] | Orig: Why hasn't my in country transfer gone through yet? I confirmed the account info a couple days ago but the payment hasn't been posted yet. -> Aug: I'm still waiting for my domestic transfer to be credited to the recipient's account. I double-checked the account details a few days ago, but the payment hasn't been processed yet.
GEN | [supported_cards_and_currencies] | Orig: why wont my american express work to add money -> Aug: Why can't I use my American Express card to top up my account?
GEN | [compromised_card] | Orig: I froze my account, but how do I order a replacement card? -> Aug: I locked my account, but how do I get a new card issued?
GEN | [direct_debit_payment_not_recognised] | Orig: Unusual direct deposit -> Aug: Unidentified direct debit payment
GEN | [topping_up_by_card] | Orig: Who can have access to top up my account? -> Aug: Who is eligible to make a card-based account top-up for me?
VAL | [beneficiary_not_allowed] | ACCEPT | Reason: N/A | Original: I wasn't allowed to transfer to my account | Augmented: I was prohibited from crediting my account
VAL | [cash_withdrawal_charge] | ACCEPT | Reason: ... | Original: Is there a charge for getting cash? | Augmented: Are there any fees associated with withdrawing cash?
VAL | [top_up_by_bank_transfer_charge] | ACCEPT | Reason: N/A | Original: Are you going to charge me to collect the money? | Augmented: Will there be a fee for processing the bank transfer to top up my account?
VAL | [beneficiary_not_allowed] | ACCEPT | Reason: N/A | Original: I need to transfer to my account and cant. | Augmented: I'm trying to transfer funds to my account, but it's not possible.
VAL | [transfer_into_account] | ACCEPT | Reason: ... | Original: My account is devoid of funds. Am I permitted to submit additional money via bank transfer? | Augmented: Can I still make a deposit into my account using a bank transfer, even though my account is currently empty?
VAL | [pin_blocked] | ACCEPT | Reason: N/A | Original: I managed to drunken block my card :(( Help! | Augmented: I accidentally locked my card due to a mistake :(( Assist me!
VAL | [cash_withdrawal_charge] | ACCEPT | Reason: ... | Original: Since when do you charge to make a withdrawal? I've always done it for free. So how much is it now? | Augmented: When did you start charging for cash withdrawals? I've always been able to do it without incurring a fee. How much does it cost now?
VAL | [disposable_card_limits] | ACCEPT | Reason: ... | Original: i tried using a virtual card for a hotel but it didn't work, why not | Augmented: I attempted to utilize a disposable card for a hotel booking, but it was unsuccessful, could you please explain why?
VAL | [declined_card_payment] | ACCEPT | Reason: ... | Original: Why are the payments being declined on my new card?  I tried several times to use my new card to pay for my gas at the Shell station in my neighborhood.  I am very distressed about my new card not working. | Augmented: I'm having trouble using my new card to make payments, and it keeps getting declined. I've tried to use it multiple times to pay for gas at the Shell station near my home, but it's not working. I'm really frustrated about this issue with my new card.
VAL | [change_pin] | ACCEPT | Reason: N/A | Original: Can I change my in at all ATM's? | Augmented: Can I modify my PIN at any ATM location?
VAL | [apple_pay_or_google_pay] | ACCEPT | Reason: N/A | Original: Can an apple watch be used to tup-up? | Augmented: Can an Apple Watch be used to make a payment using Apple Pay or Google Pay?
VAL | [transfer_into_account] | ACCEPT | Reason: N/A | Original: I have zero dollars in my account. Can I submit additional funds via bank transfer? | Augmented: I have no balance in my account. Can I deposit more funds through a bank transfer?
VAL | [automatic_top_up] | ACCEPT | Reason: N/A | Original: Can I have money transferred into my account at different intervals along my trip? | Augmented: Can I set up recurring transfers to my account during my trip?
VAL | [top_up_failed] | ACCEPT | Reason: N/A | Original: My credit card did not go through. Can you see if it has insufficient funds? | Augmented: My payment attempt was unsuccessful. Could you check if my credit card has sufficient funds?
VAL | [declined_card_payment] | ACCEPT | Reason: ... | Original: I'm sure I have enough money so why didn't the store accept my card? | Augmented: I'm certain I have sufficient funds, yet the merchant refused to accept my payment method.
VAL | [cash_withdrawal_charge] | UNKNOWN | Reason: N/A | Original: I believe i was charged for making a withdrawal after i went grocery shopping. Are you guys charging for this now? | Augmented: I'm wondering if I was incorrectly charged a fee for a recent cash withdrawal, perhaps related to a recent purchase or transaction?
VAL | [card_acceptance] | ACCEPT | Reason: ... | Original: Is there anywhere I can't use my card? | Augmented: Are there any specific places or situations where my card won't be accepted?
VAL | [balance_not_updated_after_bank_transfer] | ACCEPT | Reason: ... | Original: For you, how long do transfers normally take from a UK account? I completed one just now but nothing appears. I just need to be sure everything is okay. | Augmented: I'm concerned about the status of a recent transfer from a UK account. I initiated it a short while ago, but my account balance hasn't been updated yet. Could you please confirm everything is in order?
VAL | [change_pin] | ACCEPT | Reason: N/A | Original: I can't freeze my account as I need the card as I am traveling, how do I change my pin? | Augmented: I'm planning a trip and need to keep my account active, can you guide me on how to modify my PIN code?
VAL | [cash_withdrawal_charge] | ACCEPT | Reason: ... | Original: When did you start charging to make a withdrawal? How much is it now? I always thought it was free. | Augmented: When did you begin being charged for cash withdrawals? What's the current fee amount? I'm surprised to hear it's no longer free.
VAL | [virtual_card_not_working] | ACCEPT | Reason: ... | Original: My Virtual card was rejected for a car rental. Why? | Augmented: My virtual card was declined for a car rental, and I'm wondering why.
VAL | [transfer_timing] | ACCEPT | Reason: N/A | Original: How do i transfer something faster than normal? | Augmented: Can you tell me about the quickest way to initiate a transfer?
VAL | [cancel_transfer] | ACCEPT | Reason: N/A | Original: I used the wrong account. | Augmented: I mistakenly selected the wrong account.
VAL | [supported_cards_and_currencies] | ACCEPT | Reason: N/A | Original: Can I electronically transfer funds into my account from my American Express? | Augmented: Can I make an electronic transfer into my account using my American Express card?
VAL | [pending_transfer] | ACCEPT | Reason: The augmented text preserves the user's frustration with a pending transfer and the expectation that the transfer should not be taking so long, which aligns with the original intent. | Original: Hey I double checked that I have the correct account details already, they're right for sure. Transfer is still pending since forever. It's not that difficult to transfer money to another country in 2018 is it? | Augmented: I've reconfirmed my account information, and it's accurate. The transfer remains pending, and I'm starting to get frustrated. It's surprising that international transfers can take so long, especially in this day and age.
VAL | [balance_not_updated_after_bank_transfer] | ACCEPT | Reason: ... | Original: I did a transfer but the balance is the same. | Augmented: I made a transfer, but my account balance hasn't been updated.
VAL | [balance_not_updated_after_bank_transfer] | ACCEPT | Reason: N/A | Original: Im going to need to make a transfer from a UK account but I need it to go through ASAP. Is that going to be possible or will it take forever?? Im hoping it will be a couple hours and not a couple weeks. | Augmented: I'm planning to initiate a transfer from a UK account, but I'm concerned that my account balance won't be updated immediately. Can you confirm if the transfer will be processed quickly, or will it take an extended period of time?
VAL | [top_up_by_bank_transfer_charge] | ACCEPT | Reason: N/A | Original: Does it cost me to add cash? | Augmented: Is there a fee for topping up my account via bank transfer?
VAL | [fiat_currency_support] | ACCEPT | Reason: Both texts are asking about the support for fiat currency in terms of holding and exchanging, which aligns with the target intent of fiat_currency_support. | Original: Is my fiat currency supported for both hold and exchange? | Augmented: Can I use my fiat currency for both holding and exchanging purposes?
VAL | [terminate_account] | ACCEPT | Reason: N/A | Original: Can you please disable my current account. | Augmented: Can you assist me in closing my active account?
VAL | [card_about_to_expire] | ACCEPT | Reason: N/A | Original: I'm in China and really need a new card. | Augmented: I'm currently abroad in China and urgently require a replacement card.
