GEN | [card_acceptance] | Orig: You accepts my card? -> Aug: Is your card accepted?
GEN | [getting_spare_card] | Orig: Can my daughter also have a card issued in her name, but linked to my account? -> Aug: Can I request a spare card in my daughter's name, which will be linked to my account?
GEN | [card_delivery_estimate] | Orig: I need my card ASAP! -> Aug: I require my card as soon as possible.
GEN | [exchange_rate] | Orig: Will my money be of equal value when I travel abroad? -> Aug: Will the value of my money remain the same when I travel internationally?
GEN | [transfer_into_account] | Orig: What are my bank details so I can do a transfer? -> Aug: To facilitate a transfer, could you please provide me with your bank account information?
GEN | [order_physical_card] | Orig: I would like a card please. -> Aug: I'd like to order a physical card.
GEN | [Refund_not_showing_up] | Orig: I requested a refund from Next because the dress I purchased had three arm holes. They said they sent the refund last Wednesday which is nearly a week ago and I still don't have it.  Why not? -> Aug: I'm still waiting for the refund from Next, which they claimed to have processed last Wednesday, but it's been almost a week and I haven't received it yet. Can you help me figure out what's going on?
GEN | [transfer_into_account] | Orig: Please provide details on how to top up my account using transfer option -> Aug: Please provide instructions on how to deposit funds into my account using the transfer feature
GEN | [cash_withdrawal_not_recognised] | Orig: I want my card frozen right away. Money was taken out in an odd location I have never heard of. -> Aug: I need my account secured immediately. There was an unauthorized cash withdrawal made at a location I'm not familiar with.
GEN | [card_arrival] | Orig: Is there a way I can check on the card on route to me? -> Aug: Can I track the status of my card as it's being delivered to me?
GEN | [transfer_not_received_by_recipient] | Orig: How can I the person see my money transaction? -> Aug: Why hasn't the recipient received my money transfer?
GEN | [verify_top_up] | Orig: What can I do to verify my card? -> Aug: How can I confirm the details of my card?
GEN | [why_verify_identity] | Orig: If my identy verifacation hasn't gone through can I use my account? -> Aug: If my identity verification process hasn't been completed, can I still access my account?
GEN | [compromised_card] | Orig: am suspicious of my card's security -> Aug: I'm concerned about the security of my card.
GEN | [top_up_by_card_charge] | Orig: I was wondering if you will take any fees in exchange for top ups? -> Aug: Are there any charges involved when I top up my account using my card?
GEN | [verify_top_up] | Orig: this verifying the top up is annoying -> Aug: This top-up verification process is really frustrating.
GEN | [Refund_not_showing_up] | Orig: When will my returned transaction show up on my account? -> Aug: Why isn't my refund appearing in my account statement?
GEN | [topping_up_by_card] | Orig: I tried topping off my account with a card, but the money is not in my account despite the charge going through -> Aug: I attempted to replenish my account balance using my card, but the funds are still not available despite the transaction being processed successfully
GEN | [transfer_into_account] | Orig: What transfer methods do you accept? -> Aug: How do you facilitate transfers into an account?
GEN | [getting_spare_card] | Orig: Do you send duplicate cards? -> Aug: Can you provide a replacement card?
GEN | [getting_spare_card] | Orig: I want a new card -> Aug: I need a replacement card
GEN | [card_arrival] | Orig: Is there a way I can get my card expedited? -> Aug: Can I request priority shipping for my card delivery?
GEN | [balance_not_updated_after_bank_transfer] | Orig: Hi, I am unable to see transaction in my account which i made couples of hours ago from my UK account. Please help me in this. -> Aug: I'm having trouble viewing a recent transfer from my UK account in my account balance, which was made a few hours ago. Can you assist me with this issue?
GEN | [card_acceptance] | Orig: Is my card denied anywhere? -> Aug: Is my credit card being rejected anywhere?
GEN | [direct_debit_payment_not_recognised] | Orig: Am I able to look back at a transaction to see who with drawled some money from my account? I don't remember authorizing this a few weeks ago, but wanted to double check who took the money. -> Aug: Can I review a past transaction to identify who made a withdrawal from my account? I'm concerned about an unauthorized payment that occurred a few weeks ago and would like to verify who was responsible for the transaction.
GEN | [edit_personal_details] | Orig: I just got married and need to change my name on the account -> Aug: I recently got married and would like to update my personal information to reflect my new married name.
GEN | [Refund_not_showing_up] | Orig: Please update me on whether you have received the funds for the refund of the large purchase I made recently. I have requested this from the merchant days ago but still haven't got anything. -> Aug: Could you kindly inform me if the refund for my recent large purchase has been processed and credited to my account? I've been waiting for a while, as I requested it from the merchant a few days ago, but I haven't received any update yet.
GEN | [top_up_by_bank_transfer_charge] | Orig: Will I be fined for topping up by transfer? -> Aug: Will I incur a charge for topping up my account via bank transfer?
GEN | [balance_not_updated_after_bank_transfer] | Orig: Help me find the transfer that I did. -> Aug: Can you assist me in locating the recent transfer I made?
GEN | [pending_card_payment] | Orig: I've made a card payment a couple of days ago now but it looks like the money is stuck. How long does it typically take for the payment to go through? -> Aug: I recently made a card payment, but it appears to be pending. Can you tell me what the usual processing time is for a payment like this?
GEN | [pending_transfer] | Orig: i put in money for vacation and its not showing. i need that money today, how long will it take -> Aug: I initiated a transfer for my vacation fund, but it's still pending. Can you please let me know when I can expect the funds to be available?
GEN | [transaction_charged_twice] | Orig: I have noticed that my account was double charged for a couple of items this week. Please review and refund the double charged items back. -> Aug: I've found that I've been charged twice for a few transactions recently. Could you please investigate and reverse the duplicate charges?
GEN | [pending_card_payment] | Orig: I purchases several items today. Why are they still showing pending? -> Aug: I made a purchase recently, but the payment is still pending. Can you help me understand why it's not showing as processed yet?
GEN | [card_swallowed] | Orig: Will you please help me get my card back? -> Aug: Can you assist me in retrieving my swallowed card?
GEN | [visa_or_mastercard] | Orig: This transaction needs both a Visa and a Mastercard. -> Aug: This transaction requires both a Visa and a Mastercard.
VAL | [card_acceptance] | ACCEPT | Reason: ... | Original: You accepts my card? | Augmented: Is your card accepted?
VAL | [getting_spare_card] | ACCEPT | Reason: N/A | Original: Can my daughter also have a card issued in her name, but linked to my account? | Augmented: Can I request a spare card in my daughter's name, which will be linked to my account?
VAL | [card_delivery_estimate] | ACCEPT | Reason: N/A | Original: I need my card ASAP! | Augmented: I require my card as soon as possible.
VAL | [exchange_rate] | ACCEPT | Reason: N/A | Original: Will my money be of equal value when I travel abroad? | Augmented: Will the value of my money remain the same when I travel internationally?
VAL | [transfer_into_account] | ACCEPT | Reason: ... | Original: What are my bank details so I can do a transfer? | Augmented: To facilitate a transfer, could you please provide me with your bank account information?
VAL | [order_physical_card] | ACCEPT | Reason: N/A | Original: I would like a card please. | Augmented: I'd like to order a physical card.
VAL | [Refund_not_showing_up] | ACCEPT | Reason: ... | Original: I requested a refund from Next because the dress I purchased had three arm holes. They said they sent the refund last Wednesday which is nearly a week ago and I still don't have it.  Why not? | Augmented: I'm still waiting for the refund from Next, which they claimed to have processed last Wednesday, but it's been almost a week and I haven't received it yet. Can you help me figure out what's going on?
VAL | [transfer_into_account] | ACCEPT | Reason: N/A | Original: Please provide details on how to top up my account using transfer option | Augmented: Please provide instructions on how to deposit funds into my account using the transfer feature
VAL | [cash_withdrawal_not_recognised] | ACCEPT | Reason: N/A | Original: I want my card frozen right away. Money was taken out in an odd location I have never heard of. | Augmented: I need my account secured immediately. There was an unauthorized cash withdrawal made at a location I'm not familiar with.
VAL | [card_arrival] | ACCEPT | Reason: ... | Original: Is there a way I can check on the card on route to me? | Augmented: Can I track the status of my card as it's being delivered to me?
VAL | [transfer_not_received_by_recipient] | ACCEPT | Reason: N/A | Original: How can I the person see my money transaction? | Augmented: Why hasn't the recipient received my money transfer?
VAL | [verify_top_up] | ACCEPT | Reason: N/A | Original: What can I do to verify my card? | Augmented: How can I confirm the details of my card?
VAL | [why_verify_identity] | ACCEPT | Reason: ... | Original: If my identy verifacation hasn't gone through can I use my account? | Augmented: If my identity verification process hasn't been completed, can I still access my account?
VAL | [compromised_card] | ACCEPT | Reason: Both sentences convey a sense of worry or suspicion regarding the security of a card, which is consistent with the idea that the card might have been compromised. | Original: am suspicious of my card's security | Augmented: I'm concerned about the security of my card.
VAL | [top_up_by_card_charge] | ACCEPT | Reason: N/A | Original: I was wondering if you will take any fees in exchange for top ups? | Augmented: Are there any charges involved when I top up my account using my card?
VAL | [verify_top_up] | ACCEPT | Reason: N/A | Original: this verifying the top up is annoying | Augmented: This top-up verification process is really frustrating.
VAL | [Refund_not_showing_up] | ACCEPT | Reason: ... | Original: When will my returned transaction show up on my account? | Augmented: Why isn't my refund appearing in my account statement?
VAL | [topping_up_by_card] | ACCEPT | Reason: ... | Original: I tried topping off my account with a card, but the money is not in my account despite the charge going through | Augmented: I attempted to replenish my account balance using my card, but the funds are still not available despite the transaction being processed successfully
VAL | [transfer_into_account] | ACCEPT | Reason: N/A | Original: What transfer methods do you accept? | Augmented: How do you facilitate transfers into an account?
VAL | [getting_spare_card] | ACCEPT | Reason: N/A | Original: Do you send duplicate cards? | Augmented: Can you provide a replacement card?
VAL | [getting_spare_card] | ACCEPT | Reason: N/A | Original: I want a new card | Augmented: I need a replacement card
VAL | [card_arrival] | ACCEPT | Reason: N/A | Original: Is there a way I can get my card expedited? | Augmented: Can I request priority shipping for my card delivery?
VAL | [balance_not_updated_after_bank_transfer] | ACCEPT | Reason: N/A | Original: Hi, I am unable to see transaction in my account which i made couples of hours ago from my UK account. Please help me in this. | Augmented: I'm having trouble viewing a recent transfer from my UK account in my account balance, which was made a few hours ago. Can you assist me with this issue?
VAL | [card_acceptance] | ACCEPT | Reason: ... | Original: Is my card denied anywhere? | Augmented: Is my credit card being rejected anywhere?
VAL | [direct_debit_payment_not_recognised] | ACCEPT | Reason: N/A | Original: Am I able to look back at a transaction to see who with drawled some money from my account? I don't remember authorizing this a few weeks ago, but wanted to double check who took the money. | Augmented: Can I review a past transaction to identify who made a withdrawal from my account? I'm concerned about an unauthorized payment that occurred a few weeks ago and would like to verify who was responsible for the transaction.
VAL | [edit_personal_details] | ACCEPT | Reason: ... | Original: I just got married and need to change my name on the account | Augmented: I recently got married and would like to update my personal information to reflect my new married name.
VAL | [Refund_not_showing_up] | ACCEPT | Reason: The augmented text preserves the intent of asking about the status of a refund that has not yet appeared in the account. It is a clear and specific request related to the target intent. | Original: Please update me on whether you have received the funds for the refund of the large purchase I made recently. I have requested this from the merchant days ago but still haven't got anything. | Augmented: Could you kindly inform me if the refund for my recent large purchase has been processed and credited to my account? I've been waiting for a while, as I requested it from the merchant a few days ago, but I haven't received any update yet.
VAL | [top_up_by_bank_transfer_charge] | ACCEPT | Reason: ... | Original: Will I be fined for topping up by transfer? | Augmented: Will I incur a charge for topping up my account via bank transfer?
VAL | [balance_not_updated_after_bank_transfer] | ACCEPT | Reason: N/A | Original: Help me find the transfer that I did. | Augmented: Can you assist me in locating the recent transfer I made?
