GEN | [change_pin] | Orig: I must change my PIN as soon as possible. -> Aug: I need to update my PIN immediately.
GEN | [transfer_into_account] | Orig: Please provide details on how to top up my account using transfer option -> Aug: Please provide instructions on how to deposit funds into my account using the transfer feature
GEN | [top_up_by_bank_transfer_charge] | Orig: Will I receive all the money sent to my account by SEPA transfer? -> Aug: Will I get the full amount credited to my account when I top up by bank transfer charge?
GEN | [reverted_card_payment?] | Orig: I didn't cancel my card payment. -> Aug: Was my card payment reversed?
GEN | [pending_card_payment] | Orig: I made a card payment by my card but it failed. Please let me know when the payment will get completed as its still pending. -> Aug: I attempted to process a payment using my card, but the transaction was unsuccessful. Could you please inform me when the payment will be finalized, as it remains pending at the moment?
GEN | [topping_up_by_card] | Orig: my top up isnt there yet where do i find it -> Aug: my card top-up is still pending, where can I locate it?
GEN | [supported_cards_and_currencies] | Orig: Can you accept my other card from the U.S.?  It is the only other one I have. -> Aug: Can you accept my other credit card issued in the United States? It's the only other one I possess.
GEN | [declined_transfer] | Orig: How can I find a way to transfer money without it being rejected? -> Aug: I'm trying to make a transfer, but it keeps getting declined. Can you help me figure out why it's not going through?
GEN | [pending_cash_withdrawal] | Orig: So much time has gone by, the pending status shouldn't still be there shouldn't it? -> Aug: It's been a while, and I'm surprised the pending cash withdrawal is still showing up. Shouldn't it have been resolved by now?
GEN | [fiat_currency_support] | Orig: Can I exchange my money for EUR? -> Aug: Can I convert my funds to euros?
GEN | [transaction_charged_twice] | Orig: Transaction showing up many times. -> Aug: Duplicate transaction appearing on my account statement.
GEN | [transfer_into_account] | Orig: Whats the transfer process -> Aug: How do I initiate a transfer into an account?
GEN | [pin_blocked] | Orig: My card got blocked, how do I reset? -> Aug: My PIN has been blocked, what's the process to unblock it?
GEN | [direct_debit_payment_not_recognised] | Orig: Is there a way for you to find out why my account was deducted from a seller when I didn't approve of it? -> Aug: We're trying to investigate why a direct debit payment was made from your account without your consent.
GEN | [pending_top_up] | Orig: It's been some time since refilled the top-up. -> Aug: It's been a while since the top-up was replenished.
GEN | [transfer_fee_charged] | Orig: So I've been using my account frequently to manage payments for my vacation house in a different country, and now I'm getting hit with ridiculously high fees! What's with that? Ought not I be rewarded as a frequent user? -> Aug: I've been actively utilizing my account to manage international payments for my vacation property, and I'm surprised to see exorbitant fees cropping up. Shouldn't my loyalty as a frequent user be recognized?
GEN | [pending_top_up] | Orig: I already paid to top-up but the funds aren't available yet, where are they? -> Aug: I made a payment to top up my account, but the funds are still pending, can you tell me what's going on?
GEN | [pending_card_payment] | Orig: I made a payment that is not yet complete. -> Aug: The payment I initiated has not been fully processed.
GEN | [extra_charge_on_statement] | Orig: How long will the $1 charge show as pending? -> Aug: How long will the extra charge appear as pending on my statement?
GEN | [transaction_charged_twice] | Orig: My account seems a bit off and getting weird charges. -> Aug: My account appears to be experiencing some unusual activity, with duplicate charges showing up.
GEN | [visa_or_mastercard] | Orig: Can I choose my card scheme? -> Aug: May I select my preferred payment method, such as Visa or Mastercard?
GEN | [beneficiary_not_allowed] | Orig: I really was trying to complete this exhange. I was trying to purchase some crypto but the app won't allow me to do it. Can you tell me what's going on here? -> Aug: I'm having trouble finalizing a transaction. I'm attempting to buy some cryptocurrency, but the app is preventing me from doing so. Can you help me understand what's blocking this process?
GEN | [fiat_currency_support] | Orig: Will you be able to exchange to EUR? -> Aug: Can you assist me with converting my funds to euros?
GEN | [card_delivery_estimate] | Orig: Send me my card now! ASAP -> Aug: Can you expedite the delivery of my card as soon as possible?
GEN | [transaction_charged_twice] | Orig: I think I was charged double for something I bought - how long should I wait before reporting this? -> Aug: I believe I've been mistakenly billed twice for a purchase - what's the recommended timeframe for bringing this to your attention?
GEN | [edit_personal_details] | Orig: my identity hasn't been verified and i can't edit my details, what's next -> Aug: since my identity has not been confirmed, I'm unable to update my personal information, what are the next steps?
GEN | [verify_my_identity] | Orig: Can I use my social security card as a form of identity? -> Aug: May I confirm my identity using my social security card?
GEN | [pending_top_up] | Orig: Where to check top ups pending? -> Aug: How can I view my pending top-up transactions?
GEN | [exchange_via_app] | Orig: Do you support changing the currency I use? -> Aug: Can I switch the currency I'm using through your app?
GEN | [pending_top_up] | Orig: Where are my funds? I topped off my car but it didn't seem to complete. -> Aug: Why haven't I received the funds after topping up my account?
GEN | [transfer_fee_charged] | Orig: I need to know how much it costs to transfer funds. -> Aug: I'd like to inquire about the transfer fee associated with moving funds.
GEN | [card_payment_fee_charged] | Orig: Why am I being charged fees on some transactions but not on others? What am I missing here? I cannot find where to see the fee structure on my account. Help! -> Aug: I'm confused about why I'm being charged fees on certain transactions but not others. Can you please clarify the fee structure for my account? I've looked everywhere but can't find it.
GEN | [pending_top_up] | Orig: My top-up funds aren't available yet. -> Aug: My top-up payment is still pending.
GEN | [passcode_forgotten] | Orig: My passcode is not being accepted -> Aug: I'm having trouble entering my passcode, it's not recognizing it.
GEN | [transfer_fee_charged] | Orig: Are money transfers free? -> Aug: Is there a fee associated with transferring funds?
GEN | [transaction_charged_twice] | Orig: My card was declined but it shows as multiple charges? -> Aug: I made a purchase, but it looks like I've been charged twice, even though my card was declined.
GEN | [wrong_amount_of_cash_received] | Orig: Why is my cash request and the amount I received different? -> Aug: The amount I was expecting to receive in cash doesn't match the amount I was given.
GEN | [card_payment_fee_charged] | Orig: I was charged and shouldn't have been charged when using my card! -> Aug: I was unexpectedly billed a fee for using my card, which I believe was an error.
VAL | [change_pin] | ACCEPT | Reason: N/A | Original: I must change my PIN as soon as possible. | Augmented: I need to update my PIN immediately.
VAL | [transfer_into_account] | ACCEPT | Reason: N/A | Original: Please provide details on how to top up my account using transfer option | Augmented: Please provide instructions on how to deposit funds into my account using the transfer feature
VAL | [top_up_by_bank_transfer_charge] | UNKNOWN | Reason: N/A | Original: Will I receive all the money sent to my account by SEPA transfer? | Augmented: Will I get the full amount credited to my account when I top up by bank transfer charge?
VAL | [reverted_card_payment?] | ACCEPT | Reason: N/A | Original: I didn't cancel my card payment. | Augmented: Was my card payment reversed?
VAL | [pending_card_payment] | ACCEPT | Reason: ... | Original: I made a card payment by my card but it failed. Please let me know when the payment will get completed as its still pending. | Augmented: I attempted to process a payment using my card, but the transaction was unsuccessful. Could you please inform me when the payment will be finalized, as it remains pending at the moment?
VAL | [topping_up_by_card] | ACCEPT | Reason: N/A | Original: my top up isnt there yet where do i find it | Augmented: my card top-up is still pending, where can I locate it?
VAL | [supported_cards_and_currencies] | ACCEPT | Reason: N/A | Original: Can you accept my other card from the U.S.?  It is the only other one I have. | Augmented: Can you accept my other credit card issued in the United States? It's the only other one I possess.
VAL | [declined_transfer] | ACCEPT | Reason: N/A | Original: How can I find a way to transfer money without it being rejected? | Augmented: I'm trying to make a transfer, but it keeps getting declined. Can you help me figure out why it's not going through?
VAL | [pending_cash_withdrawal] | ACCEPT | Reason: ... | Original: So much time has gone by, the pending status shouldn't still be there shouldn't it? | Augmented: It's been a while, and I'm surprised the pending cash withdrawal is still showing up. Shouldn't it have been resolved by now?
VAL | [fiat_currency_support] | ACCEPT | Reason: N/A | Original: Can I exchange my money for EUR? | Augmented: Can I convert my funds to euros?
VAL | [transaction_charged_twice] | ACCEPT | Reason: N/A | Original: Transaction showing up many times. | Augmented: Duplicate transaction appearing on my account statement.
VAL | [transfer_into_account] | ACCEPT | Reason: N/A | Original: Whats the transfer process | Augmented: How do I initiate a transfer into an account?
VAL | [pin_blocked] | ACCEPT | Reason: N/A | Original: My card got blocked, how do I reset? | Augmented: My PIN has been blocked, what's the process to unblock it?
VAL | [direct_debit_payment_not_recognised] | ACCEPT | Reason: N/A | Original: Is there a way for you to find out why my account was deducted from a seller when I didn't approve of it? | Augmented: We're trying to investigate why a direct debit payment was made from your account without your consent.
VAL | [pending_top_up] | ACCEPT | Reason: N/A | Original: It's been some time since refilled the top-up. | Augmented: It's been a while since the top-up was replenished.
VAL | [transfer_fee_charged] | ACCEPT | Reason: ... | Original: So I've been using my account frequently to manage payments for my vacation house in a different country, and now I'm getting hit with ridiculously high fees! What's with that? Ought not I be rewarded as a frequent user? | Augmented: I've been actively utilizing my account to manage international payments for my vacation property, and I'm surprised to see exorbitant fees cropping up. Shouldn't my loyalty as a frequent user be recognized?
VAL | [pending_top_up] | ACCEPT | Reason: ... | Original: I already paid to top-up but the funds aren't available yet, where are they? | Augmented: I made a payment to top up my account, but the funds are still pending, can you tell me what's going on?
VAL | [pending_card_payment] | ACCEPT | Reason: ... | Original: I made a payment that is not yet complete. | Augmented: The payment I initiated has not been fully processed.
VAL | [extra_charge_on_statement] | ACCEPT | Reason: N/A | Original: How long will the $1 charge show as pending? | Augmented: How long will the extra charge appear as pending on my statement?
VAL | [transaction_charged_twice] | ACCEPT | Reason: N/A | Original: My account seems a bit off and getting weird charges. | Augmented: My account appears to be experiencing some unusual activity, with duplicate charges showing up.
VAL | [visa_or_mastercard] | UNKNOWN | Reason: N/A | Original: Can I choose my card scheme? | Augmented: May I select my preferred payment method, such as Visa or Mastercard?
VAL | [beneficiary_not_allowed] | ACCEPT | Reason: N/A | Original: I really was trying to complete this exhange. I was trying to purchase some crypto but the app won't allow me to do it. Can you tell me what's going on here? | Augmented: I'm having trouble finalizing a transaction. I'm attempting to buy some cryptocurrency, but the app is preventing me from doing so. Can you help me understand what's blocking this process?
VAL | [fiat_currency_support] | ACCEPT | Reason: Both texts are asking for assistance in converting funds to euros, which is a clear example of fiat_currency_support. | Original: Will you be able to exchange to EUR? | Augmented: Can you assist me with converting my funds to euros?
VAL | [card_delivery_estimate] | ACCEPT | Reason: ... | Original: Send me my card now! ASAP | Augmented: Can you expedite the delivery of my card as soon as possible?
VAL | [transaction_charged_twice] | ACCEPT | Reason: The augmented text preserves the same banking intent by indicating an overcharge and asking for the recommended timeframe to report the issue. This is consistent with the original intent of "transaction_charged_twice." The wording is slightly different but does not change the underlying banking concern. | Original: I think I was charged double for something I bought - how long should I wait before reporting this? | Augmented: I believe I've been mistakenly billed twice for a purchase - what's the recommended timeframe for bringing this to your attention?
VAL | [edit_personal_details] | ACCEPT | Reason: ... | Original: my identity hasn't been verified and i can't edit my details, what's next | Augmented: since my identity has not been confirmed, I'm unable to update my personal information, what are the next steps?
VAL | [verify_my_identity] | ACCEPT | Reason: ... | Original: Can I use my social security card as a form of identity? | Augmented: May I confirm my identity using my social security card?
VAL | [pending_top_up] | ACCEPT | Reason: ... | Original: Where to check top ups pending? | Augmented: How can I view my pending top-up transactions?
VAL | [exchange_via_app] | ACCEPT | Reason: ... | Original: Do you support changing the currency I use? | Augmented: Can I switch the currency I'm using through your app?
VAL | [pending_top_up] | ACCEPT | Reason: ... | Original: Where are my funds? I topped off my car but it didn't seem to complete. | Augmented: Why haven't I received the funds after topping up my account?
VAL | [transfer_fee_charged] | ACCEPT | Reason: ... | Original: I need to know how much it costs to transfer funds. | Augmented: I'd like to inquire about the transfer fee associated with moving funds.
