text,label,source
What is the Enty behind the secret formula of Coca-Cola?,1,llm_augmented
What is the Object that makes Coca-Colas taste unique?,1,llm_augmented
What is the Thing that Coca-Colas recipe is based on?,1,llm_augmented
What is the zodiacal symbol for The Water Carrier?,1,llm_augmented
What object is associated with The Water Carrier in the zodiac?,1,llm_augmented
What thing represents The Water Carrier in astrology?,1,llm_augmented
Where is the official website for Company musical lyrics?,4,llm_augmented
Which place can I find the lyrics for Getting Married Today song?,4,llm_augmented
Where can I locate the lyrics for Company musical song Getting Married Today?,4,llm_augmented
What does EER stand for in air conditioner efficiency ratings?,0,llm_augmented
What does ABBR stand for in air conditioner efficiency rating systems?,0,llm_augmented
What does the acronym EER stand for in air conditioning efficiency ratings?,0,llm_augmented
Where is the nearest auto parts store that sells windshield wiper schematics?,4,llm_augmented
Which place can I visit for windshield wiper mechanism schematics near me?,4,llm_augmented
Where can I find online schematics for windshield wiper replacement?,4,llm_augmented
What is a camel hair brush thing made of?,1,llm_augmented
What is the object of a camel hair brush?,1,llm_augmented
What is this camel hair brush thing actually?,1,llm_augmented
What object is used to indicate possibility with `` may  vs `` might ?,1,llm_augmented
What thing is the difference between `` may  and `` might ?,1,llm_augmented
What thing is used to express uncertainty with `` may  vs `` might ?,1,llm_augmented
Where is the highest mountain in the world?,4,llm_augmented
Which place has the highest mountain in the world?,4,llm_augmented
Where can I find the highest mountain in the world?,4,llm_augmented
What does BPH stand for?,0,llm_augmented
What is the meaning of BPH abbreviation?,0,llm_augmented
What does the acronym BPH stand for?,0,llm_augmented
What does ABBR stand for National Bureau of Investigation?,0,llm_augmented
What does NBI stand for in full?,0,llm_augmented
What is the full form of FBI abbreviation?,0,llm_augmented
Who is the person in the Lite beer commercials?,3,llm_augmented
Which person bursts through the screen in Lite beer ads?,3,llm_augmented
Who is the guy who breaks through screens in Lite beer commercials?,3,llm_augmented
Who said I am down on whores and I wont stop ripping them?,3,llm_augmented
Who made that statement about whores and ripping them?,3,llm_augmented
Which person said I am down on whores and I wont stop ripping them?,3,llm_augmented
"Where are the islands named after Spanish baja mar, meaning shallow water?",4,llm_augmented
"Which places got their name from Spanish baja mar, meaning shallow water?",4,llm_augmented
"Where are the places with names derived from Spanish baja mar, meaning shallow water?",4,llm_augmented
How many shots are taken in the Around the World basketball game?,5,llm_augmented
