GEN | [verify_source_of_funds] | Orig: My source of funds require verification. -> Aug: We need to confirm the origin of your funds.
GEN | [verify_source_of_funds] | Orig: Please verify my source of funds. -> Aug: Please confirm the origin of the funds used for this transaction.
GEN | [verify_source_of_funds] | Orig: I have to verify my source of funds. -> Aug: I need to confirm the origin of my funds.
GEN | [verify_source_of_funds] | Orig: I require verification of my source of funds. -> Aug: I need to confirm the origin of my funds.
GEN | [verify_source_of_funds] | Orig: My source of funds need verification. -> Aug: We need to confirm the origin of your funds.
GEN | [receiving_money] | Orig: What can I use to receive my salary? -> Aug: How can I get my salary payment?
GEN | [supported_cards_and_currencies] | Orig: I have a second credit card from the US. Will you take it? -> Aug: You have a supplementary credit card issued in the United States. Can you use it for transactions with us?
GEN | [supported_cards_and_currencies] | Orig: I only have one other credit card from the US. Do you accept that? -> Aug: I'm wondering if you support any other credit cards besides the one I'm using, specifically one from the United States.
GEN | [supported_cards_and_currencies] | Orig: What are the currencies and cards that are supported with my account? -> Aug: What types of payment methods and currencies are accepted with my account?
GEN | [reverted_card_payment?] | Orig: What happens if a merchant doesn't accept  you payment? -> Aug: What happens if a payment to a merchant is declined or reversed?
GEN | [receiving_money] | Orig: Can my salary be received here? -> Aug: Can I receive my paycheck here?
GEN | [verify_source_of_funds] | Orig: What do I do to verify my source of funds? -> Aug: How can I confirm the origin of my funds?
GEN | [supported_cards_and_currencies] | Orig: Do you accept credit cards from the US -> Aug: We accept various credit cards issued in the United States.
GEN | [declined_card_payment] | Orig: Hi, is everything in good standing with my card? I am receiving multiple "decline" messages. -> Aug: Hi, I'm getting a few "decline" notifications regarding my card. Is everything okay with my account?
GEN | [visa_or_mastercard] | Orig: Can I get a Visa from you? -> Aug: Can I obtain a Mastercard from you instead?
GEN | [verify_source_of_funds] | Orig: Who is giving me my money? -> Aug: Who is the source of the funds being used to make this transaction?
GEN | [visa_or_mastercard] | Orig: I prefer Mastecard. -> Aug: I would rather use Mastercard.
GEN | [contactless_not_working] | Orig: Can I make a contactless payments? -> Aug: Can I use contactless payment methods?
GEN | [declined_cash_withdrawal] | Orig: This morning I wanted to make a withdrawal before work, but my card was declined! Please double check it for me as this is the first time it was declined. -> Aug: This morning, I attempted to make a cash withdrawal, but my card was rejected. Could you kindly verify the issue, as this is the first time it's happened?
GEN | [direct_debit_payment_not_recognised] | Orig: what is the word? -> Aug: We're unable to identify the direct debit payment you're referring to.
GEN | [get_disposable_virtual_card] | Orig: What is the procedure for depositing a virtual card -> Aug: How do I obtain a disposable virtual card and use it for transactions?
GEN | [supported_cards_and_currencies] | Orig: What are the various currencies and cards that you offer support for? -> Aug: We accept a range of currencies and cards for transactions, including a variety of payment methods.
GEN | [verify_source_of_funds] | Orig: How do I verify my source of funds? -> Aug: Can you please confirm the origin of the funds used for this transaction?
GEN | [receiving_money] | Orig: How can my friend pay me? -> Aug: How can I receive payment from my friend?
GEN | [virtual_card_not_working] | Orig: My Virtual card was rejected for a car rental. Why? -> Aug: My virtual card was declined for a car rental, and I'm wondering why.
GEN | [receiving_money] | Orig: Will my employer be able to pay me with this service -> Aug: Can my employer use this service to transfer funds to me?
GEN | [declined_cash_withdrawal] | Orig: Hello, is there any way to double check my card? I have never had issues with withdraws in the past, but this morning on the way to work it was unexpectedly declined. -> Aug: Hello, could you please verify my card details? I've never experienced any issues with cash withdrawals before, but this morning, my attempt to withdraw cash was unexpectedly declined.
GEN | [automatic_top_up] | Orig: How low does the balance have to be before the system updates? -> Aug: At what point does the account balance need to reach before the automatic top-up feature kicks in?
GEN | [supported_cards_and_currencies] | Orig: I have a US credit card, will you accept it? -> Aug: I'm wondering if you support credit cards issued in the United States.
GEN | [supported_cards_and_currencies] | Orig: can i add funds  with a card from the united states -> Aug: Can I deposit funds using a US-issued card?
GEN | [verify_source_of_funds] | Orig: Verify my source of funds? -> Aug: Can you confirm the origin of the funds used for this transaction?
GEN | [declined_card_payment] | Orig: I'm sure I have enough money so why didn't the store accept my card? -> Aug: I'm certain I have sufficient funds, yet the merchant refused to accept my payment method.
GEN | [verify_source_of_funds] | Orig: what is source of my money -> Aug: where is the origin of the funds used for this transaction?
GEN | [disposable_card_limits] | Orig: i tried using a virtual card for a hotel but it didn't work, why not -> Aug: I attempted to utilize a disposable card for a hotel booking, but it was unsuccessful, could you please explain why?
GEN | [declined_cash_withdrawal] | Orig: Hi, In morning, i was trying to withdraw money from my card, but it got declined. So far it was working fine. Could you please check my card. -> Aug: This morning, I attempted to withdraw cash from my card, but the transaction was declined. Despite being functional previously, it seems there's an issue with my card. Could you kindly investigate the matter?
GEN | [edit_personal_details] | Orig: My marital status has change, I got to correct my name to reflect that. -> Aug: I'd like to update my personal information as my marital status has changed, and I'd like to modify my name to accurately reflect this change.
GEN | [wrong_exchange_rate_for_cash_withdrawal] | Orig: Do any of your machines provide cash from my home country? I don't have any money on me and I'm on holiday so I'm concerned. Also, will I be charged anything to do this? -> Aug: Can I withdraw cash from my home country using one of your machines while I'm on holiday? I'm worried about not having any local currency with me and would like to know if I'll be charged a fee for this service.
GEN | [verify_source_of_funds] | Orig: I would like to verify my source of funds. -> Aug: I'd like to confirm the origin of my funds.
GEN | [supported_cards_and_currencies] | Orig: do you accept from usa credit card? -> Aug: Do you support credit cards issued in the United States?
VAL | [verify_source_of_funds] | ACCEPT | Reason: N/A | Original: My source of funds require verification. | Augmented: We need to confirm the origin of your funds.
VAL | [verify_source_of_funds] | ACCEPT | Reason: N/A | Original: Please verify my source of funds. | Augmented: Please confirm the origin of the funds used for this transaction.
VAL | [verify_source_of_funds] | ACCEPT | Reason: Both sentences convey the need to validate the origin or source of one's funds in a banking context. | Original: I have to verify my source of funds. | Augmented: I need to confirm the origin of my funds.
VAL | [verify_source_of_funds] | ACCEPT | Reason: ... | Original: I require verification of my source of funds. | Augmented: I need to confirm the origin of my funds.
VAL | [verify_source_of_funds] | ACCEPT | Reason: N/A | Original: My source of funds need verification. | Augmented: We need to confirm the origin of your funds.
VAL | [receiving_money] | ACCEPT | Reason: N/A | Original: What can I use to receive my salary? | Augmented: How can I get my salary payment?
VAL | [supported_cards_and_currencies] | ACCEPT | Reason: N/A | Original: I have a second credit card from the US. Will you take it? | Augmented: You have a supplementary credit card issued in the United States. Can you use it for transactions with us?
VAL | [supported_cards_and_currencies] | ACCEPT | Reason: ... | Original: I only have one other credit card from the US. Do you accept that? | Augmented: I'm wondering if you support any other credit cards besides the one I'm using, specifically one from the United States.
VAL | [supported_cards_and_currencies] | ACCEPT | Reason: N/A | Original: What are the currencies and cards that are supported with my account? | Augmented: What types of payment methods and currencies are accepted with my account?
VAL | [reverted_card_payment?] | REVIEW | Reason: N/A | Original: What happens if a merchant doesn't accept  you payment? | Augmented: What happens if a payment to a merchant is declined or reversed?
VAL | [receiving_money] | ACCEPT | Reason: N/A | Original: Can my salary be received here? | Augmented: Can I receive my paycheck here?
VAL | [verify_source_of_funds] | ACCEPT | Reason: ... | Original: What do I do to verify my source of funds? | Augmented: How can I confirm the origin of my funds?
VAL | [supported_cards_and_currencies] | ACCEPT | Reason: N/A | Original: Do you accept credit cards from the US | Augmented: We accept various credit cards issued in the United States.
VAL | [declined_card_payment] | ACCEPT | Reason: ... | Original: Hi, is everything in good standing with my card? I am receiving multiple "decline" messages. | Augmented: Hi, I'm getting a few "decline" notifications regarding my card. Is everything okay with my account?
VAL | [visa_or_mastercard] | ACCEPT | Reason: N/A | Original: Can I get a Visa from you? | Augmented: Can I obtain a Mastercard from you instead?
VAL | [verify_source_of_funds] | ACCEPT | Reason: N/A | Original: Who is giving me my money? | Augmented: Who is the source of the funds being used to make this transaction?
VAL | [visa_or_mastercard] | ACCEPT | Reason: ... | Original: I prefer Mastecard. | Augmented: I would rather use Mastercard.
VAL | [contactless_not_working] | ACCEPT | Reason: N/A | Original: Can I make a contactless payments? | Augmented: Can I use contactless payment methods?
VAL | [declined_cash_withdrawal] | ACCEPT | Reason: ... | Original: This morning I wanted to make a withdrawal before work, but my card was declined! Please double check it for me as this is the first time it was declined. | Augmented: This morning, I attempted to make a cash withdrawal, but my card was rejected. Could you kindly verify the issue, as this is the first time it's happened?
VAL | [direct_debit_payment_not_recognised] | ACCEPT | Reason: N/A | Original: what is the word? | Augmented: We're unable to identify the direct debit payment you're referring to.
VAL | [get_disposable_virtual_card] | REVIEW | Reason: N/A | Original: What is the procedure for depositing a virtual card | Augmented: How do I obtain a disposable virtual card and use it for transactions?
VAL | [supported_cards_and_currencies] | UNKNOWN | Reason: N/A | Original: What are the various currencies and cards that you offer support for? | Augmented: We accept a range of currencies and cards for transactions, including a variety of payment methods.
VAL | [verify_source_of_funds] | ACCEPT | Reason: N/A | Original: How do I verify my source of funds? | Augmented: Can you please confirm the origin of the funds used for this transaction?
VAL | [receiving_money] | ACCEPT | Reason: ... | Original: How can my friend pay me? | Augmented: How can I receive payment from my friend?
VAL | [virtual_card_not_working] | ACCEPT | Reason: ... | Original: My Virtual card was rejected for a car rental. Why? | Augmented: My virtual card was declined for a car rental, and I'm wondering why.
VAL | [receiving_money] | ACCEPT | Reason: N/A | Original: Will my employer be able to pay me with this service | Augmented: Can my employer use this service to transfer funds to me?
VAL | [declined_cash_withdrawal] | ACCEPT | Reason: N/A | Original: Hello, is there any way to double check my card? I have never had issues with withdraws in the past, but this morning on the way to work it was unexpectedly declined. | Augmented: Hello, could you please verify my card details? I've never experienced any issues with cash withdrawals before, but this morning, my attempt to withdraw cash was unexpectedly declined.
VAL | [automatic_top_up] | ACCEPT | Reason: N/A | Original: How low does the balance have to be before the system updates? | Augmented: At what point does the account balance need to reach before the automatic top-up feature kicks in?
VAL | [supported_cards_and_currencies] | ACCEPT | Reason: N/A | Original: I have a US credit card, will you accept it? | Augmented: I'm wondering if you support credit cards issued in the United States.
VAL | [supported_cards_and_currencies] | ACCEPT | Reason: N/A | Original: can i add funds  with a card from the united states | Augmented: Can I deposit funds using a US-issued card?
VAL | [verify_source_of_funds] | ACCEPT | Reason: N/A | Original: Verify my source of funds? | Augmented: Can you confirm the origin of the funds used for this transaction?
VAL | [declined_card_payment] | ACCEPT | Reason: ... | Original: I'm sure I have enough money so why didn't the store accept my card? | Augmented: I'm certain I have sufficient funds, yet the merchant refused to accept my payment method.
VAL | [verify_source_of_funds] | ACCEPT | Reason: N/A | Original: what is source of my money | Augmented: where is the origin of the funds used for this transaction?
VAL | [disposable_card_limits] | ACCEPT | Reason: ... | Original: i tried using a virtual card for a hotel but it didn't work, why not | Augmented: I attempted to utilize a disposable card for a hotel booking, but it was unsuccessful, could you please explain why?
