GEN | [request_refund] | Orig: Do you have a return policy? -> Aug: Can I initiate a return and request a refund?
GEN | [balance_not_updated_after_cheque_or_cash_deposit] | Orig: I tried using a check to update my balance, but it isn't work? Is something wrong? -> Aug: I made a cash deposit, but my account balance hasn't been updated yet. Is there an issue with the transaction?
GEN | [passcode_forgotten] | Orig: I can't log in with this passocde -> Aug: I'm having trouble accessing my account because I've forgotten my passcode.
GEN | [activate_my_card] | Orig: If you to to account, hit activate, and follow the instructions, you can activate it in just a few seconds. -> Aug: Once you access your account, click on the "Activate" button and follow the prompts to complete the activation process within a few seconds.
GEN | [pending_transfer] | Orig: I have a trasnger that is pending and wondered about it. -> Aug: I have a transfer that's currently pending and I'd like some information about it.
GEN | [Refund_not_showing_up] | Orig: I need my refund as soon as possible. What else do I have to do? -> Aug: I'm expecting my refund, and I'd like to know what's causing the delay. Can you help me with that?
GEN | [top_up_limits] | Orig: It seems I need to get information on limits for top-ups. -> Aug: Can you provide details about the limits for making deposits or adding funds to my account?
GEN | [activate_my_card] | Orig: You can do that in just a few seconds. Go to account, hit activate, and follow the directions from there. -> Aug: You can complete the process quickly. Simply navigate to your account, select the "Activate" option, and follow the prompts to finish.
GEN | [transfer_timing] | Orig: How do i transfer something faster than normal? -> Aug: Can you tell me about the quickest way to initiate a transfer?
GEN | [extra_charge_on_statement] | Orig: The $1.00 has still not been reverted as indicated in the previous email. -> Aug: The amount of $1.00 remains outstanding, as previously mentioned in our previous communication.
GEN | [declined_cash_withdrawal] | Orig: When I tried to access my cash, I wasn't allowed! -> Aug: Unfortunately, I was unable to withdraw cash from my account.
GEN | [country_support] | Orig: As far as courtries go which ones are supported? -> Aug: We're happy to provide information on the countries we support.
GEN | [top_up_by_bank_transfer_charge] | Orig: Am I able to do a SWIFT transfer with you? -> Aug: Can I initiate a bank transfer to top up my account with you?
GEN | [country_support] | Orig: May I get one of your cards?  I live in the EU. -> Aug: Might I request a card, as I am a resident of the European Union?
GEN | [pending_transfer] | Orig: I have an outgoing transfer -> Aug: I have a pending outgoing transaction
GEN | [balance_not_updated_after_cheque_or_cash_deposit] | Orig: I need my account checked because it appears there is a problem. I attempted to update my balance yesterday using cheque but it doesn't seem to have worked.  Should this not be faster than this? -> Aug: I'm concerned about an issue with my account. I deposited a cheque yesterday, but my balance hasn't been updated yet. Can you look into this and let me know why it's taking so long?
GEN | [pending_top_up] | Orig: Needed gas, been delayed for half an hour.Please fix it! -> Aug: Required urgent top-up, experiencing a 30-minute delay. Please resolve this issue as soon as possible!
GEN | [getting_virtual_card] | Orig: Please let me know how to place an order for a virtual card -> Aug: Please inform me about the process of acquiring a virtual card
GEN | [transfer_not_received_by_recipient] | Orig: Money is not in recipients account. -> Aug: The recipient's account does not show the transferred funds.
GEN | [Refund_not_showing_up] | Orig: Why hasn't my return cleared my account? -> Aug: Why isn't my refund showing up in my account?
GEN | [country_support] | Orig: I'm in the EU. Can I get one of your cards? -> Aug: I'm a resident of the European Union. Can I obtain one of your credit cards?
GEN | [cash_withdrawal_charge] | Orig: I just had a look at my statement. Why have I been changed for using the ATM? -> Aug: I've reviewed my statement and noticed a charge for using an ATM. Can you explain why I was charged for this transaction?
GEN | [card_swallowed] | Orig: Please send a new card; the ATM ate mine. -> Aug: Please dispatch a replacement card; I think I've lost the one I had, as it seems to have been swallowed by the ATM.
GEN | [transfer_not_received_by_recipient] | Orig: What happens when I money transaction doesn't show up on the receiving side? -> Aug: Why hasn't the money transfer been credited to the recipient's account?
GEN | [transfer_not_received_by_recipient] | Orig: I do not know where the transaction is. -> Aug: I'm not aware of the status of the transfer.
GEN | [country_support] | Orig: How do I find out what countries you service and what countries you do not? -> Aug: What are the countries you support, and which ones do you not support?
GEN | [declined_cash_withdrawal] | Orig: I'm trying to take money from my account but its not letting me. Help! -> Aug: I'm having trouble accessing my funds and making a cash withdrawal. Can you assist me?
GEN | [receiving_money] | Orig: How do I know what my account is set to, I am paid in GBP? -> Aug: How can I confirm my account's default currency, as I receive payments in British Pounds?
GEN | [why_verify_identity] | Orig: What is the first step I need to make for being able to access my account? -> Aug: What do I need to do to verify my identity before accessing my account?
GEN | [top_up_by_bank_transfer_charge] | Orig: Can I Transfer from SWIFT? -> Aug: Can I make a bank transfer to top up my account?
GEN | [apple_pay_or_google_pay] | Orig: my google pay seems to be acting up. -> Aug: my apple pay is malfunctioning
GEN | [transfer_not_received_by_recipient] | Orig: Why can't the recepient of my money transaction see it? -> Aug: The recipient of my money transfer is unable to view the transaction.
GEN | [direct_debit_payment_not_recognised] | Orig: How long after I receive my statement can I dispute payments on it? -> Aug: What is the timeframe for disputing payments on my statement after it's been received?
GEN | [direct_debit_payment_not_recognised] | Orig: Unusual direct deposit -> Aug: Unidentified direct debit payment
GEN | [transfer_not_received_by_recipient] | Orig: I'm waiting for my transaction to complete. -> Aug: I'm expecting my transfer to be received by the recipient.
VAL | [request_refund] | ACCEPT | Reason: N/A | Original: Do you have a return policy? | Augmented: Can I initiate a return and request a refund?
VAL | [balance_not_updated_after_cheque_or_cash_deposit] | ACCEPT | Reason: N/A | Original: I tried using a check to update my balance, but it isn't work? Is something wrong? | Augmented: I made a cash deposit, but my account balance hasn't been updated yet. Is there an issue with the transaction?
VAL | [passcode_forgotten] | ACCEPT | Reason: N/A | Original: I can't log in with this passocde | Augmented: I'm having trouble accessing my account because I've forgotten my passcode.
VAL | [activate_my_card] | ACCEPT | Reason: N/A | Original: If you to to account, hit activate, and follow the instructions, you can activate it in just a few seconds. | Augmented: Once you access your account, click on the "Activate" button and follow the prompts to complete the activation process within a few seconds.
VAL | [pending_transfer] | ACCEPT | Reason: ... | Original: I have a trasnger that is pending and wondered about it. | Augmented: I have a transfer that's currently pending and I'd like some information about it.
VAL | [Refund_not_showing_up] | ACCEPT | Reason: N/A | Original: I need my refund as soon as possible. What else do I have to do? | Augmented: I'm expecting my refund, and I'd like to know what's causing the delay. Can you help me with that?
VAL | [top_up_limits] | ACCEPT | Reason: N/A | Original: It seems I need to get information on limits for top-ups. | Augmented: Can you provide details about the limits for making deposits or adding funds to my account?
VAL | [activate_my_card] | ACCEPT | Reason: ... | Original: You can do that in just a few seconds. Go to account, hit activate, and follow the directions from there. | Augmented: You can complete the process quickly. Simply navigate to your account, select the "Activate" option, and follow the prompts to finish.
VAL | [transfer_timing] | ACCEPT | Reason: N/A | Original: How do i transfer something faster than normal? | Augmented: Can you tell me about the quickest way to initiate a transfer?
VAL | [extra_charge_on_statement] | ACCEPT | Reason: N/A | Original: The $1.00 has still not been reverted as indicated in the previous email. | Augmented: The amount of $1.00 remains outstanding, as previously mentioned in our previous communication.
VAL | [declined_cash_withdrawal] | ACCEPT | Reason: ... | Original: When I tried to access my cash, I wasn't allowed! | Augmented: Unfortunately, I was unable to withdraw cash from my account.
VAL | [country_support] | ACCEPT | Reason: N/A | Original: As far as courtries go which ones are supported? | Augmented: We're happy to provide information on the countries we support.
VAL | [top_up_by_bank_transfer_charge] | ACCEPT | Reason: N/A | Original: Am I able to do a SWIFT transfer with you? | Augmented: Can I initiate a bank transfer to top up my account with you?
VAL | [country_support] | ACCEPT | Reason: N/A | Original: May I get one of your cards?  I live in the EU. | Augmented: Might I request a card, as I am a resident of the European Union?
VAL | [pending_transfer] | ACCEPT | Reason: ... | Original: I have an outgoing transfer | Augmented: I have a pending outgoing transaction
VAL | [balance_not_updated_after_cheque_or_cash_deposit] | ACCEPT | Reason: The augmented text preserves the same banking intent by focusing on the issue of a balance not being updated after a cheque deposit. It does not introduce any contradictory information or unsupported details. | Original: I need my account checked because it appears there is a problem. I attempted to update my balance yesterday using cheque but it doesn't seem to have worked.  Should this not be faster than this? | Augmented: I'm concerned about an issue with my account. I deposited a cheque yesterday, but my balance hasn't been updated yet. Can you look into this and let me know why it's taking so long?
VAL | [pending_top_up] | ACCEPT | Reason: N/A | Original: Needed gas, been delayed for half an hour.Please fix it! | Augmented: Required urgent top-up, experiencing a 30-minute delay. Please resolve this issue as soon as possible!
VAL | [getting_virtual_card] | ACCEPT | Reason: N/A | Original: Please let me know how to place an order for a virtual card | Augmented: Please inform me about the process of acquiring a virtual card
VAL | [transfer_not_received_by_recipient] | ACCEPT | Reason: ... | Original: Money is not in recipients account. | Augmented: The recipient's account does not show the transferred funds.
VAL | [Refund_not_showing_up] | ACCEPT | Reason: ... | Original: Why hasn't my return cleared my account? | Augmented: Why isn't my refund showing up in my account?
VAL | [country_support] | ACCEPT | Reason: N/A | Original: I'm in the EU. Can I get one of your cards? | Augmented: I'm a resident of the European Union. Can I obtain one of your credit cards?
VAL | [cash_withdrawal_charge] | ACCEPT | Reason: ... | Original: I just had a look at my statement. Why have I been changed for using the ATM? | Augmented: I've reviewed my statement and noticed a charge for using an ATM. Can you explain why I was charged for this transaction?
VAL | [card_swallowed] | ACCEPT | Reason: ... | Original: Please send a new card; the ATM ate mine. | Augmented: Please dispatch a replacement card; I think I've lost the one I had, as it seems to have been swallowed by the ATM.
VAL | [transfer_not_received_by_recipient] | ACCEPT | Reason: Both texts are asking about a situation where a money transfer did not reach the intended recipient, preserving the same intent. | Original: What happens when I money transaction doesn't show up on the receiving side? | Augmented: Why hasn't the money transfer been credited to the recipient's account?
VAL | [transfer_not_received_by_recipient] | ACCEPT | Reason: N/A | Original: I do not know where the transaction is. | Augmented: I'm not aware of the status of the transfer.
VAL | [country_support] | ACCEPT | Reason: ... | Original: How do I find out what countries you service and what countries you do not? | Augmented: What are the countries you support, and which ones do you not support?
VAL | [declined_cash_withdrawal] | ACCEPT | Reason: ... | Original: I'm trying to take money from my account but its not letting me. Help! | Augmented: I'm having trouble accessing my funds and making a cash withdrawal. Can you assist me?
VAL | [receiving_money] | ACCEPT | Reason: N/A | Original: How do I know what my account is set to, I am paid in GBP? | Augmented: How can I confirm my account's default currency, as I receive payments in British Pounds?
VAL | [why_verify_identity] | ACCEPT | Reason: N/A | Original: What is the first step I need to make for being able to access my account? | Augmented: What do I need to do to verify my identity before accessing my account?
