GEN | [edit_personal_details] | Orig: details need to be modified -> Aug: information requires updating
GEN | [lost_or_stolen_card] | Orig: Could you please freeze my card immediately? -> Aug: Can you put a hold on my card due to it being lost or stolen?
GEN | [lost_or_stolen_card] | Orig: Can you provide information for freezing my card immediately? -> Aug: Can you assist me in temporarily suspending my card due to a lost or stolen situation?
GEN | [lost_or_stolen_card] | Orig: Hi, I am on vacation in Spain and someone stole my bag with my phone and wallet with cards and everything. Can you block it ASAP and then I want to order a new one also ASAP. -> Aug: Hi, I'm currently in Spain on vacation and my bag was stolen, which contained my phone, wallet, and cards. Can you please block my card immediately and arrange for a replacement as soon as possible?
GEN | [pending_cash_withdrawal] | Orig: I tried to get some with-drawls but the machine didn't work. The transaction still seems in progress.Seems like  something is wrong,I don't want to be charged for Transaction i did not make. -> Aug: I attempted to initiate a cash withdrawal, but the ATM malfunctioned. The transaction remains pending, and it appears that the process is stuck. I'm concerned that I might be charged for a transaction I didn't authorize.
GEN | [failed_transfer] | Orig: Hi, I'm buying my son Bertie a starter home in London.  I'm just trying to send the 5% deposit over to the agent. It's only £200,000 but seems to be throwing an error.  What is going on?  If I wait any longer the house prices might rise, can you look in to it please? -> Aug: Hi, I'm purchasing a starter home in London for my son Bertie and I'm attempting to transfer the 5% deposit to the agent. The amount is £200,000, but the transfer is failing. I'm concerned that if I don't resolve this issue, the house prices might rise, so could you please investigate this matter urgently?
GEN | [card_payment_not_recognised] | Orig: I've got charges on my account I did not authorize. Can I get this money back from the last couple of days that it's been coming out? I also need to freeze my card. -> Aug: I'm concerned about unauthorized transactions on my account. Can I get a refund for the recent charges I didn't approve? Additionally, I'd like to temporarily suspend my card activity.
GEN | [terminate_account] | Orig: if im not using my account should i close it or just let it sit -> Aug: If you're not actively using your account, it's recommended to either close it or terminate it to avoid any potential fees or security risks.
GEN | [compromised_card] | Orig: My card was stolen and used to make several purchases. Please freeze my card so no one can use it. -> Aug: My credit card was compromised and unauthorized transactions were made. I'd like to report the issue and request that my card be temporarily suspended to prevent further unauthorized use.
GEN | [reverted_card_payment?] | Orig: What happens if a merchant doesn't accept  you payment? -> Aug: What happens if a payment I made is reversed by the merchant?
GEN | [reverted_card_payment?] | Orig: I've got a problem - I bought something with my card one or two weeks ago, but now exact same amount of the purchase is showing up in my account. I like more money in my account, but this is too good to be true. Can you tell me what's happening? -> Aug: I recently made a purchase using my card, but the same amount is showing up in my account, and I'm not sure why. Can you help me figure out what's going on?
GEN | [card_payment_not_recognised] | Orig: I need to freeze my card. There are charges on there that i did not authorize. They've been coming out for a couple of days. Can i get this money back? -> Aug: I'm experiencing an issue with an unauthorized payment on my card. The charges started a few days ago and I'd like to dispute them. Can I get a refund for these unauthorized transactions?
GEN | [top_up_by_card_charge] | Orig: I am wanting to refill my card, is there a charge? -> Aug: I'd like to add funds to my card, will there be a charge for this transaction?
GEN | [declined_card_payment] | Orig: I couldn't pay with card in a shop -> Aug: The payment made with my card was declined at the store.
GEN | [transaction_charged_twice] | Orig: My card is showing the same transaction over and over again. -> Aug: I'm seeing a duplicate transaction on my statement.
GEN | [order_physical_card] | Orig: What does the bank charge for lost or stolen card replacements? -> Aug: Can I get information on the fee for replacing a lost or stolen physical bank card?
GEN | [compromised_card] | Orig: What do I do if I believe to be a victim of credit card fraud? -> Aug: If I suspect my credit card has been compromised, what steps can I take to protect my account and report the issue?
GEN | [extra_charge_on_statement] | Orig: Is the 1 pound charge going to be reimbursed on my card? -> Aug: Will the additional £1 charge be credited back to my account on my next statement?
GEN | [card_payment_not_recognised] | Orig: I didn't make a payment at this business. -> Aug: We couldn't verify a payment from your card at this merchant.
GEN | [card_payment_not_recognised] | Orig: Is it possible someone has access to my card? I noticed that there are a couple of payments in the app I'm sure I did not make. Can you find out what's going on here? -> Aug: I'm concerned that someone may have accessed my card information, as I'm seeing some unauthorized transactions in the app. Can you investigate and let me know what's happening?
GEN | [card_payment_not_recognised] | Orig: This card payment isn't is recognition. -> Aug: This card payment is not recognized.
GEN | [card_linking] | Orig: Could I reactivate my card please, I couldn't find it but it turns out it was in my jacket pocket. -> Aug: Could you please reactivate my card, I misplaced it initially but it was hiding in my jacket pocket.
GEN | [card_payment_fee_charged] | Orig: Is there a  way to  get around fees -> Aug: Can you help me avoid the payment processing fee on my recent transaction?
GEN | [card_linking] | Orig: I have one of your cards, but I don't know how to link it. -> Aug: I'm having trouble linking one of my cards to my account.
GEN | [pending_card_payment] | Orig: What's the pending length for credit transactions? I've had one in my pending category now for days and it won't move to processed. -> Aug: Can you please provide more information about the pending credit transaction that's been stuck in the pending category for days? I'd like to know the expected processing time or if there's any issue with the payment.
GEN | [card_payment_not_recognised] | Orig: I do not recognise the card payment. -> Aug: We are unable to verify the card payment.
GEN | [extra_charge_on_statement] | Orig: There is some odd 1£ charge that appears as pending on my statement. What's that about? Pretty sure I haven't purchased anything for a pound there. -> Aug: We've noticed a £1 charge showing as pending on your statement. Can you please let us know what you think this might be for? We've checked our records and can't find any evidence of a purchase or transaction that would explain the charge.
GEN | [compromised_card] | Orig: my card details could be stolen, as i didnt make these transactions -> Aug: my personal card information may have been compromised, as I didn't authorize these transactions
GEN | [contactless_not_working] | Orig: Why wasn't my contactless accepted at the metro? -> Aug: Why did the contactless payment system fail to recognize my card at the metro station?
GEN | [cash_withdrawal_not_recognised] | Orig: Someone stole my wallet a couple of hours ago now and they have taken money from my account. Is there any way that you can help so I won't lose any more of my money. -> Aug: I'm concerned that an unauthorized transaction has been made on my account. Someone took money from my account a few hours ago, and I'm worried that I might lose more if it's not resolved. Can you assist me in stopping any further transactions and recovering the stolen funds?
GEN | [compromised_card] | Orig: What can I do if my card details where stolen from my car? I think they used my card to buy gas. -> Aug: What can I do if my card information was stolen from my vehicle? I suspect someone used my compromised card to make a purchase, possibly at a gas station.
GEN | [cash_withdrawal_not_recognised] | Orig: I am seeing unathorized transactions in the app, on my account. -> Aug: I'm experiencing an unrecognised cash withdrawal on my account, and I'm concerned about the unauthorized transaction.
GEN | [direct_debit_payment_not_recognised] | Orig: People are using my debit card - help! -> Aug: We've received a notification that a direct debit payment has been attempted using your debit card, but it's not recognized by our system. Can you please assist us in resolving this issue?
GEN | [pending_card_payment] | Orig: What does pending payment mean? -> Aug: A pending card payment refers to a transaction that has been authorized but not yet processed or settled by the bank.
GEN | [pending_card_payment] | Orig: What is the meaning of a pending payment? -> Aug: A pending card payment refers to a transaction that has been initiated but not yet processed or settled by the bank.
GEN | [card_payment_fee_charged] | Orig: how do i avoid charges in the future -> Aug: what can i do to prevent being charged a fee on my next transaction?
GEN | [edit_personal_details] | Orig: should i contact customer support if i can't edit details -> Aug: should I reach out to customer support if I'm unable to modify my personal information?
GEN | [top_up_by_cash_or_cheque] | Orig: How can I add physical money to my card? -> Aug: You can top up your card using cash or cheque.
GEN | [top_up_limits] | Orig: I need to add a serious amount of cash to my card, how do I do that? -> Aug: I'd like to increase my available credit limit, could you guide me on how to do that?
