GEN | [get_physical_card] | Orig: How is the PIN delivered? -> Aug: Can you please provide information on how to obtain my physical credit card?
GEN | [get_physical_card] | Orig: I don't have a PIN at this point. -> Aug: I'd like to request a physical card to be mailed to me, as I don't have a PIN to access my digital card.
GEN | [get_physical_card] | Orig: I dont have a pin -> Aug: I need a physical card to access my account.
GEN | [get_physical_card] | Orig: Can you deliver the PIN separately? -> Aug: Can you send me the physical card separately?
GEN | [supported_cards_and_currencies] | Orig: Do you have a list of the cards and currencies supported? -> Aug: What types of cards and currencies do you accept for transactions?
GEN | [card_arrival] | Orig: can you share card tracking number? -> Aug: can you provide the tracking number for my card delivery?
GEN | [supported_cards_and_currencies] | Orig: Do you have a list of cards and currencies you support? -> Aug: What types of payment cards and currencies do you accept?
GEN | [lost_or_stolen_card] | Orig: I lost my wallet and all my cards were in it. -> Aug: I misplaced my wallet and all my credit cards were inside.
GEN | [fiat_currency_support] | Orig: I would like to know which fiat currencies are recognized by your organization. -> Aug: We accept a wide range of fiat currencies, including USD, EUR, JPY, and many others. Can you please specify which currency you would like to use for your transaction?
GEN | [change_pin] | Orig: I have been travelling overseas and I need to change my PIN. Can you tell me how this is done? -> Aug: I'm currently abroad and I'd like to update my PIN. Can you guide me through the process of changing it?
GEN | [get_physical_card] | Orig: Is the PIN separately delivered? -> Aug: Can I get my physical card and PIN separately?
GEN | [change_pin] | Orig: Is it possible to change my pin if i am out of the country? -> Aug: Can I still change my PIN if I'm currently abroad or outside the country?
GEN | [card_about_to_expire] | Orig: Am I able to get this shipped to China? -> Aug: I'm trying to renew my credit card, which is about to expire, and I'd like to know if I can have it delivered to China.
GEN | [card_arrival] | Orig: Was there a way for me to get tracking for that? -> Aug: Can I get an update on the status of my card delivery?
GEN | [supported_cards_and_currencies] | Orig: do you accept from usa credit card? -> Aug: What types of credit cards do you accept from the United States?
GEN | [change_pin] | Orig: If I am not in the country and I need to change my PIN, how can this be done? -> Aug: If I'm currently abroad and I need to modify my PIN, what steps can I take to make the change?
GEN | [exchange_rate] | Orig: What is the exchange looking like? -> Aug: How do the current exchange rates compare to each other?
GEN | [get_physical_card] | Orig: Does the PIN come under separate cover? -> Aug: Can I request a separate package for my physical debit card?
GEN | [receiving_money] | Orig: Can my salary be received here? -> Aug: Can I receive my paycheck at this location?
GEN | [receiving_money] | Orig: What do I need to do to get my salary through this? -> Aug: How can I receive my salary payment through this service?
GEN | [change_pin] | Orig: How do I change my PIN abroad? -> Aug: Can I change my PIN while traveling internationally?
GEN | [card_arrival] | Orig: Can you track my card for me? -> Aug: Could you please help me locate my card's delivery status?
GEN | [supported_cards_and_currencies] | Orig: I have a US credit card, will you accept it? -> Aug: I'm using a Visa card issued in the United States, can I use it for the transaction?
GEN | [compromised_card] | Orig: What do I do if I believe to be a victim of credit card fraud? -> Aug: If my credit card information has been stolen, what steps can I take to protect my account and report the incident to the bank?
GEN | [change_pin] | Orig: Can I change my PIN abroad? -> Aug: Can I modify my PIN while traveling internationally?
GEN | [passcode_forgotten] | Orig: passcode retrieval -> Aug: I forgot my passcode and need help retrieving it.
GEN | [receiving_money] | Orig: Can i get payed through this system? -> Aug: Can I receive payment through this system?
GEN | [lost_or_stolen_phone] | Orig: Can my account me accessed by a thief?  I was mugged. -> Aug: I'm worried that someone might have accessed my account after my phone was stolen during a mugging. Can I take steps to secure my account?
GEN | [fiat_currency_support] | Orig: what currencies do you accept? -> Aug: what types of fiat currencies do you support?
GEN | [lost_or_stolen_phone] | Orig: My things were stolen and I need to know if I can still use this app. -> Aug: My phone was stolen and I'm worried about accessing my account through this app. Can I still use it?
VAL | [get_physical_card] | NO | Text: Can you please provide information on how to obtain my physical credit card?
VAL | [get_physical_card] | NO | Text: I'd like to request a physical card to be mailed to me, as I don't have a PIN to access my digital card.
VAL | [get_physical_card] | NO | Text: I need a physical card to access my account.
VAL | [get_physical_card] | NO | Text: Can you send me the physical card separately?
VAL | [supported_cards_and_currencies] | YES | Text: What types of cards and currencies do you accept for transactions?
VAL | [card_arrival] | YES | Text: can you provide the tracking number for my card delivery?
VAL | [supported_cards_and_currencies] | YES | Text: What types of payment cards and currencies do you accept?
VAL | [lost_or_stolen_card] | NO | Text: I misplaced my wallet and all my credit cards were inside.
VAL | [fiat_currency_support] | NO | Text: We accept a wide range of fiat currencies, including USD, EUR, JPY, and many others. Can you please specify which currency you would like to use for your transaction?
VAL | [change_pin] | YES | Text: I'm currently abroad and I'd like to update my PIN. Can you guide me through the process of changing it?
VAL | [get_physical_card] | NO | Text: Can I get my physical card and PIN separately?
VAL | [change_pin] | YES | Text: Can I still change my PIN if I'm currently abroad or outside the country?
VAL | [card_about_to_expire] | NO | Text: I'm trying to renew my credit card, which is about to expire, and I'd like to know if I can have it delivered to China.
VAL | [card_arrival] | NO | Text: Can I get an update on the status of my card delivery?
VAL | [supported_cards_and_currencies] | YES | Text: What types of credit cards do you accept from the United States?
VAL | [change_pin] | YES | Text: If I'm currently abroad and I need to modify my PIN, what steps can I take to make the change?
VAL | [exchange_rate] | NO | Text: How do the current exchange rates compare to each other?
VAL | [get_physical_card] | NO | Text: Can I request a separate package for my physical debit card?
VAL | [receiving_money] | YES | Text: Can I receive my paycheck at this location?
VAL | [receiving_money] | YES | Text: How can I receive my salary payment through this service?
VAL | [change_pin] | YES | Text: Can I change my PIN while traveling internationally?
VAL | [card_arrival] | NO | Text: Could you please help me locate my card's delivery status?
VAL | [supported_cards_and_currencies] | YES | Text: I'm using a Visa card issued in the United States, can I use it for the transaction?
VAL | [compromised_card] | NO | Text: If my credit card information has been stolen, what steps can I take to protect my account and report the incident to the bank?
VAL | [change_pin] | YES | Text: Can I modify my PIN while traveling internationally?
VAL | [passcode_forgotten] | YES | Text: I forgot my passcode and need help retrieving it.
VAL | [receiving_money] | YES | Text: Can I receive payment through this system?
VAL | [lost_or_stolen_phone] | NO | Text: I'm worried that someone might have accessed my account after my phone was stolen during a mugging. Can I take steps to secure my account?
VAL | [fiat_currency_support] | YES | Text: what types of fiat currencies do you support?
VAL | [lost_or_stolen_phone] | YES | Text: My phone was stolen and I'm worried about accessing my account through this app. Can I still use it?
