GEN | [card_linking] | Orig: Can you please reactivate my card? -> Aug: Can you assist me in reactivating my card?
GEN | [pending_card_payment] | Orig: There is a payment that has not processed. -> Aug: A payment is still pending and has not been processed.
GEN | [balance_not_updated_after_bank_transfer] | Orig: Is there a longer processing time for international bank transfers? -> Aug: Why does it take a while for my account balance to update after an international bank transfer is made?
GEN | [top_up_by_card_charge] | Orig: should i add money via bank transfer instead -> Aug: Would you like to add funds to your account using a card charge instead?
GEN | [cash_withdrawal_not_recognised] | Orig: there is money in my account that i didnt put there -> Aug: the funds in my account are not mine and I didn't deposit them
GEN | [failed_transfer] | Orig: Can you tell my why my funds transfer did not work properly? -> Aug: Could you please explain why my recent transfer was unsuccessful?
GEN | [cash_withdrawal_not_recognised] | Orig: There is unexpected money in my account. -> Aug: We've detected an unusual cash withdrawal attempt on your account.
GEN | [top_up_by_card_charge] | Orig: I was wondering if you will take any fees in exchange for top ups? -> Aug: Are there any charges or fees associated with topping up my account using my card?
GEN | [card_payment_not_recognised] | Orig: I need to freeze my card as soon as possible. I just checked my account and saw that there have been several payments that I don't recognize over the course of a few days. Can we investigate and get my money back? -> Aug: I'm concerned about unauthorized transactions on my account. I've noticed some payments that I didn't make, and I'd like to report them and get my funds restored.
GEN | [pending_cash_withdrawal] | Orig: Hello. I looked at my account and see that a transaction I tried to do is pending, but I did not complete that transaction. When I was at the ATM, the machine declined my card. Can you make sure that transaction does not go through because I definitely did not receive the money. -> Aug: Hello. I've noticed a pending transaction on my account that I didn't complete. I attempted to make a withdrawal at an ATM, but the machine declined my card. Can you please cancel this pending transaction as I didn't receive the cash and don't want it to be processed.
GEN | [request_refund] | Orig: I want this fee reversed from my account. -> Aug: I'd like to request a refund of this fee from my account.
GEN | [age_limit] | Orig: Is there a certain age I need to be? -> Aug: Are there any age restrictions I need to meet?
GEN | [receiving_money] | Orig: Can I use a transfer to receive my transfer? -> Aug: Can I use a wire transfer to receive my funds?
GEN | [transfer_into_account] | Orig: Whats the transfer process -> Aug: How do I initiate a transfer into an account?
GEN | [transfer_into_account] | Orig: Can I withdraw money from another bank and transfer it into my empty account? -> Aug: Can I deposit funds from another bank into my account, which currently has no balance?
GEN | [declined_card_payment] | Orig: Why does is payment not going through? Did my account get frozen or some other issue I don't know about. What can I do to fix this problem? -> Aug: Why is my payment being declined? Is there an issue with my account or card information that's causing the payment to be rejected? Can you help me resolve this issue and get my payment processed successfully?
GEN | [transfer_into_account] | Orig: Please provide details on how to top up my account using transfer option -> Aug: Please provide instructions on how to deposit funds into my account using the transfer feature
GEN | [pending_card_payment] | Orig: I made a card payment by my card but it failed. Please let me know when the payment will get completed as its still pending. -> Aug: I attempted to make a payment using my card, but the transaction was unsuccessful. Could you please inform me when the payment will be processed and confirmed, as it's still listed as pending?
GEN | [pending_transfer] | Orig: What is the average pending time for a transaction? -> Aug: How long does it typically take for a transfer to be processed and reflected in my account?
GEN | [pending_transfer] | Orig: Why is the transaction not posting? -> Aug: Why is the transfer still pending?
