GEN | [top_up_failed] | Orig: I can't add any more money. -> Aug: I'm unable to make a successful top-up.
GEN | [getting_spare_card] | Orig: I need more physical cards than I have right now! -> Aug: I require additional physical debit/credit cards to have a sufficient supply.
GEN | [card_payment_fee_charged] | Orig: Let me know when you charge extra for payments please. I just checked the app earlier when I saw that there was an additional fee on one of the payments that I wasn't warned about before. -> Aug: Could you inform me when you deduct extra charges for transactions? I recently checked the app and noticed an unexpected fee on one of the payments, which I wasn't aware of beforehand.
GEN | [getting_spare_card] | Orig: Do you send more than one card? -> Aug: Can I get an additional card?
GEN | [activate_my_card] | Orig: will you be able to activate my card -> Aug: can you assist me in activating my card
GEN | [getting_spare_card] | Orig: Do you send duplicate cards? -> Aug: Can you provide a replacement card?
GEN | [getting_spare_card] | Orig: Am I gonna be charged for sending out more cards? -> Aug: Will I be charged for requesting additional cards?
GEN | [card_payment_fee_charged] | Orig: Hi, I am new to this. Are there any additional fees or charges that I should be aware of? I was looking through the app and I thought I saw something in regards to fee-free allowances. -> Aug: I'm a new customer and I was wondering if there are any extra charges or fees I should know about. I noticed something about fee-free transactions in the app, but I'm not entirely sure what it means.
GEN | [disposable_card_limits] | Orig: Help me create several temp cards every day. -> Aug: Can you assist me in generating multiple temporary cards daily?
GEN | [Refund_not_showing_up] | Orig: Card refund is not showing up in my statement. -> Aug: The refund for my card is missing from my latest statement.
GEN | [activate_my_card] | Orig: You can activate your card in a few seconds by going to account, hitting activate, and just following the directions. -> Aug: You can easily activate your card by accessing your account, selecting the 'activate' option, and following the on-screen instructions.
GEN | [activate_my_card] | Orig: Can you activate my card pls -> Aug: Could you please activate my card?
GEN | [getting_spare_card] | Orig: Is a new debit card free? -> Aug: Can I get a new debit card without any additional charges?
GEN | [card_payment_wrong_exchange_rate] | Orig: The exchange rate used on your app is really bad. I'm considering closing my account because of it. -> Aug: The rate you're using for currency conversion is quite inaccurate. It's making me think about canceling my account.
GEN | [wrong_amount_of_cash_received] | Orig: There was a limited amount of money available at the time of my transaction. -> Aug: There was insufficient cash available at the time of my transaction.
GEN | [getting_virtual_card] | Orig: I haven't received my virtual card yet!! -> Aug: I'm still waiting to receive my virtual card.
GEN | [pending_transfer] | Orig: I have a trasnger that is pending and wondered about it. -> Aug: I have a transfer that's currently pending and I'd like some information about it.
GEN | [contactless_not_working] | Orig: The terminal I paid at wouldn't take my card. Is something wrong? -> Aug: The payment terminal I used wouldn't accept my card. Is there an issue with the contactless payment system?
GEN | [getting_virtual_card] | Orig: I have yet to receive my virtual card -> Aug: I'm still waiting to receive my virtual card
GEN | [request_refund] | Orig: It's been over a month and i still haven't received my goods! I ordered a pencil for crying out loud, it's not that hard to deliver that! I'm done with these people, give me a refund immediately! I'll search for my Japanese exclusive pencil elsewhere! -> Aug: I've been waiting for over a month and my order still hasn't arrived. I'm extremely frustrated, as it's a simple pencil I ordered. I've had enough of this company's poor service, and I demand a refund right away. I'll take my business elsewhere and find a reliable supplier for my Japanese exclusive pencil needs.
GEN | [topping_up_by_card] | Orig: what happened to the money after i put in the wrong info and it got declined -> Aug: what happened to the funds after I entered incorrect details and the transaction was declined using my card?
GEN | [getting_virtual_card] | Orig: I haven't received my virtual card yet, do yo know why? -> Aug: I'm still waiting to receive my virtual card, could you please help me figure out why it hasn't arrived?
GEN | [extra_charge_on_statement] | Orig: Is the 1 pound charge going to be reimbursed on my card? -> Aug: Will the extra charge that appears on my statement be credited back to my card?
GEN | [activate_my_card] | Orig: How do I active this card? -> Aug: How can I activate this card?
GEN | [topping_up_by_card] | Orig: I need my card topped up, -> Aug: I'd like to add funds to my card.
GEN | [getting_spare_card] | Orig: If I need more than cards will I have to pay a fee to receive them? -> Aug: If I require additional cards, will I be charged a fee for obtaining them?
GEN | [card_swallowed] | Orig: How do I get my card back quickly from a bank machine that it? -> Aug: How can I retrieve my card from a bank machine as soon as possible?
GEN | [declined_card_payment] | Orig: I could not use my card in a store. -> Aug: I was unable to make a purchase using my card at a retail location.
GEN | [card_payment_not_recognised] | Orig: I've got charges on my account I did not authorize. Can I get this money back from the last couple of days that it's been coming out? I also need to freeze my card. -> Aug: I'm concerned about unauthorized transactions on my account. Can I request a refund for the recent charges? Additionally, I'd like to temporarily suspend my card to prevent further unauthorized activity.
GEN | [extra_charge_on_statement] | Orig: I'm pretty frustrated about a pound charge that keeps  showing up in my account statement. It's listed in the app as "pending", it never changes, and now I'm thinking someone's hacked my account! -> Aug: I'm concerned about an unexpected charge that's been appearing on my account statement. It's marked as "pending" in the app, and it's not updating, which has me worried that someone may have unauthorized access to my account.
GEN | [getting_virtual_card] | Orig: Please let me know how to place an order for a virtual card -> Aug: Please inform me about the process of acquiring a virtual card
GEN | [card_payment_wrong_exchange_rate] | Orig: Hello, I believe there has been a mistake made on the exchange rate for my card. Could you please check the official interbank exchange rate for me? -> Aug: I think there's an error with the exchange rate applied to my card transaction. Could you verify the current interbank exchange rate for me, please?
GEN | [Refund_not_showing_up] | Orig: It's been more than a week since I had a return charged to my card, why hasn't it showed up? -> Aug: It's been over a week since the return was processed, and I'm still waiting for the refund to appear on my statement.
GEN | [card_not_working] | Orig: I wasn't able to use my card today when I went out for lunch. Wondering why that is? -> Aug: I tried to make a purchase using my card, but it didn't work when I went to a restaurant for lunch. Can you help me figure out what's going on?
GEN | [card_payment_fee_charged] | Orig: Where can I find out the fee structure for my account? I have been charged fees for some transactions, but not for other ones. I can't find a pattern in these fees. -> Aug: I'm trying to understand the fee policy for my account. I've noticed that I've been charged fees for certain transactions, but not for others, and I'm having trouble identifying a pattern. Can you help me understand the fee structure?
GEN | [Refund_not_showing_up] | Orig: why cant you just refund me instead of a merchant -> Aug: why can't you simply process a refund for me instead of waiting for the merchant to initiate it?
GEN | [card_payment_not_recognised] | Orig: I need to figure out what these charges are on my account. They've been coming out for a couple of days. Can i get all of this money back? Also, I need to freeze my card. -> Aug: I'm trying to understand the recent transactions on my account. There have been some unusual charges showing up. Can I get a refund for these amounts? Additionally, I'd like to temporarily suspend my card usage.
VAL | [top_up_failed] | ACCEPT | Reason: N/A | Original: I can't add any more money. | Augmented: I'm unable to make a successful top-up.
VAL | [getting_spare_card] | ACCEPT | Reason: ... | Original: I need more physical cards than I have right now! | Augmented: I require additional physical debit/credit cards to have a sufficient supply.
VAL | [card_payment_fee_charged] | ACCEPT | Reason: ... | Original: Let me know when you charge extra for payments please. I just checked the app earlier when I saw that there was an additional fee on one of the payments that I wasn't warned about before. | Augmented: Could you inform me when you deduct extra charges for transactions? I recently checked the app and noticed an unexpected fee on one of the payments, which I wasn't aware of beforehand.
VAL | [getting_spare_card] | ACCEPT | Reason: N/A | Original: Do you send more than one card? | Augmented: Can I get an additional card?
VAL | [activate_my_card] | ACCEPT | Reason: ... | Original: will you be able to activate my card | Augmented: can you assist me in activating my card
VAL | [getting_spare_card] | ACCEPT | Reason: N/A | Original: Do you send duplicate cards? | Augmented: Can you provide a replacement card?
VAL | [getting_spare_card] | ACCEPT | Reason: ... | Original: Am I gonna be charged for sending out more cards? | Augmented: Will I be charged for requesting additional cards?
VAL | [card_payment_fee_charged] | ACCEPT | Reason: N/A | Original: Hi, I am new to this. Are there any additional fees or charges that I should be aware of? I was looking through the app and I thought I saw something in regards to fee-free allowances. | Augmented: I'm a new customer and I was wondering if there are any extra charges or fees I should know about. I noticed something about fee-free transactions in the app, but I'm not entirely sure what it means.
VAL | [disposable_card_limits] | ACCEPT | Reason: N/A | Original: Help me create several temp cards every day. | Augmented: Can you assist me in generating multiple temporary cards daily?
VAL | [Refund_not_showing_up] | ACCEPT | Reason: ... | Original: Card refund is not showing up in my statement. | Augmented: The refund for my card is missing from my latest statement.
VAL | [activate_my_card] | ACCEPT | Reason: ... | Original: You can activate your card in a few seconds by going to account, hitting activate, and just following the directions. | Augmented: You can easily activate your card by accessing your account, selecting the 'activate' option, and following the on-screen instructions.
VAL | [activate_my_card] | ACCEPT | Reason: ... | Original: Can you activate my card pls | Augmented: Could you please activate my card?
VAL | [getting_spare_card] | ACCEPT | Reason: N/A | Original: Is a new debit card free? | Augmented: Can I get a new debit card without any additional charges?
VAL | [card_payment_wrong_exchange_rate] | ACCEPT | Reason: ... | Original: The exchange rate used on your app is really bad. I'm considering closing my account because of it. | Augmented: The rate you're using for currency conversion is quite inaccurate. It's making me think about canceling my account.
VAL | [wrong_amount_of_cash_received] | ACCEPT | Reason: N/A | Original: There was a limited amount of money available at the time of my transaction. | Augmented: There was insufficient cash available at the time of my transaction.
VAL | [getting_virtual_card] | ACCEPT | Reason: Both sentences convey the same expectation of receiving a virtual card, just expressed with slightly different wording. | Original: I haven't received my virtual card yet!! | Augmented: I'm still waiting to receive my virtual card.
VAL | [pending_transfer] | ACCEPT | Reason: ... | Original: I have a trasnger that is pending and wondered about it. | Augmented: I have a transfer that's currently pending and I'd like some information about it.
VAL | [contactless_not_working] | ACCEPT | Reason: N/A | Original: The terminal I paid at wouldn't take my card. Is something wrong? | Augmented: The payment terminal I used wouldn't accept my card. Is there an issue with the contactless payment system?
VAL | [getting_virtual_card] | ACCEPT | Reason: Both sentences convey the same idea of waiting for a virtual card to be received, maintaining the original intent. | Original: I have yet to receive my virtual card | Augmented: I'm still waiting to receive my virtual card
VAL | [request_refund] | ACCEPT | Reason: ... | Original: It's been over a month and i still haven't received my goods! I ordered a pencil for crying out loud, it's not that hard to deliver that! I'm done with these people, give me a refund immediately! I'll search for my Japanese exclusive pencil elsewhere! | Augmented: I've been waiting for over a month and my order still hasn't arrived. I'm extremely frustrated, as it's a simple pencil I ordered. I've had enough of this company's poor service, and I demand a refund right away. I'll take my business elsewhere and find a reliable supplier for my Japanese exclusive pencil needs.
VAL | [topping_up_by_card] | ACCEPT | Reason: N/A | Original: what happened to the money after i put in the wrong info and it got declined | Augmented: what happened to the funds after I entered incorrect details and the transaction was declined using my card?
VAL | [getting_virtual_card] | ACCEPT | Reason: Both texts express the need for information regarding the status of a virtual card. The wording is slightly different but the intent remains the same. | Original: I haven't received my virtual card yet, do yo know why? | Augmented: I'm still waiting to receive my virtual card, could you please help me figure out why it hasn't arrived?
VAL | [extra_charge_on_statement] | ACCEPT | Reason: N/A | Original: Is the 1 pound charge going to be reimbursed on my card? | Augmented: Will the extra charge that appears on my statement be credited back to my card?
VAL | [activate_my_card] | ACCEPT | Reason: ... | Original: How do I active this card? | Augmented: How can I activate this card?
VAL | [topping_up_by_card] | ACCEPT | Reason: N/A | Original: I need my card topped up, | Augmented: I'd like to add funds to my card.
VAL | [getting_spare_card] | ACCEPT | Reason: Both texts are asking about the possibility of needing more than one card and the associated fees. | Original: If I need more than cards will I have to pay a fee to receive them? | Augmented: If I require additional cards, will I be charged a fee for obtaining them?
VAL | [card_swallowed] | ACCEPT | Reason: ... | Original: How do I get my card back quickly from a bank machine that it? | Augmented: How can I retrieve my card from a bank machine as soon as possible?
VAL | [declined_card_payment] | ACCEPT | Reason: N/A | Original: I could not use my card in a store. | Augmented: I was unable to make a purchase using my card at a retail location.
VAL | [card_payment_not_recognised] | ACCEPT | Reason: N/A | Original: I've got charges on my account I did not authorize. Can I get this money back from the last couple of days that it's been coming out? I also need to freeze my card. | Augmented: I'm concerned about unauthorized transactions on my account. Can I request a refund for the recent charges? Additionally, I'd like to temporarily suspend my card to prevent further unauthorized activity.
VAL | [extra_charge_on_statement] | ACCEPT | Reason: N/A | Original: I'm pretty frustrated about a pound charge that keeps  showing up in my account statement. It's listed in the app as "pending", it never changes, and now I'm thinking someone's hacked my account! | Augmented: I'm concerned about an unexpected charge that's been appearing on my account statement. It's marked as "pending" in the app, and it's not updating, which has me worried that someone may have unauthorized access to my account.
VAL | [getting_virtual_card] | ACCEPT | Reason: N/A | Original: Please let me know how to place an order for a virtual card | Augmented: Please inform me about the process of acquiring a virtual card
VAL | [card_payment_wrong_exchange_rate] | ACCEPT | Reason: N/A | Original: Hello, I believe there has been a mistake made on the exchange rate for my card. Could you please check the official interbank exchange rate for me? | Augmented: I think there's an error with the exchange rate applied to my card transaction. Could you verify the current interbank exchange rate for me, please?
