GEN | [exchange_rate] | Orig: How do you do exchanges? -> Aug: What's the process for converting currencies?
GEN | [verify_source_of_funds] | Orig: My funds must be verified -> Aug: We need to confirm the origin of your funds
GEN | [top_up_by_cash_or_cheque] | Orig: How can I fill up my gas tank using a check? -> Aug: How can I replenish my account balance using a cheque or cash?
GEN | [beneficiary_not_allowed] | Orig: I have been trying to exchange this for crypto but the app won't work could you please help me? -> Aug: I'm having trouble converting this to cryptocurrency, but the app is not allowing me to proceed. Can you assist me with this issue?
GEN | [fiat_currency_support] | Orig: Do you have a problem with EUR exchanges? -> Aug: Are you experiencing an issue with converting or exchanging euros?
GEN | [balance_not_updated_after_cheque_or_cash_deposit] | Orig: Do you guys accept cash? Because i deposited some this morning and I can't see it in my account. -> Aug: We've received a cash deposit from you, but it's not showing up in your account balance yet. Can you please confirm if we accept cash deposits and when you can expect the update?
GEN | [order_physical_card] | Orig: Can you tell me exactly what fees I will expect to see in regards to your cards? -> Aug: What charges can I anticipate when ordering a physical card from your institution?
GEN | [exchange_via_app] | Orig: What do I need to do to exchange my money? -> Aug: To initiate a currency exchange, what are the steps I need to take using the app?
GEN | [automatic_top_up] | Orig: When the time is right will this automatically replenish my balance? -> Aug: Will this automatically top up my account when the time is suitable?
GEN | [topping_up_by_card] | Orig: Who can have access to top up my account? -> Aug: Who is eligible to make a card-based account top-up for me?
GEN | [top_up_by_card_charge] | Orig: Will you assess me more fees if I top up with an international card? -> Aug: Will you charge me extra fees if I make a payment using an international credit/debit card?
GEN | [atm_support] | Orig: Can I use my card to withdraw from my account? -> Aug: Can I make a withdrawal from my account using my card?
GEN | [top_up_by_card_charge] | Orig: is it free to add money to my card -> Aug: is there a charge for topping up my card balance?
GEN | [supported_cards_and_currencies] | Orig: I have another card from the U.S. Will you be able to accept that one? -> Aug: I'd like to know if you support cards issued in the United States.
GEN | [top_up_by_cash_or_cheque] | Orig: Do you take checks? -> Aug: Can you accept payments by cheque or cash?
GEN | [topping_up_by_card] | Orig: If I want a friend to top off my account, can they? -> Aug: If someone wants to add funds to my account, can they do so using my card?
GEN | [topping_up_by_card] | Orig: Can my account be topped-up by friends of mine. -> Aug: Can I have my account replenished by my friends using their cards?
GEN | [declined_cash_withdrawal] | Orig: I'm trying to take money from my account but its not letting me. Help! -> Aug: I'm having trouble accessing my funds and making a cash withdrawal. Can you assist me?
GEN | [topping_up_by_card] | Orig: can other people use the app to add money to my account -> Aug: can I allow others to use the app to deposit funds into my account using their card?
GEN | [lost_or_stolen_card] | Orig: A fee shouldn't apply to me if my card was stolen. -> Aug: I shouldn't be charged a fee if my credit card was stolen.
GEN | [contactless_not_working] | Orig: Contactless payments need to be enabled for my card. -> Aug: Contactless payment functionality is currently unavailable for my card.
GEN | [top_up_failed] | Orig: I can't add any more money. -> Aug: I'm unable to make a successful top-up.
GEN | [verify_top_up] | Orig: What is the verification process for my card? -> Aug: How do I confirm my card details for a top-up?
GEN | [top_up_by_cash_or_cheque] | Orig: Is there somewhere I can send a check to add to my account? -> Aug: Can I send a check to deposit funds into my account?
GEN | [get_physical_card] | Orig: still need to get card pin -> Aug: still need to obtain my physical card
GEN | [top_up_by_card_charge] | Orig: Will I get charged for topping up with an international card? -> Aug: Will I incur a charge when using an international card to add funds to my account?
GEN | [getting_spare_card] | Orig: My daughter would like a card from my account?  Can I do this? -> Aug: Can I request a replacement card for my account, so my daughter can use it?
GEN | [cash_withdrawal_not_recognised] | Orig: THere is some cash that is showing up on my app. -> Aug: There's an unexpected cash amount appearing on my account.
GEN | [card_payment_fee_charged] | Orig: Hi, I am new to this. Are there any additional fees or charges that I should be aware of? I was looking through the app and I thought I saw something in regards to fee-free allowances. -> Aug: I'm a new customer and I was wondering if there are any extra charges or fees I should know about. I noticed something about fee-free transactions in the app, but I'm not entirely sure what it means.
GEN | [pin_blocked] | Orig: I managed to drunken block my card :(( Help! -> Aug: I accidentally locked my card due to a mistake :(( Assist me!
GEN | [card_not_working] | Orig: I can't use my card for anything -> Aug: I'm unable to make any transactions with my card.
GEN | [passcode_forgotten] | Orig: I can't log in with this passocde -> Aug: I'm having trouble accessing my account because I've forgotten my passcode.
GEN | [supported_cards_and_currencies] | Orig: Do you have a list of the cards and currencies supported? -> Aug: We'd be happy to provide you with a list of the payment cards and currencies we currently support.
GEN | [apple_pay_or_google_pay] | Orig: my google pay seems to be acting up. -> Aug: my apple pay is malfunctioning
GEN | [passcode_forgotten] | Orig: I can't log in -> Aug: I'm having trouble accessing my account because I've forgotten my passcode.
GEN | [compromised_card] | Orig: I noticed my card was used in a small town that I have never been to. Can you stop the card from being used more? -> Aug: I recently discovered that my card was used in a location I've never visited. Can you please take immediate action to prevent further unauthorized transactions?
GEN | [top_up_by_cash_or_cheque] | Orig: I'll send a check to top up my account -> Aug: I'll dispatch a cheque to replenish my account balance
GEN | [top_up_by_cash_or_cheque] | Orig: I want to use a cheque to pay. -> Aug: I'd like to settle the payment using a cheque.
GEN | [top_up_by_bank_transfer_charge] | Orig: Do I get charged if I get money? -> Aug: Will I be charged a fee when I receive a bank transfer to top up my account?
