GEN | [order_physical_card] | Orig: What do I owe for a new card? -> Aug: How much will I need to pay for a physical credit card?
GEN | [card_acceptance] | Orig: Can I tell what business will take this card? -> Aug: Is there a specific merchant or business that accepts this card?
GEN | [activate_my_card] | Orig: I tried activating my plug-in and it didn't piece of work -> Aug: I attempted to activate my card, but it didn't function properly
GEN | [card_about_to_expire] | Orig: How do I go about ordering a new bank card? -> Aug: What steps can I take to get a replacement bank card before my current one expires?
GEN | [balance_not_updated_after_cheque_or_cash_deposit] | Orig: Do you guys accept cash? Because i deposited some this morning and I can't see it in my account. -> Aug: We've received a cash deposit from you, but it's not showing up in your account balance yet. Can you please confirm if we accept cash deposits and when you can expect the update?
GEN | [declined_cash_withdrawal] | Orig: My card didn't work at the ATM in Notting Hill.  Is my card working? -> Aug: My cash withdrawal was declined at the ATM in Notting Hill, and I'm wondering if there's an issue with my card.
GEN | [card_acceptance] | Orig: What kind of businesses will take my card? -> Aug: Which types of merchants accept my credit/debit card?
GEN | [change_pin] | Orig: Can I change my in at all ATM's? -> Aug: Can I modify my PIN at any ATM location?
GEN | [activate_my_card] | Orig: I want to start using my card. -> Aug: I'd like to activate my card and begin making transactions.
GEN | [direct_debit_payment_not_recognised] | Orig: I'm checking my statements and I saw a purchase from a couple weeks ago that I don't recall at all. Not only that, but I don't even know the business that charged it. I'm not sure if I did it or not, but can we check it and see if we can trace it back to make certain? -> Aug: We've noticed a transaction on your statement that's causing some confusion. It appears to be a direct debit payment that we can't identify. The date is a few weeks old, and I'm not familiar with the business that made the charge. I'm wondering if you could help us investigate this further and determine if it was a legitimate transaction or not.
GEN | [verify_top_up] | Orig: For what reason must I authenticate the top up? -> Aug: Why do I need to confirm the top-up?
GEN | [direct_debit_payment_not_recognised] | Orig: Is there a way for you to find out why my account was deducted from a seller when I didn't approve of it? -> Aug: We're trying to investigate why a direct debit payment was made from your account without your consent.
GEN | [atm_support] | Orig: How do I know it is a Mastercard ATM? -> Aug: What are the ways to identify a Mastercard ATM?
GEN | [declined_cash_withdrawal] | Orig: How do I get money from an ATM using my card? I can't seem to get it to work? I used the pin I had, but maybe it's wrong? What do I need to do to fix this? -> Aug: I'm having trouble withdrawing cash from an ATM using my card. I've tried entering my PIN, but it's not working. Can you help me resolve this issue?
GEN | [supported_cards_and_currencies] | Orig: I have another card from the U.S. Will you be able to accept that one? -> Aug: I'd like to know if you support cards issued in the United States.
GEN | [card_acceptance] | Orig: You accepts my card? -> Aug: Is your card accepted?
GEN | [verify_top_up] | Orig: I just want to top-up, why do I need to verify anything? -> Aug: I'm trying to add funds, but I'm being asked to confirm some information before I can proceed. Can you help me with that?
GEN | [verify_top_up] | Orig: I'm being asked for a verification code. Where do I find it? -> Aug: I'm being requested to provide a verification code. Can you please guide me on how to obtain it?
GEN | [card_acceptance] | Orig: Where do I pay with my card? -> Aug: How can I use my card for payment?
GEN | [supported_cards_and_currencies] | Orig: Will you accept my credit card, it my only one. -> Aug: Can you accept my credit card, as it's the only one I have?
GEN | [card_not_working] | Orig: Why won't the machine accept my card anymore? -> Aug: The card is not functioning properly and won't be recognized by the payment terminal.
GEN | [verify_top_up] | Orig: Where is the verification code display? -> Aug: Can you please show me the verification code for the top-up process?
GEN | [failed_transfer] | Orig: A mortgage payment I'm making is giving me an error message.  This is the first time I'm making this payment and want to know what's wrong. -> Aug: I'm experiencing an issue with a mortgage payment I'm attempting to make, and I'm receiving an error message. This is my first time making this payment, and I'd like to understand what's causing the problem.
GEN | [direct_debit_payment_not_recognised] | Orig: I have not used my card all day, however, there is an unusual payment showing in my app.  I would like to have that amount reimbursed. -> Aug: I've checked my account activity, but I'm puzzled by a payment that doesn't seem to match any transactions I've made. Can you help me investigate and reverse this unauthorized payment?
GEN | [reverted_card_payment?] | Orig: I purchased something and already received it, why hasn't the money taken out? -> Aug: I made a purchase and got the item, but the payment hasn't been deducted from my account yet?
GEN | [transfer_into_account] | Orig: I need to deposit money to my account -> Aug: I'd like to transfer funds into my account.
GEN | [cash_withdrawal_not_recognised] | Orig: Hello, Please look into this matter urgently. As i have lost my wallet and i can see one withdrawal, now i do not want to loose more money. -> Aug: Hi, I urgently need your assistance. I've misplaced my wallet and noticed an unauthorized cash withdrawal. I'm worried about losing more money if this issue isn't resolved promptly.
GEN | [reverted_card_payment?] | Orig: The seller just told me he didn't get paid. After reviewing my account it did subtract the balance but now it has added it back to my account. I need you to please take care of this promptly. -> Aug: The seller informed me that they didn't receive the payment. Upon checking my account, I noticed that the payment was initially deducted, but it was then reversed and credited back to my account. Can you assist me with resolving this issue as soon as possible?
GEN | [supported_cards_and_currencies] | Orig: I only have a card from the US is that okay? -> Aug: I'm wondering if it's acceptable to use a US-issued card?
GEN | [visa_or_mastercard] | Orig: Which type of card will I receive? -> Aug: What kind of payment card will I be issued?
GEN | [top_up_by_card_charge] | Orig: is it free to add money to my card -> Aug: is there a charge for topping up my card balance?
GEN | [verify_top_up] | Orig: this verifying the top up is annoying -> Aug: This top-up verification process is really frustrating.
GEN | [declined_card_payment] | Orig: I am very upset that i went to use my new card today and it kept getting declined. Why is this happening and what do I do to not have it declined? -> Aug: I'm frustrated because my recently issued card was repeatedly declined when I tried to use it. Can you please explain why this is happening and what steps I can take to resolve the issue and avoid future declines?
GEN | [card_linking] | Orig: If I find a card I lost do I need to dispose of it? Or can I re-active the card and continue to use it? -> Aug: If I locate a lost card, do I need to destroy it or can I reactivate it and continue using it?
GEN | [lost_or_stolen_card] | Orig: I lost my card n need a new one. -> Aug: I misplaced my card and require a replacement.
GEN | [reverted_card_payment?] | Orig: I bought something and already paid for it but now I don't see it. -> Aug: I made a purchase and settled the payment, but the item is still missing.
VAL | [order_physical_card] | ACCEPT | Reason: ... | Original: What do I owe for a new card? | Augmented: How much will I need to pay for a physical credit card?
VAL | [card_acceptance] | ACCEPT | Reason: N/A | Original: Can I tell what business will take this card? | Augmented: Is there a specific merchant or business that accepts this card?
VAL | [activate_my_card] | ACCEPT | Reason: N/A | Original: I tried activating my plug-in and it didn't piece of work | Augmented: I attempted to activate my card, but it didn't function properly
VAL | [card_about_to_expire] | ACCEPT | Reason: N/A | Original: How do I go about ordering a new bank card? | Augmented: What steps can I take to get a replacement bank card before my current one expires?
VAL | [balance_not_updated_after_cheque_or_cash_deposit] | UNKNOWN | Reason: N/A | Original: Do you guys accept cash? Because i deposited some this morning and I can't see it in my account. | Augmented: We've received a cash deposit from you, but it's not showing up in your account balance yet. Can you please confirm if we accept cash deposits and when you can expect the update?
VAL | [declined_cash_withdrawal] | ACCEPT | Reason: N/A | Original: My card didn't work at the ATM in Notting Hill.  Is my card working? | Augmented: My cash withdrawal was declined at the ATM in Notting Hill, and I'm wondering if there's an issue with my card.
VAL | [card_acceptance] | ACCEPT | Reason: ... | Original: What kind of businesses will take my card? | Augmented: Which types of merchants accept my credit/debit card?
VAL | [change_pin] | ACCEPT | Reason: N/A | Original: Can I change my in at all ATM's? | Augmented: Can I modify my PIN at any ATM location?
VAL | [activate_my_card] | ACCEPT | Reason: ... | Original: I want to start using my card. | Augmented: I'd like to activate my card and begin making transactions.
VAL | [direct_debit_payment_not_recognised] | ACCEPT | Reason: N/A | Original: I'm checking my statements and I saw a purchase from a couple weeks ago that I don't recall at all. Not only that, but I don't even know the business that charged it. I'm not sure if I did it or not, but can we check it and see if we can trace it back to make certain? | Augmented: We've noticed a transaction on your statement that's causing some confusion. It appears to be a direct debit payment that we can't identify. The date is a few weeks old, and I'm not familiar with the business that made the charge. I'm wondering if you could help us investigate this further and determine if it was a legitimate transaction or not.
VAL | [verify_top_up] | ACCEPT | Reason: ... | Original: For what reason must I authenticate the top up? | Augmented: Why do I need to confirm the top-up?
VAL | [direct_debit_payment_not_recognised] | ACCEPT | Reason: N/A | Original: Is there a way for you to find out why my account was deducted from a seller when I didn't approve of it? | Augmented: We're trying to investigate why a direct debit payment was made from your account without your consent.
VAL | [atm_support] | ACCEPT | Reason: The augmented text preserves the same banking intent of seeking information on how to identify a Mastercard ATM. It does not add any unsupported information or become ambiguous. The intent remains focused on the target intent of 'atm_support'. | Original: How do I know it is a Mastercard ATM? | Augmented: What are the ways to identify a Mastercard ATM?
VAL | [declined_cash_withdrawal] | ACCEPT | Reason: N/A | Original: How do I get money from an ATM using my card? I can't seem to get it to work? I used the pin I had, but maybe it's wrong? What do I need to do to fix this? | Augmented: I'm having trouble withdrawing cash from an ATM using my card. I've tried entering my PIN, but it's not working. Can you help me resolve this issue?
VAL | [supported_cards_and_currencies] | ACCEPT | Reason: N/A | Original: I have another card from the U.S. Will you be able to accept that one? | Augmented: I'd like to know if you support cards issued in the United States.
VAL | [card_acceptance] | ACCEPT | Reason: ... | Original: You accepts my card? | Augmented: Is your card accepted?
VAL | [verify_top_up] | ACCEPT | Reason: N/A | Original: I just want to top-up, why do I need to verify anything? | Augmented: I'm trying to add funds, but I'm being asked to confirm some information before I can proceed. Can you help me with that?
VAL | [verify_top_up] | ACCEPT | Reason: ... | Original: I'm being asked for a verification code. Where do I find it? | Augmented: I'm being requested to provide a verification code. Can you please guide me on how to obtain it?
VAL | [card_acceptance] | ACCEPT | Reason: N/A | Original: Where do I pay with my card? | Augmented: How can I use my card for payment?
VAL | [supported_cards_and_currencies] | ACCEPT | Reason: N/A | Original: Will you accept my credit card, it my only one. | Augmented: Can you accept my credit card, as it's the only one I have?
VAL | [card_not_working] | ACCEPT | Reason: N/A | Original: Why won't the machine accept my card anymore? | Augmented: The card is not functioning properly and won't be recognized by the payment terminal.
VAL | [verify_top_up] | ACCEPT | Reason: N/A | Original: Where is the verification code display? | Augmented: Can you please show me the verification code for the top-up process?
VAL | [failed_transfer] | ACCEPT | Reason: ... | Original: A mortgage payment I'm making is giving me an error message.  This is the first time I'm making this payment and want to know what's wrong. | Augmented: I'm experiencing an issue with a mortgage payment I'm attempting to make, and I'm receiving an error message. This is my first time making this payment, and I'd like to understand what's causing the problem.
VAL | [direct_debit_payment_not_recognised] | ACCEPT | Reason: N/A | Original: I have not used my card all day, however, there is an unusual payment showing in my app.  I would like to have that amount reimbursed. | Augmented: I've checked my account activity, but I'm puzzled by a payment that doesn't seem to match any transactions I've made. Can you help me investigate and reverse this unauthorized payment?
VAL | [reverted_card_payment?] | ACCEPT | Reason: ... | Original: I purchased something and already received it, why hasn't the money taken out? | Augmented: I made a purchase and got the item, but the payment hasn't been deducted from my account yet?
VAL | [transfer_into_account] | ACCEPT | Reason: N/A | Original: I need to deposit money to my account | Augmented: I'd like to transfer funds into my account.
VAL | [cash_withdrawal_not_recognised] | ACCEPT | Reason: N/A | Original: Hello, Please look into this matter urgently. As i have lost my wallet and i can see one withdrawal, now i do not want to loose more money. | Augmented: Hi, I urgently need your assistance. I've misplaced my wallet and noticed an unauthorized cash withdrawal. I'm worried about losing more money if this issue isn't resolved promptly.
VAL | [reverted_card_payment?] | ACCEPT | Reason: The augmented text maintains the core issue of a payment being deducted and then reversed, which is consistent with the original intent. It provides more detail about the sequence of events but does not change the fundamental nature of the problem. | Original: The seller just told me he didn't get paid. After reviewing my account it did subtract the balance but now it has added it back to my account. I need you to please take care of this promptly. | Augmented: The seller informed me that they didn't receive the payment. Upon checking my account, I noticed that the payment was initially deducted, but it was then reversed and credited back to my account. Can you assist me with resolving this issue as soon as possible?
VAL | [supported_cards_and_currencies] | ACCEPT | Reason: N/A | Original: I only have a card from the US is that okay? | Augmented: I'm wondering if it's acceptable to use a US-issued card?
VAL | [visa_or_mastercard] | ACCEPT | Reason: N/A | Original: Which type of card will I receive? | Augmented: What kind of payment card will I be issued?
