GEN | [Refund_not_showing_up] | Orig: My refund isn't going fast enough. -> Aug: My refund is taking too long to process.
GEN | [wrong_amount_of_cash_received] | Orig: Yikes!  I didn't get the amount of money that I requested.  What do I do now? -> Aug: I'm shortchanged! I received less cash than I was supposed to get. How do I resolve this issue?
GEN | [wrong_amount_of_cash_received] | Orig: my atm transaction was wrong -> Aug: the amount I received from my ATM transaction was incorrect
GEN | [pending_transfer] | Orig: I recently purchased something and the seller says my money has not arrived yet. It was in EU's. How long does this take? -> Aug: I recently made a purchase and the vendor informed me that the transfer is still pending. The transaction was in euros. Can you please provide an estimate of how long it usually takes for the funds to be received?
GEN | [beneficiary_not_allowed] | Orig: Why wasn't my payment to beneficiary X approved? -> Aug: Why was my payment to the designated beneficiary rejected?
GEN | [compromised_card] | Orig: Questionable transactions on my account. -> Aug: Suspicious activity detected on my account.
GEN | [cash_withdrawal_charge] | Orig: I received a fee for obtaining cash, is this correct? -> Aug: I was charged a fee for withdrawing cash, is this a standard practice?
GEN | [reverted_card_payment?] | Orig: I had a seller reach out to me saying my money didn't come through to them, but I'm sure it was removed from my account. Can you figure out what the deal is here? -> Aug: I'm trying to understand why the payment I made wasn't credited to the seller, as they're saying it didn't go through. Can you help me resolve this issue?
GEN | [visa_or_mastercard] | Orig: Can I select my card scheme or do you choose it for me? -> Aug: Do you allow me to choose between Visa and Mastercard, or do you automatically select the card type for me?
GEN | [card_payment_fee_charged] | Orig: I have a fee showing from last time I used my card. -> Aug: I noticed a charge for a fee from my last card transaction.
GEN | [wrong_amount_of_cash_received] | Orig: I went tot the ATM earlier today and didn't realize this till now but I did not get all the money I requested.  I believe my account was charged for 100 but I only got 80.  Is there any way we can solve this problem? -> Aug: I recently visited the ATM and didn't notice until now that I was shortchanged. I'm certain my account was debited for a larger amount, specifically 100, but I only received 80. Can you help me resolve this issue?
GEN | [cash_withdrawal_charge] | Orig: I have been charged a fee for getting cash -> Aug: I've been assessed a charge for withdrawing cash
GEN | [transfer_timing] | Orig: When will a transfer from the US post? -> Aug: When can I expect a transfer from the US to be processed?
GEN | [Refund_not_showing_up] | Orig: I returned an item but don't see it on my account? -> Aug: I sent back a product, but the refund isn't showing up on my statement.
GEN | [Refund_not_showing_up] | Orig: Please send my refund now. -> Aug: Please dispatch my refund immediately.
GEN | [card_payment_fee_charged] | Orig: I was charged and shouldn't have been charged when using my card! -> Aug: I was unexpectedly billed a fee for using my card, which I believe was an error.
GEN | [transfer_fee_charged] | Orig: Should I be seeing a fee applied for my money transfer? -> Aug: Am I supposed to be charged a fee for the transfer of funds?
GEN | [lost_or_stolen_phone] | Orig: phone is at a hotel, can i still use app -> Aug: my phone is currently at a hotel, can I still access the app?
GEN | [top_up_by_bank_transfer_charge] | Orig: Do I get charged if I am receiving money? -> Aug: Will I be charged a fee when I receive funds through bank transfer?
GEN | [transfer_not_received_by_recipient] | Orig: When are you going to transfer the money? -> Aug: When will the transfer be delivered to the recipient?
GEN | [beneficiary_not_allowed] | Orig: I really was trying to complete this exhange. I was trying to purchase some crypto but the app won't allow me to do it. Can you tell me what's going on here? -> Aug: I'm having trouble finalizing a transaction. I'm attempting to buy some cryptocurrency, but the app is preventing me from doing so. Can you help me understand what's blocking this process?
GEN | [failed_transfer] | Orig: please help my transfer go through -> Aug: can you assist me in completing my transfer?
GEN | [balance_not_updated_after_cheque_or_cash_deposit] | Orig: What happens if I deposit a cheque accidentally? -> Aug: What happens if I make a cash deposit or deposit a cheque by mistake?
GEN | [transfer_timing] | Orig: I desperately need to transfer something from China, Please give me the wait time. -> Aug: I urgently require a transfer from China, Could you please provide the estimated wait time?
GEN | [visa_or_mastercard] | Orig: Can I get the Mastercard? -> Aug: Can I obtain the Visa or Mastercard?
GEN | [compromised_card] | Orig: I think my card has been used by somebody else since I was never in the little town where some transactions on this bill have come from. Please stop this right away. -> Aug: I believe someone else has used my card, as I've never been to the location where some transactions on my statement are from. Please take immediate action to resolve this issue.
GEN | [cash_withdrawal_not_recognised] | Orig: I just lost my wallet and I think someone is using my card to withdraw my money. Can you please cancel or freeze my card?!! -> Aug: I'm concerned that my card has been compromised and someone is attempting to make unauthorized cash withdrawals. Can you assist me in suspending my card's activity or canceling it altogether?
GEN | [pending_transfer] | Orig: How long do EU transfers actually take? I recently bought something online a few days ago, sent the money immediately online but the seller says it's still not there yet. -> Aug: I'm trying to figure out when my online purchase will be processed. I made the payment a few days ago, but the seller is saying it's still pending. Can you tell me how long EU transfers usually take?
GEN | [change_pin] | Orig: Do I need to speak to a representative to change my pin? -> Aug: Can I request assistance from a representative to modify my personal identification number (PIN)?
GEN | [exchange_charge] | Orig: How much do I have to pay to accept an international transfer? -> Aug: What is the exchange charge for accepting an international transfer?
GEN | [declined_card_payment] | Orig: why couldn't I use my card at a store? -> Aug: Why was my card payment declined at the store?
GEN | [top_up_by_bank_transfer_charge] | Orig: Do you accept SWIFT transfers? -> Aug: Can you facilitate bank transfers for top-ups?
GEN | [country_support] | Orig: I just moved to the US how do I get a card? -> Aug: I've recently relocated to the United States and would like to obtain a new card.
GEN | [get_disposable_virtual_card] | Orig: I want to make an online purchase but I don't want to use my credit card. Can you tell me how a disposable virtual card works and where I can apply for one? -> Aug: I'd like to make an online purchase without using my credit card. Can you explain how a temporary virtual card works and where I can obtain one for this transaction?
GEN | [transfer_timing] | Orig: How fast are transfers from Europe? -> Aug: What is the typical processing speed for international transfers from Europe?
GEN | [cash_withdrawal_charge] | Orig: I hate this ATM, it charged me an extra fee, Why did it charge? -> Aug: I'm really frustrated with this ATM, it slapped me with an unexpected fee, Can you tell me why it did that?
GEN | [reverted_card_payment?] | Orig: I have an issue. I bought something within the past one to two weeks and have received one of the products; however, today the total was returned to my account. What's going on here? -> Aug: I recently made a purchase, and although I received one of the items, the full amount was reversed back to my account. Can you help me understand what's happening?
GEN | [top_up_by_card_charge] | Orig: Do you charge a fee for adding money in USD? -> Aug: Is there a charge for topping up my account using my card in USD?
VAL | [Refund_not_showing_up] | ACCEPT | Reason: N/A | Original: My refund isn't going fast enough. | Augmented: My refund is taking too long to process.
VAL | [wrong_amount_of_cash_received] | ACCEPT | Reason: ... | Original: Yikes!  I didn't get the amount of money that I requested.  What do I do now? | Augmented: I'm shortchanged! I received less cash than I was supposed to get. How do I resolve this issue?
VAL | [wrong_amount_of_cash_received] | ACCEPT | Reason: N/A | Original: my atm transaction was wrong | Augmented: the amount I received from my ATM transaction was incorrect
VAL | [pending_transfer] | ACCEPT | Reason: N/A | Original: I recently purchased something and the seller says my money has not arrived yet. It was in EU's. How long does this take? | Augmented: I recently made a purchase and the vendor informed me that the transfer is still pending. The transaction was in euros. Can you please provide an estimate of how long it usually takes for the funds to be received?
VAL | [beneficiary_not_allowed] | ACCEPT | Reason: N/A | Original: Why wasn't my payment to beneficiary X approved? | Augmented: Why was my payment to the designated beneficiary rejected?
VAL | [compromised_card] | ACCEPT | Reason: N/A | Original: Questionable transactions on my account. | Augmented: Suspicious activity detected on my account.
VAL | [cash_withdrawal_charge] | ACCEPT | Reason: ... | Original: I received a fee for obtaining cash, is this correct? | Augmented: I was charged a fee for withdrawing cash, is this a standard practice?
VAL | [reverted_card_payment?] | ACCEPT | Reason: N/A | Original: I had a seller reach out to me saying my money didn't come through to them, but I'm sure it was removed from my account. Can you figure out what the deal is here? | Augmented: I'm trying to understand why the payment I made wasn't credited to the seller, as they're saying it didn't go through. Can you help me resolve this issue?
VAL | [visa_or_mastercard] | ACCEPT | Reason: ... | Original: Can I select my card scheme or do you choose it for me? | Augmented: Do you allow me to choose between Visa and Mastercard, or do you automatically select the card type for me?
VAL | [card_payment_fee_charged] | ACCEPT | Reason: ... | Original: I have a fee showing from last time I used my card. | Augmented: I noticed a charge for a fee from my last card transaction.
VAL | [wrong_amount_of_cash_received] | ACCEPT | Reason: ... | Original: I went tot the ATM earlier today and didn't realize this till now but I did not get all the money I requested.  I believe my account was charged for 100 but I only got 80.  Is there any way we can solve this problem? | Augmented: I recently visited the ATM and didn't notice until now that I was shortchanged. I'm certain my account was debited for a larger amount, specifically 100, but I only received 80. Can you help me resolve this issue?
VAL | [cash_withdrawal_charge] | ACCEPT | Reason: ... | Original: I have been charged a fee for getting cash | Augmented: I've been assessed a charge for withdrawing cash
VAL | [transfer_timing] | ACCEPT | Reason: ... | Original: When will a transfer from the US post? | Augmented: When can I expect a transfer from the US to be processed?
VAL | [Refund_not_showing_up] | ACCEPT | Reason: N/A | Original: I returned an item but don't see it on my account? | Augmented: I sent back a product, but the refund isn't showing up on my statement.
VAL | [Refund_not_showing_up] | ACCEPT | Reason: ... | Original: Please send my refund now. | Augmented: Please dispatch my refund immediately.
VAL | [card_payment_fee_charged] | ACCEPT | Reason: N/A | Original: I was charged and shouldn't have been charged when using my card! | Augmented: I was unexpectedly billed a fee for using my card, which I believe was an error.
VAL | [transfer_fee_charged] | ACCEPT | Reason: ... | Original: Should I be seeing a fee applied for my money transfer? | Augmented: Am I supposed to be charged a fee for the transfer of funds?
VAL | [lost_or_stolen_phone] | ACCEPT | Reason: N/A | Original: phone is at a hotel, can i still use app | Augmented: my phone is currently at a hotel, can I still access the app?
VAL | [top_up_by_bank_transfer_charge] | ACCEPT | Reason: N/A | Original: Do I get charged if I am receiving money? | Augmented: Will I be charged a fee when I receive funds through bank transfer?
VAL | [transfer_not_received_by_recipient] | UNKNOWN | Reason: N/A | Original: When are you going to transfer the money? | Augmented: When will the transfer be delivered to the recipient?
VAL | [beneficiary_not_allowed] | ACCEPT | Reason: N/A | Original: I really was trying to complete this exhange. I was trying to purchase some crypto but the app won't allow me to do it. Can you tell me what's going on here? | Augmented: I'm having trouble finalizing a transaction. I'm attempting to buy some cryptocurrency, but the app is preventing me from doing so. Can you help me understand what's blocking this process?
VAL | [failed_transfer] | ACCEPT | Reason: N/A | Original: please help my transfer go through | Augmented: can you assist me in completing my transfer?
VAL | [balance_not_updated_after_cheque_or_cash_deposit] | ACCEPT | Reason: N/A | Original: What happens if I deposit a cheque accidentally? | Augmented: What happens if I make a cash deposit or deposit a cheque by mistake?
VAL | [transfer_timing] | ACCEPT | Reason: ... | Original: I desperately need to transfer something from China, Please give me the wait time. | Augmented: I urgently require a transfer from China, Could you please provide the estimated wait time?
VAL | [visa_or_mastercard] | ACCEPT | Reason: N/A | Original: Can I get the Mastercard? | Augmented: Can I obtain the Visa or Mastercard?
VAL | [compromised_card] | ACCEPT | Reason: ... | Original: I think my card has been used by somebody else since I was never in the little town where some transactions on this bill have come from. Please stop this right away. | Augmented: I believe someone else has used my card, as I've never been to the location where some transactions on my statement are from. Please take immediate action to resolve this issue.
VAL | [cash_withdrawal_not_recognised] | ACCEPT | Reason: N/A | Original: I just lost my wallet and I think someone is using my card to withdraw my money. Can you please cancel or freeze my card?!! | Augmented: I'm concerned that my card has been compromised and someone is attempting to make unauthorized cash withdrawals. Can you assist me in suspending my card's activity or canceling it altogether?
VAL | [pending_transfer] | ACCEPT | Reason: N/A | Original: How long do EU transfers actually take? I recently bought something online a few days ago, sent the money immediately online but the seller says it's still not there yet. | Augmented: I'm trying to figure out when my online purchase will be processed. I made the payment a few days ago, but the seller is saying it's still pending. Can you tell me how long EU transfers usually take?
VAL | [change_pin] | ACCEPT | Reason: N/A | Original: Do I need to speak to a representative to change my pin? | Augmented: Can I request assistance from a representative to modify my personal identification number (PIN)?
VAL | [exchange_charge] | ACCEPT | Reason: Both texts are asking about the cost of accepting an international transfer, which aligns with the 'exchange_charge' intent. | Original: How much do I have to pay to accept an international transfer? | Augmented: What is the exchange charge for accepting an international transfer?
VAL | [declined_card_payment] | ACCEPT | Reason: ... | Original: why couldn't I use my card at a store? | Augmented: Why was my card payment declined at the store?
VAL | [top_up_by_bank_transfer_charge] | UNKNOWN | Reason: N/A | Original: Do you accept SWIFT transfers? | Augmented: Can you facilitate bank transfers for top-ups?
VAL | [country_support] | ACCEPT | Reason: ... | Original: I just moved to the US how do I get a card? | Augmented: I've recently relocated to the United States and would like to obtain a new card.
