GEN | [atm_support] | Orig: Which ATMs am I allowed to get money from? -> Aug: What ATMs can I use to withdraw cash?
GEN | [wrong_amount_of_cash_received] | Orig: I only got some of the cash I requested from the ATM -> Aug: I received a portion of the cash I withdrew from the ATM
GEN | [atm_support] | Orig: how do I know where I can get money withdrawn? -> Aug: where can I find an ATM to withdraw cash?
GEN | [cash_withdrawal_charge] | Orig: This is not right, I was told I could take out cash at the ATM for free? -> Aug: I was under the impression that I wouldn't be charged a fee for withdrawing cash from the ATM.
GEN | [cash_withdrawal_not_recognised] | Orig: Can you tell me what this cash withdrawal is? -> Aug: Could you please explain this cash withdrawal to me?
GEN | [atm_support] | Orig: Can I use a different bank ATM than my own? -> Aug: Can I use an ATM from a different bank than my own?
GEN | [top_up_by_cash_or_cheque] | Orig: What is your check-cashing policy? -> Aug: You can top up your account by cash or cheque.
GEN | [wrong_amount_of_cash_received] | Orig: What do I need to do to request cash back? The ATM actually just gave me the wrong amount. The app I actually chose the right amount. -> Aug: The ATM dispensed an incorrect amount, and I'd like to know how to initiate a cash return. The amount I selected on the app was correct, but the machine gave me the wrong amount.
GEN | [wrong_amount_of_cash_received] | Orig: I did not get all the cash at ATM. -> Aug: I didn't receive the full amount of cash from the ATM.
GEN | [atm_support] | Orig: Where should I withdraw money from? -> Aug: Where can I access cash from an ATM?
GEN | [wrong_amount_of_cash_received] | Orig: So I just went to the ATM to get some cash.  I input that I needed 100 pounds but I only got 80.  I have the receipt  and I am in need of the extra money.  How do I go about obtaining the missing amount? -> Aug: I recently visited the ATM to withdraw some cash, but when I checked my transaction, I found that I was given less than the amount I requested. Specifically, I asked for 100 pounds, but only received 80. I have the receipt as proof and would like to know how to retrieve the remaining amount.
GEN | [cash_withdrawal_not_recognised] | Orig: What is this cash withdrawal on my statement? -> Aug: This cash transaction on my statement is not recognized by me.
GEN | [cash_withdrawal_charge] | Orig: Hello, I wanted to get some more information about ATM Withdraw Fee. I have been withdrawing money for years and notice this charge on my account. I always thought it was no fee since its you guys ATM company that I am withdrawing. Can you please explain? -> Aug: I'm trying to understand the cash withdrawal charge that's been appearing on my account. I've been using your ATMs for years, and I'm surprised to see this fee. Can you clarify the policy behind it?
GEN | [cash_withdrawal_not_recognised] | Orig: There's an unauthorized cash withdraw -> Aug: We've detected an unauthorised cash withdrawal attempt.
GEN | [cash_withdrawal_not_recognised] | Orig: I have a cash withdrawal in my statement. Why is that? -> Aug: I'm looking at my statement and I see a cash withdrawal listed. Can you explain why it's there?
GEN | [pending_cash_withdrawal] | Orig: What is a pending cash withdrawal? -> Aug: A pending cash withdrawal refers to a transaction that has been initiated but not yet processed or completed.
GEN | [cash_withdrawal_not_recognised] | Orig: There is a cash withdrawl I don't remember. -> Aug: I'm trying to recall a cash withdrawal I made, but I've forgotten the details.
GEN | [wrong_amount_of_cash_received] | Orig: My cash withdrawal was short. -> Aug: I didn't receive the correct amount of cash.
GEN | [atm_support] | Orig: I need to know where I can withdraw money. -> Aug: I'm looking for an ATM location where I can withdraw cash.
GEN | [wrong_amount_of_cash_received] | Orig: How can I get my money that I didn't get from the ATM? -> Aug: I'm trying to retrieve the cash I didn't receive from the ATM transaction.
GEN | [wrong_amount_of_cash_received] | Orig: What do I need to do to get cash back? The ATM gave me the wrong amount that I requested but the app is showing the amount to be correct. -> Aug: The ATM dispensed an incorrect amount of cash, but the mobile app is indicating that the transaction was processed correctly. How can I resolve this discrepancy and get the correct amount of cash returned to me?
GEN | [atm_support] | Orig: Which locations can I withdraw money from? -> Aug: Where can I access cash from an ATM?
GEN | [cash_withdrawal_not_recognised] | Orig: I have a cash withdrawal on my statement that I am unsure of. -> Aug: I'm having trouble identifying a cash withdrawal on my statement.
GEN | [direct_debit_payment_not_recognised] | Orig: Unusual direct deposit -> Aug: Unidentified direct debit payment
GEN | [verify_source_of_funds] | Orig: Can you tell me where my readily available cash has come from? -> Aug: Can you confirm the origin of the funds that are readily available in my account?
GEN | [wrong_amount_of_cash_received] | Orig: The atm didn't give me all my cash -> Aug: The ATM dispensed an insufficient amount of money.
GEN | [cash_withdrawal_charge] | Orig: I just had a look at my statement. Why have I been changed for using the ATM? -> Aug: I've reviewed my statement and noticed a charge for using an ATM. Can you explain why I was charged for this transaction?
GEN | [cash_withdrawal_not_recognised] | Orig: There is a cash withdrawal from an ATM listed but I don't remember making this withdrawal. -> Aug: I'm showing a cash withdrawal on my account statement, but I'm not sure if I actually made this transaction.
GEN | [atm_support] | Orig: 
Where can I withdraw money from? -> Aug: Where can I access cash from?
GEN | [atm_support] | Orig: Where can I withdraw money from? -> Aug: Where can I access cash from an ATM or a bank branch?
GEN | [pending_cash_withdrawal] | Orig: What does it mean to have a pending cash withdrawal? -> Aug: You're asking about the status of a cash withdrawal that's still in the process of being processed.
GEN | [wrong_amount_of_cash_received] | Orig: The ATM shows a withdraw of the amount of money I requested but I didn't revieve that amount in cash. -> Aug: The ATM dispensed the amount I withdrew, but I didn't receive the correct amount of cash.
GEN | [wrong_exchange_rate_for_cash_withdrawal] | Orig: I am travelling and I tried to withdraw cash but didn't get what I was supposed to get. -> Aug: I'm currently abroad and attempted to withdraw some cash, but the amount I received was not what I expected.
GEN | [wrong_amount_of_cash_received] | Orig: The ATM did not give me as much cash as I requested. -> Aug: The ATM dispensed less cash than I had asked for.
GEN | [cash_withdrawal_charge] | Orig: I have a question about fee for cash withdraw. -> Aug: I'd like to know more about the charge for withdrawing cash from my account.
GEN | [cash_withdrawal_not_recognised] | Orig: I have a cash withdrawal that I do not recognise. -> Aug: I'm trying to process a cash withdrawal, but it's not showing up in my records.
GEN | [cash_withdrawal_charge] | Orig: Do you charge for cash withdrawals?  I want to get my hands on my own money and you appear to be charging me for the pleasure! Why is this, you'd never get this with my high street bank! -> Aug: Are there any fees associated with making cash withdrawals from your account? I'm surprised to find that I'm being charged for accessing my own funds, whereas my previous bank didn't impose such a charge.
GEN | [cash_withdrawal_not_recognised] | Orig: What do I do if I do not recognise a cash withdrawal? -> Aug: How can I proceed if I'm unsure about a cash withdrawal I've made?
