GEN | [country_support] | Orig: Can I use this all over the world? -> Aug: Can I access this service globally or internationally?
GEN | [supported_cards_and_currencies] | Orig: What cards do you support -> Aug: We accept a range of payment cards
GEN | [country_support] | Orig: Will my new card work outside of the EU? -> Aug: Will my new card be functional in countries outside the European Union?
GEN | [card_payment_not_recognised] | Orig: Why is this payment on my app -> Aug: We're having trouble identifying this payment on your account.
GEN | [country_support] | Orig: Can I get a card that works in other countries like Africa and Indonesia? -> Aug: Can I obtain a card that is widely accepted in various countries, including those in Africa and Indonesia?
GEN | [failed_transfer] | Orig: Why can't I transfer my money into someone else's account? I should be able to do so right? Why does it keep rejecting my transfer? There's no reason, all my info is correct and the money is there. -> Aug: I'm having trouble sending funds to another person's account. It seems illogical that I'm unable to do so, as I've double-checked all my details and the funds are available. Can you help me understand why the transfer keeps getting declined?
GEN | [get_physical_card] | Orig: I've been waiting ages and my PIN hasn't gotten here. -> Aug: I've been waiting for a while and my physical card still hasn't arrived.
GEN | [card_payment_not_recognised] | Orig: Why is there an unknown card payment? -> Aug: We're unable to identify a recognized card payment.
GEN | [extra_charge_on_statement] | Orig: There is a charge for an additional pound. -> Aug: A supplementary fee has been added to your statement.
GEN | [card_swallowed] | Orig: I can't get my card out of the ATM -> Aug: I'm having trouble retrieving my card from the ATM.
GEN | [transfer_timing] | Orig: When will the money reach my  account? -> Aug: When can I expect the funds to be deposited into my account?
GEN | [failed_transfer] | Orig: I've tried to send money to my friends and I keep getting rejected. Can you please tell me why, I don't understand. -> Aug: I've attempted to initiate a transfer to my friend's account, but it's been declined. Could you help me figure out what's going on?
GEN | [extra_charge_on_statement] | Orig: I was charged $1 in a transaction. -> Aug: I was unexpectedly billed an additional amount in a recent transaction.
GEN | [supported_cards_and_currencies] | Orig: Do you have a list of cards and currencies you support? -> Aug: We accept a range of cards and currencies for transactions.
GEN | [declined_transfer] | Orig: How can I find a way to transfer money without it being rejected? -> Aug: I'm trying to make a transfer, but it keeps getting declined. Can you help me figure out why it's not going through?
GEN | [wrong_amount_of_cash_received] | Orig: You shorted me money when I tried to make a withdrawal. -> Aug: You gave me less cash than I was supposed to get when I withdrew some money.
GEN | [failed_transfer] | Orig: I am trying to transfer money and something is going wrong. -> Aug: I'm having trouble completing a transfer and it's not going through as expected.
GEN | [verify_top_up] | Orig: Where's my top up code? -> Aug: Can you please provide me with my top-up code?
GEN | [card_payment_fee_charged] | Orig: You promised no fees but now I've got one. What the hell!? -> Aug: You assured me there would be no charges, but I've been slapped with a fee. Can you explain this discrepancy?
GEN | [extra_charge_on_statement] | Orig: Why is it showing that my account has been charged a dollar that is showing as pending? -> Aug: We noticed that there's an additional charge listed on your statement that's still pending, and we'd like to clarify why it was applied to your account.
GEN | [country_support] | Orig: Is this card available to Americans? -> Aug: Are U.S. citizens eligible to use this card?
GEN | [extra_charge_on_statement] | Orig: I had a dollar charged to my account that's still pending and wanted to know what the charge is for? -> Aug: I'm still seeing a pending charge of $1 on my account and I'd like to understand what it's for.
GEN | [age_limit] | Orig: Do you have a limit for someone's age? -> Aug: Is there an age restriction in place?
GEN | [supported_cards_and_currencies] | Orig: Top up my card please, which y'all support? -> Aug: Can you please inform me about the payment methods you accept, specifically the cards you support?
GEN | [card_payment_fee_charged] | Orig: Why am I being charged fees on some transactions but not on others? What am I missing here? I cannot find where to see the fee structure on my account. Help! -> Aug: I'm confused about why I'm being charged fees on certain transactions but not others. Can you please clarify the fee structure for my account? I've looked everywhere but can't find it.
GEN | [card_payment_not_recognised] | Orig: Help! In the app there is a payment that I don't remember. -> Aug: I'm having trouble recalling a payment I made through the app.
GEN | [failed_transfer] | Orig: Can you tell my why my funds transfer did not work properly? -> Aug: Why did my recent transfer fail to process as expected?
GEN | [virtual_card_not_working] | Orig: My disposable virtual card got rejected -> Aug: My temporary virtual card was declined
GEN | [card_swallowed] | Orig: A Bank ATM did not give my card back. What do I do now? -> Aug: A Bank ATM has retained my card. What should I do next?
GEN | [cancel_transfer] | Orig: What are the steps I need to take to cancel a transaction? -> Aug: How do I go about terminating a transfer I initiated earlier?
GEN | [card_swallowed] | Orig: I need a new card because the ATM took mine. -> Aug: I require a replacement card because I accidentally swallowed my original one.
GEN | [extra_charge_on_statement] | Orig: What am I being charged an extra pound when I haven't bought something worth that much? -> Aug: I'm not sure why I'm being charged an additional amount on my statement when I didn't make a purchase that warrants such a charge.
GEN | [atm_support] | Orig: What locations can I get money from? -> Aug: Where can I withdraw cash from an ATM or a bank branch?
GEN | [top_up_reverted] | Orig: Do you support top ups? -> Aug: Can you facilitate additional deposits?
GEN | [card_payment_not_recognised] | Orig: I do not recongize a payment in my account. -> Aug: I'm unable to locate a payment in my account records.
GEN | [top_up_by_cash_or_cheque] | Orig: Do you take checks? -> Aug: Can you accept payments by cheque or cash?
GEN | [pin_blocked] | Orig: While I was drunk, I goofed my PIN number and your machine ate my card. How can I get it back? -> Aug: I made a mistake while entering my PIN and your ATM swallowed my card. Can I retrieve it?
GEN | [top_up_failed] | Orig: I urgently need to top-up my card but its getting declined. Please help me in this or advise with other options if any. -> Aug: I'm experiencing an issue with topping up my card, as the transaction is being declined. Could you assist me in resolving this or suggest alternative solutions if available?
GEN | [card_swallowed] | Orig: Why did the ATM take my card and keep it? -> Aug: The ATM swallowed my card, and I want to know why it's holding onto it.
VAL | [country_support] | ACCEPT | Reason: N/A | Original: Can I use this all over the world? | Augmented: Can I access this service globally or internationally?
VAL | [supported_cards_and_currencies] | ACCEPT | Reason: N/A | Original: What cards do you support | Augmented: We accept a range of payment cards
VAL | [country_support] | ACCEPT | Reason: N/A | Original: Will my new card work outside of the EU? | Augmented: Will my new card be functional in countries outside the European Union?
VAL | [card_payment_not_recognised] | ACCEPT | Reason: N/A | Original: Why is this payment on my app | Augmented: We're having trouble identifying this payment on your account.
VAL | [country_support] | ACCEPT | Reason: N/A | Original: Can I get a card that works in other countries like Africa and Indonesia? | Augmented: Can I obtain a card that is widely accepted in various countries, including those in Africa and Indonesia?
VAL | [failed_transfer] | ACCEPT | Reason: ... | Original: Why can't I transfer my money into someone else's account? I should be able to do so right? Why does it keep rejecting my transfer? There's no reason, all my info is correct and the money is there. | Augmented: I'm having trouble sending funds to another person's account. It seems illogical that I'm unable to do so, as I've double-checked all my details and the funds are available. Can you help me understand why the transfer keeps getting declined?
VAL | [get_physical_card] | ACCEPT | Reason: N/A | Original: I've been waiting ages and my PIN hasn't gotten here. | Augmented: I've been waiting for a while and my physical card still hasn't arrived.
VAL | [card_payment_not_recognised] | ACCEPT | Reason: ... | Original: Why is there an unknown card payment? | Augmented: We're unable to identify a recognized card payment.
VAL | [extra_charge_on_statement] | ACCEPT | Reason: N/A | Original: There is a charge for an additional pound. | Augmented: A supplementary fee has been added to your statement.
VAL | [card_swallowed] | ACCEPT | Reason: ... | Original: I can't get my card out of the ATM | Augmented: I'm having trouble retrieving my card from the ATM.
VAL | [transfer_timing] | ACCEPT | Reason: ... | Original: When will the money reach my  account? | Augmented: When can I expect the funds to be deposited into my account?
VAL | [failed_transfer] | ACCEPT | Reason: ... | Original: I've tried to send money to my friends and I keep getting rejected. Can you please tell me why, I don't understand. | Augmented: I've attempted to initiate a transfer to my friend's account, but it's been declined. Could you help me figure out what's going on?
VAL | [extra_charge_on_statement] | ACCEPT | Reason: N/A | Original: I was charged $1 in a transaction. | Augmented: I was unexpectedly billed an additional amount in a recent transaction.
VAL | [supported_cards_and_currencies] | UNKNOWN | Reason: N/A | Original: Do you have a list of cards and currencies you support? | Augmented: We accept a range of cards and currencies for transactions.
VAL | [declined_transfer] | ACCEPT | Reason: N/A | Original: How can I find a way to transfer money without it being rejected? | Augmented: I'm trying to make a transfer, but it keeps getting declined. Can you help me figure out why it's not going through?
VAL | [wrong_amount_of_cash_received] | ACCEPT | Reason: N/A | Original: You shorted me money when I tried to make a withdrawal. | Augmented: You gave me less cash than I was supposed to get when I withdrew some money.
VAL | [failed_transfer] | ACCEPT | Reason: ... | Original: I am trying to transfer money and something is going wrong. | Augmented: I'm having trouble completing a transfer and it's not going through as expected.
VAL | [verify_top_up] | ACCEPT | Reason: ... | Original: Where's my top up code? | Augmented: Can you please provide me with my top-up code?
VAL | [card_payment_fee_charged] | ACCEPT | Reason: ... | Original: You promised no fees but now I've got one. What the hell!? | Augmented: You assured me there would be no charges, but I've been slapped with a fee. Can you explain this discrepancy?
VAL | [extra_charge_on_statement] | ACCEPT | Reason: ... | Original: Why is it showing that my account has been charged a dollar that is showing as pending? | Augmented: We noticed that there's an additional charge listed on your statement that's still pending, and we'd like to clarify why it was applied to your account.
VAL | [country_support] | ACCEPT | Reason: N/A | Original: Is this card available to Americans? | Augmented: Are U.S. citizens eligible to use this card?
VAL | [extra_charge_on_statement] | ACCEPT | Reason: The augmented text maintains the same intent of understanding an unexpected charge on the account, and the pending status and amount are preserved. | Original: I had a dollar charged to my account that's still pending and wanted to know what the charge is for? | Augmented: I'm still seeing a pending charge of $1 on my account and I'd like to understand what it's for.
VAL | [age_limit] | ACCEPT | Reason: N/A | Original: Do you have a limit for someone's age? | Augmented: Is there an age restriction in place?
VAL | [supported_cards_and_currencies] | ACCEPT | Reason: N/A | Original: Top up my card please, which y'all support? | Augmented: Can you please inform me about the payment methods you accept, specifically the cards you support?
VAL | [card_payment_fee_charged] | REVIEW | Reason: The augmented text is closely related to the original intent but lacks explicit mention of a fee being charged, which could make it ambiguous. | Original: Why am I being charged fees on some transactions but not on others? What am I missing here? I cannot find where to see the fee structure on my account. Help! | Augmented: I'm confused about why I'm being charged fees on certain transactions but not others. Can you please clarify the fee structure for my account? I've looked everywhere but can't find it.
VAL | [card_payment_not_recognised] | ACCEPT | Reason: N/A | Original: Help! In the app there is a payment that I don't remember. | Augmented: I'm having trouble recalling a payment I made through the app.
VAL | [failed_transfer] | ACCEPT | Reason: ... | Original: Can you tell my why my funds transfer did not work properly? | Augmented: Why did my recent transfer fail to process as expected?
VAL | [virtual_card_not_working] | ACCEPT | Reason: N/A | Original: My disposable virtual card got rejected | Augmented: My temporary virtual card was declined
VAL | [card_swallowed] | ACCEPT | Reason: N/A | Original: A Bank ATM did not give my card back. What do I do now? | Augmented: A Bank ATM has retained my card. What should I do next?
VAL | [cancel_transfer] | ACCEPT | Reason: ... | Original: What are the steps I need to take to cancel a transaction? | Augmented: How do I go about terminating a transfer I initiated earlier?
VAL | [card_swallowed] | ACCEPT | Reason: N/A | Original: I need a new card because the ATM took mine. | Augmented: I require a replacement card because I accidentally swallowed my original one.
VAL | [extra_charge_on_statement] | ACCEPT | Reason: ... | Original: What am I being charged an extra pound when I haven't bought something worth that much? | Augmented: I'm not sure why I'm being charged an additional amount on my statement when I didn't make a purchase that warrants such a charge.
VAL | [atm_support] | ACCEPT | Reason: N/A | Original: What locations can I get money from? | Augmented: Where can I withdraw cash from an ATM or a bank branch?
