GEN | [transaction_charged_twice] | Orig: Transaction showing up many times. -> Aug: Multiple transactions appearing on my account.
GEN | [getting_spare_card] | Orig: I need a new card. -> Aug: I require a replacement card.
GEN | [top_up_by_card_charge] | Orig: should i add money via bank transfer instead -> Aug: Would you like to add funds to your account using a card charge instead?
GEN | [supported_cards_and_currencies] | Orig: Do I have to top up in euros if I use a card, or can I use a different currency? -> Aug: Can I use a different currency when topping up with a card, or do I need to use euros?
GEN | [supported_cards_and_currencies] | Orig: use my credit to add money -> Aug: utilize my supported credit cards to top up my account
GEN | [transaction_charged_twice] | Orig: I have multiple of the same transaction -> Aug: I've been charged for the same transaction multiple times
GEN | [terminate_account] | Orig: I no longer want this account, what should I do? -> Aug: I would like to cancel my account and close it permanently.
GEN | [verify_top_up] | Orig: How do i verify my card? -> Aug: How can I confirm my card top-up?
GEN | [cash_withdrawal_not_recognised] | Orig: I just lost my wallet and I think someone is using my card to withdraw my money. Can you please cancel or freeze my card?!! -> Aug: I'm concerned that someone has stolen my wallet and is attempting to use my card to make unauthorized cash withdrawals. Can you please assist me in canceling or freezing my card to prevent any further transactions?
GEN | [verify_source_of_funds] | Orig: How can I look at where my available cash is coming from? -> Aug: Can you please confirm the origin of the funds in my account?
GEN | [card_payment_fee_charged] | Orig: Why did I have to pay extra because I paid with my card? -> Aug: Why was I charged an additional fee when I used my credit/debit card for the transaction?
GEN | [reverted_card_payment?] | Orig: I tried to use my debit card, but the payment did not work. -> Aug: Why was my debit card payment declined?
GEN | [change_pin] | Orig: I must change my PIN as soon as possible. -> Aug: I need to update my PIN immediately.
GEN | [declined_card_payment] | Orig: why couldn't I use my card at a store? -> Aug: Your card payment was declined, which prevented you from making a purchase at the store.
GEN | [getting_spare_card] | Orig: I lost my card and need a new one, will it cost me? -> Aug: I misplaced my card and require a replacement, what's the fee for a new one?
GEN | [supported_cards_and_currencies] | Orig: If I top up by card, what options do I have re: currency and card type? -> Aug: We accept a range of cards and currencies for top-ups, including Visa, Mastercard, and Maestro, as well as currencies like USD, EUR, GBP, and more. What specific card type and currency are you looking to use?
GEN | [lost_or_stolen_phone] | Orig: I just replaced my phone but how do I use my card information? -> Aug: I recently misplaced my phone and I'm having trouble accessing my account to update my card information.
GEN | [top_up_by_bank_transfer_charge] | Orig: If I top-up by using a trasfer are there charges that applied? -> Aug: If I top-up my account using a bank transfer, are there any charges that will be applied?
GEN | [direct_debit_payment_not_recognised] | Orig: I have an unknown charge. -> Aug: We've received an unidentified direct debit payment from your account.
GEN | [card_linking] | Orig: I would like to reactivate my card that I previously reported lost. I located the card this morning. -> Aug: I would like to link my previously reported lost card back to my account since I've found it.
GEN | [fiat_currency_support] | Orig: What types of foreign money can be used with this service.? -> Aug: What types of fiat currencies are accepted for transactions with this service?
GEN | [activate_my_card] | Orig: How can I switch on my new card? -> Aug: How do I turn on my new credit card?
GEN | [top_up_by_card_charge] | Orig: Is there a top charge for US cards? -> Aug: Are there any charges associated with topping up my US-issued card?
GEN | [cash_withdrawal_not_recognised] | Orig: I was trying to use my card and it was declined, when I tried to find out what happened I found cash withdraw for $500 that I didn't do.  Can you please help figure this out? -> Aug: I'm trying to use my card, but it's been declined. I've checked my account and noticed a cash withdrawal of $500 that I didn't authorize. Can you assist me in resolving this issue?
GEN | [extra_charge_on_statement] | Orig: My statement shows a 1£ purchase pending. I do not remember making this purchase, please let me know what this is about. -> Aug: I'm reviewing my statement and noticed a pending charge for £1. I'm not aware of this transaction, could you please clarify what this is for?
GEN | [balance_not_updated_after_bank_transfer] | Orig: Where is the transfer that I did? -> Aug: I'm still waiting to see the transfer I initiated.
GEN | [failed_transfer] | Orig: please help my transfer go through -> Aug: can you assist me in completing my transfer?
GEN | [card_payment_fee_charged] | Orig: Why did I have to pay an additional amount when using my card to pay? -> Aug: Why was I charged an extra fee when I used my card to make a payment?
GEN | [supported_cards_and_currencies] | Orig: I want to add funds to my account. What payment methods are accepted? -> Aug: We accept a wide range of payment methods, including Visa, Mastercard, American Express, Discover, and Diners Club credit cards, as well as wire transfers in USD, EUR, JPY, and GBP.
GEN | [topping_up_by_card] | Orig: Is it simple to transfer money using my credit card? -> Aug: Can I easily add funds to my account using my credit card?
GEN | [pending_cash_withdrawal] | Orig: Please cancel the latest ATM charge on my card as my card was declined earlier today and I did not receive that cash. -> Aug: I'd like to cancel the pending cash withdrawal transaction that was attempted on my card earlier today, as it was declined and I did not receive the cash.
GEN | [card_swallowed] | Orig: What are the steps I should take to recover my swallowed card? -> Aug: What should I do if I've accidentally swallowed my credit card?
