GEN | [get_physical_card] | Orig: How is the PIN delivered? -> Aug: How do I receive my physical credit card?
GEN | [compromised_card] | Orig: My wallet was stolen and all my credit cards were in there.  HELP?!!? -> Aug: My purse was stolen and all my credit cards were inside. I need assistance!
GEN | [card_arrival] | Orig: can you share card tracking number? -> Aug: can you provide the tracking number for my card arrival?
GEN | [lost_or_stolen_card] | Orig: I lost my wallet and all my cards were in it. -> Aug: I misplaced my wallet and all my credit cards were inside.
GEN | [get_physical_card] | Orig: Can you deliver the PIN separately? -> Aug: Can you provide the physical card separately?
GEN | [supported_cards_and_currencies] | Orig: Do you have a list of the cards and currencies supported? -> Aug: We accept a range of cards and currencies, including Visa, Mastercard, American Express, and more. Can I provide you with a comprehensive list of our supported cards and currencies?
GEN | [fiat_currency_support] | Orig: I would like to know which fiat currencies are recognized by your organization. -> Aug: I'd like to inquire about the list of supported fiat currencies accepted by your institution.
GEN | [supported_cards_and_currencies] | Orig: Do you have a list of cards and currencies you support? -> Aug: We accept a range of cards and currencies, including Visa, Mastercard, American Express, and more. Can I provide you with a comprehensive list of our supported cards and currencies?
GEN | [card_arrival] | Orig: Was there a way for me to get tracking for that? -> Aug: Could you please provide me with the tracking information for my card arrival?
GEN | [receiving_money] | Orig: Can my salary be received here? -> Aug: Can I receive my paycheck here?
GEN | [receiving_money] | Orig: what currencies can I receive my salary in with this? -> Aug: What forms of payment can I receive my salary in with this account?
GEN | [card_about_to_expire] | Orig: Am I able to get this shipped to China? -> Aug: Can I have this card about to expire shipped to China?
GEN | [supported_cards_and_currencies] | Orig: do you accept from usa credit card? -> Aug: Do you accept USA-issued credit cards, such as Visa, Mastercard, or American Express?
GEN | [card_arrival] | Orig: Can you track my card for me? -> Aug: Could you please help me locate my card?
GEN | [supported_cards_and_currencies] | Orig: I have a US credit card, will you accept it? -> Aug: We accept various credit cards, including Visa, Mastercard, and American Express, as well as debit cards, and currencies such as USD, EUR, and JPY.
GEN | [get_physical_card] | Orig: I don't have a PIN at this point. -> Aug: I'd like to obtain a physical card.
GEN | [get_physical_card] | Orig: Is the PIN separately delivered? -> Aug: Can I receive my physical card separately from the PIN?
GEN | [lost_or_stolen_phone] | Orig: I was mugged.  They took everything.  I can't use the app.  What do I do? -> Aug: I had my phone stolen during a robbery. The thief took my device and I'm unable to access the app. Can you help me with this issue?
GEN | [lost_or_stolen_phone] | Orig: My things were stolen and I need to know if I can still use this app. -> Aug: My phone was stolen and I'm worried about accessing my account through this app.
GEN | [exchange_rate] | Orig: What is the exchange looking like? -> Aug: What is the current exchange rate?
GEN | [supported_cards_and_currencies] | Orig: What are the various currencies and cards that you offer support for? -> Aug: We accept a wide range of cards and currencies, including Visa, Mastercard, American Express, Discover, and Diners Club, as well as popular digital wallets like Apple Pay, Google Pay, and Samsung Pay. Additionally, we support various currencies such as USD, EUR, JPY, GBP, AUD, CAD, and many more.
GEN | [change_pin] | Orig: Is it possible to change my pin if i am out of the country? -> Aug: Can I still change my PIN if I'm currently abroad or outside the country?
GEN | [change_pin] | Orig: I have been travelling overseas and I need to change my PIN. Can you tell me how this is done? -> Aug: I'm currently abroad and I'd like to modify my PIN. Could you please guide me through the process?
GEN | [supported_cards_and_currencies] | Orig: Can you tell me what cards and currencies you support? -> Aug: We accept a wide range of cards and currencies, including Visa, Mastercard, American Express, and Discover, as well as USD, EUR, JPY, and many others.
GEN | [receiving_money] | Orig: What do I need to do to get my salary through this? -> Aug: How can I receive my paycheck through this service?
GEN | [change_pin] | Orig: If I am not in the country and I need to change my PIN, how can this be done? -> Aug: If I'm currently abroad and I need to change my PIN, what steps can I take to do so?
GEN | [lost_or_stolen_phone] | Orig: I got mugged yesterday and they took everything. I can't use the app, so I need some help. -> Aug: I had my phone stolen during a mugging yesterday and I'm unable to access the app. Can you assist me?
GEN | [get_physical_card] | Orig: Does the PIN come under separate cover? -> Aug: Can I request a physical card with the PIN included?
GEN | [get_physical_card] | Orig: How is my PIN sent? -> Aug: How do I obtain my physical credit card?
GEN | [contactless_not_working] | Orig: How do I troubleshoot my contactless? -> Aug: What's the issue with my contactless payment method?
GEN | [get_physical_card] | Orig: I dont have a pin -> Aug: I'd like to request a physical card to replace the one I lost.
GEN | [receiving_money] | Orig: Can i get payed through this system? -> Aug: Can I receive payment through this system?
GEN | [supported_cards_and_currencies] | Orig: I need to know if you will accept my credit card. -> Aug: We accept a range of credit cards, including Visa, Mastercard, and American Express, as well as various currencies such as USD, EUR, and JPY.
GEN | [receiving_money] | Orig: How can my boss pay me directly to the card? -> Aug: What is the best way for my employer to deposit funds directly into my account?
GEN | [passcode_forgotten] | Orig: passcode retrieval -> Aug: forgot passcode
GEN | [lost_or_stolen_phone] | Orig: Can my account me accessed by a thief?  I was mugged. -> Aug: Can my account be accessed by a thief? I had my phone stolen.
GEN | [lost_or_stolen_phone] | Orig: I can't use the app because I got mugged yesterday and they took everything. I need some help. -> Aug: I'm having trouble accessing my account because my phone was stolen during a mugging incident yesterday and I'm in need of assistance.
GEN | [fiat_currency_support] | Orig: Do you have EUR currency available for me? -> Aug: Can you confirm if you have the Euro (EUR) available for my transaction?
