GEN | [age_limit] | Orig: What about my children? -> Aug: What about my minors?
GEN | [virtual_card_not_working] | Orig: I received my Virtual card information, but was unable to use it to make a purchase. Why did this happen and what can I do? -> Aug: I got my Virtual card details, but I'm having trouble using it for a transaction. Can you help me figure out what's going on and what I can do to resolve the issue?
GEN | [virtual_card_not_working] | Orig: My throwaway virtual card won't work -> Aug: My temporary virtual card is not functioning properly.
GEN | [getting_virtual_card] | Orig: Which part of the app do I order virtual cards from? -> Aug: Where can I find the option to request a virtual card within the app?
GEN | [top_up_by_cash_or_cheque] | Orig: How can I add physical money to my card? -> Aug: You can replenish your card balance by depositing cash or cheque.
GEN | [order_physical_card] | Orig: What does the bank charge for lost or stolen card replacements? -> Aug: How much does the bank charge for issuing a new physical card if my original one is lost or stolen?
GEN | [supported_cards_and_currencies] | Orig: What are my payment options? -> Aug: What methods of payment do you accept?
GEN | [card_delivery_estimate] | Orig: can you express my card to me? -> Aug: Can you provide an estimate for the delivery of my card?
GEN | [top_up_by_bank_transfer_charge] | Orig: Are SWIFT Transfers available at this bank? -> Aug: Can I use bank transfer to top up my account at this bank?
GEN | [country_support] | Orig: I'm in the EU. Can I get one of your cards? -> Aug: I'm a resident of the European Union. Can I obtain one of your credit cards?
GEN | [country_support] | Orig: May I get one of your cards?  I live in the EU. -> Aug: Might I request a card, as I am a resident of the European Union?
GEN | [atm_support] | Orig: How can I tell if an AMT will take this card? -> Aug: What's the best way to determine if an ATM will accept my card?
GEN | [country_support] | Orig: i live in portugal. do you operate here? -> Aug: I am a resident of Portugal. Do you have a presence in this country?
GEN | [getting_spare_card] | Orig: Can another family member hold a card for this account in addition to mine? -> Aug: Can I have a spare card issued for this account, in addition to the one I already have?
GEN | [reverted_card_payment?] | Orig: Why have I received a rebate for my payment after a week? -> Aug: Why did I get a refund for my payment after a week?
GEN | [getting_virtual_card] | Orig: I need to make a purchase online, where is my virtual card? -> Aug: I'm trying to make an online purchase and I'm looking for my virtual card, can you help me locate it?
GEN | [getting_spare_card] | Orig: What is the procedure for me to get more cards on my account? -> Aug: How do I obtain additional cards for my account?
GEN | [country_support] | Orig: I am in the EU. Can I get one of your cards? -> Aug: I am a resident in the European Union. Can I obtain one of your credit cards?
GEN | [card_about_to_expire] | Orig: Where can I have a new bank card sent to China? -> Aug: Can I request a replacement bank card to be delivered to China?
GEN | [country_support] | Orig: Is there anywhere  In the  Eu  this card can not be delivered in -> Aug: Can this card be delivered to any location within the European Union, or are there specific areas where it cannot be delivered?
GEN | [balance_not_updated_after_cheque_or_cash_deposit] | Orig: When will my deposit be processed? -> Aug: Why hasn't my account balance been updated after I deposited a cheque or cash?
GEN | [topping_up_by_card] | Orig: What information am I going to have to have in order to do a transfer with my card? -> Aug: What details do I need to provide to complete a card-based transfer?
GEN | [card_acceptance] | Orig: Where do I pay with my debit or credit card? -> Aug: How can I use my debit or credit card for payment?
GEN | [transfer_not_received_by_recipient] | Orig: My cash transaction isn't showing on my receipt -> Aug: The cash transfer I initiated hasn't been reflected on the recipient's end.
GEN | [declined_transfer] | Orig: What does the decline message mean -> Aug: The transfer was not successfully processed due to an issue.
GEN | [card_payment_not_recognised] | Orig: I didn't do a payment and I have it now. -> Aug: I've missed a payment and I'm providing the payment now.
GEN | [Refund_not_showing_up] | Orig: Card refund is not showing up in my statement. -> Aug: The refund for my card is missing from my latest statement.
GEN | [getting_virtual_card] | Orig: I would love one of the virtual cards! -> Aug: I'd like to obtain a virtual card, please.
GEN | [card_linking] | Orig: I have one of your cards, but I don't know how to link it. -> Aug: I'm having trouble linking one of my cards to my account.
GEN | [pending_top_up] | Orig: i put money on my card and i dont see it on the balance -> Aug: I added funds to my card, but the amount is still pending and hasn't been reflected in my balance.
GEN | [top_up_by_bank_transfer_charge] | Orig: Can I Transfer from SWIFT? -> Aug: Can I make a bank transfer to top up my account?
GEN | [wrong_amount_of_cash_received] | Orig: It kept my cash -> Aug: I was given the wrong amount of money
GEN | [card_linking] | Orig: If I have a credit card with you how I get set up to link to it? -> Aug: If I already have a credit card account with your bank, how do I go about linking it to my profile?
GEN | [beneficiary_not_allowed] | Orig: Why won't you let me name X as a beneficiary? -> Aug: You're asking why we're not permitting X to be designated as a beneficiary.
GEN | [balance_not_updated_after_cheque_or_cash_deposit] | Orig: When will my cheque be processed? -> Aug: When will my cash deposit be reflected in my account balance?
GEN | [getting_spare_card] | Orig: I would like open a second card for my daughter, how can you assist me? -> Aug: I'd like to obtain an additional card for my daughter, could you guide me through the process?
GEN | [wrong_amount_of_cash_received] | Orig: Help, your app is showing a larger WD than I actually did earlier at an ATM. -> Aug: The app is displaying a higher withdrawal amount than what I physically deposited at the ATM.
GEN | [cash_withdrawal_not_recognised] | Orig: Someone has a copy of my card !! I definitely still have it here but someone just made a 500£ cash withdrawal, HELP! -> Aug: I've misplaced my card, but I'm certain I still have it. However, someone has made a £500 cash withdrawal, and I urgently need assistance!
VAL | [age_limit] | ACCEPT | Reason: N/A | Original: What about my children? | Augmented: What about my minors?
VAL | [virtual_card_not_working] | ACCEPT | Reason: ... | Original: I received my Virtual card information, but was unable to use it to make a purchase. Why did this happen and what can I do? | Augmented: I got my Virtual card details, but I'm having trouble using it for a transaction. Can you help me figure out what's going on and what I can do to resolve the issue?
VAL | [virtual_card_not_working] | ACCEPT | Reason: ... | Original: My throwaway virtual card won't work | Augmented: My temporary virtual card is not functioning properly.
VAL | [getting_virtual_card] | ACCEPT | Reason: The augmented text does not change the intent; it merely rephrases the question to ask about finding the option to request a virtual card within the app. | Original: Which part of the app do I order virtual cards from? | Augmented: Where can I find the option to request a virtual card within the app?
VAL | [top_up_by_cash_or_cheque] | ACCEPT | Reason: N/A | Original: How can I add physical money to my card? | Augmented: You can replenish your card balance by depositing cash or cheque.
VAL | [order_physical_card] | ACCEPT | Reason: N/A | Original: What does the bank charge for lost or stolen card replacements? | Augmented: How much does the bank charge for issuing a new physical card if my original one is lost or stolen?
VAL | [supported_cards_and_currencies] | ACCEPT | Reason: N/A | Original: What are my payment options? | Augmented: What methods of payment do you accept?
VAL | [card_delivery_estimate] | ACCEPT | Reason: ... | Original: can you express my card to me? | Augmented: Can you provide an estimate for the delivery of my card?
VAL | [top_up_by_bank_transfer_charge] | UNKNOWN | Reason: N/A | Original: Are SWIFT Transfers available at this bank? | Augmented: Can I use bank transfer to top up my account at this bank?
VAL | [country_support] | ACCEPT | Reason: N/A | Original: I'm in the EU. Can I get one of your cards? | Augmented: I'm a resident of the European Union. Can I obtain one of your credit cards?
VAL | [country_support] | ACCEPT | Reason: N/A | Original: May I get one of your cards?  I live in the EU. | Augmented: Might I request a card, as I am a resident of the European Union?
VAL | [atm_support] | ACCEPT | Reason: ... | Original: How can I tell if an AMT will take this card? | Augmented: What's the best way to determine if an ATM will accept my card?
VAL | [country_support] | ACCEPT | Reason: N/A | Original: i live in portugal. do you operate here? | Augmented: I am a resident of Portugal. Do you have a presence in this country?
VAL | [getting_spare_card] | ACCEPT | Reason: N/A | Original: Can another family member hold a card for this account in addition to mine? | Augmented: Can I have a spare card issued for this account, in addition to the one I already have?
VAL | [reverted_card_payment?] | ACCEPT | Reason: ... | Original: Why have I received a rebate for my payment after a week? | Augmented: Why did I get a refund for my payment after a week?
VAL | [getting_virtual_card] | ACCEPT | Reason: ... | Original: I need to make a purchase online, where is my virtual card? | Augmented: I'm trying to make an online purchase and I'm looking for my virtual card, can you help me locate it?
VAL | [getting_spare_card] | ACCEPT | Reason: ... | Original: What is the procedure for me to get more cards on my account? | Augmented: How do I obtain additional cards for my account?
VAL | [country_support] | ACCEPT | Reason: N/A | Original: I am in the EU. Can I get one of your cards? | Augmented: I am a resident in the European Union. Can I obtain one of your credit cards?
VAL | [card_about_to_expire] | ACCEPT | Reason: N/A | Original: Where can I have a new bank card sent to China? | Augmented: Can I request a replacement bank card to be delivered to China?
VAL | [country_support] | ACCEPT | Reason: N/A | Original: Is there anywhere  In the  Eu  this card can not be delivered in | Augmented: Can this card be delivered to any location within the European Union, or are there specific areas where it cannot be delivered?
VAL | [balance_not_updated_after_cheque_or_cash_deposit] | ACCEPT | Reason: N/A | Original: When will my deposit be processed? | Augmented: Why hasn't my account balance been updated after I deposited a cheque or cash?
VAL | [topping_up_by_card] | ACCEPT | Reason: N/A | Original: What information am I going to have to have in order to do a transfer with my card? | Augmented: What details do I need to provide to complete a card-based transfer?
VAL | [card_acceptance] | ACCEPT | Reason: ... | Original: Where do I pay with my debit or credit card? | Augmented: How can I use my debit or credit card for payment?
VAL | [transfer_not_received_by_recipient] | ACCEPT | Reason: N/A | Original: My cash transaction isn't showing on my receipt | Augmented: The cash transfer I initiated hasn't been reflected on the recipient's end.
VAL | [declined_transfer] | ACCEPT | Reason: N/A | Original: What does the decline message mean | Augmented: The transfer was not successfully processed due to an issue.
VAL | [card_payment_not_recognised] | ACCEPT | Reason: N/A | Original: I didn't do a payment and I have it now. | Augmented: I've missed a payment and I'm providing the payment now.
VAL | [Refund_not_showing_up] | ACCEPT | Reason: ... | Original: Card refund is not showing up in my statement. | Augmented: The refund for my card is missing from my latest statement.
VAL | [getting_virtual_card] | ACCEPT | Reason: ... | Original: I would love one of the virtual cards! | Augmented: I'd like to obtain a virtual card, please.
VAL | [card_linking] | ACCEPT | Reason: ... | Original: I have one of your cards, but I don't know how to link it. | Augmented: I'm having trouble linking one of my cards to my account.
VAL | [pending_top_up] | ACCEPT | Reason: The augmented text preserves the same banking intent by indicating that the user has made a top-up, but the transaction is pending and not yet reflected in the balance. It does not introduce any contradictions or unsupported information. | Original: i put money on my card and i dont see it on the balance | Augmented: I added funds to my card, but the amount is still pending and hasn't been reflected in my balance.
VAL | [top_up_by_bank_transfer_charge] | ACCEPT | Reason: N/A | Original: Can I Transfer from SWIFT? | Augmented: Can I make a bank transfer to top up my account?
VAL | [wrong_amount_of_cash_received] | ACCEPT | Reason: N/A | Original: It kept my cash | Augmented: I was given the wrong amount of money
