GEN | [order_physical_card] | Orig: I need to order a new card. -> Aug: I'd like to request a new physical card.
GEN | [activate_my_card] | Orig: How can my new card be renewed? -> Aug: How can I reactivate my new card?
GEN | [lost_or_stolen_card] | Orig: Help!  I fear that my card was stolen, -> Aug: I'm worried that my card has been stolen.
GEN | [pending_cash_withdrawal] | Orig: i withdrew cash and dont see it reflected on the balance -> Aug: I made a cash withdrawal, but it's not showing up on my account balance.
GEN | [card_about_to_expire] | Orig: When will I get a new card when I order it, and how much will it cost. -> Aug: When I place an order for a new card, when can I expect to receive it, and what is the associated fee?
GEN | [beneficiary_not_allowed] | Orig: Why is this not letting me exchange crypto? I need help making this transaction go through. -> Aug: Why am I unable to proceed with the crypto exchange? I require assistance to facilitate this transaction.
GEN | [change_pin] | Orig: I want to create a new pin. -> Aug: I'd like to generate a new personal identification number.
GEN | [virtual_card_not_working] | Orig: My disposable virtual card was rejected. -> Aug: The virtual payment card I was using temporarily was declined.
GEN | [transaction_charged_twice] | Orig: I have been overcharged. -> Aug: I've been mistakenly charged twice.
GEN | [supported_cards_and_currencies] | Orig: How can I top up my account and which currency can I use? -> Aug: What methods are available for adding funds to my account, and what currencies are accepted for transactions?
GEN | [pending_cash_withdrawal] | Orig: Why has my withdrawal not posted? -> Aug: Why is my cash withdrawal still pending?
GEN | [pending_transfer] | Orig: why have I got a pending transfer? I'm confused!! -> Aug: I'm not sure why I'm seeing a pending transfer in my account. Can you help me understand what's going on?
GEN | [virtual_card_not_working] | Orig: My virtual card is just not going through. -> Aug: My virtual card is experiencing technical difficulties.
GEN | [why_verify_identity] | Orig: My ID verification hasn't gone through yet, but can I use my account anyway? -> Aug: Since my ID verification is still pending, can I still access my account or is it locked until the verification is complete?
GEN | [pending_cash_withdrawal] | Orig: Hello. I looked at my account and see that a transaction I tried to do is pending, but I did not complete that transaction. When I was at the ATM, the machine declined my card. Can you make sure that transaction does not go through because I definitely did not receive the money. -> Aug: I've checked my account and noticed a pending transaction that I didn't complete. The ATM declined my card when I tried to make the withdrawal, and I'm concerned that the transaction might still be processed. Can you cancel it since I didn't receive the cash?
GEN | [getting_virtual_card] | Orig: I need to order a new virtual card, how do I do that? -> Aug: I'd like to request a new virtual card, can you guide me through the process?
GEN | [get_physical_card] | Orig: In regards to the PIN of the card? -> Aug: Regarding the physical card's PIN information?
GEN | [card_about_to_expire] | Orig: Tell me how to replace my expired card. -> Aug: Explain the process for updating my card due to its expiration.
GEN | [supported_cards_and_currencies] | Orig: Can you accept my other card from the U.S.?  It is the only other one I have. -> Aug: Can you accept my other credit card issued in the United States? It's the only other one I possess.
GEN | [apple_pay_or_google_pay] | Orig: Does Apple Watch support the topping-off of my account? -> Aug: Can I use my Apple Watch to replenish my account balance?
GEN | [pending_top_up] | Orig: Where to check top ups pending? -> Aug: How can I view my pending top-up transactions?
GEN | [verify_top_up] | Orig: I just tried to top-up and now I'm getting an additional verification message, why? -> Aug: I'm experiencing an extra verification step after attempting to make a top-up, can you help me understand why?
GEN | [card_payment_wrong_exchange_rate] | Orig: Does the exchange rate change each day for purchases? There is a different rate on my purchase. -> Aug: Is the exchange rate adjusted daily for transactions? I've noticed a discrepancy in the rate applied to my recent purchase.
GEN | [apple_pay_or_google_pay] | Orig: What services can I use to top up? -> Aug: What payment methods can I use to add funds?
GEN | [card_about_to_expire] | Orig: Does it cost anything to get a new card? Mine's about to expire and I'd also like to know how long it takes to get the new one. -> Aug: Is there a fee associated with obtaining a replacement card, as mine is nearing its expiration date, and I'd also appreciate knowing how long it takes to receive the new one?
GEN | [compromised_card] | Orig: I just got an email in confirming my purchase with my card. I login to the mobile app on the card and found out there are several purchase were made without me aware of it. Evidently someone had stole my card information and made these fraudulent purchase. I need the transaction to be reverse and have my card suspended. -> Aug: I recently received an email confirming a purchase made with my card, but when I checked my account on the mobile app, I discovered several unauthorized transactions. It appears that someone has compromised my card information and made these fraudulent purchases. I would like to have these transactions reversed and my card temporarily suspended.
GEN | [card_payment_wrong_exchange_rate] | Orig: I noticed an extra charge on the purchase that I made last Saturday on my account. Can you see if I received the correct exchange rate? -> Aug: I'm reviewing my recent transaction history and noticed an unexpected fee. Could you check if the exchange rate was accurate for the purchase I made last weekend?
GEN | [wrong_amount_of_cash_received] | Orig: I haven't received my cash yet. -> Aug: I'm still waiting to receive the cash.
